,Stamina information value,Special Set information value,Pet information value,Mask information value,Clothes information value,Eyes information value,Mouth information value,Antenna information value,Skin information value,Background information value,Class information value,Trait count information value,Unique Trait count,Token Id,Rarity score
2351,11.287712379549449,0.008101798496964439,0.017417053077409393,0.01100635965701869,0.1272106319937627,4.088040034713085,4.5328248773859805,5.333516069162574,4.254289378011999,5.643856189774724,0.7369655941662062,0.008101798496964439,1,2351,2.098281744987072
2352,11.287712379549449,0.008101798496964439,0.017417053077409393,0.01100635965701869,0.1272106319937627,5.243318260190996,4.55979192498625,6.333516069162574,2.395928676331139,5.0782590139204995,0.7369655941662062,0.008101798496964439,1,2352,2.095116094478379
2353,11.287712379549449,0.008101798496964439,0.017417053077409393,0.01100635965701869,0.1272106319937627,3.9839316313723465,4.454822365384707,5.895394956770689,2.395928676331139,5.795859283219775,0.7369655941662062,0.008101798496964439,1,2353,2.0809077269238845
2354,10.287712379549449,0.008101798496964439,0.017417053077409393,0.01100635965701869,0.1272106319937627,4.23242994404826,4.23242994404826,7.380821783940931,8.287712379549449,4.210896782498619,1.7369655941662063,0.008101798496964439,0,2354,0.5309529672567713
2355,11.287712379549449,0.008101798496964439,0.017417053077409393,0.01100635965701869,0.1272106319937627,5.733123527871812,4.795859283219775,5.895394956770689,4.7027498788282935,4.717856771218502,0.7369655941662062,0.008101798496964439,1,2355,2.124376475463706
2356,9.702749878828293,0.008101798496964439,0.017417053077409393,0.01100635965701869,0.1272106319937627,3.853084151912725,4.878321443411748,6.429731384421878,2.7838866415536985,5.587272661408357,0.7369655941662062,0.008101798496964439,0,2356,0.447173594676835
2357,11.287712379549449,0.008101798496964439,0.017417053077409393,0.01100635965701869,0.1272106319937627,4.861447624847352,4.454822365384707,6.895394956770689,2.7838866415536985,4.310432456049533,0.7369655941662062,0.008101798496964439,1,2357,2.0911238122797653
2358,11.287712379549449,0.008101798496964439,0.017417053077409393,0.01100635965701869,0.1272106319937627,4.0397848661058635,5.117787378107137,5.673002535434241,6.828280760912152,4.965784284662087,1.7369655941662063,0.008101798496964439,1,2358,2.147684184460161
2359,11.287712379549449,0.008101798496964439,0.017417053077409393,0.01100635965701869,0.1272106319937627,3.853084151912725,4.55979192498625,6.333516069162574,4.779917739350753,5.5328248773859805,0.7369655941662062,0.008101798496964439,1,2359,2.1140843958841273
2360,10.287712379549449,0.008101798496964439,0.017417053077409393,0.01100635965701869,0.1272106319937627,4.0397848661058635,4.55979192498625,5.861447624847352,5.058893689053568,5.137965260044767,1.7369655941662063,0.008101798496964439,0,2360,0.48267299565222477
2361,9.702749878828293,0.008101798496964439,0.017417053077409393,0.01100635965701869,0.1272106319937627,4.299027692777283,5.243318260190996,5.673002535434241,6.764150423492437,4.717856771218502,1.7369655941662063,0.008101798496964439,0,2361,0.5017223528570456
2362,11.287712379549449,0.008101798496964439,0.017417053077409393,0.01100635965701869,0.1272106319937627,3.539519529959989,5.733123527871812,6.380821783940931,6.764150423492437,5.930160374931366,1.7369655941662063,0.008101798496964439,1,2362,2.1702516702620662
2363,11.287712379549449,0.008101798496964439,0.017417053077409393,0.01100635965701869,0.1272106319937627,3.9839316313723465,5.097887820669432,5.643856189774724,2.395928676331139,4.480357457491845,0.7369655941662062,0.008101798496964439,1,2363,2.068806651887165
2364,10.287712379549449,0.008101798496964439,0.017417053077409393,0.01100635965701869,0.1272106319937627,5.097887820669432,4.333516069162574,5.405069330187608,7.0397848661058635,4.717856771218502,1.7369655941662063,0.008101798496964439,0,2364,0.5080313431092734
2365,11.287712379549449,0.008101798496964439,0.017417053077409393,0.01100635965701869,0.1272106319937627,4.23242994404826,4.23242994404826,6.002310160687201,8.702749878828293,4.844768883700721,1.7369655941662063,0.008101798496964439,1,2365,2.1658893140181124
2366,10.287712379549449,0.008101798496964439,0.017417053077409393,0.01100635965701869,0.1272106319937627,6.380821783940931,5.137965260044767,5.6152870375779536,2.7838866415536985,5.55979192498625,0.7369655941662062,0.008101798496964439,0,2366,0.4803138679725772
2367,10.287712379549449,0.008101798496964439,0.017417053077409393,0.01100635965701869,0.1272106319937627,4.088040034713085,4.795859283219775,7.587272661408357,2.395928676331139,5.265344566520995,0.7369655941662062,0.008101798496964439,0,2367,0.46269470761993414
2368,9.287712379549449,0.008101798496964439,0.017417053077409393,0.01100635965701869,0.1272106319937627,3.539519529959989,5.310432456049533,6.5328248773859805,6.0782590139204995,5.673002535434241,1.7369655941662063,0.008101798496964439,0,2368,0.5020058351133696
2369,11.287712379549449,0.008101798496964439,0.017417053077409393,0.01100635965701869,0.1272106319937627,5.7027498788282935,4.454822365384707,5.965784284662087,2.7838866415536985,5.20024953829911,0.7369655941662062,0.008101798496964439,1,2369,2.101620974047561
2370,11.287712379549449,0.008101798496964439,0.017417053077409393,0.01100635965701869,0.1272106319937627,5.243318260190996,4.546245393148302,5.965784284662087,2.395928676331139,4.779917739350753,0.7369655941662062,0.008101798496964439,1,2370,2.0862152839124173
2371,10.287712379549449,0.008101798496964439,0.017417053077409393,0.01100635965701869,0.1272106319937627,4.23242994404826,4.23242994404826,5.333516069162574,9.287712379549449,4.717856771218502,1.7369655941662063,0.008101798496964439,0,2371,0.5238761922312802
2372,11.287712379549449,0.008101798496964439,0.017417053077409393,0.01100635965701869,0.1272106319937627,4.629500896797655,3.622376462364273,6.28771237954945,4.795859283219775,5.673002535434241,1.7369655941662063,0.008101798496964439,1,2372,2.126517364369095
2373,11.287712379549449,0.008101798496964439,0.017417053077409393,0.01100635965701869,0.1272106319937627,4.0397848661058635,5.310432456049533,4.546245393148302,7.20024953829911,5.243318260190996,1.7369655941662063,0.008101798496964439,1,2373,2.1439567263347388
2374,11.287712379549449,0.008101798496964439,0.017417053077409393,0.01100635965701869,0.1272106319937627,3.853084151912725,4.965784284662087,6.429731384421878,6.828280760912152,4.310432456049533,1.7369655941662063,0.008101798496964439,1,2374,2.144575973920152
2375,11.287712379549449,0.008101798496964439,0.017417053077409393,0.01100635965701869,0.1272106319937627,4.0397848661058635,5.137965260044767,4.546245393148302,5.28771237954945,5.55979192498625,1.7369655941662063,0.008101798496964439,1,2375,2.1207947150242923
