,Ethnicity information value,Tatoos information value,Neck Accessories information value,Head Accessories information value,Hair information value,Color Eyes information value,Clothes information value,Body Accessories information value,Earings information value,Nose Accessories information value,Trait count information value,Unique Trait count,Token Id,Rarity score
1560,2.0012991401516236,3.116234906996284,1.5177302592019644,4.683014873752367,3.9961095840490604,0.4935330656261038,7.502933257273884,4.043501638636586,0.45586500361710486,0.1024022980564106,2.0012991401516236,0,1560,0.45958247699521376
1561,2.0012991401516236,1.371968777386958,5.019611018428566,4.683014873752367,3.9961095840490604,0.4935330656261038,9.117643101389092,1.5852871761002443,0.45586500361710486,0.1024022980564106,2.0012991401516236,0,1561,0.473626403659032
1562,2.0006494238421113,1.371968777386958,1.5177302592019644,5.134649526694782,4.869715587945507,5.25966210626152,5.502933257273884,1.5852871761002443,0.45586500361710486,6.062360665887902,1.9954622001293396,0,1562,0.5493415714697806
1563,2.0012991401516236,3.8673446834827594,5.23500005202725,5.625790005059417,4.095275288360638,0.4935330656261038,7.030180260138753,1.5852871761002443,0.45586500361710486,0.1024022980564106,2.0012991401516236,0,1563,0.49921035893463067
1564,2.002599451227382,2.5736446512545506,5.198779864114497,5.716763665106908,4.291094614098177,0.4935330656261038,5.9179707565527275,6.1289584146169265,0.45586500361710486,0.1024022980564106,1.0016241080639985,0,1564,0.5205650022168922
1565,2.0012991401516236,2.5736446512545506,5.117643101389092,5.123289664530234,4.69557833521628,0.4935330656261038,6.70825216525139,1.5852871761002443,0.45586500361710486,0.1024022980564106,2.0012991401516236,0,1565,0.4740882390310937
1566,2.0006494238421113,1.371968777386958,4.654118728117912,1.8368723312584894,5.382933481163254,5.94771809994678,5.716763665106908,1.5852871761002443,0.45586500361710486,0.1024022980564106,1.9954622001293396,0,1566,0.4770372230539475
1567,2.0006494238421113,2.5736446512545506,5.192830597783312,4.009118644610923,5.424156143889767,0.4935330656261038,6.459431618637297,4.1289584146169265,4.054248020100583,0.1024022980564106,1.9954622001293396,0,1567,0.5597603439559881
1568,2.0006494238421113,3.116234906996284,4.195802164314602,1.8368723312584894,4.346153631888494,0.4935330656261038,6.445217759417596,1.5852871761002443,0.45586500361710486,0.1024022980564106,1.0016241080639985,0,1568,0.39299275808985284
1569,2.0006494238421113,5.157641169321011,4.455865003617105,4.922886246966844,4.438163001883646,0.4935330656261038,5.140363177889176,4.247278381805687,3.286335857587041,0.1024022980564106,1.0016241080639985,0,1569,0.5415132205065418
1570,2.0006494238421113,2.5736446512545506,4.455865003617105,1.8368723312584894,4.438163001883646,4.369450251799631,7.417203383248,4.809304071249684,0.45586500361710486,0.1024022980564106,1.0016241080639985,0,1570,0.5140786509772665
1571,2.0012991401516236,1.371968777386958,5.768914947158015,5.625790005059417,4.095275288360638,4.287920366303034,6.4033975837229695,1.5852871761002443,0.45586500361710486,0.1024022980564106,2.0012991401516236,0,1571,0.5177409430478034
1572,2.0006494238421113,5.157641169321011,1.5177302592019644,4.272153050444717,4.800230487624223,4.8555482560189125,5.445217759417596,4.262774718128855,0.45586500361710486,0.1024022980564106,1.0016241080639985,0,1572,0.5203898682021649
1573,2.0006494238421113,2.7242526439451056,1.5177302592019644,4.922886246966844,4.800230487624223,4.287920366303034,5.310288179331488,1.5852871761002443,0.45586500361710486,0.1024022980564106,1.0016241080639985,0,1573,0.4410727355990921
1574,2.0006494238421113,1.371968777386958,4.195802164314602,4.272153050444717,4.800230487624223,4.287920366303034,5.445217759417596,5.5707486415014555,5.563054249711454,0.1024022980564106,1.0016241080639985,0,1574,0.5932118434653819
