,Skin Tone,Outfit,Nose,Mouth,Hand,Hair Front,Hair Color,Hair Back,Eyes,Eyebrows,Eye Color,Clip Accessory,Background,Weapon,Head Accessory,Face Accessory,Appendage,Skin Marking,Ears,Legendary,Rarity score,Token Id
30,Neutral,White Cutout Top,Base,Ohh,None,Feathered Fringe,Sky Blue,Short Bob,Down Turned,Neutral,Yellow,None,Yellow,None,None,Pilot Sunglasses,None,None,None,None,10.182074997376871,30
31,Neutral,White Cutout Top,Base,Cat,None,Puff,Lime,Medium with Ribbon,Round,Neutral,Gray,Red Hair Clip,Yellow Blue,None,None,Pixel Glasses,None,None,None,None,17.526422340688356,31
32,Neutral,Turquoise Night Dress,Base,Laugh,None,Short Parted,Strawberry,Wide Pig Tails,Almond,Neutral,Red,Three Stars,Yellow,None,Bull Horns,None,Cat Tail,Black Cat Stripes,None,None,40.47945480962042,32
33,Neutral,White Jacket Translucent,Base,Open,None,Wavy Parted,Midnight Blue,Straight with Ribbon,Round,Neutral,Brown,Daisy,Blue Yellow,None,None,None,None,None,None,None,9.170839760040844,33
34,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,48.05914607359638,34
35,Neutral,Executor's Suit,Base,Neutral,Executor's Sword,Executor's Hair,White,Executor's Hair,Almond Executor,Neutral,Bronze,None,Executor's Hall,None,Executor's Hat,None,Automatons,Barcode,None,#35,69.28280472183947,35
36,Neutral,Blood Kimono,Base,Red Smirk,None,Oni Hair,Silver,Oni Hair,Pointy Oni,Neutral,Blood Red,Blood Horns,Flower Temple,None,Empress Kanzashi,None,Blood Curls,Oni Tattoo,None,Oni Princess,65.10303816191258,36
37,Neutral,Feather Top,Base,Angelic Smile,None,Angel's Hair,Golden,Angel's Hair,Almond Seraph,Neutral,Aqua,None,Heavenly Night Sky,None,Holy Wreath,None,Seraph Wings,Holy Stripes,None,Divine Seraph,56.45758989163801,37
38,Neutral,X Suit,Base,Neutral,None,X Hair,White,X Hair,Almond X,Neutral,Diamond,None,Wasteland,Double X Swords,Ruffle,None,Scouts,Battle Scar,None,X-03,68.44296504453368,38
39,Neutral,Infernal Gown,Base,Neutral,None,Phoenix Hair,Red,Phoenix Hair,Almond Phoenix,Neutral,Fire Emerald,None,Galactic Sky,None,Glowing Feathers,None,Phoenix Wings,Infernal,None,Burning Phoenix,55.46009881126639,39
40,Bright,Black Bunny Outfit,Base,Laugh,Peace,Peek-A-Bang,Rose,Wavy Long,Almond,Neutral,Blue,Wing,Dark Violet Stars,Cyber Scythe,Bunny Ears,None,Angel Wings,Beauty Mark Left Cheek,None,None,76.80861152033661,40
41,Warm,Red Rhapsody,Base,Wide Open,None,Assymetrical,Midnight Blue,Straight Long,Pointy,Neutral,Brown,None,Gray Yellow,None,Mini Crown,Rose,None,None,None,None,20.46260065679906,41
42,Bright,Heart Hoodie,Base,Egg Toast,Wave,Short Parted,Strawberry,Round Bob,Upturned Wink,Neutral,Purple,Daisy,Yellow Purple,None,Wings,Circle Glasses,None,Gray Lotus,None,None,57.615669153308424,42
43,Neutral,Turquoise Night Dress,Base,Smile,None,Short Braid,Strawberry,Messy Long,Round,Neutral,Purple,None,Green,None,None,None,None,None,None,None,1.8531472295034237,43
44,Dark,Ace of Spades,Base,Ohh,None,Puff,Black Turquoise,Wide Long,Round,Neutral,Black,None,Blue Red,None,None,Tactical Eye Patch,None,None,None,None,16.51665475701183,44
45,Neutral,Blue Hoodie,Base,Smile,None,Bedhead,Ash,Straight with Ribbon,Almond,Neutral,Brown,None,Yellow,None,None,Pixel Glasses,None,None,None,None,8.578176321205046,45
46,Bright,White Wave Qipao,Base,Eyetooth,None,Short Parted,Dirty Blonde,Straight Long,Hooded,Neutral,Blue,None,Green Yellow,None,White Fox Mask,Red Samurai Mask,None,None,None,None,22.885654424875206,46
47,Neutral,Purple Space Monk Outfit,Base,Open,None,Layered Long,Ginger,Straight Long,Upturned Wink,Neutral,Gray,Red Hair Clip,Blue,None,Pink Bunny Headband,Red Rectangle Glasses,None,Grey Cat Stripes,None,None,34.51664268899242,47
48,Neutral,Lilac Plug Suit,Base,Cat,None,Wavy Parted,Lilac,Wide Long,Round,Neutral,Purple,Strawberry,Purple,None,Pink Bunny Headband,Bandage,Pipes,None,None,None,36.79244052589842,48
49,Warm,Black Wings Qipao,Base,Ohh,None,Messy Fringe,Raven,Messy Bob,Pointy,Neutral,Black,None,Gray Purple,None,Big Side Horns,None,Succubus Tail,None,None,None,25.576899046131214,49
50,Neutral,Black Bunny Outfit,Base,Cat,Peace,Messy Fringe,Gray,Messy Long,Round,Neutral,Brown,None,Purple,Cyber Scythe,Wings,Butterflies,None,None,None,None,41.13358571497233,50
51,Neutral,Iron Harness,Base,Happy,Phone,Layered Long,Raven,Straight Long,Down Turned,Neutral,Brown,Double Silver Hair Clip,Yellow,Blue Silver Katana,Cat Ears With Earring,Pixel Glasses,None,None,None,None,48.27083513137112,51
52,Warm,Viper Translucent,Base,Pocky,None,Choppy Hime,Midnight Blue,Straight with Ribbon,Upturned Wink,Neutral,Lilac,Three Stars,Purple,None,Long Cat Ears,None,None,Left Eye Scar,None,None,35.05822638300154,52
53,Bright,Winter Solistice Royal Cloak,Base,Open,None,Hime,Caramel,Straight Long,Hooded,Neutral,Blue,None,Blue Yellow,Long Sword,None,None,None,None,Elf,None,35.647481642601875,53
54,Neutral,Blue Silver Lines Dress,Base,Speaking,None,Peek-A-Bang,Electric Blue,Straight Long,Almond,Neutral,Black,Double Silver Hair Clip,Blue Red,None,None,None,None,Beauty Mark Kin,None,None,21.709113879950735,54
55,Neutral,Dune Duchess,Base,Speaking,None,Wavy Parted,Gray,Straight Long,Pointy,Neutral,Black,None,Orange Yellow,None,Little Black Gold Hat,None,None,None,None,None,5.257785205990303,55
56,Neutral,Turquoise Hoodie,Base,Speaking,None,Curl,Raven,Spiky Long,Upturned Wink,Neutral,Gray,None,Gray Yellow,Long Sword,Peaked Cap,None,None,None,None,None,17.91195940496747,56
57,Tan,Egirl,Base,Grin,Wave,Feathered Fringe,Chestnut,Straight Medium,Down Turned,Neutral,Yellow,None,Yellow,None,Wagie Cap,Circle Glasses,None,None,None,None,35.56964704794009,57
58,Neutral,Businesswoman,Base,Smile,None,Hime,Chestnut,Messy Long,Upturned Wink,Neutral,Green,None,Green Yellow,None,None,None,None,None,None,None,0.28361309107136756,58
59,Bright,Crimson Cage,Base,Eyetooth,None,Hime,Strawberry,Straight Long,Upturned Wink,Neutral,Blue,None,Dark Violet Stars,None,Red Mini Horn,None,None,None,None,None,14.880020056682719,59
60,Warm,Red Axolotl T-Shirt,Base,Hair Band,None,Short Braid,Chestnut,Straight with Ribbon,Hooded,Neutral,Gray,Angry Vein,Orange Yellow,Obsidian Staff,Onion Horns,Silver Bottom Frame,None,None,Elf,None,55.11816902080561,60
61,Warm,Turquoise Night Dress,Base,Ohh,Wave,Round,Dirty Blonde,Short,Down Turned,Neutral,Yellow,Red Gem,Yellow,None,None,None,None,None,None,None,30.518556314872797,61
62,Dark,Apron,Base,Smile,None,Round,Violet,Pig Tails,Hooded,Neutral,Yellow,None,Blue Yellow,None,Bull Horns,Pixel Glasses,None,None,None,None,22.945616130362705,62
63,Neutral,Cabernet,Base,Happy,None,Messy Layered,Strawberry,Voluminous Medium,Down Turned,Neutral,Gray,None,Yellow Blue,None,None,Circle Glasses,None,None,None,None,8.256991696440325,63
64,Neutral,Businesswoman,Base,Happy,Phone,Short Braid,Wine Red,Short Bob,Upturned Wink,Neutral,Green,None,Blue Red,None,None,Eye Patch,None,Gray Lotus,None,None,34.879369510193726,64
65,Tan,Blue Silver Lines Dress,Base,Fang,None,Assymetrical,Lime,Wide Wavy Long,Upturned Wink,Neutral,Red,None,Blue Red,Red Gold Katana,Goldfish,Eye Patch,None,None,None,None,34.50617330724751,65
66,Neutral,White T-Shirt,Base,Slightly Open,None,Parted Fringe,Rose,Medium with Ribbon,Down Turned,Neutral,Blue,None,Blue Yellow,None,Little Black Gold Hat,Bandage,None,None,None,None,13.858141805150373,66
67,Neutral,Guard's Suit,Base,Open,None,Guard's Hair,White,Guard's Hair,Almond Guards,Neutral,Bronze,None,Yellow Purple,None,Guard's Hat,None,None,Barcode,None,None,25.78708079664368,67
68,Neutral,Viper Translucent,Base,Shouting,None,Straight Parted,Black Turquoise,Straight with Ribbon,Upturned,Neutral,Lilac,Gold Flower,Gray Purple,None,None,None,Succubus Tail,Beauty Mark Kin,None,None,36.079513619541956,68
69,Neutral,Yellow Pullover,Base,Ohh,None,Bedhead,Scarlet,Wide Pig Tails,Pointy,Neutral,Green,Red X,Gray Purple,None,Long Cat Ears,Eye Patch,None,Gray Lotus,None,None,35.013240701832835,69
70,Tan,Frock Coat,Base,Open,None,Bedhead,Scarlet,Voluminous Medium,Almond,Neutral,Purple,Black Diamond Stars,Yellow Purple,None,None,None,None,None,None,None,16.734216122403478,70
71,Neutral,Lilac Rhapsody,Base,Fang,None,Oujo Curls,Ash,High Wavy Twintails,Round,Neutral,Green,Red Hair Clip,Dark Blue,None,Blue Crystal Horns,None,None,None,None,None,15.387127985542035,71
72,Neutral,Turquoise Night Dress,Base,Wide Open,Phone,Comb Over,Ginger,Wide Long,Upturned Wink,Neutral,Lilac,Big Star,Yellow,None,White Bunny Headband,None,None,None,None,None,27.79877897102354,72
73,Neutral,Parka,Base,Speaking,None,Choppy Hime,Ginger,Spiky Long,Hooded,Neutral,Black,Daisy,Yellow Purple,None,None,None,None,None,None,None,8.971294306626323,73
74,Neutral,Blue Space Monk Outfit,Base,Ohh,None,Straight Parted,Emerald,Medium with Ribbon,Pointy,Neutral,Red,None,Orange Yellow,None,Large Ears,None,None,None,None,None,6.365157021565045,74
75,Neutral,Black Wings Qipao,Base,Ohh,None,Feathered Fringe,Dirty Blonde,Wide Long,Round,Neutral,Black,None,Yellow,None,Bat Horns,None,None,None,None,None,5.892477745872857,75
76,Bright,Cross Crop Top,Base,Eyetooth,None,Hime,Caramel,Straight Medium,Hooded,Neutral,Blue,None,Blue,Red Gold Katana,Newsboy Cap,Pixel Glasses,None,None,None,None,35.05674552752801,76
77,Warm,Country Dress,Base,Slightly Open,None,Straight Parted,Honey,Wavy Long,Upturned Wink,Neutral,Brown,None,Yellow Blue,None,Peaked Cap,None,None,None,None,None,11.999151350549448,77
78,Neutral,Black Wings Qipao,Base,Neutral,None,Oujo Curls,Light Blonde,Spiky Long,Round,Neutral,Brown,None,Green,None,Pink Bunny Headband,Eye Patch,None,None,None,None,13.769625931161194,78
79,Neutral,Blue Half Sleeve,Base,Speaking,None,Messy Layered,Ginger,Wide Long,Pointy,Neutral,Green,None,Green Yellow,None,Demon Horns,None,None,None,None,None,5.391330598704745,79
80,Neutral,Office,Base,Open,None,Wavy Parted,Dirty Blonde,Straight with Ribbon,Round,Neutral,Blue,None,Green Yellow,None,Top Hat,None,None,None,None,None,6.216558913312517,80
