,Bottle,Liquid,Tassels,Logo,Hoody,Outline,Background,Teeth,Eyes,Headgear,Mask,Rarity score,Token Id
0,Clear,Sparkling Water,Black,Caution Cantaloupe,Plain Violet,Spikes Cantaloupe,Black,None,None,None,None,9.55742063731014,0
1,WAGMI Crimson,Sparkling Water,White,gm Aquamarine,Plain Aquamarine,Spikes Cantaloupe,Bolts Violet,Rainbow,None,None,None,51.04607413742775,1
2,Flammable Toxic,Champagne,White,None,Plain Crimson,Crimson,Accents Aquamarine,None,None,None,None,16.48666568846592,2
3,Flammable Crimson,Water,Tied White,Caution Crimson,Plain Toxic,Shiny Cantaloupe,Strobes Crimson,None,Beady Cantaloupe,None,None,54.79849501140658,3
4,WAGMI Crimson,Cabernet Sauvignon,White,Caution Cantaloupe,Plain Cantaloupe,Violet,Strobes Aquamarine,None,None,rekt SnapBack Violet,None,48.17808784606278,4
5,Clear,Watermelon Juice,Tied White,Biohazard White,Bolts Aquamarine,Crimson,Black,None,X Cantaloupe,None,None,40.78736202085248,5
6,Radioactive Aquamarine,Purple Grape Juice,Tied White,None,Light Hatch Aquamarine,Acid Violet,Strobes Violet,None,None,Earphones Toxic,None,50.89751222122465,6
7,Radioactive Violet,Toxic Waste,Tied White,Radioactive Black,Light Hatch Toxic,Acid Cantaloupe,Black,None,None,None,None,27.33843481327613,7
8,WAGMI Crimson,Lemonade,Black,High Voltage Violet,Light Hatch Crimson,Aquamarine,Violet,None,None,rekt SnapBack Crimson,None,47.583374966687856,8
9,Biohazard Violet,Purple Grape Juice,White,None,Dark Stripes Cantaloupe,Acid Violet,Stripes Cantaloupe,None,None,None,None,16.619137496119734,9
10,WAGMI Cantaloupe,Cabernet Sauvignon,Black,None,Light Shoulders Toxic,Toxic,Strobes Cantaloupe,None,None,None,None,17.657299365177646,10
11,Hopium Violet,Rosé,White,Radioactive Toxic,Dark Hatch Aquamarine,Spikes Crimson,Accents Cantaloupe,None,X Toxic,None,None,48.135069170061165,11
12,Biohazard Violet,Champagne,White,Radioactive Aquamarine,Light Hatch Crimson,Lit,Black,None,None,None,None,19.433527181273494,12
13,Hopium Aquamarine,Purple Grape Juice,Black,rekt Toxic,Plain Violet,Crimson,Stripes Cantaloupe,None,None,None,None,21.682835534598265,13
14,Caution Violet,Orange Soda,Tied White,Radioactive Cantaloupe,Plain Aquamarine,Acid Toxic,Accents Violet,None,None,None,None,33.01564813093949,14
15,Radioactive Crimson,Sauvignon Blanc,Black,Caution Aquamarine,Light Stripes Violet,Crimson,Stripes Violet,None,None,None,None,20.836654394261718,15
16,Biohazard Aquamarine,Toxic Waste,Black,None,Bolts Cantaloupe,Spikes Aquamarine,Black,None,None,None,None,11.712176656090234,16
17,Flammable Aquamarine,Sauvignon Blanc,White,Flammable Violet,Light Hatch Aquamarine,Acid Cantaloupe,Black,None,X White,None,None,38.06785776211743,17
18,Radioactive Cantaloupe,Lemonade,Black,None,Dark Stripes Toxic,White,Fuzz Crimson,None,X Toxic,None,None,36.71345702960595,18
19,Biohazard Crimson,Water,Tied White,None,Dark Hatch Crimson,Glow Crimson,Strobes Toxic,None,None,None,None,26.473328847725103,19
20,Caution Violet,Cola,Black,gm Cantaloupe,Dark Shoulders Cantaloupe,Spikes Crimson,Accents Aquamarine,None,X Aquamarine,None,None,46.29682585385975,20
21,Hopium Aquamarine,Milk,Black,None,Light Shoulders Crimson,Glow Cantaloupe,Stripes Violet,None,None,None,None,19.138844104780222,21
22,Biohazard Cantaloupe,Lemonade,Tied White,69 Toxic,Dark Shoulders Toxic,Violet,Black,None,X Toxic,None,None,46.44810695530302,22
23,Biohazard Crimson,Sauvignon Blanc,Tied White,High Voltage Cantaloupe,Plain Black,White,Stripes Cantaloupe,None,X Cantaloupe,None,None,51.268035175611956,23
24,Radioactive Crimson,Orange Soda,Black,CrypToadz White,Plain Cantaloupe,Cantaloupe,Strobes Violet,None,Saturn Shades,None,None,43.282595995822724,24
25,WAGMI Cantaloupe,Toxic Waste,Black,gm Black,Plain Cantaloupe,Aquamarine,Strobes Violet,None,None,Earphones Crimson,None,46.92104912568457,25
26,Radioactive Toxic,Water,White,69 Violet,Dark Hatch Aquamarine,Cantaloupe,Stripes Toxic,Sharp Toxic,None,None,None,49.588995881526024,26
27,Clear,Sparkling Water,White,rekt Toxic,Plain Black,Crimson,Fuzz Aquamarine,None,X Crimson,rekt Beanie Violet,None,61.818063999648295,27
28,Clear,Limeade,White,Biohazard Toxic,Dark Shoulders Cantaloupe,Acid Cantaloupe,Accents Violet,None,Laser Eyes,Earphones Crimson,None,65.87553995014522,28
29,Copium,Lemonade,Black,gm White,Poly Toxic,Cantaloupe,Black,None,None,SnapBack Cantaloupe,None,40.406038428065614,29
30,Clear,Sauvignon Blanc,White,CrypToadz Black,Bolts Toxic,White,Fuzz Violet,Rainbow,None,None,None,44.01210982354319,30
31,Biohazard Cantaloupe,Limeade,Tied White,mfer Inverted,Plain Black,White,Strobes Aquamarine,None,Nounish,None,None,53.371188668731826,31
32,Flammable Aquamarine,Sparkling Water,Black,Biohazard Crimson,Light Stripes Cantaloupe,Cantaloupe,Accents Aquamarine,None,None,None,None,20.969114152281044,32
33,Flammable Violet,Sauvignon Blanc,Black,None,Bolts Toxic,Cantaloupe,Accents Toxic,None,None,None,None,14.921303111652987,33
34,Biohazard Aquamarine,Purple Grape Juice,Black,gm Aquamarine,Light Stripes Cantaloupe,Crimson,Strobes Aquamarine,None,None,None,None,21.696355620562212,34
35,Hopium Aquamarine,Blood,White,gm Cantaloupe,Bolts Violet,Acid Crimson,Stripes Toxic,None,None,None,None,24.975692314250768,35
36,Clear,Lemonade,Black,gm Aquamarine,Light Stripes Violet,Spikes Cantaloupe,Black,Sharp Violet,Big Shades,None,None,59.736484990025716,36
37,Radioactive Cantaloupe,Purple Grape Juice,Black,Flammable Crimson,Poly Aquamarine,Violet,Grid Crimson,None,X Toxic,None,None,43.69623078921389,37
38,WAGMI Aquamarine,Rosé,White,Flammable Aquamarine,Dark Shoulders Crimson,Spikes Violet,Accents Crimson,None,Blue Beams,None,None,47.88365351233217,38
39,Biohazard Violet,Limeade,Tied Black,None,Bolts Crimson,Spikes Crimson,Stripes Violet,None,None,SnapBack Cantaloupe,None,51.59224782065247,39
40,Flammable Cantaloupe,Water,Tied White,Biohazard Crimson,Plain Cantaloupe,Violet,Accents Aquamarine,None,3D Glasses,None,None,52.303377547384244,40
41,Biohazard Aquamarine,Limeade,Black,mfer Inverted,Robotic Cantaloupe,Cantaloupe,Black,None,None,None,None,15.932456526345543,41
42,Flammable Violet,Sauvignon Blanc,White,None,Poly Crimson,Toxic,Grid Aquamarine,None,X White,None,None,38.057045823518955,42
43,Caution Cantaloupe,Purple Grape Juice,Black,69 Toxic,Dark Stripes Crimson,Crimson,Fuzz Aquamarine,None,None,None,None,22.02347450965626,43
44,Clear,Toxic Waste,White,High Voltage Violet,Light Stripes Cantaloupe,Cantaloupe,Black,None,None,None,None,9.19238252951717,44
45,Biohazard Violet,Rosé,Tied White,Radioactive Crimson,Plain Aquamarine,Glow Crimson,Black,None,None,None,None,26.976163114022135,45
46,WAGMI Aquamarine,Sparkling Water,White,None,Strawberry Laces,White,Grid Aquamarine,None,None,None,None,15.226826153326197,46
47,Flammable Violet,Rosé,White,gm Aquamarine,Dark Stripes Aquamarine,Aquamarine,Bolts Aquamarine,None,None,None,None,22.65877665135744,47
48,Hopium Aquamarine,Limeade,White,gm Black,Poly Crimson,Glow White,Fuzz Toxic,None,None,None,None,24.929734448653644,48
49,Radioactive Toxic,Limeade,White,gm Black,Light Shoulders Cantaloupe,Spikes Violet,Bolts Cantaloupe,None,None,None,None,25.684019526813067,49
50,WAGMI Aquamarine,Lemonade,Black,Caution Crimson,Plain Violet,Acid Cantaloupe,Black,None,None,None,None,15.783731411507624,50
51,Radioactive Cantaloupe,Lemonade,Black,Caution Aquamarine,Dark Stripes Aquamarine,Glow Cantaloupe,Black,None,None,None,None,16.684011087409818,51
52,Caution Violet,Rose Champagne,White,Caution Cantaloupe,Light Shoulders Violet,Glow Aquamarine,Stripes Toxic,None,None,None,None,24.72966050197038,52
53,Biohazard Aquamarine,Passion Fruit Juice,White,Caution Crimson,Plain Aquamarine,Acid Crimson,Stripes Rainbow,None,None,None,None,24.921620332097845,53
54,Clear,Watermelon Juice,White,69 Aquamarine,Light Hatch Crimson,Crimson,Fuzz Toxic,None,None,None,None,17.505895363053188,54
55,Clear,Rosé,Black,None,Plain White,Aquamarine,Stripes Toxic,None,None,None,None,8.581399870332369,55
56,Caution Crimson,Limeade,Black,gm Aquamarine,Dark Stripes Violet,Shiny Violet,Stripes Aquamarine,None,X White,None,None,46.807770548780944,56
57,Clear,Limeade,Black,Caution Toxic,Poly Violet,Crimson,Black,None,None,None,None,9.438476537035868,57
58,WAGMI Crimson,Cabernet Sauvignon,Tied White,Biohazard Aquamarine,Light Stripes Crimson,Crimson,Black,None,None,None,None,25.602814943482755,58
59,Paper Bag Aquamarine,Water,Tied Black,Caution Toxic,Tiedye,Cantaloupe,Black,None,None,None,None,24.13751490918192,59
60,Clear,Champagne,White,None,Light Stripes Cantaloupe,Crimson,Grid Crimson,None,None,None,None,9.881818594925422,60
61,WAGMI Crimson,Orange Soda,Black,Toxic Warning,Bolts Violet,Spikes Cantaloupe,Fuzz Crimson,None,Beady Crimson,None,None,47.26732707636373,61
62,WAGMI Cantaloupe,Watermelon Juice,Tied Black,None,Poly Cantaloupe,Acid Violet,Grid Crimson,None,None,None,None,26.9869797209464,62
63,Radioactive Cantaloupe,Purple Grape Juice,Black,None,Dark Stripes Violet,Violet,Fuzz Aquamarine,None,None,None,None,15.25382649538912,63
64,Biohazard Aquamarine,Champagne,Black,High Voltage Cantaloupe,Poly Violet,Aquamarine,Stripes Aquamarine,None,X Violet,Earphones Aquamarine,None,70.49516245374177,64
65,WAGMI Aquamarine,Limeade,White,Flammable Aquamarine,Bolts Violet,Refresher,Stripes Violet,None,None,None,None,24.299823776575693,65
66,Caution Crimson,Sparkling Water,Tied Black,Biohazard White,Light Stripes Cantaloupe,Acid Crimson,Strobes Toxic,None,X Toxic,Earphones Toxic,None,80.02334637763163,66
67,Flammable Crimson,Cabernet Sauvignon,Tied Black,High Voltage Crimson,Light Stripes Crimson,White,Grid Toxic,None,None,None,None,31.98023742838802,67
68,Radioactive Aquamarine,Orange Soda,Tied White,Caution Cantaloupe,Strawberry Laces,Cantaloupe,Grid Aquamarine,None,None,None,None,31.317904706183786,68
69,Clear,Purple Grape Juice,Tied White,None,Bolts Aquamarine,Spikes Cantaloupe,Stripes Violet,None,None,None,None,17.90593951738735,69
70,Caution Aquamarine,Rose Champagne,Black,Caution Aquamarine,Light Shoulders Crimson,White,Stripes Cantaloupe,None,None,None,None,22.169475493865047,70
71,Clear,Limeade,Black,gm Aquamarine,Plain Cantaloupe,Spikes Crimson,Grid Crimson,None,Saturn Shades,None,None,38.41392998844883,71
72,Clear,Really Toxic Shit,None,gm lux,Technicolour,Really Lit,All Sorts of Strobes,None,None,None,None,34.50529248063322,72
73,WAGMI Cantaloupe,Purple Grape Juice,White,Caution Crimson,Plain White,Aquamarine,Stripes Rainbow,None,None,Headphones Crimson,None,46.58042367357502,73
74,WAGMI Aquamarine,Sauvignon Blanc,Black,Radioactive Toxic,Dark Hatch Crimson,Violet,Black,None,Beady White,None,None,37.20280144576536,74
75,Caution Aquamarine,Watermelon Juice,White,69 Toxic,Dark Shoulders Cantaloupe,Aquamarine,Black,None,None,None,None,15.78913812316338,75
76,Flammable Toxic,Sparkling Water,White,High Voltage Crimson,Plain White,Spikes Violet,Crimson,None,None,rekt Beanie Aquamarine,None,49.92441543165078,76
77,WAGMI Aquamarine,Sauvignon Blanc,Black,High Voltage Aquamarine,Poly Crimson,Violet,Toxic,None,X Crimson,None,None,44.38560810437695,77
78,Radioactive Aquamarine,Sauvignon Blanc,White,None,Plain White,Diamond,Stripes Toxic,None,X White,None,None,38.08949835211967,78
79,Biohazard Violet,Rose Champagne,Black,Biohazard VIolet,Plain Cantaloupe,Violet,Stripes Aquamarine,None,None,None,None,22.434418612404787,79
80,Clear,Lemonade,White,None,Poly Cantaloupe,Acid Cantaloupe,Strobes Aquamarine,None,None,None,None,10.111630046434955,80
81,WAGMI Violet,Blood,Black,gm White,Poly Toxic,Glow Cantaloupe,Stripes Cantaloupe,None,None,None,None,25.786748912495238,81
82,Biohazard Violet,Watermelon Juice,White,gm Black,Bolts Aquamarine,Silver,Stripes Aquamarine,None,None,None,None,25.16223241205996,82
83,Clear,Really Toxic Waste,Black,Biohazard Aquamarine,Dark Stripes Aquamarine,White,Accents Violet,None,Saturn Shades,None,None,40.34412885256785,83
84,Biohazard Cantaloupe,Lemonade,Black,gm Cantaloupe,Poly Grey,Spikes Crimson,Black,None,None,None,None,17.000334754849202,84
85,Hopium Cantaloupe,Lemonade,White,Radioactive White,Plain White,Glow Violet,Black,None,None,None,None,17.143605472016716,85
86,Caution Aquamarine,Rosé,White,None,Plain Crimson,Spikes Violet,Fuzz Aquamarine,None,X Toxic,None,None,39.41144434264705,86
87,Radioactive Aquamarine,Limeade,Black,None,Plain Aquamarine,Aquamarine,Black,None,None,rekt Beanie Cantaloupe,None,32.939287859637346,87
88,Radioactive Violet,Water,White,None,Plain Black,Acid Crimson,Violet,None,None,SnapBack Violet,None,41.4198087865302,88
89,Flammable Crimson,Blood,Tied White,gm Black,Bolts Violet,Aquamarine,Stripes Violet,None,None,None,None,31.317899052889675,89
90,Clear,Orange Soda,Black,Caution Toxic,Light Shoulders Aquamarine,Crimson,Strobes Crimson,None,None,Headphones Violet,None,42.693097368663764,90
91,Hopium Crimson,Rose Champagne,Black,gm Aquamarine,Plain Black,Aquamarine,Black,None,None,None,None,14.734744574113009,91
92,Clear,Water,Tied Black,Biohazard Crimson,Poly Aquamarine,Cantaloupe,Stripes Crimson,None,None,None,None,23.534638504449575,92
93,Caution Aquamarine,Purple Grape Juice,White,None,Poly Violet,Acid Aquamarine,Grid Toxic,None,None,None,None,16.702947713802242,93
94,Caution Violet,Cola,White,None,Plain Cantaloupe,White,Black,None,None,None,None,8.046073253701493,94
95,Caution Cantaloupe,Sauvignon Blanc,Black,Caution Aquamarine,Plain White,Shiny Cantaloupe,Black,None,None,None,None,16.605637320949754,95
96,Clear,Sauvignon Blanc,Black,Biohazard Cantaloupe,Light Shoulders Crimson,Crimson,Fuzz Aquamarine,None,None,Earphones Crimson,None,41.130548396534095,96
97,Biohazard Toxic,Rose Champagne,White,None,Plain Cantaloupe,Shiny Toxic,Accents Crimson,None,None,None,None,18.254788240305235,97
98,Caution Crimson,Cola,White,None,Dark Hatch Violet,Acid Cantaloupe,Bolts Aquamarine,None,None,None,None,17.96822198405714,98
99,Flammable Aquamarine,Sparkling Water,Black,Caution Crimson,Bolts Aquamarine,White,Stripes Violet,None,None,None,None,20.18239473301965,99
100,WAGMI Violet,Cola,White,None,Dark Hatch Violet,Toxic,Stripes Aquamarine,None,X Crimson,None,None,39.470914427312806,100
101,Clear,Rosé,Tied White,Flammable Violet,Light Hatch Cantaloupe,Shiny Violet,Black,None,None,None,None,21.393507297376644,101
102,Biohazard Aquamarine,Limeade,White,69 Toxic,Plain White,White,Accents Aquamarine,None,None,SnapBack Aquamarine,None,48.31596045839408,102
103,Paper Bag Cantaloupe,Cabernet Sauvignon,White,Caution Crimson,Bolts Violet,Acid Aquamarine,Grid Crimson,None,None,None,None,25.48395000312109,103
104,Caution Violet,Toxic Waste,White,gm Violet,Light Shoulders Aquamarine,Violet,Fuzz Violet,None,Beady Aquamarine,None,None,45.299305850505945,104
105,WAGMI Cantaloupe,Sparkling Water,White,None,Plain Black,Toxic,Fuzz Crimson,None,None,None,None,14.71039927738208,105
106,Biohazard Aquamarine,Rose Champagne,Tied Black,None,Light Shoulders Violet,Spikes Aquamarine,Grid Violet,None,None,None,None,27.638528036906933,106
107,Radioactive Aquamarine,Lemonade,Black,None,Light Hatch Aquamarine,White,Stripes Rainbow,None,None,None,None,14.902384186737052,107
108,Caution Crimson,Cola,Tied Black,69 Aquamarine,Plain Black,Silver,Grid Crimson,None,None,None,None,32.972392514587455,108
109,WAGMI Toxic,Rose Champagne,Black,None,Dark Hatch Crimson,Aquamarine,Accents Toxic,None,X Cantaloupe,None,None,38.53824564464814,109
110,Clear,Purple Grape Juice,White,None,Dark Shoulders Cantaloupe,Acid Toxic,Candles Inverted,None,None,SnapBack Cantaloupe,None,36.44833669525626,110
111,Caution Aquamarine,Lemonade,White,None,Dark Shoulders Cantaloupe,Acid Crimson,Strobes Cantaloupe,None,Rekt,None,None,38.23819199806942,111
112,Radioactive Cantaloupe,Limeade,Tied White,None,Plain Cantaloupe,Violet,Black,None,None,None,None,16.813704435002425,112
113,Biohazard Aquamarine,Cola,Black,gm Cantaloupe,Light Shoulders Crimson,Aquamarine,Stripes Cantaloupe,None,None,SnapBack Violet,None,47.36439069566413,113
114,Radioactive Violet,Blood,Tied Black,Radioactive Aquamarine,Dark Shoulders Aquamarine,Spikes Aquamarine,Stripes Aquamarine,None,None,SnapBack Violet,None,60.29662484668834,114
115,Caution Cantaloupe,Watermelon Juice,Black,Radioactive Black,Light Hatch Crimson,White,Black,None,None,None,None,16.605617160247128,115
116,Radioactive Cantaloupe,Water,Black,Flammable Crimson,Poly Toxic,Spikes Violet,Black,None,None,None,None,17.451815267290932,116
117,Flammable Crimson,Cola,Black,None,Light Stripes Violet,Acid Violet,Accents Crimson,None,X White,None,None,39.730413226137465,117
118,Biohazard Crimson,Rosé,White,None,Light Stripes Violet,White,Strobes Violet,None,None,None,None,16.511015167645603,118
119,WAGMI Aquamarine,Sparkling Water,Black,Radioactive Aquamarine,Plain Crimson,Toxic,Strobes Cantaloupe,None,None,None,None,22.645309414686686,119
120,Clear,Cabernet Sauvignon,White,Biohazard Cantaloupe,Plain Cantaloupe,Aquamarine,Black,None,Beady Toxic,None,None,30.487519908867256,120
121,WAGMI Violet,Limeade,Black,None,Plain Black,Refresher,Stripes Crimson,None,Sun Eyes,None,None,39.14110656135999,121
122,Clear,Water,White,None,Bolts Violet,Cantaloupe,Black,None,None,None,None,1.0003515605839173,122
123,WAGMI Aquamarine,Orange Soda,Tied White,gm White,Plain Cantaloupe,Spikes Crimson,Bolts Toxic,None,None,None,None,32.93995743762718,123
124,Clear,Lemonade,White,69 Aquamarine,Plain Crimson,Cantaloupe,Black,None,None,None,None,7.08084352839823,124
125,Flammable Aquamarine,Toxic Waste,Black,Radioactive Violet,Dark Shoulders Aquamarine,Spikes Cantaloupe,Grid Cantaloupe,None,None,None,None,25.097381920476803,125
126,Clear,Milk,Black,gm Toxic,Dark Shoulders Toxic,Silver,Grid Aquamarine,Sharp Crimson,None,None,None,48.92947503272321,126
127,Clear,Sparkling Water,Black,None,Plain Black,Acid Violet,Strobes Violet,None,Nounish,None,None,30.814643957246535,127
128,Copium,Sparkling Water,White,None,Dark Stripes Aquamarine,White,Grid Cantaloupe,None,X Cantaloupe,Earphones Aquamarine,None,63.43729994257785,128
129,WAGMI Crimson,Sauvignon Blanc,Black,None,Plain Violet,Wired,Fuzz Crimson,None,None,Conical Cantaloupe,Black N Yellow,72.42738648227215,129
130,Flammable Toxic,Limeade,Black,rekt Violet,Light Hatch Aquamarine,Cantaloupe,Fuzz Aquamarine,None,None,None,None,22.650709485321006,130
131,Biohazard Crimson,Toxic Waste,Tied Black,None,Poly Crimson,Aquamarine,Hatch Rainbow,None,None,None,None,25.473044648417055,131
132,Clear,Purple Grape Juice,Black,High Voltage Violet,Dark Hatch Aquamarine,Toxic Waste,Violet,None,None,None,None,18.11421067627376,132
133,Flammable Crimson,Orange Soda,Black,rekt Cantaloupe,Bolts Crimson,Shiny Aquamarine,Stripes Cantaloupe,None,Beady White,None,None,47.543046734905296,133
134,Clear,Sparkling Water,White,Caution Cantaloupe,Dark Stripes Violet,Violet,Black,None,None,None,None,8.581404053870207,134
135,Clear,Cola,Black,Caution Toxic,Plain Cantaloupe,Cantaloupe,Strobes Crimson,None,None,None,None,14.637424103958645,135
136,Biohazard Violet,Sauvignon Blanc,Black,gm Black,Light Shoulders Aquamarine,Silver,Black,None,None,Earphones Violet,None,43.320268923724555,136
137,WAGMI Violet,Champagne,White,Caution Toxic,Robotic Violet,Cantaloupe,Black,None,None,SnapBack Aquamarine,None,42.357876900703616,137
138,Radioactive Aquamarine,Purple Grape Juice,Tied Black,gm Black,Dark Shoulders Crimson,Spikes Violet,Fuzz Crimson,None,None,None,None,31.901830229419847,138
139,Caution Aquamarine,Orange Soda,Tied White,High Voltage Cantaloupe,Light Hatch Crimson,Spikes Cantaloupe,Black,None,None,None,None,26.616636433898982,139
140,None,Serum,White,Flammable Cantaloupe,Light Stripes Crimson,Glow Cantaloupe,Fuzz Crimson,None,None,None,None,26.895148065648446,140
141,Radioactive Cantaloupe,Orange Soda,Tied White,69 Violet,Dark Shoulders Aquamarine,Barbed Hash,Fuzz Cantaloupe,None,X Crimson,None,None,56.47991729010231,141
142,Caution Crimson,Really Toxic Waste,Black,Biohazard Aquamarine,Dark Hatch Toxic,Aquamarine,Stripes Violet,None,X Toxic,None,None,45.6777794771167,142
143,Radioactive Violet,Rose Champagne,Tied White,Caution Crimson,Light Stripes Crimson,Spikes Cantaloupe,Cantaloupe,None,None,None,None,33.54280925852039,143
144,Biohazard Crimson,Cabernet Sauvignon,Black,Flammable Crimson,Plain Violet,Spikes Violet,Toxic,None,Beady Crimson,None,None,47.721468293457825,144
145,Caution Violet,Cabernet Sauvignon,Black,Flammable Cantaloupe,Poly Toxic,White,Stripes Toxic,None,None,None,None,22.88590232022139,145
146,Radioactive Toxic,Toxic Waste,Tied White,Flammable Violet,Plain Cantaloupe,White,Stripes Cantaloupe,None,None,None,None,31.22327148799564,146
147,WAGMI Aquamarine,Orange Soda,Black,Flammable Cantaloupe,Dark Stripes Crimson,Shiny Aquamarine,Grid Toxic,None,None,None,None,25.67321668250851,147
148,Hopium Toxic,Blood,White,None,Bolts Cantaloupe,Toxic,Stripes Cantaloupe,None,None,None,None,18.4278261992519,148
149,Caution Violet,Sparkling Water,Black,gm Aquamarine,Light Shoulders Aquamarine,Spikes Crimson,Bolts Aquamarine,None,None,None,None,23.761858082048455,149
150,Caution Cantaloupe,Limeade,White,None,Bolts Aquamarine,Violet,Stripes Violet,None,None,None,None,14.626619790115628,150
151,Radioactive Cantaloupe,Toxic Waste,Black,gm Violet,Plain Cantaloupe,Acid Aquamarine,Grid Crimson,None,None,None,None,23.696953514209145,151
152,WAGMI Crimson,Watermelon Juice,Black,Radioactive White,Bolts Cantaloupe,Aquamarine,Violet,None,None,None,None,23.20762236920176,152
153,Flammable Cantaloupe,Limeade,Black,None,Dark Stripes Aquamarine,Glow White,Stripes Crimson,None,X Violet,None,None,39.54390410117462,153
154,WAGMI Violet,Rose Champagne,White,CrypToadz Black,Bolts Cantaloupe,Toxic,Black,Sharp Crimson,X Crimson,None,None,67.85944532743082,154
155,Clear,Purple Grape Juice,White,Flammable Crimson,Light Stripes Cantaloupe,Violet,Strobes Aquamarine,None,None,None,None,15.372773546647627,155
156,Caution Aquamarine,Cabernet Sauvignon,White,Radioactive Black,Bolts Cantaloupe,White,Black,None,None,None,None,15.948641492513072,156
157,Clear,Rosé,Tied Black,None,Dark Stripes Aquamarine,Spikes Crimson,Black,None,Saturn Shades,None,None,35.71317356964128,157
158,WAGMI Crimson,Rose Champagne,Black,gm Cantaloupe,Plain Violet,Violet,Fuzz Crimson,None,None,None,None,22.577694980107392,158
159,Caution Crimson,Orange Soda,Tied White,gm Toxic,Poly Violet,Spikes Crimson,Fuzz Crimson,None,3D Glasses,None,None,55.590554764055824,159
160,Radioactive Aquamarine,Toxic Waste,Black,None,Plain Black,Shiny Cantaloupe,Aquamarine,None,None,None,None,17.941175911395067,160
161,Flammable Violet,Rose Champagne,White,Caution Crimson,Light Shoulders Cantaloupe,Cantaloupe,Black,None,X Cantaloupe,None,None,37.419052255462034,161
162,Caution Cantaloupe,Lemonade,Tied Black,Radioactive Crimson,Dark Shoulders Aquamarine,Violet,Fuzz Violet,None,Rose Tinted Glasses,None,None,52.349355075464,162
163,Clear,Watermelon Juice,Black,Caution Aquamarine,Poly Grey,White,Black,None,None,None,None,10.30090311802423,163
164,Biohazard Aquamarine,Sparkling Water,Black,gm Crimson,Plain Violet,Toxic,Stripes Rainbow,None,None,None,None,22.550678901277006,164
165,Caution Cantaloupe,Cabernet Sauvignon,Tied Black,None,Plain Cantaloupe,Acid Toxic,Stripes Toxic,None,None,None,None,25.048584886180947,165
166,Clear,Orange Soda,White,gm Toxic,Plain White,Toxic,Strobes Crimson,None,None,None,None,17.040866988192533,166
167,Biohazard Toxic,Purple Grape Juice,Black,69 Aquamarine,Bolts Aquamarine,Violet,Strobes Toxic,None,X Toxic,None,None,44.23690217035574,167
168,Clear,Sauvignon Blanc,Black,Flammable Aquamarine,Robotic Aquamarine,Violet,Strobes Toxic,None,None,None,None,15.902713863686152,168
169,Clear,Watermelon Juice,White,gm Aquamarine,Strawberry Laces,Acid Crimson,Fuzz Aquamarine,None,None,None,None,18.38454649060102,169
170,WAGMI Toxic,Lemonade,White,rekt Cantaloupe,Light Stripes Crimson,Aquamarine,Fuzz Crimson,None,X Violet,None,None,43.41778602625614,170
171,Radioactive Crimson,Blood,Black,None,Plain Violet,White,Black,None,None,None,None,9.87371456068129,171
172,Flammable Aquamarine,Water,White,None,Plain Aquamarine,Violet,Grid Toxic,None,None,None,None,14.018277433902401,172
173,Flammable Aquamarine,Watermelon Juice,Black,High Voltage Crimson,Dark Shoulders Aquamarine,Toxic Waste,Strobes Violet,None,X Toxic,Headphones Toxic,None,72.94956703334688,173
174,WAGMI Cantaloupe,Cola,Black,None,Plain Black,Barbed Hash,Stripes Aquamarine,None,None,None,None,17.24636017797717,174
175,Hopium Crimson,Sauvignon Blanc,White,Caution Toxic,Plain Toxic,Cantaloupe,Fuzz Crimson,None,None,None,None,21.082628439595304,175
176,Biohazard Cantaloupe,Lemonade,Black,Radioactive Black,Bolts Crimson,White,Black,None,X Crimson,None,None,37.010826373097125,176
177,Radioactive Cantaloupe,Water,Tied White,None,Light Shoulders Toxic,Spikes Cantaloupe,Stripes Aquamarine,None,None,None,None,25.386546442256563,177
178,Caution Aquamarine,Limeade,White,Caution Crimson,Light Stripes Cantaloupe,Crimson,Fuzz Crimson,None,None,rekt SnapBack Violet,None,47.71853058000788,178
179,Flammable Crimson,Sparkling Water,Black,None,Robotic Violet,White,Accents Violet,None,X Aquamarine,None,None,37.221698493363164,179
180,Clear,Sparkling Water,White,gm White,Plain Crimson,Violet,Black,None,None,None,None,7.486433043816729,180
181,Radioactive Crimson,Toxic Waste,Black,Radioactive Cantaloupe,Light Stripes Crimson,Spikes Violet,Black,None,X Aquamarine,None,None,40.1332405084956,181
182,Clear,Purple Grape Juice,Black,None,Light Stripes Aquamarine,Spikes Aquamarine,Accents Toxic,None,None,None,None,11.336374546856398,182
183,Radioactive Crimson,Sauvignon Blanc,Tied Black,Radioactive White,Plain Black,Acid Toxic,Accents Toxic,None,Beady Toxic,None,None,53.609065562909976,183
184,WAGMI Cantaloupe,Watermelon Juice,White,69 Crimson,Plain Crimson,Violet,Accents Violet,None,X Aquamarine,SnapBack Cantaloupe,None,70.56814721336244,184
185,Clear,Blood,White,69 Toxic,Bolts Cantaloupe,Aquamarine,Violet,None,None,None,None,17.27609276522243,185
186,Radioactive Violet,Sauvignon Blanc,Black,Radioactive White,Plain Crimson,White,Fuzz Violet,None,Rekt,None,None,43.13663778208054,186
187,Biohazard Violet,Cola,Black,Radioactive Toxic,Poly Toxic,Cantaloupe,Black,None,None,None,None,16.086531310279028,187
