,Bottle,Liquid,Tassels,Logo,Hoody,Outline,Background,Teeth,Eyes,Headgear,Mask,Rarity score,Token Id
6119,Flammable Violet,Sauvignon Blanc,White,Flammable Cantaloupe,Plain Violet,White,Black,None,None,None,None,14.499526173890256,6119
6120,Biohazard Cantaloupe,Rosé,White,High Voltage Violet,Plain White,Glow White,Black,None,Beady Aquamarine,None,None,40.5549513231993,6120
6121,Flammable Aquamarine,Water,Black,Radioactive Cantaloupe,Plain Aquamarine,Toxic,Black,None,None,None,None,15.056461920347877,6121
6122,Radioactive Crimson,Sparkling Water,White,Flammable Toxic,Plain White,White,Accents Cantaloupe,None,None,None,None,21.50709828225533,6122
6123,Caution Cantaloupe,Lemonade,Black,High Voltage Crimson,Bolts Crimson,White,Accents Aquamarine,None,None,None,None,21.799096808366198,6123
6124,WAGMI Violet,Watermelon Juice,White,gm Cantaloupe,Poly Cantaloupe,Cantaloupe,Strobes Toxic,None,3D Glasses,Earphones Toxic,None,70.6897802896242,6124
6125,Caution Toxic,Champagne,Black,Radioactive Toxic,Poly Violet,Glow White,Stripes Aquamarine,None,X Toxic,None,None,47.637662254739,6125
6126,Clear,Cola,White,69 Cantaloupe,Plain White,Toxic,Fuzz Cantaloupe,None,None,None,None,17.3923358461188,6126
6127,Hopium Aquamarine,Champagne,White,gm Black,Light Hatch Cantaloupe,White,Black,None,None,None,None,16.429880153529123,6127
6128,WAGMI Crimson,Lemonade,Black,Flammable Cantaloupe,Dark Shoulders Violet,Glow Aquamarine,Fuzz Violet,None,None,None,None,23.856454918704607,6128
6129,Flammable Violet,Sparkling Water,Black,gm Black,Poly Violet,Toxic Waste,Black,None,None,None,None,17.04362429829907,6129
6130,Clear,Water,Black,gm Violet,Bolts Aquamarine,Aquamarine,Black,Gold Grills,None,None,None,35.69119500830197,6130
6131,Flammable Cantaloupe,Rose Champagne,White,None,Cyberskelly Crimson,White,Black,None,None,None,None,9.789928926910513,6131
6132,Biohazard Violet,Sparkling Water,White,Flammable Cantaloupe,Light Hatch Crimson,Acid Violet,Fuzz Crimson,None,None,None,None,23.36169863276589,6132
6133,Radioactive Crimson,Blood,White,gm Toxic,Plain Aquamarine,Acid Toxic,Stripes Cantaloupe,None,None,None,None,24.088936658885565,6133
6134,Clear,Passion Fruit Juice,White,gm White,Bolts Violet,Violet,Accents Aquamarine,None,None,None,None,17.368013901980298,6134
6135,Clear,Water,Black,69 Crimson,Dark Hatch Cantaloupe,Cantaloupe,Grid Crimson,None,None,None,None,15.053778356531112,6135
6136,Flammable Violet,Cabernet Sauvignon,Black,gm Crimson,Bolts Crimson,White,Stripes Aquamarine,None,None,None,None,22.664210149707888,6136
6137,Caution Cantaloupe,Limeade,White,gm Aquamarine,Plain Black,Crimson,Strobes Toxic,None,None,None,None,21.21780888099987,6137
6138,Clear,Limeade,Black,Flammable Cantaloupe,Dark Hatch Cantaloupe,Cantaloupe,Bolts Aquamarine,None,None,None,None,15.883788299926952,6138
6139,Radioactive Aquamarine,Lemonade,Black,Caution Toxic,Gold,Toxic,Strobes Violet,None,Blue Beams,None,None,45.06411497987895,6139
6140,Radioactive Crimson,Cabernet Sauvignon,Black,None,Light Shoulders Toxic,Spikes Aquamarine,Grid Violet,None,None,Headphones Aquamarine,None,44.317787701712724,6140
6141,WAGMI Cantaloupe,Purple Grape Juice,White,gm White,Dark Shoulders Cantaloupe,Crimson,Black,None,None,None,None,14.610355422476474,6141
6142,Flammable Aquamarine,Purple Grape Juice,White,Caution Cantaloupe,Light Stripes Crimson,Spikes Crimson,Grid Crimson,None,None,SnapBack Aquamarine,None,48.632231523544704,6142
6143,Radioactive Aquamarine,Purple Grape Juice,Black,mfer,Plain Violet,Acid Aquamarine,Stripes Violet,None,None,None,None,22.78045003515678,6143
6144,Flammable Aquamarine,Champagne,Black,None,Plain Toxic,Aquamarine,Black,None,Beady Aquamarine,None,None,30.619987779697244,6144
6145,Biohazard Cantaloupe,Lemonade,Tied Black,Caution Aquamarine,Dark Shoulders Crimson,Aquamarine,Bolts Toxic,None,Beady Aquamarine,None,None,52.671038992893635,6145
6146,Hopium Aquamarine,Lemonade,White,gm Cantaloupe,Dark Shoulders Violet,Cantaloupe,Stripes Crimson,None,None,None,None,20.485150628770857,6146
6147,Flammable Cantaloupe,Sauvignon Blanc,Black,None,Dark Shoulders Aquamarine,Cantaloupe,Black,None,Big Shades,None,None,29.387218643599066,6147
6148,Flammable Crimson,Sauvignon Blanc,Black,rekt Violet,Plain Aquamarine,Spikes Cantaloupe,Fuzz Aquamarine,None,None,None,None,22.585809343377207,6148
6149,Radioactive Crimson,Rosé,White,None,Bolts Cantaloupe,Violet,Stripes Crimson,None,Blue Beams,rekt SnapBack Violet,None,64.39963223742802,6149
6150,Flammable Toxic,Orange Soda,White,gm Aquamarine,Plain White,Acid Aquamarine,Stripes Cantaloupe,None,None,Headphones Crimson,None,49.69191845190588,6150
6151,Radioactive Aquamarine,Limeade,Black,Victory,Light Hatch Cantaloupe,Glow Toxic,Grid Crimson,None,None,None,None,25.162266334365814,6151
6152,Caution Cantaloupe,Sauvignon Blanc,White,None,Dark Hatch Violet,Lit,Black,None,None,None,None,10.568557829576005,6152
6153,WAGMI Cantaloupe,Cola,Black,gm Black,Bolts Aquamarine,Crimson,Bolts Aquamarine,None,Beady Aquamarine,None,None,44.74782523539888,6153
6154,Biohazard Crimson,Sauvignon Blanc,Tied White,gm Toxic,Robotic Crimson,Aquamarine,Black,None,X Toxic,None,None,45.65873691297487,6154
