,Zipper,Sweatshirt,Neck,Hood,Head,Eyelets,Element,Drawstring,Background,Mask,Tie,Shirt,Lapels,Jacket,New Dawn,Pin,Raised Hood,Vest,Button,Masked Head,Parka,Parka Hood,Zero Hour,Clothing,Type,Rarity score,Token Id
1897,Lunar Cross,Scratched Purple Haze,Golden Midnight,Hollow Lunar Trinity,Amethyst Mute Nexus,Bone White,Golden Epiphany,Midnight Black,Lunar Existence,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,46.2616046555098,1898
1898,Blood Red,Golden Diamond XL,Midnight Transparency,Lunar Tiger,Moonlight Divinity,Pagan Dust,Copper Epiphany,Pale Green Imprint,Deep Earth,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,43.436127802257836,1899
1899,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,1900
1900,None,None,Moonlight Cross,None,Lunar Cross,None,Golden Oracle,None,Lunar Mist,Golden Clockwork Eminence,Golden Silence,Lunar Diamond,Copper Tiger,Copper Tiger,None,Psychedelics Anonymous XL,None,None,None,None,None,None,1/1,None,None,82.98676651838694,1901
1901,None,None,Pagan Mycelium,None,None,None,Fallen Lunar,None,Clockwork Connection,Golden Triad,Pagan Earth Primal Liquid,Lunar Grey Matrix XL,Blood Red Primal Liquid,Lunar Faction,None,None,None,None,None,Midnight Tiger,None,None,None,None,None,60.87276794972597,1902
1902,Pink Horizon,Lunar Trinity XL,Cerulean Cross,Hollow Lunar Trinity,Amethyst Mute Tiger,Celestial Red,Lunar Fall,Hollow Copper Trinity,Midnight Machine,Argon Neon Array,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,55.951985435502635,1903
1903,Forest Green,Scratched Bone White,Pagan Nexus,Bone White Ink,Serpent Tiger,Golden Halo,None,Midnight Black,Crimson Destiny,Lunar Trinity,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,48.4133284645604,1904
1904,None,None,Blood Red Tiger,None,Inked Serpent,None,None,None,Hazed Horizon,None,Pagan Earth Cross,Bone White,Midnight Cross,Dark Silver,None,None,None,None,None,None,None,None,None,None,None,31.33644839787046,1905
1905,None,None,Psilocybin Neon Cross,None,Crimson Transparency,None,Lunar Epiphany,None,Deep Earth,Celestial Spicule,Lunar Grey Mycelium,Argon Pink Connection,Lunar Faction,Bone Dust,None,None,None,None,None,None,None,None,None,None,None,43.09660315401393,1906
1906,Blood Red,Pale Pink Ink,Midnight,Lunar Grey Ashes,Midnight Divinity,Golden Silence,Copper Epiphany,Phoenix Sun,Midnight Clockwork,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,45.18192111340673,1907
1907,Bone White,Psilocybin Blue Splatter,Liquid Nexus,Psilocybin Blue Splatter,Liquid Nexus,Celestial Purple,None,Infinite Ice Imprint,Zero Hour Unity,Cerulean Assembly,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,48.389657640762564,1908
1908,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,1909
1909,Copper Quietude,Bone White Ashes,Pagan Nexus,Lunar Trinity,None,Celestial Purple,Fallen Gold,Purple Haze Complexion,Midnight Paradigm Shift,Lunar Sovereign,None,None,None,None,None,None,None,None,None,Crystal Orchid Tiger,None,None,None,None,None,69.3600801822391,1910
1910,None,None,Bone White,None,Shared Smile,None,Lunar Absolution,None,Hazed Horizon,None,Pale Green Primal Liquid,Bone White,Silver Moonlight,Golden Diamond Mesh,None,None,None,None,None,None,None,None,None,None,None,36.44012897488141,1911
1911,Silver Serenade,Primal Argon Pink,Serpent Nexus,Copper Parallel,Pagan Mycelium,Midnight Black,Golden Absolution,Aurora Reverie,Deep Earth,Sublunar Triarchy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,52.187494896998274,1912
1912,Lunar Diamond,Bone White Nightfall,Bone White,Scratched Neon Green,Midnight Tiger,Celestial Argon,None,Neon Green Complexion,Deep Earth,Machine Array,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,44.5830314034775,1913
1913,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,1914
1914,None,None,Blood Red Mycelium,None,Pagan Cross,None,None,None,Deep Earth,None,Midnight Mycelium,Pagan Earth Connection XL,Copper Tiger Bone,Lunar Parallel,None,None,None,None,None,None,None,None,None,None,None,28.680236342235503,1915
1915,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,1916
1916,Silver Serenade,Bone White Rain,Serpent Tiger,Argon Pink Ink,Midnight Amethyst Mycelium,Celestial Argon,Copper Epiphany,Bone White Imprint,Deep Earth,Laced Lunar,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,51.05861757405749,1917
1917,Bone White,Primal Bone White,Mute Serpent Cross,Argon Pink Ink,Midnight Tiger,Celestial Purple,None,Muted Mint Imprint,Midnight Factions,Lunar Triad,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,48.912107562841605,1918
1918,None,None,Pagan Cross,None,Midnight Divinity,None,None,None,Jaded Existence,None,Pagan Earth Mycelium,Psilocybin Blue Matrix XL,Lunar Grey Primal Liquid,Crystal Orchid Primal Liquid,None,None,None,None,None,None,None,None,None,None,None,31.82640502191809,1919
1919,Bone White,Lunar Grey Nightfall,Pagan Cross,Golden Tiger,Midnight Amethyst Mycelium,Golden Halo,Lunar Fall,Lunar Dust,Zero Hour Unity,Lunar Triad,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,54.76689592405706,1920
1920,None,None,Serpent Nexus,None,Cerulean Nexus,None,Solitary Lunar Dissolution,None,Deep Earth,Lunar Triad,Purple Haze Mycelium,Bone White,Lunar Tiger,Psilocybin Blue Primal Liquid,None,None,None,None,None,None,None,None,None,None,None,43.243910897914475,1921
1921,None,None,Midnight,None,None,None,Fallen Gold Reflected,None,Midnight Factions,Celestial Red Antlers,Pagan Earth Cross,Copper Life,Lunar Parallel,Argon Pink Mycelium,None,None,None,None,None,Pagan Tiger,None,None,None,None,None,60.85648425063762,1922
1922,None,None,Midnight,None,Midnight Tiger,None,Lunar Collapse,None,Jaded Existence,Argon Neon Defiance,Blood Red Mycelium,Midnight Black,Lunar Grey Cross,Dark Scratched Copper,None,None,None,None,None,None,None,None,None,None,None,44.62932055658568,1923
1923,Psychedelic Skull,Lunar Trinity XL,Midnight Sky,Blood Red Ink,Pagan Nexus,Golden Silence,Fallen Gold,Muted Mint Imprint,Midnight,Cerulean Thorns,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,54.209952615717924,1924
1924,Midnight Black,Lunar Trinity XL,Liquid Nexus,Lunar Grey Ashes,Argon Neon Cross,Celestial Red,None,Pagan Earth Imprint,Hazed Horizon,Lunar Prophecy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,47.68133280267677,1925
1925,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,1926
