,Zipper,Sweatshirt,Neck,Hood,Head,Eyelets,Element,Drawstring,Background,Mask,Tie,Shirt,Lapels,Jacket,New Dawn,Pin,Raised Hood,Vest,Button,Masked Head,Parka,Parka Hood,Zero Hour,Clothing,Type,Rarity score,Token Id
0,Lunar Trinity,Bone White Ink,Midnight,Lunar Trinity,We Are The Night,Jade Destiny,Golden Epiphany,Copper Nexus,Midnight Clockwork,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,44.905239236115676,1
1,Golden Magic,Bone White Splatter XL,Bone White,Primal Bone White,Serpent Mycelium,Celestial Red,Lunar Lavation,Lunar Grey Complexion,Deep Earth,Lunar Sovereign,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,51.50842067062972,2
2,Copper Key,Dark Green Ashes,Psilocybin Distemper,Scratched Bone White,Midnight Amethyst Mycelium,Phoenix Sun,Lunar Epiphany,Lunar Grey Complexion,Deep Earth,Golden Triad,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,51.91271034926038,3
3,Copper Quietude,Neon Jungle Camo,Reptillian Tiger,Neon Jungle Camo,Reptillian Tiger,Celestial Red,Golden Atrophy,Acid Yellow Imprint,Midnight,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,45.97392400979125,4
4,Silver Key,Xenon,Serpent Tiger,Lunar Parallel,Serpent Mycelium,Midnight Black,Lunar Collapse,Acid Yellow Imprint,Midnight,Psychedelic Transmute,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,55.417033765129695,5
5,Pink Horizon,Scratched Copper,Pagan Transparency,Bone White Forest,Purple Haze Mute,Lunar Rising,Golden Atrophy,Acid Yellow Imprint,Midnight Solidarity,Acid Yellow Defiance,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,55.91928343540553,6
6,Blood Red,Lunar Tiger,Copper Nexus,Binary,Blood Red Mute,Golden Halo,Golden Epiphany,Psilocybin Blue Imprint,Deep Earth,Golden Triad,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,50.446960875132895,7
7,None,None,Serpent Nexus,None,Moonlight Divinity,None,None,None,Crimson Destiny,None,Dark Green Mycelium,Lunar Grey Matrix,Dark Silver,Golden Tiger Bone,None,None,None,None,None,None,None,None,None,None,None,31.866476305573887,8
8,None,None,Scratched Liquid,None,Midnight Amethyst Mycelium,None,None,None,Midnight Formation,None,Purple Haze Mycelium,Pagan Earth Matrix,Bone White,Lunar Parallel,None,None,None,None,None,None,None,None,None,None,None,31.61872679243003,9
9,None,None,Cerulean Cross,None,Cerulean Cross,None,Lunar Atrophy,None,Lunar Existence,Lunar Ascension,Purple Haze Mycelium,Bone Ashes,Liquid Hallucination,Liquid Hallucination,None,None,None,None,None,None,None,None,None,None,None,46.83058679006636,10
10,Midnight Black,Aurora,Midnight,Aurora,Midnight Leather,Midnight Black,None,The Dark Absolute,Midnight Genesis,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,40.317228023345486,11
11,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,12
12,None,None,Purple Neon Cross,None,Xenon Summation,None,None,None,Deep Earth,Serpent Halations,Midnight Black,Midnight Black,Midnight Black,Liquid Hallucination,None,None,None,None,None,None,None,None,None,None,None,34.7681821117928,13
13,Midnight Black,Primal Bone White,Midnight,Hollow Lunar Trinity,Pagan Tiger,Golden Halo,Lunar Lavation,Midnight Black,Lunar Existence,Golden Shatter Antlers,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,53.19384409047993,14
14,Lunar Trinity,Psilocybin Blue Splatter,Copper Nexus,Golden Parallel,Midnight Transparency,Golden Silence,Golden Epiphany,Acid Yellow Imprint,Crimson Destiny,Lunar Subversion,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,54.40288371816686,15
15,Golden Silence,Lunar Parallel,Bone White,Lunar Grey Forest,Argon Neon Cross,Lunar Rising,Copper Epiphany,Copper Diamond,Hazed Horizon,Crimson Skull XL,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,53.00480867114503,16
16,None,None,Copper Nexus,None,Psilocybin Neon Cross,None,Fallen Lunar Reflected,None,Deep Earth,Golden Transmute,Midnight Black,Pale Green Matrix,Lunar Grey Mycelium,Lunar Trinity,None,None,None,None,None,None,None,None,None,None,None,42.648389199041404,17
17,None,None,Midnight Cross,None,Purple Haze Mute,None,Golden Epiphany,None,Midnight,Formation Antagonist,Pale Green Mycelium,Bone White Matrix XL,Bone White,Lunar Life,None,Golden Magic,None,None,None,None,None,None,None,None,None,61.049227928433424,18
18,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,19
19,None,None,Bone White,None,Machine Sequence,None,Golden Epiphany,None,Zero Hour Unity,Golden Triad,Lunar Grey Primal Liquid,Purple Haze Connection XL,Midnight Cross,Copper Cross,None,None,None,None,None,None,None,None,None,None,None,44.3146025871909,20
20,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,21
21,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,22
22,Psilocybin Blue,Psilocybin Harmony,Cerulean Nexus,Psilocybin Harmony,Cerulean Distemper,Bone White,None,Psilocybin Blue Imprint,Midnight Formation,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,41.34960353846433,23
23,Pale Pink,Hollow Lunar Trinity,Bone White,Lunar Life,Blood Red Mycelium,Jade Destiny,Lunar Absolution,Lunar Dust,Midnight,Molecular Inflorescence,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,52.99930387591898,24
24,None,None,Pagan Mycelium,None,Blood Red Cross,None,Golden Absolution,None,The Gathering,None,Blood Red,Purple Haze Connection XL,Midnight Black,Dark Green Cross,None,None,None,None,None,None,None,None,None,None,None,37.248447086911284,25
25,None,None,Bone White,None,Midnight Grid Transparency,None,Fallen Gold,None,Deep Earth,Xenon Vision,Midnight Mycelium,Bone White Matrix,Bone White,Lunar Life,None,Copper Clockwork,None,None,None,None,None,None,None,None,None,58.302217269982734,26
26,Copper Clockwork,Dark Green Rain,Midnight Sky,Bone White Ink,Amethyst Mute,Lunar Rising,Fallen Gold Duality,Pale Green Imprint,The Gathering,Golden Triad,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,54.84535018893397,27
27,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,28
28,Blood Red,Dark Green Nightfall,Copper Nexus,Scratched Lunar Grey,Purple Haze Trinity,Celestial Purple,Golden Absolution,Phoenix Sun,Crimson Destiny,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,46.40354508048262,29
29,None,None,Serpent Nexus,None,Amethyst Mute,None,None,None,Deep Earth,Golden Telepathy,Psilocybin Blue Primal Liquid,Midnight Black,Crystal Orchid Cross,Bone White,None,None,None,None,None,None,None,None,None,None,None,36.0084742075761,30
30,None,None,Pagan Nexus,None,Pagan Cross,None,Golden Collapse,None,Deep Earth,Snow Camo Gas Mask,Psilocybin Blue Cross,Purple Haze Connection,Midnight Black,Crystal Orchid Primal Liquid,None,None,None,None,None,None,None,None,None,None,None,43.05634749381354,31
31,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,32
32,Copper Moon,Lunar Dichotomy,Liquid Nexus,Lunar Dichotomy,Liquid Nexus,Silver Serenade,None,Argon Pink Complexion,Jaded Existence,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,40.685112947650396,33
33,None,None,Golden Midnight,None,Moonlight Screenshot,None,Golden Atrophy,None,Hazed Horizon,None,Primal Liquid,Purple Haze Matrix XL,Lunar Grey Cross,Midnight Black,None,None,None,None,None,None,None,None,None,None,None,37.053516667523354,34
34,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,35
35,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,36
36,Golden Silence,Lunar Trinity XL,Argon Neon Cross,Bone White Splatter XL,Purple Haze Neon Nexus,Celestial Argon,None,Dark Green Complexion,Midnight Formation,Golden Succession,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,48.59717749785522,37
37,None,None,Copper Equilibrium,None,Copper Equilibrium,None,The Golden Orbs,None,The Obsidian Coils Of Eternity,Golden Vespiary,The Solar Continuum,Sacred Faction,Solar Ancestry,Solar Ancestry,None,The Golden Ouroboros,None,None,None,None,None,None,None,None,None,65.63320891893515,38
38,None,None,Midnight Amethyst Mycelium,None,Liquid Nexus,None,None,None,The Gathering,Lunar Transmute,Midnight Black,Golden Stardust,Bone White,Serpent Mycelia,None,None,None,None,None,None,None,None,None,None,None,38.693779283038644,39
39,None,None,Midnight,None,We Are The Night,None,Golden Atrophy,None,Midnight Formation,None,Scratched Copper,Bone White,Bone Dust,Midnight Black,None,None,None,None,None,None,None,None,None,None,None,34.91959996499073,40
40,Golden Silence,Xenon Blaze Symbiosis,Bone White,Xenon Blaze Symbiosis,Xenon Summation,Golden Halo,None,Lunar Dust,Golden Solidarity,Corrosion Gas Mask,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,48.73569749313477,41
41,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,42
42,Lunar Trinity,Bone White Forest,Midnight Amethyst Mycelium,Copper Cross Network,Argon Neon Cross,Celestial Red,Golden Absolution,Pale Pink Complexion,Psiloybin Sanctity,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,46.876942478326434,43
43,None,None,Bone White,None,Blood Red Mute,None,Copper Epiphany,None,The Gathering,Midnight Gold Horns,Scratched Bone White,Bone White Connection XL,Midnight Black,Midnight Black,None,None,None,None,None,None,None,None,None,None,None,42.57169496650123,44
44,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,45
45,Acid Yellow,Blood Red Splatter,Midnight,Neon Green Nightfall,Blood Red Cross,Celestial Argon,Golden Epiphany,Pale Green Imprint,Lunar Existence,Lunar Telepathy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,53.16136898856724,46
46,None,None,Liquid Nexus,None,Purple Haze Transparency,None,None,None,Hazed Horizon,Argon Neon Duality,Midnight Mycelium,Purple Haze Matrix,Lunar Grey Cross,Midnight Cross,None,None,None,None,None,None,None,None,None,None,None,40.001301842861,47
47,None,None,Midnight,None,Cerulean Cross,None,Golden Epiphany,None,Clockwork Connection,None,Primal Liquid,Psilocybin Blue Matrix XL,Pale Green Primal Liquid,Scratched Copper,None,None,None,None,None,None,None,None,None,None,None,36.95375394530953,48
48,None,None,Argon Neon Mycelium,None,Purple Haze Trinity,None,Fallen Lunar Duality,None,The Gathering,Lunar Vision,Midnight Black,Bone Dust,Lunar Grey Mycelium,Bone Dust,None,None,None,None,None,None,None,None,None,None,None,45.8051795321377,49
49,Crystal Skull,Aurora,Scratched Liquid,Aurora,Scratched Liquid,Psychedelic,Lunar Dissolution Trinity,Night Sky,Psiloybin Sanctity,Liquid Dream,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,58.12600351915683,50
50,Forest Green,Copper Trinity,Argon Neon Mycelium,Lunar Tiger,Mute Serpent Cross,Lunar Rising,Golden Fall,Pale Pink Complexion,Midnight Formation,Golden Defiance,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,55.689919268193634,51
51,None,None,Midnight Sky,None,We Are The Night,None,Fallen Lunar,None,Zero Hour Unity,None,Midnight Black,Lunar Faction,Blood Red Mycelium,Scratched Bone,None,None,None,None,None,None,None,None,None,None,None,36.15229811597535,52
52,Pink Horizon,Hollow Lunar Trinity,Bone White,Argon Pink Ink,Psilocybin Mute,Golden Silence,Lunar Collapse,Neon Green Complexion,Deep Earth,Formation Antagonist,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,50.78555187988925,53
53,None,None,Blood Red Mycelium,None,Purple Neon Cross,None,None,None,Deep Earth,Golden Defiance,Bone White,Bone White Matrix,Blood Red Mycelium,Copper Faction,None,None,None,None,None,None,None,None,None,None,None,37.26320616832712,54
54,None,None,Pagan Cross,None,Blood Red Tiger,None,Golden Epiphany,None,Midnight,Sublunar Triarchy,Midnight Black,Midnight Black,Psilocybin Blue Cross,Copper Trinity,None,None,None,None,None,None,None,None,None,None,None,43.18529990362752,55
55,None,None,Bone White,None,Serpent Trinity,None,Golden Collapse,None,Zero Hour Unity,None,Purple Haze Cross,Pagan Earth Matrix XL,Bone White,Midnight Black,None,None,None,None,None,None,None,None,None,None,None,35.833602033058376,56
56,None,None,Bone White,None,Inked Argon,None,None,None,Deep Earth,None,Midnight Mycelium,Pale Green Connection,Psilocybin Blue Primal Liquid,Crystal Orchid Cross,None,None,None,None,None,None,None,None,None,None,None,27.73709492552841,57
57,None,None,Cerulean Nexus,None,Psilocybin Mute,None,None,None,Moonlight Forest,None,Psilocybin Blue Cross,Argon Pink Matrix,Lunar Grey Cross,Midnight Black,None,None,None,None,None,None,None,None,None,None,None,30.546164890740503,58
58,Bone White,Lunar Trinity XL,Serpent Nexus,Psilocybin Blue Ink,Serpent Tiger,Midnight Black,Copper Epiphany,Pink Euphoria,Midnight,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,45.23120490268974,59
59,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,60
60,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,61
61,None,None,Pagan Nexus,None,Argon Neon Cross,None,Lunar Lavation,None,Jaded Existence,None,Midnight Cross,Argon Pink Matrix,Copper Trinity,Midnight Black,None,None,None,None,None,None,None,None,None,None,None,36.997088220023514,62
62,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,63
63,None,None,Bone White,None,Pagan Earth Mute,None,Golden Absolution,None,Midnight Formation,Cerulean Thorns,Midnight Cross,Crystal Orchid Matrix,Midnight Mycelium,Bone White,None,None,None,None,None,None,None,None,None,None,None,44.54737597425266,64
64,Golden Silence,Golden Cross XL,Scratched Liquid,Golden Diamond Mesh,Moonlight Trinity,Silver Serenade,Golden Fall,Purple Haze Complexion,Deep Earth,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,45.06378518938496,65
65,None,None,Amethyst Mute Nexus,None,Inked Cerulean,None,Lunar Absolution,None,Hazed Horizon,None,Midnight Black,Argon Pink Connection,Golden Parallel,Midnight Black,None,None,None,None,None,None,None,None,None,None,None,36.0901519981183,66
66,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,67
67,None,None,Psilocybin Distemper,None,Amethyst Mute,None,None,None,The Gathering,Golden Shatter Antlers,Midnight Mycelium,Bone White Connection XL,Lunar Grey Mycelium,Golden Life,None,None,None,None,None,None,None,None,None,None,None,40.21794155356857,68
68,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,69
69,Copper Key,Golden Parallel,Pagan Mycelium,Purple Haze Forest,Crimson Transparency,Celestial Red,None,Pink Euphoria,Midnight Factions,Golden Triad,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,49.438454686756245,70
70,Lunar Network,Lunar Trinity XL,Crimson Nexus,Lunar Trinity XL,Blood Red Mycelium,Golden Halo,Golden Epiphany,Dark Green Complexion,Jaded Existence,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,45.16372546556505,71
71,None,None,Argon Neon Tiger,None,We Are The Night,None,Golden Epiphany,None,Midnight,None,Argon Pink Mycelium,Lunar Grey Connection XL,Blood Red Mycelium,Midnight Black,None,None,None,None,None,None,None,None,None,None,None,35.43499486278331,72
72,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,73
73,None,None,Crimson Nexus,None,Moonlight Screenshot,None,Copper Epiphany,None,Deep Earth,None,Blood Red,Bone Ashes,Lunar Grey Mycelium,Crystal Orchid Cross,None,None,None,None,None,None,None,None,None,None,None,33.925902536554105,74
74,None,None,Argon Neon Mycelium,None,Machine Hologram,None,Copper Epiphany,None,Midnight Factions,Golden Argon Gas Mask,Pale Green Cross,Psilocybin Blue Connection,Lunar Grey Mycelium,Golden Diamond,None,None,None,None,None,None,None,None,None,None,None,46.55198687259877,75
75,Lunar Cross,Hollow Lunar Trinity,Purple Neon Cross,Primal Bone White,Blood Red Tiger,Midnight Black,None,Midnight Black,Jaded Existence,Holographic Skull,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,48.57359098848596,76
76,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,77
77,Lunar Trinity,Hollow Lunar Trinity,Midnight Sky,Copper Tiger,Moonlight Dream,Golden Halo,None,Blood Red Complexion,Deep Earth,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,36.743324856012514,78
78,None,None,Pagan Invocation,None,Pagan Mycelium,None,None,None,Deep Earth,Golden Emissary,Reptillian Periapt Chain,Bone White Connection,Dark Scratched Copper,Midnight Black,None,Psilocybin Light Disciple,None,None,None,None,None,None,None,None,None,53.192093905120906,79
79,Copper Quietude,Lunar Tiger,Pagan Cross,Bone White Nightfall,Amethyst Mute Tiger,Lunar Rising,Lunar Atrophy,Lunar Grey Complexion,Deep Earth,Midnight Silver Horns,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,51.71758249060549,80
80,None,None,Serpent Mycelium,None,We Are The Night,None,Golden Absolution,None,Moonlight Forest,None,Pagan Earth Cross,Bone White Connection,Lunar Parallel,Pagan Earth Primal Liquid,None,None,None,None,None,None,None,None,None,None,None,37.33232129318459,81
81,Silver Cerebrum,Lunar Surface,Machine,None,Machine Sequence,Lunar Mute,Lunar Fragmentation XL,Silver Moonlight,The Forest Exhalation,None,None,None,None,None,None,None,Lunar Surface,None,None,None,None,None,None,None,None,57.33861637775944,82
82,None,None,Midnight Sky,None,Moonlight Cross,None,Lunar Fall,None,Hazed Horizon,None,Celestial Psilocybin,Purple Haze Matrix XL,Psilocybin Tiger,Psilocybin Tiger,None,None,None,None,None,None,None,None,None,None,None,38.723461713178224,83
83,Copper Quietude,Lunar Grey Ashes,Argon Neon Mycelium,Lunar Grey Rain,Copper Nexus,Celestial Red,Fallen Lunar,Argon Pink Complexion,Deep Earth,Midnight Gas Mask,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,51.93974141982315,84
84,None,None,Argon Neon Mycelium,None,Argon Neon Cross,None,None,None,Psiloybin Sanctity,None,Lunar Grey Cross,Psilocybin Blue Connection,Lunar Surface,Lunar Grey Mycelium,None,None,None,None,None,None,None,None,None,None,None,32.0576165924767,85
85,Psilocybin Blue,Lunar Trinity,Pagan Nexus,Purple Haze Nightfall,Cerulean Cross,Golden Silence,None,Bone White Imprint,Midnight Formation,Golden Grin,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,48.54259455336772,86
86,Copper Clockwork,Lunar Grey Ashes,Cerulean Cross,Golden Diamond XL,Amethyst Mute,Celestial Argon,Lunar Epiphany,Midnight Black,Psiloybin Sanctity,Sublunar Triarchy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,54.513937267721516,87
87,Lunar Diamond,Golden Diamond XL,Bone White,Bone White Nightfall,Liquid Nexus,Golden Rose,Lunar Epiphany,Celestial Argon,Deep Earth,Lunar Triad,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,50.223202323546154,88
88,Pale Pink,Lunar Trinity XL,Bone White,Golden Tiger,Midnight Screenshot,Celestial Red,None,Pale Pink Complexion,Moonlight Forest,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,38.62764422528687,89
89,Lunar Trinity,Lunar Trinity,Midnight,Lunar Trinity XL,Psilocybin Neon Cross,Jade Destiny,Golden Epiphany,Crystal Orchid Imprint,Moonlight Forest,Lunar Telepathy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,52.50952082378295,90
90,Lunar Diamond,Lunar Parallel,Pagan Nexus,Golden Parallel,Pagan Trinity,Lunar Rising,Golden Absolution,Acid Yellow Imprint,Deep Earth,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,43.623611836619766,91
91,Acid Yellow,Primal Bone White,Argon Neon Tiger,Lunar Tiger,Candy Daydream,Celestial Purple,Copper Epiphany,Phoenix Sun,Midnight,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,45.249316999551404,92
92,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,93
93,Pale Pink,Bone White Forest,Serpent Nexus,Copper Trinity XL,Machine XL,Golden Rose,Golden Absolution,Midnight Black,Golden Genesis,Celestial Spicule,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,55.8702134422304,94
94,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,95
95,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,96
96,None,None,Midnight,None,Machine Cycle,None,None,None,Midnight Clockwork,None,Midnight Black,Bone White,Bone White,Bone White,None,Silver Clockwork,None,None,None,None,None,None,None,None,None,44.527399439709676,97
97,None,None,Serpent Tiger,None,Cerulean Cross,None,None,None,Psiloybin Sanctity,Lunar Transmission,Midnight Black,Lunar Trinity,Lunar Faction,Lunar Faction,None,None,None,None,None,None,None,None,None,None,None,39.148962059872346,98
98,Acid Yellow,Copper Trinity XL,Serpent Transparency,Primal Acid Yellow,Pagan Earth Mute,Midnight Black,Golden Atrophy,Blood Red Complexion,Deep Earth,Golden Enlightenment,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,53.0814014902236,99
99,None,None,Midnight,None,Pagan Mycelium,None,None,None,Hazed Horizon,Corrosion Gas Mask,Midnight Black,Bone White,Midnight Black,Copper Faction,None,None,None,None,None,None,None,None,None,None,None,35.998949508900544,100
100,None,None,Blood Red Nexus,None,Argon Neon Cross,None,Lunar Atrophy,None,Psiloybin Sanctity,Silver Revolt XL,Bone White,Crystal Orchid Matrix,Crystal Orchid Primal Liquid,Blood Red Cross,None,None,None,None,None,None,None,None,None,None,None,47.32395072222087,101
101,None,None,SAMHAIN Xenon Preservation,None,Purple Haze Mute,None,None,None,Midnight,None,Celestial Xenon,Lunar Bone Renunciation,SAMHAIN Xenon Hallowtide,SAMHAIN Xenon Hallowtide,None,None,None,None,None,None,None,None,None,None,None,31.937600236555895,102
102,None,None,Argon Neon Tiger,None,Moonlight Screenshot,None,None,None,Deep Earth,None,Midnight Cross,Pagan Earth Connection,Midnight Mycelium,Bone White,None,None,None,None,None,None,None,None,None,None,None,27.90988365277728,103
103,None,None,Liquid Nexus,None,We Are The Night,None,Lunar Atrophy,None,Zero Hour Unity,None,Bone White Ink,Pagan Earth Matrix,Bone White,Midnight Black,None,None,None,None,None,None,None,None,None,None,None,35.90454992779232,104
104,Golden Skull,Midnight,Midnight,Midnight,Golden Midnight,Golden Silence,Golden Cascade,Golden Silence,Midnight Paradigm Shift,Golden Filter,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,55.555263249389355,105
105,None,None,Bone White,None,Cerulean Nexus,None,Golden Atrophy,None,Midnight Formation,Cerulean Gold Antlers,Midnight Cross,Bone White,Bone White,Bone White,None,Golden Dawn,None,None,None,None,None,None,None,None,None,59.80184196304976,106
106,Blood Red,Lunar Parallel,Purple Neon Cross,Purple Haze Rain,Crystal Orchid Tiger,Golden Silence,None,Psilocybin Blue Imprint,Deep Earth,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,37.01454788304687,107
107,Midnight Black,Lunar Tiger,Serpent Tiger,Midnight,Blood Red Mute,Lunar Rising,Fallen Lunar,Copper Tiger,Midnight Formation,Sequenced Serenity,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,54.919773025758964,108
108,Copper Quietude,Dark Scratched Copper,Blood Red Cross,Copper Trinity XL,Pagan Earth Mute,Bone White,Lunar Epiphany,Infinite Ice Imprint,Jaded Existence,Golden Revolt XL,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,54.315570100150204,109
109,None,None,Bone White,None,Pagan Tiger,None,None,None,Deep Earth,Golden Intersection,Psilocybin Blue Cross,Bone Dust,Bone White,Bone White,None,Silver Clockwork,None,None,None,None,None,None,None,None,None,51.196742971076134,110
110,None,None,Purple Haze Neon Nexus,None,Amethyst Mute Tiger,None,Lunar Epiphany,None,Deep Earth,Lunar Succession,Argon Pink Mycelium,Lunar Grey Connection,Midnight Cross,Bone White,None,None,None,None,None,None,None,None,None,None,None,42.39189866631917,111
111,None,None,Cerulean Nexus,None,Purple Haze Trinity,None,None,None,Deep Earth,Blossom Convergence,Lunar Grey Mycelium,Pagan Earth Connection,Lunar Diamond,Lunar Grey Primal Liquid,None,None,None,None,None,None,None,None,None,None,None,37.75844940218395,112
112,None,None,Midnight,None,Pagan Earth Mute,None,None,None,Deep Earth,Golden Filter,Dark Green Primal Liquid,Lunar Trinity,Copper Parallel,Midnight Black,None,None,None,None,None,None,None,None,None,None,None,35.338630714949645,113
113,Copper Quietude,Copper Trinity,Liquid Nexus,Copper Tiger,Golden Mycelium,Lunar Rising,Golden Absolution,Midnight Black,Moonlight Forest,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,46.04122381568877,114
114,Copper Quietude,Infinite Ice Splatter XL,Midnight Sky,Bone White Rain,Serpent Tiger,Pagan Dust,Fallen Gold,Argon Pink Complexion,Crimson Destiny,Snow Camo Antlers,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,54.82162791612032,115
115,None,None,Bone White,None,Pagan Mycelium,None,Lunar Absolution,None,Zero Hour Unity,Lunar Naissance,Bone White,Bone White,Bone White,Bone White,None,None,None,None,None,None,None,None,None,None,None,43.34546596305464,116
116,Midnight Black,Lunar Parallel,Psilocybin Neon Cross,Lunar Trinity XL,Copper Corrosion,Golden Halo,Copper Epiphany,Crystal Orchid Imprint,Jaded Existence,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,44.81950016208947,117
117,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,118
118,Pink Horizon,Bone White Splatter XL,Cerulean Nexus,Scratched Purple Haze,Cerulean Cross,Lunar Rising,Lunar Epiphany,Acid Yellow Imprint,Deus Ex Machina,Steel Nexus Gas Mask,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,54.776067034562146,119
119,Crystal Skull,Bone White Rain XL,Scratched Serpent,Bone White Digital Rain,Argon Neon Dissonance,Golden Silence,Golden Rapture,Night Sky,Violet Eminence,Compound Spectrum Link,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,57.82728804693076,120
120,Blood Red,Neon Green Forest,Psilocybin Neon Cross,Primal Bone White,Midnight Amethyst Mycelium,Celestial Red,Lunar Epiphany,Dark Green Complexion,Golden Genesis,Lunar Vision,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,54.86162552706393,121
121,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,122
