,Body,Accesories,Face,Eyewear,Eyes,Mouth,Head,Role,Fur,Special,Rarity score,Token Id
2901,None,None,None,None,Bullish,Dragon Breath,None,Black Ops,Built (Classic),None,17.45099670229305,2901
2902,None,Katana,None,None,Bullish,Cheeky,Black Snapback Hat,Engineer,Built (Classic),None,58.472424895844696,2902
2903,Summer Dress,None,Disposable Face Mask,Round Reading Glasses,Happy,Bubble Gum,Yellow Beanie,Generalist,Brown,None,54.713253388942796,2903
2904,Pink Fur Coat,None,None,Round Reading Glasses,Intoxicated,Diamond Grills,Red Devil Horns,Generalist,Pink,None,44.570817938149226,2904
2905,Black Tuxedo,None,Blood Splatter,Thug Life Glasses,Intoxicated,Angry,Blue Snapback Hat,Generalist,Dark,None,51.166781964919814,2905
2906,Grey Puffer Jacket,None,Fake Moustache,None,Intoxicated,Diamond Grills,None,Generalist,Brown,None,26.52382273143751,2906
2907,Black Puffer Jacket,None,Disposable Face Mask,Black Sunglasses,Intoxicated,Cigarette,Red Hat,Generalist,Dark,None,51.48709185747761,2907
2908,Wackdonalds Uniform,None,None,Round Reading Glasses,Cheeky,Leaf,None,Field Agent,Brown,None,37.51073118334292,2908
2909,Hawaiian Blue T-Shirt,None,Covid Mask (Eucalyptus),Hard Thunder Glasses,Cheeky,Smug,None,Generalist,Classic,None,37.494171989947006,2909
2910,None,None,Blood Splatter,None,Happy,Happy,Pink Beanie,Generalist,Cream,None,31.28502562326657,2910
2911,None,None,Blush,Round Reading Glasses,Smug,Leaf,None,Operator,Dark,None,31.481656943169668,2911
2912,Hippie Tie-Dye Shirt,None,Disposable Face Mask,None,Happy,Leaf,Black Devil Horns,Double Agent,Brown,None,49.338479185924456,2912
2913,Black/Yellow Tracksuit,None,Disposable Face Mask,Hard Thunder Glasses,Cheeky,Angry,None,Field Agent,Classic,None,46.79605589866498,2913
2914,Red Jersey,None,None,Hard Thunder Glasses,Cheeky,Happy,Backward Black Snapback Hat,Engineer,Brown,None,48.65776539505921,2914
2915,Teal Puffer Jacket,Jade Stone,Blood Splatter,3D Glasses,Cheeky,Cheeky,Princess' Crown,Field Agent,Classic,None,93.15798121158724,2915
2916,None,Moon Necklace,None,Hard Thunder Glasses,Happy,Dragon Breath,Flower Pink,Field Agent,Tatted (Dark),None,66.6930527478382,2916
2917,White Dress,None,Blush,Round Reading Glasses,Ominous,Smoker's Pipe,None,Double Agent,Classic,None,48.71451604271889,2917
2918,None,None,Blush,None,Smug,Smoker's Pipe,Golden Laurel,Generalist,Tatted (Brown),None,28.7959798069108,2918
2919,Detective's Trenchcoat,None,Blush,None,Bitcoins,Bubble Gum,None,Generalist,Dark,None,27.05094254880699,2919
2920,Overalls,None,None,None,Happy,Golden Grills,Bandage,Operator,Dark,None,40.717194948241165,2920
2921,Blue Ball Gown,None,None,None,None,Angry,Cyclops,Black Ops,Tatted (Classic),None,45.05781071492339,2921
2922,None,None,Disposable Face Mask,None,Bullish,Leaf,None,Generalist,Brown,None,14.992097232760454,2922
2923,None,Moon Necklace,Covid Mask (Cat Mouth),None,Smug,Cheeky,Black Snapback Hat,Generalist,Built (Brown),None,59.06329230846714,2923
2924,None,None,Blush,Hard Thunder Glasses,Bitcoins,Smug,Yellow Beanie,Operator,Dark,None,44.0535213004199,2924
2925,Black Hoodie,None,Silver Earrings,None,Bitcoins,Cigarette,Halo,Generalist,Classic,None,40.47041214603968,2925
2926,White Turtleneck,None,Blush,Hard Thunder Glasses,Intoxicated,Cigarette,None,Field Agent,Classic,None,38.518320346158966,2926
2927,Reverse Leopard Blazer,None,Tear Tat,Black Sunglasses,Cheeky,Angry,Blue Snapback Hat,Operator,Classic,None,64.55851566144068,2927
2928,None,None,None,Hard Thunder Glasses,Cheeky,Cheeky,None,Engineer,Built (Brown),None,26.31667106004255,2928
2929,None,None,Blush,Hard Thunder Glasses,Intoxicated,Smoker's Pipe,None,Engineer,Brown,None,28.024988151310026,2929
2930,None,None,Blush,None,Happy,Leaf,None,Generalist,Brown,None,9.90372594698764,2930
2931,White Shirt/Blue Coat,None,None,3D Glasses,Intoxicated,Diamond Grills,Pink Snapback Hat,Generalist,Classic,None,42.899319457208584,2931
2932,Bunny Onesie,None,Blush,Eye Patch,Happy,Cigarette,None,Generalist,Brown,None,37.80110130706198,2932
2933,Blue Dress,None,Blush,None,Intoxicated,Cigarette,Bandage,Generalist,Pink,None,36.40991047782142,2933
2934,None,None,Fake Moustache,None,Cheeky,Smoker's Pipe,Flower Pink,Double Agent,Cream,None,42.36877807323738,2934
2935,White Dress,None,None,None,Intoxicated,Happy,Halo,Generalist,Dark,None,25.352594478131557,2935
2936,White Shirt/Blue Coat,None,Gold Ear Piercing,Hard Thunder Glasses,Happy,Angry,None,Operator,Dark,None,47.34656336267727,2936
2937,Bomber Jacket,None,Diamond Stud,None,Smug,Cheeky,None,Operator,Brown,None,37.53758444460356,2937
2938,None,None,Blush,Hard Thunder Glasses,Smug,Smug,None,Operator,Dark,None,29.379593962909738,2938
2939,Ruby Dress,Jade Stone,Blush,Red Sunglasses,Cheeky,Cigarette,Flower Blue,Generalist,Freakazoid,None,82.07592483074569,2939
2940,Navy Dress,None,None,Hard Thunder Glasses,Jaundice,Angry,None,Generalist,Built (Cream),None,31.755382443567804,2940
2941,Yellow Raincoat,Rifle,Covid Mask (Cat Mouth),None,Bullish,Thug Life Joint,None,Engineer,Brown,None,67.65723546681043,2941
2942,None,None,Anbu Mask,None,None,Thug Life Joint,Pink Beanie,Field Agent,Built (Sandy),None,45.71842694444905,2942
2943,White Ruffle Dress,None,None,Hard Thunder Glasses,Happy,Angry,Golden Laurel,Field Agent,Classic,None,48.59436850687958,2943
2944,White Tank,None,Scars,None,Happy,Happy,Blue Snapback Hat,Engineer,Built (Dark),None,53.30546031134108,2944
2945,None,None,Blush,Black Aviator Sunglasses,Angry,Bubble Gum,Black Borsalino,Generalist,Classic,None,38.13811422357463,2945
2946,None,None,None,Round Reading Glasses,Intoxicated,Smug,Red Snapback Hat,Generalist,Classic,None,24.942099508552598,2946
2947,White Puffer Jacket,Diamond Chain,None,Round Reading Glasses,Intoxicated,Dragon Breath,Red Snapback Hat,Generalist,Brown,None,65.44867849442915,2947
2948,None,None,None,None,None,Golden Grills,Cyclops,Operator,Dark,None,29.916752564305995,2948
2949,Blue Ball Gown,None,Gold Earrings,None,Angry,Smug,None,Generalist,Robot,None,31.73548411434674,2949
2950,None,None,None,None,Cheeky,Smoker's Pipe,Halo,Generalist,Dark,None,17.217800748842016,2950
2951,Orange Jersey,None,Fake Moustache,None,Bitcoins,Leaf,None,Operator,Purple,None,42.31542329009134,2951
2952,None,None,Blush,Black Aviator Sunglasses,Cheeky,Thug Life Joint,Laurel,Field Agent,Classic,None,46.92615042690399,2952
2953,None,None,Blush,None,Bitcoins,Happy,Black Devil Horns,Black Ops,Built (Dark),None,38.45507697761621,2953
2954,White Shirt/Blue Coat,None,None,None,Intoxicated,Cigarette,Laurel,Generalist,Shadow,None,29.353161207853372,2954
2955,Hippie Tie-Dye Shirt,None,None,None,Smug,Thug Life Joint,Fireman Helmet,Generalist,Dark,None,30.160595691747222,2955
2956,Orange Jersey,None,Blush,Black Aviator Sunglasses,Cheeky,Happy,Black Devil Horns,Black Ops,Classic,None,58.059446671506834,2956
2957,None,None,Blush,3D Glasses,Happy,Happy,None,Black Ops,Classic,None,35.111857090291984,2957
2958,None,None,None,Black Aviator Sunglasses,Happy,Happy,Backward Black Snapback Hat,Generalist,Classic,None,28.775802139788244,2958
2959,None,None,Blush,Thug Life Glasses,Angry,Cheeky,Backward Black Snapback Hat,Black Ops,Brown,None,47.473353132914234,2959
2960,White Ruffle Dress,None,Fake Moustache,None,Cheeky,Angry,Cream Borsalino,Black Ops,Classic,None,49.4486096438488,2960
2961,None,None,Blush,None,Jaundice,Smoker's Pipe,None,Engineer,Brown,None,23.23377907398669,2961
2962,None,None,None,None,None,None,Space Suit Helmet,Generalist,Tatted (Dark),None,26.196593269715795,2962
2963,Panda Onesie,None,None,Round Reading Glasses,Happy,Bored,None,Operator,Dark,None,40.63035435103486,2963
2964,Leopard Blazer,None,Diamond Stud,None,Cheeky,Leaf,None,Generalist,Classic,None,27.184452309199177,2964
2965,None,Katana,None,Round Reading Glasses,Intoxicated,Dragon Breath,Laurel,Double Agent,Flaming,None,66.82985024995132,2965
2966,Summer Dress,Diamond Chain,Fake Moustache,Hard Thunder Glasses,Ominous,Bubble Gum,Yellow Beanie,Field Agent,Brown,None,92.40743984938187,2966
2967,Yellow Ball Gown,Gold Chain,Blush,Black Sunglasses,Intoxicated,Cigarette,Black Headphones,Generalist,Tatted (Brown),None,78.76651409970479,2967
2968,White Ruffle Dress,None,None,None,Intoxicated,Leaf,Ice Crown,Generalist,Classic,None,25.452708530814583,2968
2969,None,None,Tear Tat,Round Reading Glasses,Cheeky,Leaf,Princess' Crown,Generalist,Dark,None,38.97557758175723,2969
2970,Black Tuxedo,None,Blush,None,None,Dragon Breath,Cyclops,Generalist,Brown,None,38.401690479865984,2970
2971,Black Puffer Jacket,None,Silver Ear Piercing,None,Soulless,Smug,None,Double Agent,Classic,None,38.13151637645524,2971
2972,Red Hoodie,None,Covid Mask (Cat Mouth),Hard Thunder Glasses,Cheeky,Leaf,Top Hat,Double Agent,Brown,None,59.177145602514734,2972
2973,None,None,Gold Earrings,None,Smug,Thug Life Joint,Flower Pink,Operator,Dark,None,38.26822945650594,2973
2974,None,Gold Chain,Blush,None,Intoxicated,Dragon Breath,Red Hat,Black Ops,Tatted (Brown),None,61.15836033064224,2974
2975,Pink Puffer Jacket,ID Badge,Diamond Stud,Round Reading Glasses,Intoxicated,Cigarette,None,Engineer,Tatted (Pink),None,77.5321966330633,2975
2976,None,None,Blush,None,Happy,Thug Life Joint,None,Black Ops,Built (Brown),None,25.285797044642745,2976
2977,White Turtleneck,Pink Heart Necklace,Diamond Stud,Black Sunglasses,Happy,Diamond Grills,None,Generalist,Built (Pink),None,76.85508892045172,2977
2978,Black/White Tracksuit,None,Diamond Stud,None,Happy,Happy,Top Hat,Generalist,Brown,None,40.5371001142027,2978
2979,Wackdonalds Uniform,None,Silver Earrings,Thug Life Glasses,Intoxicated,Smug,None,Generalist,Tatted (Sandy),None,42.07183479854995,2979
2980,White Shirt/Blue Coat,None,Blush,Thug Life Glasses,Happy,Thug Life Joint,Laurel,Generalist,Freakazoid,None,56.08454687890271,2980
2981,White Tank,None,Blush,None,Bullish,Dragon Breath,None,Double Agent,Classic,None,32.90638864521311,2981
2982,Hippie Tie-Dye Shirt,None,None,None,Smug,Dragon Breath,None,Generalist,Built (Brown),None,19.349928647160507,2982
2983,White Turtleneck,Silver Chain,Blush,Hard Thunder Glasses,Cheeky,Angry,Black Borsalino,Generalist,Dark,None,73.4086781475029,2983
2984,Letterman Jacket,None,Blush,Black Sunglasses,Smug,Happy,None,Generalist,Dark,None,38.111382773567605,2984
2985,Pink Fur Coat,None,None,None,Angry,Angry,None,Generalist,Brown,None,16.430325329942796,2985
2986,None,None,Blush,None,None,Cigarette,Cyclops,Double Agent,Tatted (Classic),None,38.55169770468154,2986
2987,White Dress,None,Blush,Hard Thunder Glasses,Cheeky,Cigarette,Blue Snapback Hat,Black Ops,Brown,None,54.366150315553966,2987
2988,Summer Dress,None,Blush,Black Aviator Sunglasses,Smug,Cheeky,None,Generalist,Brown,None,35.41879808214228,2988
2989,Wackdonalds Uniform,None,Gas Mask,None,Intoxicated,Cheeky,Red Devil Horns,Generalist,Dark,None,38.31176905077947,2989
2990,Pink Fur Coat,Gold Chain,Blush,Hard Thunder Glasses,Intoxicated,Cigarette,Cream Borsalino,Double Agent,Brown,None,78.91318520858002,2990
2991,Pink Fur Coat,Pink Heart Necklace,Tear Tat,Round Reading Glasses,Jaundice,Smug,Flower Pink,Generalist,Brown,None,81.58548846650925,2991
2992,White Dress,Moon Necklace,Tear Tat,None,Angry,Cigarette,Pink Snapback Hat,Generalist,Tatted (Brown),None,70.29632487523924,2992
2993,Black/Blue Tracksuit,None,None,Round Reading Glasses,Happy,Golden Grills,None,Generalist,Brown,None,29.890181964249475,2993
2994,Black Turtleneck,None,None,None,Jaundice,Happy,Black Headphones,Generalist,Classic,None,30.437524495140707,2994
2995,None,None,None,Hard Thunder Glasses,Cheeky,Happy,Blue Snapback Hat,Black Ops,Classic,None,35.18188552837058,2995
2996,Black/Blue Tracksuit,None,Silver Ear Piercing,None,Jaundice,Angry,Pink Snapback Hat,Generalist,Dark,None,41.40462205014469,2996
2997,None,None,Blush,None,Angry,Leaf,None,Field Agent,Rainbow,None,24.34149597416968,2997
2998,None,None,Silver Earrings,Black Aviator Sunglasses,Bitcoins,Bubble Gum,None,Operator,Flaming,None,44.644161824949464,2998
2999,Blue Dress,None,None,None,None,Dragon Breath,Cyclops,Double Agent,Brown,None,40.73374446470475,2999
3000,None,None,None,None,None,None,None,None,None,Femme Fatale,60.47062996304348,3000
3001,Wackdonalds Uniform,None,None,Hard Thunder Glasses,Jaundice,Leaf,None,Operator,Tatted (Classic),None,40.50024012885441,3001
3002,Grey Puffer Jacket,Gold Chain,None,Black Sunglasses,Ominous,Dragon Breath,None,Engineer,Purple,None,73.9425743486753,3002
3003,Bunny Onesie,None,Blush,Hard Thunder Glasses,Intoxicated,Cheeky,None,Field Agent,Tatted (Classic),None,43.823268670741186,3003
3004,Gold Pimp Coat,None,Disposable Face Mask,None,Smug,Smug,Golden Laurel,Engineer,Dark,None,49.87565179208562,3004
3005,None,None,None,None,Cheeky,Bubble Gum,Cream Borsalino,Generalist,Dark,None,17.9652208702393,3005
3006,Hawaiian Blue T-Shirt,None,Gas Mask,None,Bullish,Diamond Grills,Golden Laurel,Generalist,Dark,None,44.7809726792237,3006
3007,White Turtleneck,None,None,Hard Thunder Glasses,Intoxicated,Cigarette,Blue Snapback Hat,Generalist,Pink,None,38.25483318976325,3007
3008,Cardigan,None,Disposable Face Mask,Hard Thunder Glasses,Cheeky,Angry,Top Hat,Generalist,Brown,None,49.96234221450871,3008
3009,Hippie Tie-Dye Shirt,None,Blush,Hard Thunder Glasses,Jaundice,Cigarette,Halo,Black Ops,Built (Classic),None,60.064562538894826,3009
3010,Black/White Tracksuit,None,Silver Earrings,Black Sunglasses,Intoxicated,Angry,Black Devil Horns,Generalist,Classic,None,51.62052919854795,3010
3011,Teal Puffer Jacket,None,Blood Splatter,None,Jaundice,Leaf,Yellow Snapback Hat,Generalist,Built (Classic),None,45.491770402009436,3011
3012,None,None,None,None,Cheeky,Golden Grills,Flower Blue,Field Agent,Dark,None,27.254280848262162,3012
3013,None,Katana,None,None,None,None,Space Suit Helmet,Black Ops,Built (Pink),None,63.91064804641468,3013
3014,None,None,Covid Mask (Cat Mouth),Hard Thunder Glasses,Ominous,Dragon Breath,Red Devil Horns,Black Ops,Brown,None,49.3984715340776,3014
3015,Grey Puffer Jacket,None,None,Round Reading Glasses,Cheeky,Dragon Breath,None,Generalist,Purple,None,31.611900324913584,3015
3016,Black/White Tracksuit,Pink Heart Necklace,None,None,Happy,Angry,Blue Snapback Hat,Generalist,Brown,None,56.364201203476505,3016
3017,Black/Yellow Tracksuit,None,None,Red Sunglasses,Angry,Angry,Golden Laurel,Generalist,Dark,None,44.47738516863271,3017
3018,Red Jersey,None,Scars,None,Smug,Smoker's Pipe,Flower Pink,Generalist,Built (Cream),None,45.72201803007104,3018
3019,None,None,Disposable Face Mask,None,Happy,Bored,Pink Snapback Hat,Operator,Classic,None,39.09232758735837,3019
3020,Orange Jersey,None,Diamond Stud Earrings,Black Aviator Sunglasses,Jaundice,Angry,Yellow Snapback Hat,Generalist,Pink,None,58.70687720225178,3020
3021,Black Puffer Jacket,None,Silver Earrings,Thug Life Glasses,Bored,Angry,None,Generalist,Dark,None,43.413086397767344,3021
3022,Lab Coat,None,None,None,Intoxicated,Dragon Breath,Cream Borsalino,Engineer,Built (Dark),None,38.545179622231515,3022
3023,Lab Coat,None,Tear Tat,Hard Thunder Glasses,Bored,Angry,Yellow Beanie,Black Ops,Robot,None,65.99310893321655,3023
3024,Winter Jacket,None,Blush,Hard Thunder Glasses,Intoxicated,Angry,King's Crown,Operator,Tatted (Shadow),None,57.03858171370501,3024
3025,Wackdonalds Uniform,None,Scars,Hard Thunder Glasses,Intoxicated,Leaf,Top Hat,Field Agent,Tatted (Dark),None,59.81102804437576,3025
3026,Black/Yellow Tracksuit,None,Disposable Face Mask,None,Bullish,Dragon Breath,Halo,Generalist,Built (Dark),None,44.34386873438172,3026
3027,None,None,None,None,Bored,Dragon Breath,Flower Pink,Operator,Brown,None,27.9783099897161,3027
3028,None,None,Fake Moustache,Black Sunglasses,Jaundice,Angry,None,Black Ops,Tatted (Dark),None,45.18469792930499,3028
3029,Summer Dress,None,Gold Earrings,3D Glasses,Jaundice,Angry,King's Crown,Operator,Built (Pink),None,71.61461555693448,3029
3030,None,None,Silver Ear Piercing,Black Aviator Sunglasses,Angry,Bubble Gum,None,Generalist,Built (Pink),None,33.36699470489981,3030
3031,Pink Dress,None,Silver Ear Piercing,Round Reading Glasses,Intoxicated,Dragon Breath,Pink Beanie,Black Ops,Tatted (Classic),None,62.04299734533164,3031
3032,White Dress,None,Tear Tat,Round Reading Glasses,Jaundice,Angry,Flower Pink,Operator,Tatted (Sandy),None,67.65454428672018,3032
3033,None,None,Scars,Round Reading Glasses,Intoxicated,Diamond Grills,None,Double Agent,Built (Cream),None,39.71959216111607,3033
3034,White Dress,None,Blush,None,Cheeky,Cigarette,Halo,Double Agent,Dark,None,44.2671723589287,3034
3035,None,None,Silver Earrings,Black Aviator Sunglasses,Smug,Angry,None,Operator,Flaming,None,40.513626712221686,3035
3036,White Tank,None,None,Black Aviator Sunglasses,Intoxicated,Angry,Flower Pink,Generalist,Tatted (Classic),None,41.85159957716133,3036
3037,Black/White Tracksuit,None,Silver Earrings,Black Aviator Sunglasses,Jaundice,Angry,Black Devil Horns,Double Agent,Brown,None,63.58097439418117,3037
3038,Yellow Raincoat,None,Blush,None,Smug,Angry,None,Operator,Purple,None,36.77692157610045,3038
3039,Panda Onesie,None,None,Hard Thunder Glasses,None,Angry,None,Operator,Alien,None,42.77911051914297,3039
3040,Pink Ball Gown,None,Silver Ear Piercing,Thug Life Glasses,Cheeky,Happy,None,Generalist,Built (Pink),None,45.60181242908294,3040
3041,Black/Yellow Tracksuit,None,Silver Earrings,None,Cheeky,Smug,None,Engineer,Built (Cream),None,40.77736815933043,3041
3042,Blue Ball Gown,None,Covid Mask (Cat Mouth),None,Intoxicated,Smoker's Pipe,DJ Headphones,Black Ops,Built (Dark),None,53.028584562518176,3042
3043,None,None,None,None,Happy,Diamond Grills,None,Operator,Shadow,None,19.119574555513587,3043
3044,Bunny Onesie,None,Disposable Face Mask,None,Cheeky,Thug Life Joint,None,Engineer,Shadow,None,42.32547373700407,3044
3045,Panda Onesie,None,None,None,Smug,Happy,None,Double Agent,Classic,None,25.639405866329092,3045
3046,Gold Pimp Coat,None,Anbu Mask,None,None,Cheeky,Black Snapback Hat,Generalist,Tatted (Cream),None,47.9205559046649,3046
3047,Cardigan,None,Silver Ear Piercing,None,Smug,Diamond Grills,None,Generalist,Classic,None,29.116315728895394,3047
3048,White Puffer Jacket,None,Covid Mask (Eucalyptus),None,Soulless,Golden Grills,Backward Black Snapback Hat,Generalist,Dark,None,44.23061771772838,3048
3049,Grey Puffer Jacket,None,Disposable Face Mask,Round Reading Glasses,Angry,Leaf,King's Crown,Field Agent,Dark,None,61.8494738860814,3049
3050,None,None,None,Hard Thunder Glasses,Cheeky,Cigarette,Top Hat,Field Agent,Built (Cream),None,38.92544080096642,3050
3051,None,None,None,None,Smug,Leaf,None,Double Agent,Shadow,None,15.88629589634071,3051
3052,Gold Pimp Coat,None,None,Hard Thunder Glasses,Ominous,Smug,Laurel,Engineer,Classic,None,50.75970556123893,3052
3053,Summer Dress,None,None,Thug Life Glasses,Cheeky,Happy,None,Field Agent,Dark,None,39.82627001798807,3053
3054,None,None,Blush,None,Cheeky,Bored,Flower Pink,Field Agent,Built (Pink),None,39.432704671406405,3054
3055,Blue Ball Gown,None,Blush,Thug Life Glasses,Cheeky,Cigarette,Yellow Snapback Hat,Operator,Classic,None,58.743416505115185,3055
3056,None,None,Blood Splatter,None,Jaundice,Golden Grills,Red Snapback Hat,Generalist,Brown,None,30.86131827939346,3056
3057,Black/White Tracksuit,None,Gold Ear Piercing,Black Aviator Sunglasses,Intoxicated,Leaf,None,Generalist,Dark,None,36.25964296177423,3057
3058,Navy Dress,None,None,None,Bitcoins,Smoker's Pipe,Pink Beanie,Generalist,Classic,None,31.78551778099752,3058
3059,Cardigan,None,None,None,Happy,Cigarette,Bandage,Black Ops,Pink,None,42.138519770452824,3059
3060,Floral Kimono,None,None,Black Sunglasses,Intoxicated,Dragon Breath,Pink Snapback Hat,Operator,Cream,None,53.94256343329174,3060
3061,Grey Puffer Jacket,Jade Stone,Blush,Black Sunglasses,Intoxicated,Happy,Pink Beanie,Engineer,Built (Dark),None,88.5710310793431,3061
3062,None,None,None,Black Aviator Sunglasses,Soulless,Diamond Grills,None,Operator,Dark,None,29.262908049414893,3062
3063,Fireman Uniform,None,None,Thug Life Glasses,Soulless,Thug Life Joint,Yellow Snapback Hat,Generalist,Classic,None,45.908725061032506,3063
3064,Summer Dress,None,Blush,None,Intoxicated,Leaf,None,Double Agent,Built (Dark),None,32.88986949563652,3064
3065,Cardigan,None,Silver Ear Piercing,Round Reading Glasses,Soulless,Happy,None,Double Agent,Dark,None,50.82307541953502,3065
3066,None,Jade Stone,Blush,Hard Thunder Glasses,Angry,Angry,None,Generalist,Tatted (Dark),None,51.69327413021975,3066
3067,Wackdonalds Uniform,None,Blush,Hard Thunder Glasses,Intoxicated,Angry,None,Black Ops,Cream,None,43.13929583805846,3067
3068,None,None,None,None,Angry,Cigarette,None,Double Agent,Radioactive,None,16.817228737150657,3068
3069,Space Suit,None,None,None,None,None,Space Suit Helmet,Engineer,Shadow,None,48.44091869291077,3069
3070,White Turtleneck,None,Blush,Black Aviator Sunglasses,Cheeky,Cheeky,Top Hat,Engineer,Tatted (Classic),None,61.662685762951355,3070
3071,None,None,None,None,Bitcoins,Cigarette,Red Snapback Hat,Generalist,Brown,None,16.997536489324613,3071
3072,None,None,None,Eye Patch,Smug,Smoker's Pipe,Flower Blue,Field Agent,Tatted (Shadow),None,46.33903693469678,3072
3073,Summer Dress,None,None,Round Reading Glasses,Smug,Smug,None,Operator,Built (Dark),None,41.59794728854568,3073
3074,Red Jersey,None,Silver Earrings,None,Bitcoins,Angry,None,Field Agent,Dark,None,38.632008531890364,3074
3075,Blue Dress,None,None,None,Happy,Leaf,None,Generalist,Dark,None,15.38593557027918,3075
3076,Pink Ball Gown,None,Tear Tat,None,Intoxicated,Dragon Breath,None,Operator,Dark,None,33.23686045425552,3076
3077,None,None,Blush,Black Aviator Sunglasses,Smug,Thug Life Joint,Halo,Generalist,Classic,None,36.259639958996935,3077
3078,Fireman Uniform,ID Badge,None,None,Intoxicated,Angry,Flower Blue,Double Agent,Brown,None,63.12010212294962,3078
3079,Gold Pimp Coat,None,Blush,None,Bullish,Thug Life Joint,None,Engineer,Built (Classic),None,39.15567174497349,3079
3080,Grey Puffer Jacket,None,None,None,Angry,Leaf,Black Snapback Hat,Operator,Purple,None,41.9583615366813,3080
3081,None,Jade Stone,Gold Earrings,Hard Thunder Glasses,Intoxicated,Angry,Laurel,Black Ops,Shadow,None,75.54714628062847,3081
3082,Red Jumpsuit,Silver Chain,Fake Moustache,Round Reading Glasses,Bitcoins,Bubble Gum,Red Snapback Hat,Generalist,Built (Cream),None,88.30430452463747,3082
3083,None,None,Covid Mask (Eucalyptus),None,Bullish,Cheeky,None,Engineer,Classic,None,25.469096181540813,3083
3084,Navy Dress,None,Silver Earrings,Black Aviator Sunglasses,Intoxicated,Angry,Halo,Engineer,Dark,None,58.34641391055575,3084
3085,Pink Fur Coat,None,None,None,Angry,Diamond Grills,Pink Snapback Hat,Generalist,Ghost,None,35.725967353423144,3085
3086,Blue Dress,None,Blush,Hard Thunder Glasses,Cheeky,Golden Grills,Pink Beanie,Engineer,Built (Dark),None,60.284791082573605,3086
3087,Cardigan,None,Fake Moustache,Eye Patch,Smug,Angry,None,Double Agent,Pink,None,55.72754652549722,3087
3088,High Roller Kimono,None,Scars,None,Intoxicated,Smug,Pink Snapback Hat,Generalist,Classic,None,36.73361023355959,3088
3089,None,None,Disposable Face Mask,None,Cheeky,Smoker's Pipe,None,Generalist,Classic,None,15.949929404274815,3089
3090,None,None,Gold Ear Piercing,Round Reading Glasses,Cheeky,Bubble Gum,Cream Borsalino,Black Ops,UV Light,None,56.42818434804191,3090
3091,None,None,None,None,Smug,Leaf,Red Snapback Hat,Generalist,Dark,None,15.092265352320158,3091
3092,Purple Hoodie,None,None,Black Aviator Sunglasses,Intoxicated,Smug,None,Field Agent,Dark,None,35.10847657048429,3092
3093,Red/White Tracksuit,None,Silver Earrings,Red Sunglasses,Intoxicated,Dragon Breath,King's Crown,Generalist,Cream,None,55.817659508757856,3093
3094,Blue Ball Gown,None,Diamond Stud,Hard Thunder Glasses,Ominous,Smug,Halo,Generalist,Robot,None,56.51159236369864,3094
3095,None,None,Disposable Face Mask,None,Intoxicated,Dragon Breath,Pink Snapback Hat,Engineer,Tatted (Pink),None,37.297334094355286,3095
3096,Letterman Jacket,Moon Necklace,None,Hard Thunder Glasses,Ominous,Dragon Breath,Red Snapback Hat,Field Agent,Tatted (Sandy),None,82.32277771579636,3096
3097,Wackdonalds Uniform,Rifle,Diamond Stud,None,Bullish,Angry,Halo,Generalist,Tatted (Shadow),None,73.34877322130117,3097
3098,Hippie Tie-Dye Shirt,None,Tear Tat,Round Reading Glasses,Angry,Happy,Red Hat,Field Agent,Dark,None,62.35324010462635,3098
3099,Black Tuxedo,None,Fake Moustache,None,Angry,Dragon Breath,Cream Borsalino,Generalist,Classic,None,39.66966862024508,3099
3100,Wackdonalds Uniform,None,Blush,Round Reading Glasses,Angry,Smug,None,Generalist,Tatted (Brown),None,39.15238633535577,3100
3101,None,Silver Chain,Blush,Hard Thunder Glasses,Happy,Happy,Red Snapback Hat,Engineer,Brown,None,69.98909925341277,3101
3102,Grey Puffer Jacket,None,None,Hard Thunder Glasses,Intoxicated,Happy,Yellow Snapback Hat,Generalist,Tatted (Brown),None,39.149044863280125,3102
3103,White Turtleneck,None,Blush,Hard Thunder Glasses,Smug,Cheeky,None,Generalist,Dark,None,32.4325735454215,3103
3104,None,None,Gold Earrings,Red Sunglasses,Bitcoins,Smoker's Pipe,Princess' Crown,Operator,Robot,None,60.19150247154721,3104
3105,None,None,Fake Moustache,Black Aviator Sunglasses,Bitcoins,Angry,Pink Beanie,Generalist,Dark,None,41.251024741052575,3105
3106,Black Tuxedo,None,Silver Earrings,None,Bitcoins,Golden Grills,None,Generalist,Brown,None,30.53768860561576,3106
3107,White Turtleneck,Silver Chain,None,Hard Thunder Glasses,Cheeky,Golden Grills,Yellow Beanie,Generalist,Dark,None,67.42041734337135,3107
3108,None,None,Blood Splatter,None,Bullish,Diamond Grills,Laurel,Double Agent,Freakazoid,None,44.760854099479864,3108
3109,Pink Dress,None,None,None,Smug,Cigarette,Flower Pink,Generalist,Frozen,None,31.86222483243249,3109
3110,Black Puffer Jacket,None,Covid Mask (Cat Mouth),Thug Life Glasses,Happy,Bored,None,Engineer,Classic,None,53.08185358684527,3110
3111,None,None,Scars,Black Aviator Sunglasses,Bitcoins,Happy,Halo,Double Agent,Built (Brown),None,54.663207049840125,3111
3112,None,None,None,None,Happy,Happy,None,Operator,Brown,None,13.22356485915798,3112
3113,Black/White Tracksuit,None,Covid Mask (Cat Mouth),None,Angry,Happy,None,Operator,Dark,None,37.22393847618827,3113
