,Antenna,Hats,Faces,Heads,Body,Backgrounds,Rarity score,Token Id
2676,,,Junkbot,Half bot half bones,Junkbot,Pinkish,68.25891006836717,2676
2677,Orange 1,Ice cream,FinchOne skull,Yellow,Astroquirkie with squid sample,Blurple,19.803647256682837,2677
2678,Pierced 2,Paper plane,Quirkie tongue,Blue,Leather jacket gold chain,Blurple,16.011448135653715,2678
2679,Gold ring,Sideways cap,Blank face,Blueer ,Pink skull tee,Misty pink,36.23657572579226,2679
2680,White 27,Thunder,Nearly focused,Blue,Cherry blossom komono,Simply pink,15.098446794362788,2680
2681,Goo,Artic bobble ,Bubblegum,Peach,Bones tee,Dust,22.963738265730516,2681
2682,Ufo green,Sailor,1 eye,Yellow,Lab coat,Misty pink,31.671526858146326,2682
2683,White 27,Pirate hat,Happy lashes,Blue,Green camo puffa,Honey melon,14.957915879542835,2683
2684,Fire,Pink beanie blonde hair ,Spooked,Orange,Blue camo puffa,Purple,32.58472487708566,2684
2685,Pierced 2,Pink beanie,Dead serious,Blue,Tan backpack,Honey melon,16.854071642831027,2685
2686,Double green,Antlers,Green bandana,Yellow,Yellow skull tracksuit,Turquoise,12.851160445449619,2686
2687,Pink 1,Squiddie pink,Beaming ,Orange,Pink hoodie,Turquoise,5.056162478407114,2687
2688,Doughnuts,Yellow cap ,Hmm,Qurikie bot MK 3,Stoneage ,Pale peach,16.643303372085352,2688
2689,Double green,Aviator ,Blank face,Purple,Lab coat,Honey melon,21.067554432919916,2689
2690,Graff bubble,Red mohawk,Water falls,Peach,Trash hoodie skateboard,Pinkish,21.067568484051826,2690
2691,Purple 2,Paper plane,Zipped,Pinkish,Space hoodie,Honey melon,11.306233604271938,2691
2692,Lightning bolts,Artic bobble brown hair,Pink sunglasses,Yellow,Blue puffa,Honey melon,12.289359927123616,2692
2693,Rings and rings,Blue pink long,Reptile,Pink,Blue puffa,Neutral,46.418927343272856,2693
2694,Heart,Yellow curls,Lashes heart tattoo,Another green,Pink camo parka,Honey melon,20.92724828592905,2694
2695,Red 2,Horns,Sunglasses blue,Another green,Trash hoodie skateboard,Misty turquoise,23.033975633739374,2695
2696,Doughnuts,Long pink,Misery ,Blue,Wizard robe,Misty pink,36.72804054391143,2696
2697,Ufo green,Archaeology hat,Emo,Pinkish,Squiddie tee,Turquoise,20.225225930911638,2697
2698,Gold ring,Pink beanie,Big eyes ,Greeeen,Big purple hoodie and chain,Dust,26.68572815063778,2698
2699,Double green,Artic bobble brown hair,Dead serious,Yellow,Yellow backpack,Pale peach,12.149095935477368,2699
2700,Red 2,Pink beanie,Happy lashes,Light purple,Blue camo puffa,Turquoise,4.4943479241505715,2700
