,Antenna,Hats,Faces,Heads,Body,Backgrounds,Rarity score,Token Id
0,Purple 2,Blue bucket hat,Buttons,Peach,White suit,Dust,25.28121984328885,0
1,Ufo green,Cap blue,Eeerm,Blue,Kung fu ,Pale peach,21.980626015838354,1
2,Blue 2,Blossom brain ,Reptile,Orange,Casual jacket ,Turquoise,9.550749230483593,2
3,Pierced 2,Thunder,Proud,Blue pink paint splats,Astroquirkie,Simply pink,32.37388638225252,3
4,Lightning bolts,Beanie brown,Proud,Qurikie bot MK 3,Pirate garbs,Mist in the artic,23.03380706420146,4
5,Pierced,Nurse,Spooky relaxed,Orange,Aviator jacket,The blues,4.283382997973876,5
6,Blue 2,Yellow curls,Woooaaah,Quirk green,Orange puffa,Misty green,32.09328814485959,6
7,Bubbles,Pink bobble,1 eye,Blueer ,Wool demim ,Honey melon,18.399124910674917,7
8,Bones,Blue surfer,Toxic mask,Quirk green,Wool demim ,Pale peach,15.30906050460636,8
9,Overgrown,Blue pink long,Goggles ,Peach,Arrows,Misty pink,38.974975692872405,9
10,Goo,Snakes,Focused,Pink,Green trash hoodie,Pale peach,20.78661904436803,10
11,Double green,Long pink,Quirkie tongue,Quirk green,Dungarees,Purple with stars,36.166113602037456,11
12,Pierced,Aviator ,Need coffee,Quirkie bot MK 1,Aviator jacket,Misty turquoise,25.913145330312908,12
13,Blue 2,Sideways cap,Spooky relaxed,Orange,Kung fu ,Honey melon,13.623630885562847,13
14,Gold ring,Long brown,Wait,Pinkish,Green camo puffa,Neutral,23.31499531154267,14
15,Fire,Blue pink long,Pink sunglasses,Another green,Astroquirkie comms,Turquoise,15.02832181786916,15
16,White 27,Aviator ,Buttons,Yellow,Pink camo puffa,Simply pink,15.449493082161226,16
17,Heart,Red mohawk,Reptile,Quirkiebot MK2,Arrows,Simply pink,27.8795384534246,17
18,Gold ring,Ice cream,Warpaint 1,Another green,Yellow backpack,Purple,27.38803148424837,18
19,Pink 1,Aviator ,Hmm,Quirkiebot MK2,Artic parka,Honey melon,9.90161290540778,19
20,Bomb,Green mohawk,What ,Qurikie bot MK 3,UFO engineer overalls,Simply pink,25.070535875047064,20
21,Heart,Pink goo,Just two eyes,Yellow,Casual jacket ,Honey melon,19.241748422139793,21
22,Blue 2,Mad science,White eyes shock,Blueer ,Space hoodie,Turquoise,17.556389007305036,22
23,Feather,Squiddie green,What ,Quirkiebot MK2,Dungarees,Misty turquoise,32.163258599049435,23
24,Blue 2,Thunder,Sunglasses blue,Quirkiebot MK2,Blue tee with chain,Pale peach,14.255893520237858,24
25,Pierced 2,Squiddie green,Smile,Qurikie bot MK 3,Green backpack,Simply pink,12.780880956396668,25
26,Graff bubble,Lightning beanie,White eyes shock,Quirkiebot MK2,Aviator jacket,Blurple,26.264275924123236,26
27,Double green,Ice cream,Goggles full,Green pink paint splat,Yellow skull tracksuit,Honey melon,34.19994525104241,27
28,Overgrown,Crew cut yellow,Emo,Qurikie bot MK 3,Casual jacket ,Misty green,35.46388052174773,28
29,Pierced,Shark fin,Smile,Blue pink paint splats,Purple puffa,Blurple,29.845734890702534,29
30,Overgrown,Nurse,Proud,Yellow,Jpeg hoodie,Honey melon,17.275411489523698,30
31,Purple 2,Red mohawk,Quirkie tongue,Another green,Lab coat,Misty turquoise,25.49177738915199,31
32,Pierced,Blue bmx helmet,Need coffee,Quirk green,Pink camo parka,Purple,23.314939104676366,32
33,Blue 2,Pink beanie,Quirkie tongue,Purple,Trash hoodie skateboard,Pinkish,21.559258057137395,33
34,Double green,Blue pink long,Focused,Blueer ,Hawian shirt,Purple with stars,40.09884363749675,34
35,Pierced,Long blonde,Just two eyes,Peach,trash tee,Honey melon,19.31199980853915,35
36,Bubbles,Halo,Hockey mask,Dr qurkensteins monsta,Yellow backpack,Blurple,33.91896773715886,36
37,Feather,Sideways cap,Emo,Another green,Pink back pack,Blurple,16.573332935435555,37
38,Overgrown,Watermelon helmet,Zipped,Qurikie bot MK 3,Trash hoodie skateboard,Blurple,20.71653622672703,38
39,Purple 2,Green goo,Chuffed,Green pink paint splat,Purple puffa,Pinkish,26.896341889335197,39
40,Pierced,Aviator ,Nearly focused,Another green,Bones tee,Misty turquoise,18.25855185025481,40
41,Double green,Turtle fren,Wait,Blue,Hawian shirt,Turquoise,9.691350378355926,41
42,Overgrown,Pizza,Spooked,Light purple,Pink back pack,Simply pink,16.503109631031528,42
43,Orange 1,Pink beanie,Focused,Yellow,Pink camo parka,Pale peach,6.46078316908592,43
44,Diamond rings,Blue bmx helmet,Hmm,Blue,Quirkbot mk2,Honey melon,23.174492496258082,44
45,Pierced,Artic bobble ,4 eyes cheerfull,Light purple,Hawaiian shirt surfboard,Neutral,19.452446442682824,45
46,Bubbles,Mind blown,Blergh ,Quirkie bot MK 1,Jpeg hoodie,Turquoise,23.45532952727639,46
47,Heart,Sailor,Rainbow face,Blueer ,Reflective space hoodie,Purple,36.5873972586243,47
48,Bubbles,Party hat,Tongue out,Quirkiebot MK2,Quirkbot mk3,Blurple,21.06773705826708,48
49,Gold ring,Thunder,Chuffed,Green pink paint splat,Red scarf jacket,Pale peach,29.21407631398949,49
50,Pink 1,Squiddie pink,Pink bandana,Orange,Green backpack,Mist in the artic,19.24184674576263,50
51,Pink 1,Blue pink long,Skull mask,Quirk green,Hawian shirt,Misty pink,24.578776030710802,51
52,Ufo green,Party hat,Proud,Yellow,Blue skull tee,Misty turquoise,30.89901426307826,52
53,Heart,Squiddie pink,VR wave,Quirkiebot MK2,trash tee,The blues,23.947075320090963,53
54,Bones,Aviator ,Pink sunglasses,Purple,Reflective space hoodie,Neutral,33.21655203191175,54
55,Rainbow ring,Purple curls,Focused,Qurikie bot MK 3,Squiddie tee,Pale peach,21.629551620319198,55
56,Pink 1,Paper plane,Buttons,Blue,Astroquirkie,Pale peach,5.337111914582903,56
57,Bubbles,Sheriff,What ,Yellow,Space hoodie,Blurple,11.727446990387657,57
58,Purple 2,Horns,Cutie,Dr qurkensteins monsta,Astroquirkie with squid sample,Purple,45.29535441239267,58
59,Graff bubble,Red mohawk,Bubblegum,Qurikie bot MK 3,Trash hoodie skateboard,Misty green,35.60429903959555,59
60,Planets purple,Long brown,Happy lashes,Another green,Aviator jacket,Purple,32.303761405369116,60
61,Heart,Aviator ,White eyes happy,Yellow,Blue skull tee,Simply pink,17.34570503555524,61
62,Bomb,Beanie brown,Lazers,Light purple,Quirkbot mk1,The blues,20.084385967586314,62
63,Double green,Sheriff,Amazed ,Qurikie bot MK 3,Golden warrior ,The blues,13.061844410573176,63
64,Heart,Blue surfer,VR world,Scaley,Arrows,Turquoise,34.48072610988471,64
65,Red 2,Cap blue,Nearly focused,Pink,Blue camo puffa,Misty pink,35.53408977501985,65
66,Goo,Sock monkey,Lazers,Blueer ,Jpeg hoodie,Purple,37.219435125080444,66
67,Bubbles,Blue dreds,Happy lashes,Orange,trash tee,Misty green,27.458339069718456,67
68,Pink 1,Pizza,FinchOne skull,Light purple,Mountianeer parka,The blues,6.179819711011624,68
69,Blue 2,Sideways cap,Hmm,Pinkish,Blue puffa,Neutral,19.382391711324715,69
70,Feather,Beanie brown,Blank face,Qurikie bot MK 3,Wool demim ,Pale peach,7.3734895091056005,70
71,Orange 1,Sideways cap,FinchOne skull,Peach,Leather jacket gold chain,Simply pink,22.331700424220205,71
72,Pierced 2,Blone surf hair,Emo,Blueer ,Yellow hoodie,Dust,27.458100253875696,72
73,Blue 2,Blue surfer,Need coffee,Pinkish,Green backpack,Simply pink,11.165632453281376,73
74,Orange 1,Wizard hat,Warpaint 2,Yellow,Bones tee,Blurple,17.20532865979956,74
75,Heart,Archaeology hat,3 eyes happy,Orange,Quirkbot mk1,Honey melon,11.65713942245761,75
76,Orange 1,Blue dreds,Fired up ,Quirkiebot MK1 2 gold edition,Orange puffa,Turquoise,35.67455044314517,76
77,Ufo green,Bubble brains,Anxious,Quirkie bot MK 1,Pirate garbs,Pale peach,29.635233531437212,77
78,Pierced 2,Blue graffiti bubbles,Smile,Blue,Pink skull tee,Purple,26.123885497235648,78
79,Bubbles,Rabbit in a hat,Pink sunglasses,Quirkie bot MK 1,Mountianeer parka,Neutral,25.281079360423607,79
80,Pierced,Blue bmx helmet,Reptile,Quirk green,Red bandana adventurer ,Blurple,14.115236187326824,80
81,Pink 1,Antlers,Mk1,Blue,Pyjamas,Simply pink,14.326004432347103,81
82,Pierced,Long purple,1 eye,Quirk green,Hawian shirt,Simply pink,14.60699600671725,82
83,Heart,Red mohawk,Goggles ,Light purple,Space hoodie,Purple,31.81212800562888,83
84,Overgrown,Watermelon helmet,VR wave,Greeeen,Tuesday office shirt,Pale peach,30.829001691352335,84
85,Double green,Halo,Goggles full,Quirk green,Yellow backpack,Neutral,16.011209324878074,85
86,Heart,Sideway cap blue green,Buttons,Pinkish,Punk rock,Simply pink,21.629340886861538,86
87,Rainbow ring,Sideway cap blue green,Spooked,Peach,Green camo puffa,The blues,21.27836484069061,87
88,Bubbles,Artic bobble brown hair,Warpaint 1,Quirkie bot MK 1,Blue skull tee,Turquoise,19.873842479091543,88
89,Purple 2,Blue pink long,Wait,Peach,Explorer,Mist in the artic,28.371382565964225,89
90,Fire,Archaeology hat,Woooaaah,Purple,Blue tee with chain,Pinkish,28.9330004546555,90
91,Purple 2,Pink beanie blonde hair ,4 eyes cheerfull,Pink,Red scarf jacket,The blues,21.27835078059379,91
92,Bones,Blone surf hair,Smile,Orange,Mountianeer parka,Dust,17.13507726482507,92
93,Rainbow ring,Blue bucket hat,Warpaint 1,Quirk green,UFO engineer overalls,Honey melon,27.388157907406573,93
94,Pierced,Red mohawk,Hmm,Pinkish,Pink skull tee,Purple,26.33442897793485,94
95,Fire,Horns,What ,Quirkie bot MK 1,Pink hoodie,Honey melon,24.368092053893886,95
96,Blue 2,Blue bmx helmet,Pink mist falls,Orange,Pink raincoat,Dust,22.75312455119938,96
97,Lightning bolts,Sock monkey,What ,Light purple,Punk rock,Pinkish,12.148829004508087,97
98,Green mech rings,Green mech trio,Green mech mask,Green mech helmet,Green mech,Turquoise,67.48660820285897,98
99,Doughnuts,Watermelon helmet,What ,Yellow,Yellow backpack,Neutral,18.258467573866096,99
100,Overgrown,Crew cut brown,Spooky relaxed,Peach,Pink camo puffa,Dust,29.845650601840905,100
101,Feather,Aviator ,Bubblegum,Light purple,Pink skull tee,Dust,18.047924071729067,101
102,Overgrown,Archaeology hat,Water falls,Purple,Yellow hoodie,Dust,32.58441580714246,102
103,Diamond rings,Long blonde,Sunglasses blue,Orange,Big purple hoodie and chain,The blues,20.92722018717324,103
104,Goo,Lightning beanie,Water falls,Qurikie bot MK 3,Astroquirkie comms,Neutral,17.06479775745252,104
105,,,Quirky ape stoked,Quirky ape surfer,Quirky ape Hawaiian shirt and surfboard,Turquoise,65.44992153800331,105
106,Pink 1,Long brown,Smile,Yellow,Blue camo puffa,Pinkish,9.901921975350977,106
107,Doughnuts,Rabbit ears,Green vision,Pinkish,Wool demim ,Pinkish,14.536351240854795,107
108,Heart,Sideway cap blue green,Nest beard,Light purple,Squiddie tee,Misty pink,36.86823429782796,108
109,Pierced,Pink clip,Amazed ,Pinkish,Astroquirkie comms,Purple,28.72214788803218,109
110,Planets purple,Squiddie pink,Goggles full,Qurikie bot MK 3,Space hoodie,Turquoise,14.887847106017727,110
111,Pink 1,Artic bobble brown hair,Amazed ,Green pink paint splat,Yellow scarf jacket,Simply pink,27.879468216084657,111
112,Bubbles,Artic bobble ,Blergh ,Pinkish,Yellow backpack,Pale peach,9.691069412235663,112
113,Gold ring,Sailor,Hmm,Another green,Dungarees,The blues,4.775297352141007,113
114,Doughnuts,Aviator ,Green vision,Quirkiebot MK2,Astroquirkie comms,The blues,19.382377648109667,114
115,Pink 1,Watermelon helmet,Lazers,Blue,Bones tee,Pale peach,8.848277335520441,115
116,Goo,Blue graffiti bubbles,What ,Qurikie bot MK 3,Hawian shirt,Pinkish,9.69125204615796,116
117,Double green,Snakes,3 eyes happy,Orange,Pink back pack,Turquoise,6.249972781193939,117
118,Gold ring,Halo,Happy lashes,Orange,Quirkbot mk3,Honey melon,12.078732131447612,118
119,Overgrown,Mad science,Proud,Orange,Red bandana adventurer ,Blurple,19.101582759573283,119
120,Blue 2,Pink surfer,Happy lashes,Yellow,Explorer map,Neutral,19.943897213178104,120
121,Pierced,Nurse,Toxic mask,Another green,Leather jacket gold chain,Blurple,12.008579068671093,121
122,Blue 2,Artic bobble ,Blergh ,Light purple,Yellow hoodie,Pinkish,9.480413546647473,122
123,Doughnuts,Mind blown,Pink bandana,Qurikie bot MK 3,Arrows,Simply pink,22.050779074327306,123
124,Red 2,Sock monkey,Anxious,Pink,Explorer,The blues,16.71366716403197,124
125,Gold ring,Crew cut brown,Blank face,Orange,Orange puffa,Blurple,16.57337507401969,125
126,Pierced 2,Shark fin,Need coffee,Purple,Quirkbot mk3,Blurple,32.93584142288231,126
127,Blue 2,Pencil,Cutie,Light purple,Bones tee,Mist in the artic,23.666041608306017,127
128,Overgrown,Graffiti can,Beaming ,Green pink paint splat,Casual jacket ,Purple with stars,61.37691346873076,128
129,Heart,Beanie brown,Spooked,Another green,Casual jacket ,Honey melon,11.587028514635929,129
130,Ufo green,Thunder,Nearly focused,Another green,trash tee,Neutral,23.45516096592383,130
131,Bubbles,Green goo,4 eyes cheerfull,Green pink paint splat,Yellow backpack,Turquoise,27.66893875338618,131
132,Red 2,Archaeology hat,3 eyes what,Another green,Space hoodie,Pinkish,4.494193406524126,132
133,Zombie bones,Braaaaains,Zombie infection,Zombie green,Zombie Astro,Pinkish,70.29554053921923,133
134,Bubbles,Paper plane,Green vision,Quirk green,Tuesday office shirt,Misty pink,31.74167992871842,134
135,Orange 1,Party hat,Smile,Peach,Green trash hoodie,Misty pink,24.087212888968786,135
136,Ufo green,Thunder,Pink sunglasses,Blue,Yellow hoodie,Turquoise,15.37946645072826,136
137,Lightning bolts,Studs,Rainbow face,Quirkie bot MK 1,Explorer,Turquoise,20.084737167538517,137
138,Bubbles,Thunder,Quirkie tongue,Yellow,Ancient quirkie robes,Misty turquoise,29.77569419956253,138
139,Overgrown,Rabbit ears,Pink bandana,Diamond,Fur coat,Misty pink,57.02280144058886,139
140,Orange 1,Archaeology hat,Buttons,Quirkie bot MK 1,Mountianeer parka,Dust,20.575949126478594,140
141,Feather,Sock monkey,Bubblegum,Blueer ,Astroquirkie,Dust,28.651882461804494,141
142,Gold ring,Beanie brown,Proud,Quirk green,Pink back pack,Misty pink,20.576075562499494,142
143,Orange 1,Lightning beanie,Chuffed,Another green,Quirkbot mk1,Pinkish,7.794983894472769,143
144,Heart,Beanie brown,3 eyes what,Blue,Space hoodie,Pale peach,9.05879272993675,144
145,Rainbow ring,Blue graffiti bubbles,Bubblegum,Light purple,Pyjamas,Purple with stars,45.295340369446116,145
146,Orange 1,Pink bobble,Toxic mask,Orange,Quirkbot mk1,Turquoise,7.303603365605,146
147,Gold ring,Rabbit in a hat,What ,Quirk green,Astroquirkie comms,The blues,7.8651229263858715,147
148,Goo,Blue surfer,Dead serious,Orange,Pink hoodie,The blues,12.780894995445438,148
149,Graff bubble,Archaeology hat,Need coffee,Light purple,Blue tee with chain,Turquoise,8.216309702116673,149
150,Double green,Party hat,Warpaint 1,Blue,Yellow hoodie,Misty green,25.912990803721552,150
151,Bubbles,Green goo,Warpaint 1,Greeeen,Wool demim ,The blues,20.295055897948668,151
152,Red 2,Rabbit in a hat,Happy lashes,Greeeen,Purple puffa,Just Green,41.36270865721987,152
153,Bubbles,Purple curls,Water falls,Purple,Green backpack,ultra rare rainbow,52.52852374871111,153
154,Lightning bolts,Archaeology hat,Green vision,Qurikie bot MK 3,Yellow hoodie,Misty green,26.264205682885507,154
155,Goo,Sailor,Green bandana,Peach,Leather jacket gold chain,Misty pink,30.267341655501795,155
156,Purple 2,Long brown,Green vision,Golden,Aviator jacket,Misty green,50.07067985510414,156
157,Heart,Green goo,Nearly focused,Another green,Hawian shirt,Misty green,28.090222422056165,157
158,Orange 1,Bubble brains,Nearly focused,Orange,Blue skull tee,Pale peach,4.845703290467333,158
159,Blue 2,Pink bobble,Pink vision,Orange,Wizard robe,ultra rare rainbow,44.522982309154756,159
160,Goo,Blone surf hair,Anxious,Shiny,Green trash hoodie,Honey melon,32.93568689707052,160
161,Bones,Blue dreds,Blergh ,Shiny,Trash hoodie skateboard,Misty turquoise,56.4612678317943,161
162,Red 2,Nurse,Bubblegum,Light purple,Jpeg hoodie,Neutral,17.977588387113393,162
163,Pierced,Pink surfer,Need coffee,Quirk green,Lab coat,Neutral,16.15165592004388,163
164,Lightning,Crew cut yellow,Hmm,Quirkiebot MK2,Pink back pack,Blurple,31.882295119537307,164
165,Doughnuts,Donut head,Happy lashes,Pink,Yellow backpack,Simply pink,21.418980028001492,165
166,Orange 1,Pink beanie blonde hair ,Beaming ,Greeeen,Blue camo tee with chain ,Simply pink,24.297924964541515,166
167,Planets purple,Archaeology hat,Emo,Blue,Purple komono,Neutral,28.16061430808125,167
168,Red 2,Graffiti can,Big eyes ,Greeeen,Quirkbot mk1 5 ,The blues,24.859879997375735,168
169,Graff bubble,Studs,Woooaaah,Light purple,Purple puffa,Blurple,20.22490283517215,169
170,Red 2,Long brown,Chuffed,Pinkish,Yellow scarf jacket,Pale peach,14.606939825186558,170
171,White 27,Pizza,Happy lashes,Pinkish,Yellow tracksuit,Pinkish,12.500029835268583,171
172,Bones,Artic bobble ,Tongue out,Quirkie bot MK 1,Tan backpack,Simply pink,25.070493724379787,172
173,Goo,Yellow curls,3 eyes happy,Greeeen,Purple suit,Simply pink,25.351513389710167,173
174,Pink 1,Rabbit ears,Sunglasses blue,Quirk green,Yellow rain coat,Misty pink,22.191029017959877,174
175,Red 2,Watermelon helmet,What ,Quirk green,Explorer,Simply pink,8.707844761863361,175
176,Feather,Horns,Spooked,Quirk green,Tan backpack,Pinkish,14.88784709315503,176
177,Rainbow ring,Head band ,Lashes heart tattoo,Pink,Yellow backpack,Pale peach,25.140801308680537,177
178,Goo,Nurse,Spooked,Blue,Hawaiian shirt surfboard,Blurple,14.607080295189101,178
179,Double green,Archaeology hat,Goggles ,Yellow,Casual jacket ,Dust,13.763965106363685,179
180,Red 2,Rabbit ears,Spooky relaxed,Another green,Pink raincoat,Honey melon,8.988836328048155,180
181,Red 2,Bubble brains,3 eyes happy,Yellow,Green trash hoodie,Turquoise,10.463525804335209,181
182,Pierced,Blue surfer,Smile,Quirkiebot MK2,Green camo puffa,Mist in the artic,25.49173525173719,182
183,Goo,Rabbit ears,Focused,Another green,Hawian shirt,The blues,5.2665374028208785,183
184,Lightning bolts,Artic bobble brown hair,Amazed ,Another green,Astroquirkie,Mist in the artic,20.154637358663017,184
185,Feather,Pink beanie,Blank face,Purple,Leather jacket gold chain,Misty green,40.73058650268165,185
186,Blue 2,Horns,Need coffee,Blue,Pink skull tee,Dust,15.660120864584753,186
187,Lightning bolts,Wings hat,Hmm,Pink,trash tee,Pale peach,18.11823165602982,187
188,Gold ring,Pink goo,Water falls,Pinkish,Lab coat,Blurple,14.115531188598068,188
189,Graff bubble,Artic bobble ,Wait,Quirkiebot MK2,Green camo puffa,Misty turquoise,36.23623855709325,189
190,Pierced 2,Sailor,Pink vision,Pink,Wool demim ,Pinkish,23.244561283035665,190
191,Bomb,Pink beanie,Emo,Pinkish,Mountianeer parka,Pale peach,18.469320124508492,191
192,Goo,Pink bobble,Chuffed,Yellow,Aviator jacket,Misty pink,26.33461161224692,192
193,Ufo green,Archaeology hat,4D,Green pink paint splat,Blue skull tee,Simply pink,39.818076835243254,193
194,Blue 2,Purple cap,Vamp,Orange,Yellow rain coat,Pale peach,15.449703810551766,194
195,Pink 1,Thunder,Quirkie tongue,Quirk green,Tan backpack,Honey melon,9.339798351930796,195
196,Planets purple,Horns,Reptile,Greeeen,Astroquirkie,Misty pink,43.469548393427196,196
197,Red 2,Antlers,Dandy tash blue,Green pink paint splat,Pyjamas,Neutral,41.643686184745675,197
198,Pierced,Rabbit ears,Water falls,Pink,Space hoodie,Blurple,14.536463645622499,198
199,Fire,Squiddie pink,Dandy tash blue,Quirkiebot MK2,Mountianeer parka,Turquoise,22.12098833929279,199
200,Blue 2,Head band ,Blergh ,Green pink paint splat,Blue puffa,Honey melon,27.458086227299844,200
201,Graff bubble,Light bulb,Warpaint 3,Light purple,Tuesday office shirt,Pinkish,22.963864722019906,201
202,Blue 2,Rabbit ears,Emo,Greeeen,Yellow hoodie,Simply pink,19.452418342757678,202
203,Red 2,Long brown,Long lashes,Orange,Big purple hoodie and chain,Neutral,20.22500112488424,203
204,White 27,Blue pink long,3 eyes what,Qurikie bot MK 3,Pink skull tee,Simply pink,19.522655694395834,204
205,Double green,Pizza,Sunglasses blue,Blue,Golden warrior ,Simply pink,12.710812166111078,205
206,Gold ring,Yellow cap ,Anxious,Another green,Blue puffa,Turquoise,9.550664946299305,206
207,Rainbow ring,Snakes,Skull mask,Another green,Blue tee with chain,The blues,18.258720440450993,207
208,Bones,Sailor,Dandy tash blue,Blueer ,Arrows,Misty turquoise,39.95839702050334,208
209,Orange 1,Mad science,White eyes shock,Greeeen,Astroquirkie,The blues,17.97747599949595,209
210,Orange 1,Pink beanie,4 eyes cheerfull,Blue,Mountianeer parka,Misty green,19.943897208890537,210
211,Double green,Crew cut brown,2D,Qurikie bot MK 3,Pink back pack,Simply pink,15.02818134318927,211
212,Bones,Long purple,What ,Yellow,Green camo puffa,Blurple,22.823333815775083,212
213,Blue 2,Archaeology hat,White eyes shock,Blue,Space hoodie,Blurple,8.49709054809628,213
214,Orange 1,Snakes,Need coffee,Shiny,Blue puffa,Honey melon,31.74190469264972,214
215,Blue 2,Paper plane,Pink sunglasses,Another green,Tan backpack,Neutral,14.67705074976872,215
216,Fire,Party hat,Pink vision,Diamond,Yellow backpack,Turquoise,37.4304000594425,216
217,White 27,Horns,Pink sunglasses,Light purple,Ancient quirkie robes,Turquoise,14.887833046310686,217
218,Fire,Antlers,4 eyes cheerfull,Quirkie bot MK 1,trash tee,Misty turquoise,39.74755852138263,218
219,Feather,Wings hat,Pink bandana,Purple,Explorer,The blues,26.826287151350847,219
220,Pierced 2,Archaeology hat,VR world,Yellow,Hawian shirt,Purple,27.668882558603013,220
221,Pierced,Pink goo,Pink sunglasses,Blueer ,Cherry blossom komono,Pinkish,19.03110658741502,221
222,Heart,Pink beanie,Big eyes ,Blue,Quirkbot mk2,Pale peach,16.292257076491342,222
223,Feather,Rabbit in a hat,Water falls,Another green,Blue skull tee,Turquoise,6.250057066937343,223
224,Lightning bolts,Pink surfer,What ,Greeeen,Tan backpack,Pinkish,18.890519478981236,224
225,Double green,Nurse,Spooked,Qurikie bot MK 3,Blue camo tee with chain ,Pale peach,8.848207102078282,225
226,Goo,Long brown,Smile,Another green,Wool demim ,Misty turquoise,21.348433614995276,226
227,Blue 2,Archaeology hat,Wait,Another green,Yellow hoodie,Dust,13.834061995794865,227
228,Lightning bolts,Beanie brown,Bubblegum,Green pink paint splat,Space hoodie,Turquoise,24.15775929301009,228
229,Double green,Donut head,Blergh ,Orange,Punk rock,Dust,16.29238350393711,229
230,Orange 1,Yellow curls,3 eyes what,Light purple,Wool demim ,The blues,7.514189005936385,230
231,Bubbles,Green goo,Vamp,Qurikie bot MK 3,Blue skull tee,Simply pink,17.135091312838753,231
232,Fire,Blue mega mohawk,Chuffed,Blueer ,Bones tee,The blues,26.053788628852516,232
233,Doughnuts,Sideway cap blue green,Blergh ,Pinkish,Tuesday office shirt,Simply pink,20.786661194645525,233
234,Ufo green,Pink beanie blonde hair ,Zipped,Pinkish,Yellow tracksuit,Misty turquoise,38.83465551618745,234
235,Pink 1,Blossom brain ,Vamp,Blue pink paint splats,Pink camo puffa,Neutral,37.92175249384202,235
236,Lightning bolts,Blue dreds,Just two eyes,Blue,Ancient quirkie robes,Purple,31.46109573933917,236
237,Blue 2,Pink goo,Blergh ,Qurikie bot MK 3,Quirkbot mk1,Purple,25.843104639172903,237
238,Blue 2,Sheriff,Rainbow face,Another green,Cherry blossom komono,Pinkish,12.921341616336637,238
239,Lightning bolts,Rabbit ears,Quirkie tongue,Quirk green,Pink camo parka,Blurple,12.9918177701753,239
240,Blue 2,Ice cream,Water falls,Orange,Pink camo puffa,Dust,15.730554905954456,240
241,Pierced 2,Head band ,Wait,Yellow,Quirkbot mk1,ultra rare rainbow,41.29271012220405,241
242,Orange 1,Head band ,4 eyes cheerfull,Quirkie bot MK 1,Blue tee with chain,Turquoise,13.061928694757466,242
243,Bomb,Thunder,Hmm,Light purple,Hawaiian shirt surfboard,Mist in the artic,34.199790733026184,243
244,Feather,Graffiti can,Blank face,Quirkiebot MK2,Lab coat,Pinkish,23.806628694912195,244
245,Diamond rings,Donut head,Dead plain,Orange,Yellow rain coat,Honey melon,29.424521471455634,245
246,Graff bubble,Rabbit in a hat,Quirkie tongue,Dr qurkensteins monsta,Pink back pack,Pinkish,33.07614756129805,246
247,Feather,Pink beanie blonde hair ,Buttons,Quirkiebot MK2,Green trash hoodie,Pinkish,23.666069698096916,247
248,Double green,Lightning beanie,Beaming ,Pinkish,Purple puffa,Pale peach,11.587126842936108,248
249,Doughnuts,Blue bmx helmet,Long lashes,Quirk green,Tuesday office shirt,Dust,26.124040027724792,249
250,Pierced,Sideways cap,Zipped,Yellow,Green trash hoodie,Misty green,31.109993257537127,250
251,Goo,Turtle fren,Cutie,Light purple,Jpeg hoodie,Blurple,16.08167145681823,251
252,Pierced,Bubble brains,1 eye,Greeeen,Hawaiian shirt surfboard,Misty pink,34.97251403192873,252
253,Blue 2,Rabbit ears,Misery ,Pinkish,Dungarees,The blues,11.376232141236661,253
254,Orange 1,Pink beanie,Chuffed,Another green,Green trash hoodie,Dust,12.218982091840665,254
255,Gold ring,Aviator ,Goggles ,Dr qurkensteins monsta,Arrows,Misty pink,40.590111794728,255
256,Ufo green,Pizza,Bubblegum,Qurikie bot MK 3,Casual jacket ,Misty pink,31.039741846191937,256
257,Bubbles,Purple cap,Woooaaah,Quirk green,Yellow hoodie,Turquoise,14.606855523072449,257
258,Lightning bolts,Pink bucket hat,3 eyes happy,Qurikie bot MK 3,Prison overalls,Turquoise,16.573389129828943,258
259,Rainbow ring,Long blonde,Chuffed,Yellow,Quirkbot mk1,Purple with stars,42.69703581511961,259
260,Orange 1,Head band ,Long lashes,Light purple,Astroquirkie,Dust,14.747330243499016,260
261,Red 2,Archaeology hat,White eyes shock,Blueer ,Blue puffa,Pinkish,16.71376549194237,261
262,Pink 1,Paper plane,Cutie,Peach,Green backpack,Pinkish,10.252954232675773,262
263,Graff bubble,Beanie brown,Emo,Dr qurkensteins monsta,Mountianeer parka,Turquoise,29.84577703708225,263
264,Bubbles,Blue bmx helmet,Blergh ,Pinkish,I hate mondays shirt,Simply pink,19.452741421736686,264
265,Diamond rings,Artic bobble brown hair,3 eyes what,Greeeen,Tuesday office shirt,Misty pink,46.41898353220934,265
266,White 27,Wings hat,Hockey mask,Pinkish,Mountianeer parka,Pinkish,20.43578347287699,266
267,Pierced 2,Light bulb,4 eyes cheerfull,Blue,Purple puffa,Pinkish,12.85118851964937,267
268,Pierced 2,Wings hat,Misery ,Another green,Lab coat,Misty pink,30.47771657134043,268
269,Feather,Bubble brains,Lazers,Quirk green,Punk rock,Turquoise,16.22218830647424,269
270,Overgrown,Squiddie green,Smile,Quirkiebot MK2,Aviator jacket,Misty turquoise,35.53396333899895,270
271,Bomb,Crew cut brown,Pink bandana,Pinkish,Reflective space hoodie,Misty green,41.152052780328106,271
272,Goo,Rabbit in a hat,Water falls,Blue,Fur coat,Misty turquoise,25.491819536311255,272
273,Pink 1,Party hat,Reptile,Pinkish,Ancient quirkie robes,Turquoise,9.410049751192847,273
