,Head,Face,Body,Skin,Background,Rarity score,Token Id
74,Beanie Pink,Cross Eyed,Lab Coat,Dark Gray,Purple,42.82116000120987,74
75,Panda Hat,Football,Overalls,Light Gray,Mint,47.43053738437391,75
76,Flat Cap Blue,Monocle,Kimono Orange,Dark Gray,Yellow,45.854011500082756,76
77,Hat Blue,Circle Glasses,Lei Purple,Ice,Mint,54.712903910797436,77
78,Beanie Pink,Goggles,Vote 4 Pudgy,Leopard Pink,Blue,63.12618983795745,78
79,Afro With Pick,Beard,Lei Blue,Dark Gray,Blue,37.20086489479964,79
80,Durag Blue,Circle Glasses,Vote 4 Pudgy,Gold,Purple,56.46058642580072,80
81,None,Normal,Turtleneck Blue,Red,Blue,43.88354116817247,81
82,Hat Red,Blushing,Puffer Green,Normal,Purple,9.167779135845663,82
83,Bucket Hat Green,Eyepatch,Shirt Blue,Normal,Tangerine,17.050005591448254,83
84,Flat Cap Black,Eyepatch,Shirt Blue,Olive Green,Mint,47.75605735507892,84
85,Fish Gold,Monocle,Bow Tie Pink,Normal,Blue,15.730623409058705,85
86,Hat Blue,Normal,Lei Blue,Mint,Yellow,55.14121773508239,86
87,Beanie Pink,Normal,Shirt Red,Normal,Pink,21.796561627474407,87
88,Mohawk Purple,Squad,Kimono Brown,Light Gray,Beige,43.19805665353435,88
89,Egg Gold,Normal,Lab Coat,Light Gray,Beige,40.55927492707934,89
90,Wizard Hat,Scar,Suit Red,Olive Green,Beige,59.099441419375566,90
91,Beanie Pink,Circle Glasses,Swordman,Light Gray,Purple,42.03294333247318,91
92,Beanie Orange,Monocle,Vote 4 Pudgy,Maroon,Tangerine,51.457181688199015,92
93,Flat Cap Blue,Football,Fish Lover,Dark Gray,Mint,42.204310123042895,93
94,Flat Cap Black,Blushing,Christmas Sweater Red,Light Gray,Beige,38.29743419856824,94
95,Hat Red,Circle Glasses,Scarf Blue,Dark Gray,Mint,31.56329447727148,95
96,Hatched,Monocle,Pudgy Man,Olive Green,Yellow,62.93759401493808,96
97,Bucket Hat Green,Squad,Ice Coat,Olive Green,Pink,60.1788202491888,97
98,Macaroni,Winking,Poncho,Normal,Yellow,16.19324105134274,98
99,Durag Red,Beard,Scarf Blue,Light Gray,Tangerine,47.79029755226866,99
100,Polar Bear Hat,Handlebar Bear,Overalls,Dark Gray,Beige,48.73276958885929,100
101,Bucket Hat Tan,Monocle,Shirt Red,Cream,Red,59.442024609494226,101
102,Camo Helmet,Eyepatch,Lei Pink,Olive Green,Purple,51.66275782321242,102
103,None,Blushing,Christmas Sweater Red,Normal,Pink,20.802687845446595,103
104,Mohawk Purple,Scouter,Turtleneck Blue,Light Gray,Blue,42.735516131845344,104
105,Backwards Hat Red,Winking,Tribal Necklace,Olive Green,Purple,42.61550288641606,105
106,Sombrero,Normal,Lei Blue,Normal,Beige,12.749027116274217,106
107,Flat Cap Blue,Winking,Bronze Medal,Normal,Mint,5.089403377631778,107
108,Pirate Hat,Beard,Kimono Brown,Dark Gray,Mint,40.37082949177484,108
109,Flat Cap Black,Circle Glasses,Hoodie Pink,Gold,Yellow,64.25699548153364,109
110,Ninja Headband,Star Glasses,Bow Tie Black,Normal,Tangerine,25.92627550280274,110
111,None,Clout Goggles,Scarf Green,Dark Gray,Blue,35.74433490327795,111
112,Pirate Hat,Aviator,Kimono White,Maroon,Pink,64.95950465348466,112
113,Durag Red,Blushing,Puffer Green,Dark Gray,Blue,28.359074262293433,113
114,Wizard Hat,Beard,Kimono Blue,Olive Green,Yellow,62.57772009168623,114
115,Flat Cap Tan,Scouter,Lei Assorted,Olive Green,Tangerine,61.46401237224227,115
116,Afro With Pick,Cute,Lei Blue,Dark Gray,Blue,32.608610498383385,116
117,Backwards Hat Blue,Circle Glasses,Lei Assorted,Mint,Purple,53.49624231066049,117
118,Flat Cap Blue,Star Struck,Bronze Medal,Normal,Purple,23.013178883494614,118
119,Cowboy Hat,Cute,Lei Blue,Normal,Blue,10.075742975092966,119
120,Flat Cap Blue,Scar,Crop Top,Mint,Red,67.64966884537836,120
121,Bowl Cut,Circle Glasses,Kimono Red,Cream,Pink,59.32209812646242,121
122,Hat Blue,Beard,Lei Purple,Baby Pink,Tangerine,56.44341523304599,122
123,Flat Cap Tan,Star Glasses,Turtleneck Blue,Light Gray,Pink,54.284424274378075,123
124,Durag Blue,Cross Eyed,Christmas Lights,Light Gray,Beige,46.31671783540884,124
125,Beanie Gray,Cross Eyed,Scarf Green,Normal,Mint,14.873818367792873,125
126,Afro With Pick,Squad,Scarf Pink,Maroon,Beige,52.810836845759276,126
127,Hat Red,Normal,Crop Top,Olive Green,Yellow,51.98833756275425,127
128,Sombrero,Circle Glasses,Christmas Sweater Blue,Red,Tangerine,55.74099668207676,128
129,Hat Red,Monocle,Kimono Ice,Normal,Tangerine,21.642406521202577,129
130,Jester's Hat,Blushing,Bow Tie Pink,Mint,Blue,43.763691808139995,130
131,Wizard Hat,Circle Glasses,Shirt Blue,Normal,Beige,13.691431670465844,131
132,Grizzly Bear Hat,Squad,Shirt Blue,Mint,Tangerine,57.26594729102664,132
133,Macaroni,Monocle,Bath Robe,Normal,Yellow,22.807542975136354,133
134,Pirate Hat,Cute,Tank Top Blue,Dark Gray,Beige,40.970525532251195,134
135,Jester's Hat,Cute,Lab Coat,Dark Gray,Pink,48.218719346288275,135
136,Grizzly Bear Hat,Blushing,Christmas Sweater Red,Cream,Beige,48.25284771125208,136
137,Durag Blue,Goggles,Hoodie Pink,Baby Pink,Red,66.15898927885088,137
138,Backwards Hat Red,Normal,Shirt Blue,Olive Green,Red,50.30906409964445,138
139,Camo Helmet,Winking,Turtleneck Blue,Normal,Beige,10.212992970140531,139
140,Fish Green,Goggles,Kimono White,Cream,Pink,70.09997236095218,140
141,Bucket Hat Tan,Blushing,Bow Tie Blue,Normal,Pink,20.22013407382026,141
142,Fish Green,Mustache,Bronze Medal,Cream,Blue,53.66771707366967,142
143,Crown,Winking,Surfboard Necklace,Maroon,Tangerine,47.85882807067714,143
144,Mohawk Green,Star Glasses,Scarf Pink,Baby Pink,Mint,53.71904362374674,144
145,Bucket Hat Tan,Monocle,Tank Top Blue,Light Gray,Blue,36.85816216370145,145
146,Backwards Hat Red,Cute,Shirt Blue,Olive Green,Pink,55.809409588347044,146
147,Hat Blue,Cross Eyed,Kimono Red,Mint,Red,65.01089097600499,147
148,Backwards Hat Blue,Hero Mask Red,Lei Blue,Dark Gray,Blue,42.90690413305811,148
149,Hat Red,Cross Eyed,Turtleneck Pink,Normal,Mint,15.901928496540595,149
150,Bowl Cut,Blushing,Huddle Shirt,Normal,Yellow,18.386605242856522,150
151,Afro With Pick,Circle Glasses,Apron,Light Gray,Purple,36.82388340681527,151
152,Flat Cap Tan,Handlebar Bear,Hoodie Black,Maroon,Mint,51.54288147172302,152
153,Headband,Eyepatch,Scarf Green,Normal,Pink,24.88095947988762,153
154,Egg,Squad,Huddle Shirt,Normal,Beige,21.950793862455743,154
155,Biker Helmet,Blushing,Crop Top,Cream,Blue,42.87265043788589,155
156,Viking Helmet,Winking,Scarf Green,Dark Gray,Mint,29.455697552582304,156
157,Headband,Circle Glasses,Shirt Blue,Baby Pink,Purple,43.24943526189141,157
158,Beanie Gray,Monocle,Lab Coat,Dark Gray,Blue,33.13976059242528,158
159,Headband,Circle Glasses,Suit Red,Light Gray,Blue,31.957456801616264,159
160,Backwards Hat Red,Cute,Hoodie Black,Light Gray,Beige,41.775838195377126,160
161,Flat Cap Tan,Squad,Hoodie Black,Gold,Purple,61.9609993941975,161
162,Bucket Hat Green,Handlebar Bear,Christmas Lights,Dark Gray,Blue,37.509277300772126,162
163,Sombrero,Normal,Turtleneck Pink,Normal,Yellow,17.49553494869771,163
164,Bowl Cut,Blushing,Shirt Red,Mint,Tangerine,51.508571865096144,164
165,Afro With Pick,Cucumbers,Turtleneck Green,Normal,Beige,21.642275408677627,165
166,Macaroni,Eyepatch,Lei Purple,Cream,Blue,47.12209027007642,166
167,Backwards Hat Red,Star Glasses,Scarf Pink,Normal,Purple,20.16872461452036,167
168,Mohawk Purple,Winking,Kimono Orange,Light Gray,Blue,29.524266633091518,168
169,Flat Cap Tan,Eyepatch,Turtleneck Blue,Cream,Blue,45.80266181142289,169
170,Cowboy Hat,Normal,Hoodie Pink,Cream,Yellow,52.21108296588854,170
171,Mohawk Purple,Circle Glasses,Turtleneck Pink,Normal,Purple,11.89220665960493,171
172,Hatched,Clout Goggles,Christmas Sweater Blue,Maroon,Pink,67.1527975079221,172
173,Headband,Normal,Pudgy Man,Normal,Tangerine,13.622945496775179,173
174,Top Hat,Cucumbers,Hoodie Black,Normal,Tangerine,22.721847046289696,174
175,Top Hat,Winking,Bow Tie Pink,Mint,Blue,41.45034136085063,175
176,Fish Blue,Eyepatch,Kimono Red,Normal,Beige,23.287312534083597,176
177,Ninja Headband,Blushing,Tank Top Blue,Dark Gray,Mint,32.608550730147634,177
178,Hat Blue,Clout Goggles,Tribal Necklace,Normal,Mint,18.21530208030901,178
179,Cowboy Hat,Circle Glasses,Silver Medal,Normal,Mint,11.052588243928383,179
180,Flat Cap Tan,Eyepatch,Turtleneck Green,Normal,Red,25.46355373854906,180
181,Top Hat,Monocle,Swordman,Red,Purple,57.882812593312615,181
182,Hatched,Beard,Ice Coat,Mint,Yellow,69.43171109434341,182
183,Fish Orange,Winking,Kimono Brown,Light Gray,Beige,38.211790328602646,183
184,None,Football,Kimono Red,Normal,Mint,19.688912640598268,184
185,Sideways Blue,Scar,Swordman,Olive Green,Mint,56.974750423728835,185
186,None,Circle Glasses,Kimono Blue,Normal,Tangerine,16.004791761961968,186
187,Headband,Villain Mask,Bath Robe,Leopard Gray,Blue,59.562103408781695,187
188,Hat Blue,Star Glasses,Apron,Dark Gray,Blue,37.32079716104959,188
189,Macaroni,Winking,Shirt Red,Light Gray,Mint,30.792241292836454,189
190,Durag Red,Cucumbers,Scarf Pink,Dark Gray,Mint,42.94113661518299,190
191,Fish Blue,Blushing,Lei Assorted,Dark Gray,Blue,31.37492617067648,191
192,Hat Blue,Beard,Apron,Light Gray,Blue,38.777323296391266,192
193,Top Hat,Blushing,Turtleneck Pink,Light Gray,Yellow,40.88481610602312,193
194,Hat Red,Cross Eyed,Christmas Lights,Cream,Mint,51.0973617502653,194
195,Pirate Hat,Clout Goggles,Turtleneck Grey,Dark Gray,Tangerine,45.34000753107089,195
196,Backwards Hat Red,Winking,Bath Robe,Mint,Purple,45.20294841888778,196
197,Headband,Clout Goggles,Lab Coat,Light Gray,Beige,44.15761118803443,197
198,Backwards Hat Red,Circle Glasses,Overalls,Olive Green,Yellow,51.97119336656555,198
199,Viking Helmet,Clout Goggles,Tank Top Blue,Dark Gray,Tangerine,45.23721753517365,199
200,Backwards Hat Blue,Circle Glasses,Crop Top,Dark Gray,Yellow,44.75744219631415,200
201,Durag Blue,Cucumbers,Bronze Medal,Normal,Yellow,27.553987185548372,201
202,Pirate Hat,Circle Glasses,Hawaiian Shirt,Dark Gray,Tangerine,38.708709867858346,202
203,Biker Helmet,Winking,Turtleneck Grey,Normal,Blue,5.980375343257329,203
204,Hat Red,Blushing,Puffer Orange,Cream,Pink,53.444773082824305,204
205,Beanie Gray,Aviator,Tank Top Yellow,Normal,Blue,13.759964122223717,205
206,Party Hat,Circle Glasses,Turtleneck Pink,Dark Gray,Mint,33.928010037640256,206
207,Top Hat,Beard,Puffer Blue,Maroon,Beige,54.84993410057852,207
208,Sideways Red,Winking,Lei Blue,Dark Gray,Mint,32.4715263235847,208
209,Party Hat,Eyepatch,Swordman,Light Gray,Yellow,53.08503990638647,209
210,Jester's Hat,Cute,Turtleneck Grey,Normal,Blue,10.864003989449072,210
211,Bucket Hat Green,Circle Glasses,Puffer Green,Baby Pink,Tangerine,48.0130236699948,211
212,Flat Cap Tan,Aviator,Scarf Blue,Dark Gray,Mint,38.96574366397108,212
213,Sideways Blue,Circle Glasses,Turtleneck Blue,Maroon,Mint,45.04865834481259,213
214,Hat Red,Squad,Hoodie Pink,Normal,Yellow,24.60670628741749,214
215,Grizzly Bear Hat,Handlebar Bear,Lei Blue,Maroon,Yellow,61.54966395396683,215
216,Hatched,Circle Glasses,Bath Robe,Normal,Purple,14.496844597878727,216
217,Camo Helmet,Star Struck,Scarf Green,Normal,Red,32.90033373740948,217
218,Durag Red,Normal,Kimono Brown,Light Gray,Blue,30.192554891157197,218
219,Beanie Gray,Normal,Kimono Brown,Normal,Blue,3.5129141262994663,219
220,Biker Helmet,Circle Glasses,Kimono Red,Normal,Yellow,22.224879306436705,220
221,Mohawk Green,Scar,Lei Purple,Baby Pink,Purple,55.24402122655783,221
222,Party Hat,Handlebar Bear,Silver Medal,Normal,Pink,32.369046746121796,222
223,Headband,Circle Glasses,Puffer Orange,Red,Red,59.32211933530226,223
224,Headband,Circle Glasses,Silver Medal,Normal,Beige,13.314438609433369,224
225,Afro With Pick,Normal,Shirt Blue,Normal,Purple,8.60220760174881,225
226,Fish Blue,Star Glasses,Kimono Orange,Olive Green,Pink,67.85532981665273,226
227,Durag Blue,Star Glasses,Lei Assorted,Normal,Tangerine,25.13798363720326,227
228,Afro With Pick,Blushing,Heart,Dark Gray,Blue,28.050708132284402,228
229,Beanie Orange,Blushing,Turtleneck Blue,Normal,Yellow,15.01089483473956,229
230,Beanie Gray,Cross Eyed,Hoodie Pink,Red,Beige,59.93899042050585,230
231,Mohawk Green,Blushing,Kimono Brown,Dark Gray,Blue,25.240453570759954,231
232,Mohawk Green,Scar,Bow Tie Black,Normal,Purple,20.408606500581687,232
233,Party Hat,Blushing,Vote 4 Pudgy,Cream,Purple,44.294664514895636,233
