,Eyes,Mouth,Hat,Clothes,Skin,Background,Rarity score,Token Id
679,Dazy,Brace Face,Sweat Band,Pancho,Dark Green,Candy,43.54732251116974,679
680,Anxious,Thinkin,Party Hat,Tie Dye Tee,Dark Green,Pink,41.367441653952596,680
681,Anxious,Caveduck,Hair,Puffycoat,Grey,Pink,26.592163834143562,681
682,Hippy,Buck Teeth,Hair,Sweater Weather,Mega Black,Bubble Gum,20.536698357798358,682
683,Dead,WhaWha,Bucket Hat,Skull Shirt,Mega Black,Ash,50.208202693653014,683
684,Mini Dots,Eff,Pot Head,Turtle Neck,Red,Candy,45.98677507231507,684
685,Standard,Tongue Out,Beanie,Overalls,Red,Ash,17.820347513227738,685
686,Dead,Basic Smile,Comb Over,Gold Chain White Tee,Grey,Pink,40.20818366195016,686
687,Curious,Caveduck,Pants,Puffycoat,Yellow,Pink,24.516064253671317,687
688,Standard,Woo,Chonies,80s Breaker,Spectrum,Paint Splatter,41.59234808901146,688
689,Tired Cat,Woo,Hair,Zebra Tee,Light Green,Pink,11.972598582001831,689
690,Super Happy,Wonky,Beanie,Overalls,Blue,Pink,25.65787282503878,690
691,Super Happy,Thinkin,Comb Over,Pink Tank,Pink,Deep Purple,33.25308726469891,691
692,Super Happy,Woo,Shark Dome,Wet Suit,Butter Milk,Boardwalk,37.37092046498406,692
693,Tired Cat,Woo,TP Roll,Pink Tank,Light Green,Deep Purple,22.837764924241934,693
694,Cyclops,Bubble Gum,Biker Hat,Hawaiian Shirt,Butter Milk,Paint Splatter,30.052424378035365,694
695,Standard,Wonky,Pants,Nipple Piercing,White Pebble,Bubble Gum,28.927843767851048,695
696,Tired Cat,Brace Face,Sushi Master,Puffycoat,Butter Milk,Sunset,38.08019085104123,696
697,Standard,Wonky,Beanie,Skull Shirt,Blue,Tie Dye,29.187316851928447,697
698,Cave Duck,Brace Face,Doo Rag,White Tee Ripped,Light Green,Tie Dye,26.799728115035826,698
699,Curious,Thinkin,Comb Over,White Tee Ripped,Yellow,Grey,23.477967752297683,699
700,Cave Duck,Wavey,Comb Over,Watermelon Shirt,Light Green,Tie Dye Night,29.49882158032886,700
701,Cave Duck,Eff,Comb Over,Zebra Tee,Yellow,Ash,21.124987187014245,701
702,Super Happy,Tongue Out,Paper Hat,White Tee Ripped,Dark Green,Ash,26.09043524162559,702
703,Buggy,Wonky,Hair,Puffycoat,White Pebble,Sky,38.25317636535566,703
704,Anxious,Woo,Pyramid Head,Sweater Weather,Red,Sky,30.225441037846707,704
705,Alien Punk,Buck Teeth,Beanie,Itchy Ass Sweater,Pink,Sky,39.22205478727165,705
706,Dazy,Woo,Pants,White Tee Ripped,Butter Milk,Sky,26.817108326614488,706
707,Anxious,Caveduck,Backward Cap,Banana Shirt,Butter Milk,Bubble Gum,14.42932754728869,707
708,Curious,Wonky,Backward Cap,80s Breaker,Yellow,Paint Splatter,23.287685062364876,708
709,Tired Cat,Wonky,Kitty Ears,Overalls,Butter Milk,Ash,22.768636813022788,709
710,Cave Duck,Buck Teeth,Backward Cap,Wet Suit,White Pebble,Sky,21.626682909322295,710
711,Dead,Wonky,Mohawk,ETH Tee,Mega Black,Paint Splatter,57.85526884308023,711
712,Tired Cat,Thinkin,Party Hat,Overalls With King Frog,Grey,Pink,41.54038564875005,712
713,Cyclops,Spitter,Hair,420 Tee,Butter Milk,Sunset,42.422774770426926,713
714,Curious,Thinkin,Doo Doo Brain,Overalls,Butter Milk,Boardwalk,41.62692685251563,714
715,Anxious,Wonky,Hair,Wet Suit,White Pebble,Pink,21.159597093325864,715
716,Dead,Wonky,Beanie,Punk Vest,Dark Green,Bubble Gum,42.35366395551663,716
717,Focus,Basic Smile,Hair,White Tee Ripped,Light Green,Sunset,23.1837999804881,717
718,Hippy,Wonky,TP Roll,White Tee,Blue,Yellow Orange,34.32584039062954,718
719,Anxious,WhaWha,Comb Over,Watermelon Shirt,Butter Milk,Boardwalk,37.665008648722555,719
720,Buggy,Bubble Gum,Biker Hat,Pink Tank,Grey,Ash,49.931453198518334,720
721,Hippy,Sly Smile,Backward Cap,Itchy Ass Sweater,White Pebble,Toxic,22.14572596992541,721
722,Hippy,Whistle,Beanie,Turtle Neck,Blue,Sky,39.395005702052636,722
723,Dazy,Thinkin,Gold Fish,Zebra Tee,Spectrum,Yellow Orange,46.43658274677807,723
724,Shadorz,Woo,Pants,White Tee,White Pebble,Candy,34.61992511495258,724
725,Dazy,Buck Teeth,Shark Dome,White Tee,Pink,Pink,40.06975441917633,725
726,Happy,Woo,Backward Cap,Puffycoat,White Pebble,Ash,33.87601887082055,726
727,Tired Cat,Tongue Out,Comb Over,Blasted,Yellow,Candy,18.546973888808072,727
728,Tired Cat,Wonky,Doo Rag,White Tee Ripped,Red,Sky,26.107792963930137,728
729,Tired Cat,Caveduck,Pants,ETH Tee,Butter Milk,Toxic,28.89328749438941,729
730,Standard,Bubble Gum,Kitty Ears,Puffycoat,Yellow,Ash,22.30146622367418,730
731,Anxious,Wonky,Chonies,Zebra Tee,Blue,Deep Purple,36.228926770321685,731
732,Super Happy,Sly Smile,Backward Cap,Wet Suit,Red,Grey,29.671794992836542,732
733,Tired Cat,Thinkin,Shark Dome,Blasted,Lava,Candy,43.65106226493978,733
734,Standard,Sad Face,Hair,Puffycoat,White Pebble,Pink,20.034928246147615,734
735,Curious,Wonky,Beanie,White Tee,Butter Milk,Pink,16.124868675178817,735
736,Anxious,Thinkin,Pants,Bubble Logo Tee,Cheeze,Green,44.533522320385984,736
737,Cyclops,Thinkin,Comb Over,Pink Tank,Yellow,Sky,28.89323904874156,737
738,Cyclops,Tongue Out,Doo Rag,ETH Tee,Grey,Toxic,47.907189759291,738
739,Cyclops,Bubble Gum,Gold Fish,Overalls With King Frog,Light Green,Sky,34.429699520743085,739
740,Standard,Caveduck,Paper Hat,Bone Tee,Butter Milk,Grey,28.63375039076308,740
741,Anxious,Tongue Out,Doo Rag,Pimp Coat,Butter Milk,Candy,13.495104018300916,741
742,Anxious,Woo,TP Roll,Puffycoat,White Pebble,Candy,25.22532944676323,742
743,Anxious,Eff,Doo Rag,White Tee,Light Green,Paint Splatter,19.87930564133988,743
744,Mini Dots,Wonky,Pot Head,White Tee,Butter Milk,Paint Splatter,35.57148214534203,744
745,Cave Duck,Tongue Out,Kitty Ears,White Tee,Dark Green,Deep Purple,33.218639992408086,745
746,Standard,Wonky,Pants,Hawaiian Shirt,Grey,Toxic,31.955555740886236,746
747,Standard,WhaWha,Paper Hat,Biker Jacket,Yellow,Deep Purple,33.11475490707343,747
748,Focus,Basic Smile,Doo Doo Brain,White Tee,Yellow,Yellow Orange,36.92104531501455,748
749,Doh,Sad Face,Doo Rag,Gold Chain White Tee,Light Green,Toxic,36.4192544380343,749
750,Curious,Wonky,Backward Cap,80s Breaker,Butter Milk,Candy,17.85504047086799,750
751,Curious,Buck Teeth,TP Roll,Wet Suit,Dark Green,Bubble Gum,36.60950770603058,751
752,Tired Cat,Cheeky,Beanie,White Tee,Cheeze,Green,43.04559737537775,752
753,Anxious,Sad Face,Pants,Blasted,Dark Green,Pink,35.58877758280009,753
754,Curious,Buck Teeth,Bucket Hat,Pancho,Dark Green,Bubble Gum,30.848187516062936,754
755,Shadorz,Fangs,Chonies,Overalls,Lava,Ash,66.31543855653071,755
756,Super Happy,Caveduck,Gold Fish,420 Tee,Butter Milk,Bubble Gum,24.01434258075266,756
757,Tired Cat,Bubble Gum,Pants,Pink Tank,Dark Green,Toxic,34.29122702374984,757
758,Twack,Eff,Sweat Band,Hawaiian Shirt,Light Green,Grey,38.16669571980251,758
759,Curious,Sly Smile,Biker Hat,Pimp Coat,2 Toned,Sky,47.474623884057166,759
760,Dazy,WhaWha,Comb Over,Sweater Weather,White Pebble,Sky,41.090583164178646,760
761,Super Happy,Thinkin,Beanie,Skull Shirt,Butter Milk,Paint Splatter,17.076449926471142,761
762,Buggy,Thinkin,Doo Rag,Overalls,Yellow,Boardwalk,44.20478270390314,762
763,Triangle,Eff,Hair,Pink Tank,Red,Paint Splatter,43.339669991362506,763
764,Super Happy,Thinkin,Comb Over,White Tee Ripped,Red,Tie Dye Night,26.626709724748345,764
765,Dazy,Buck Teeth,Doo Rag,00_None,Cheeze,Toxic,47.042115107620305,765
766,Curious,Basic Smile,Backward Cap,Turtle Neck,2 Toned,Paint Splatter,33.06276824975123,766
767,Tired Cat,Sad Face,Beanie,White Tee Ripped,Butter Milk,Grey,15.46747076191298,767
768,Standard,Thinkin,Sweat Band,Gold Chain White Tee,Butter Milk,Candy,15.29442123035488,768
769,Tired Cat,Basic Smile,Hair,Hawaiian Shirt,Cheeze,Ash,24.689053227785404,769
770,Tired Cat,Fast Frown,Pants,Watermelon Shirt,Butter Milk,Candy,29.204683226229506,770
771,Dead,Wonky,Doo Rag,Skull Shirt,Butter Milk,Green,33.9625375841594,771
772,Curious,Sly Smile,Headphones,White Tee,Pink,Paint Splatter,42.04203119454991,772
773,Triangle,Fangs,Hair,White Tee,Yellow,Grey,41.03871242109503,773
774,Super Happy,Caveduck,Doo Rag,Zebra Tee,Butter Milk,Yellow Orange,21.41917053041966,774
775,Standard,Caveduck,Spinner,White Tee Ripped,Yellow,Ash,18.408702089395025,775
776,Anxious,Wavey,Hipster Hat,White Tee Ripped,Light Green,Candy,24.81017839070988,776
777,Anxious,Juicy Lips,Beanie,Overalls With King Frog,Grey,Deep Purple,44.810325445681194,777
778,Goggles,Wavey,Kitty Ears,Watermelon Shirt,Dark Green,Pink,56.09060824905171,778
779,Buggy,Thinkin,Pyramid Head,White Tee Ripped,Butter Milk,Tie Dye,38.4607977450449,779
780,Super Happy,Thinkin,Comb Over,Turtle Neck,White Pebble,Bubble Gum,25.311747807469885,780
781,Anxious,Sad Face,Backward Cap,Wet Suit,Light Green,Ash,13.44315368753042,781
782,Standard,Bubble Gum,Hair,White Tee,Pink,Sky,23.789387702351203,782
783,Twack,Sad Face,Mohawk,Pancho,Dark Green,Blue,56.14245649901912,783
784,Focus,Buck Teeth,Backward Cap,Itchy Ass Sweater,Grey,Grey,37.19779480630715,784
785,Tired Cat,Wonky,Wizard Cap,Sweater Weather,White Pebble,Yellow Orange,34.39503252331866,785
786,Goggles,Woo,Comb Over,Hawaiian Shirt,Light Green,Deep Purple,31.038625915422507,786
787,Super Happy,Juicy Lips,Beanie,Watermelon Shirt,Red,Sunset,40.55423082422936,787
788,Standard,Sly Smile,Sombrero,Turtle Neck,Butter Milk,Green,31.055917894617746,788
789,Dead,Buck Teeth,Sweat Band,White Tee,Butter Milk,Deep Purple,26.730677853343245,789
790,Tired Cat,Sad Face,Mohawk,80s Breaker,Light Green,Blue,32.30158905935629,790
791,Tired Cat,Buck Teeth,Tin Foil Hat,Biker Jacket,Pink,Green,45.10444650155066,791
792,Anxious,Basic Smile,Biker Hat,Pancho,Spectrum,Green,35.98662455131991,792
793,Dead,Basic Smile,Pants,Pink Tank,Red,Green,40.48499198021063,793
794,Super Happy,Caveduck,Party Hat,Bone Tee,Light Green,Sunset,33.062892816370535,794
795,Happy,Buck Teeth,Beanie,Sweater Weather,Lava,Paint Splatter,43.582010272002634,795
796,Anxious,Caveduck,Sweat Band,Hawaiian Shirt,Light Green,Tie Dye Night,18.218296562166426,796
797,Namco,Wonky,Bucket Hat,Turtle Neck,Pink,Bubble Gum,45.46773027777793,797
798,Dead,Wonky,TP Roll,Hawaiian Shirt,Zebra,Tie Dye Night,51.8690387551804,798
799,Happy,Caveduck,Sushi Master,Simp Harness,Grey,Toxic,64.34311506521702,799
800,Cyclops,Whistle,Bucket Hat,Zebra Tee,Spectrum,Sunset,51.055910973712116,800
801,Curious,Sly Smile,Hair,Sweater Weather,Butter Milk,Yellow Orange,22.855127844122258,801
802,Anxious,Sad Face,Mohawk,Watermelon Shirt,Lava,Bubble Gum,42.05946677483361,802
803,Dazy,Tongue Out,Biker Hat,White Tee Ripped,Cheeze,Tie Dye,45.93488183611526,803
804,Standard,Tongue Out,Backward Cap,Pink Tank,Zebra,Bubble Gum,25.640639675500875,804
805,Dazy,Bubble Gum,Sweat Band,White Tee Ripped,Pink,Pink,36.48843791872691,805
806,Cyclops,Brace Face,Biker Hat,Pancho,White Pebble,Tie Dye,47.665008649029915,806
807,Anxious,Sly Smile,Bored Cap,Itchy Ass Sweater,White Pebble,Candy,30.190831128461415,807
808,Tired Cat,Bored,Chonies,Itchy Ass Sweater,White Pebble,Sky,42.05947369404873,808
809,Cyclops,Sly Smile,Beanie,Itchy Ass Sweater,Grey,Sunset,40.398419636327056,809
810,Doh,Eff,Spinner,Wet Suit,Red,Bubble Gum,50.83107720328292,810
811,Hippy,Thinkin,Sweat Band,Overalls With King Frog,Spectrum,Yellow Orange,40.03513585894716,811
812,Mad lips,Woo,Headphones,Puffycoat,Yellow,Sunset,42.405491445149245,812
813,Tired Cat,Tongue Out,Paper Hat,Hawaiian Shirt,Spectrum,Sunset,34.81016281711616,813
814,Super Happy,Thinkin,Doo Rag,Itchy Ass Sweater,Pink,Deep Purple,31.66146236418248,814
815,Anxious,Caveduck,Tie Head,Sweater Weather,Red,Bubble Gum,30.052377664016287,815
816,Dazy,Sly Smile,Doo Rag,Watermelon Shirt,Dark Green,Ash,42.28432303261586,816
817,Tired Cat,Thinkin,Biker Hat,White Tee,Cheeze,Candy,32.76861085964588,817
818,Hippy,Basic Smile,Hair,White Tee Ripped,2 Toned,Toxic,25.086993627801252,818
819,Shaun Shadez,Buck Teeth,Taco Hat,Overalls With King Frog,Red,Sky,54.862223869390505,819
820,Cyclops,Thinkin,Mohawk,Watermelon Shirt,Yellow,Sunset,37.35360426527015,820
821,Happy,Fast Frown,TP Roll,Hawaiian Shirt,2 Toned,Blue,65.1389577924683,821
822,Hippy,Buck Teeth,Hair,Hawaiian Shirt,Pink Donut,Green,32.71689928924656,822
823,Anxious,Caveduck,Doo Rag,White Tee Ripped,Dark Green,Tie Dye Night,28.01076688610969,823
824,Tired Cat,Caveduck,Hipster Hat,Cowboy Jacket,Spectrum,Blue,49.30862539944961,824
825,Focus,Tongue Out,Hair,Hawaiian Shirt,Disco,Sunset,44.36046932557034,825
826,Tripped,Bored,Sweat Band,Hawaiian Shirt,Light Green,Bubble Gum,41.86916332495021,826
827,Cave Duck,Bubble Gum,TP Roll,Itchy Ass Sweater,Spectrum,Green,37.786014429540394,827
828,Super Happy,Caveduck,Doo Rag,Flame Shirt,Dark Green,Candy,32.97632220181048,828
829,Curious,Woo,Tie Head,Sweater Weather,Mega Black,Grey,46.1425118628063,829
830,Cyclops,Basic Smile,Flower,Overalls,Blue,Ash,43.14939422756056,830
831,Super Happy,Buck Teeth,Beanie,Hawaiian Shirt,Yellow,Pink,9.39463545569335,831
832,Anxious,Buck Teeth,Wizard Cap,Biker Jacket,Butter Milk,Sky,30.640785868807257,832
833,Doh,Woo,Paper Hat,White Tee Ripped,Yellow,Green,33.84138128342219,833
834,Dead,Woo,Pants,Watermelon Shirt,Blue,Toxic,47.872543519511915,834
835,3 Eyes,Thinkin,Mohawk,White Tee,Blue,Tie Dye Night,52.52657853790592,835
836,Dazy,Woo,Pants,Overalls,White Pebble,Green,37.52652750088543,836
837,Tired Cat,Thinkin,Bucket Hat,Hawaiian Shirt,Light Green,Candy,11.834075907731972,837
838,Cave Duck,Woo,Paper Hat,Skull Shirt,Lava,Yellow Orange,44.118274376879036,838
839,Doh,Bubble Gum,TP Roll,Banana Shirt,Light Green,Candy,34.39505674076366,839
840,Black Eye,Tongue Out,Backward Cap,Zebra Tee,Blue,Candy,33.564543554751445,840
841,Curious,Bubble Gum,Doo Rag,Zebra Tee,Grey,Tie Dye Night,39.048968921477666,841
842,Standard,Buck Teeth,Beanie,Zebra Tee,Butter Milk,Ash,8.339210643962264,842
843,Standard,Sly Smile,Gold Fish,Zebra Tee,Light Green,Ash,19.775474190392035,843
844,Tired Cat,Bubble Gum,Sombrero,Overalls,Dark Green,Sky,37.21511965878599,844
845,Mini Dots,Eff,Headphones,Hawaiian Shirt,Red,Tie Dye Night,49.4815001917223,845
846,3 Eyes,Wonky,Chonies,White Tee,2 Toned,Ash,50.62347139864739,846
847,Buggy,Sly Smile,Doo Rag,Sweater Weather,Light Green,Yellow Orange,36.86916938280776,847
848,Doh,Wonky,Bucket Hat,Sweater Weather,Butter Milk,Bubble Gum,26.055809762181298,848
849,Cave Duck,Caveduck,Pot Head,Itchy Ass Sweater,Yellow,Ash,19.446788209832842,849
850,Alien Punk,Tongue Out,Beanie,Itchy Ass Sweater,Yellow,Blue,28.35690920229268,850
851,Cave Duck,Brace Face,Biker Hat,Pink Tank,Spectrum,Bubble Gum,42.820696136357824,851
852,Mad lips,Whistle,Headphones,Zebra Tee,Mega Black,Bubble Gum,58.11475923191907,852
853,Shaun Shadez,Sly Smile,Comb Over,Puffycoat,Cheeze,Sky,55.53697950303985,853
854,Hippy,Eff,Doo Rag,420 Tee,Yellow,Bubble Gum,24.152792587703377,854
855,Happy,Sly Smile,TP Roll,Trashcan,Blue,Blue,62.751424416980775,855
856,Super Happy,Caveduck,Sweat Band,Itchy Ass Sweater,Butter Milk,Paint Splatter,19.516030518645948,856
857,Standard,Caveduck,Sweat Band,Pancho,Dark Green,Paint Splatter,30.882887390613046,857
858,Hippy,Dog Tongue,Pyramid Head,Bubble Logo Tee,Pink,Paint Splatter,54.67191177250531,858
859,Standard,Fangs,Bucket Hat,Sweater Weather,Dark Green,Pink,34.568054372637384,859
860,Hippy,Sly Smile,Sweat Band,Skull Shirt,Light Green,Pink,20.156172780420878,860
861,Namco,Sad Face,Pot Head,Pimp Coat,Yellow,Candy,33.92795016904293,861
862,Triangle,Hard L,Pyramid Head,White Tee,Cheeze,Sky,65.4330598173265,862
863,Super Happy,Buck Teeth,Bucket Hat,Pancho,Cheeze,Deep Purple,33.270403465565444,863
864,Super Happy,Brace Face,Hair,Gold Chain White Tee,Dark Green,Tie Dye Night,35.53692587303301,864
865,Anxious,Bubble Gum,Comb Over,Zebra Tee,Dark Green,Ash,26.95547529030496,865
866,Hippy,Woo,Comb Over,Skull Shirt,Mega Black,Bubble Gum,30.571349788929037,866
867,Cave Duck,Thinkin,Gold Fish,Blasted,Grey,Candy,38.21855954174997,867
868,Cave Duck,Eff,Doo Rag,Overalls,Butter Milk,Deep Purple,24.031667428236783,868
869,Super Happy,Thinkin,Shark Dome,Puffycoat,Butter Milk,Yellow Orange,29.291163870630026,869
870,Standard,Woo,Beanie,Gold Chain White Tee,Grey,Tie Dye Night,29.429568899032528,870
871,Anxious,Bubble Gum,Sombrero,Zebra Tee,Blue,Blue,39.11823717936455,871
872,Doh,Tongue Out,Doo Rag,Puffycoat,Spectrum,Sky,45.969465791816276,872
873,Mad lips,Basic Smile,Pot Head,White Tee Ripped,White Pebble,Tie Dye,39.65459297872928,873
874,Standard,Buck Teeth,Doo Rag,Puffycoat,Pink,Tie Dye Night,31.47115200007868,874
875,Standard,Basic Smile,Beanie,Pink Tank,Mega Black,Bubble Gum,22.47443616985065,875
876,Happy,Tongue Out,Sushi Master,ETH Tee,2 Toned,Ash,59.619998641938764,876
877,Happy,Thinkin,Doo Rag,Sweater Weather,Light Green,Toxic,34.204763674121324,877
878,Anxious,Woo,Biker Hat,Cowboy Jacket,Mega Black,Yellow Orange,45.51965811274277,878
879,Tired Cat,Bubble Gum,Backward Cap,Overalls,Mega Black,Toxic,28.495312491382236,879
880,Anxious,Caveduck,Hair,Itchy Ass Sweater,Red,Paint Splatter,22.128368245699814,880
881,Hippy,Buck Teeth,Headphones,420 Tee,Spectrum,Boardwalk,46.38471373455481,881
882,Hippy,Wonky,King Frogs Crown,Purple Cape,Disco,Sunset,55.450528265591714,882
883,Super Happy,Bubble Gum,Bucket Hat,Itchy Ass Sweater,Spectrum,Green,32.26694282072983,883
884,Anxious,Eff,Beanie,Itchy Ass Sweater,Butter Milk,Tie Dye Night,17.699312326610137,884
885,Curious,Woo,Hair,Hawaiian Shirt,Light Green,Ash,15.796198264678612,885
886,Standard,Basic Smile,Headphones,Watermelon Shirt,Pink,Ash,29.84480992140332,886
887,Hippy,Basic Smile,Doo Rag,Gold Chain White Tee,Grey,Boardwalk,40.017920006870725,887
888,Zapped,Wonky,Beanie,Hawaiian Shirt,Light Green,Ash,25.67521324834503,888
889,Anxious,Woo,Backward Cap,Zebra Tee,Light Green,Toxic,13.356723213106548,889
890,Standard,Bubble Gum,Doo Rag,Bubble Logo Tee,Butter Milk,Paint Splatter,25.104233701164773,890
891,Anxious,Sad Face,Comb Over,Skull Shirt,Yellow,Toxic,22.66473269667685,891
892,Curious,Tongue Out,TP Roll,Hawaiian Shirt,Yellow,Tie Dye Night,25.744365585845973,892
893,Hippy,Buck Teeth,Hipster Hat,Pimp Coat,Spectrum,Paint Splatter,39.187436229731944,893
894,Hippy,Tongue Out,Beanie,White Tee,Cheeze,Tie Dye,29.34308825078992,894
895,Standard,Basic Smile,Mohawk,Wet Suit,2 Toned,Paint Splatter,39.11823890715122,895
896,Mad lips,Buck Teeth,Biker Hat,Wet Suit,Red,Blue,49.49889251586555,896
897,Super Happy,WhaWha,Backward Cap,White Tee Ripped,White Pebble,Toxic,26.280847684995628,897
898,Super Happy,Basic Smile,Chonies,Zebra Tee,Light Green,Blue,22.82051793396855,898
899,Curious,Thinkin,Beanie,White Tee,Pink,Paint Splatter,31.972799273281005,899
900,Tired Cat,Woo,Bored Cap,Itchy Ass Sweater,2 Toned,Candy,37.19778442652396,900
901,Anxious,Thinkin,Sushi Master,Tie Dye Tee,Disco,Bubble Gum,48.92799428492727,901
902,Hippy,Wonky,Backward Cap,Watermelon Shirt,Pink,Yellow Orange,28.51258717119496,902
903,Curious,Buck Teeth,Doo Rag,420 Tee,Yellow,Grey,29.377722378004417,903
904,Anxious,Tongue Out,Party Hat,White Tee,Light Green,Sunset,22.024704613669652,904
905,Curious,Basic Smile,Backward Cap,White Tee Ripped,Butter Milk,Pink,9.93095838484816,905
906,Focus,Buck Teeth,Hair,Pimp Coat,Yellow,Tie Dye,28.66834299308168,906
907,Doh,Wonky,Backward Cap,Pink Tank,White Pebble,Blue,34.46427136387951,907
908,Anxious,Tongue Out,Backward Cap,Zebra Tee,White Pebble,Tie Dye,18.893069497887748,908
909,Standard,Buck Teeth,Paper Hat,Pink Tank,Grey,Blue,33.997086932642794,909
910,Cave Duck,Wonky,Bored Cap,Zebra Tee,Yellow,Sky,29.377668742080772,910
911,Anxious,Tongue Out,Pants,00_None,Red,Sunset,31.263516780038163,911
912,Namco,Wonky,Comb Over,Sweater Weather,Disco,Ash,47.076733662854764,912
913,Standard,Tongue Out,Doo Rag,Pink Tank,Pink Donut,Sky,37.99368078816206,913
914,Dead,Basic Smile,Backward Cap,80s Breaker,Spectrum,Paint Splatter,39.67179671785692,914
915,Cave Duck,Wonky,Doo Doo Brain,Bubble Logo Tee,2 Toned,Grey,52.111403259028656,915
916,Tired Cat,Thinkin,Beanie,Biker Jacket,Yellow,Yellow Orange,22.491740261610477,916
917,Tired Cat,Eff,Pot Head,White Tee Ripped,White Pebble,Green,29.72368822365743,917
918,Tired Cat,Bubble Gum,Mohawk,Overalls With King Frog,Dark Green,Blue,43.18400586165887,918
919,Standard,Basic Smile,Sweat Band,Itchy Ass Sweater,Yellow,Paint Splatter,14.948387908426946,919
920,Standard,Brace Face,Backward Cap,Hawaiian Shirt,Dark Green,Ash,25.12157931090474,920
921,Twack,Tongue Out,Backward Cap,Skull Shirt,Lava,Bubble Gum,41.66145198278561,921
922,Tired Cat,Wavey,Hair,White Tee,Butter Milk,Green,21.644023330707498,922
923,Hippy,Tongue Out,Headphones,Banana Shirt,Butter Milk,Toxic,27.439910172767345,923
924,Anxious,Wavey,Pants,Sweater Weather,Spectrum,Bubble Gum,34.291149167307516,924
925,Cave Duck,Bubble Gum,Pyramid Head,Biker Jacket,Mega Black,Bubble Gum,40.692580483158395,925
926,Standard,Tongue Out,Backward Cap,Pancho,Blue,Sky,23.495280489138263,926
927,Shaun Shadez,Tongue Out,Doo Rag,White Tee Ripped,Blue,Paint Splatter,43.04556277584431,927
928,Tripped,WhaWha,TP Roll,Banana Shirt,Yellow,Sky,51.644244781092006,928
929,Dazy,Basic Smile,Party Hat,Gold Chain White Tee,Butter Milk,Green,34.74107276100382,929
930,Twack,WhaWha,Beanie,White Tee,Dark Green,Ash,45.571573839753526,930
931,Standard,Basic Smile,Headphones,Pimp Coat,Spectrum,Sky,32.163177115580766,931
932,Anxious,Bubble Gum,Sweat Band,Itchy Ass Sweater,2 Toned,Sunset,35.79637992648334,932
933,Anxious,Woo,Kitty Ears,Sweater Weather,Grey,Toxic,37.47461350742448,933
934,Hippy,Caveduck,Comb Over,White Tee,Red,Candy,19.98306442304753,934
935,Anxious,Tongue Out,Hair,Watermelon Shirt,Butter Milk,Yellow Orange,16.03840878919205,935
936,Dazy,Buck Teeth,Backward Cap,ETH Tee,Mega Black,Deep Purple,39.91410239934782,936
937,Tired Cat,Cheeky,TP Roll,Puffycoat,Mega Black,Tie Dye Night,51.17711744442598,937
938,Dead,Sad Face,Sweat Band,Pimp Coat,Dark Green,Candy,39.86215553260328,938
939,Standard,Cheeky,Sweat Band,Zebra Tee,Cheeze,Grey,47.71687939134511,939
940,Hippy,Brace Face,Beanie,Turtle Neck,Dark Green,Pink,32.33617647447276,940
941,Triangle,Cheeky,Sweat Band,Pimp Coat,Light Green,Ash,44.568073399729734,941
942,Standard,Tongue Out,Gold Fish,Hawaiian Shirt,Pizza,Bubble Gum,33.40888461647624,942
943,Dazy,Caveduck,Bored Cap,White Tee Ripped,Light Green,Grey,34.20476886516555,943
944,Standard,Thinkin,Hair,Pancho,Dark Green,Green,27.61294759483453,944
945,Super Happy,Thinkin,Doo Rag,00_None,Mega Black,Tie Dye,39.03166483471255,945
946,Standard,Wonky,Pot Head,White Tee,Pink,Sunset,32.94171575491431,946
947,Super Happy,Wonky,Doo Rag,00_None,Mega Black,Pink,33.85865941880827,947
948,Mad lips,Wonky,Bucket Hat,Overalls,Dark Green,Blue,46.35013324211133,948
949,Lost Golden Duck Eyes,Lost Golden Duck Mouth,Lost Golden Duck Hat,Lost Golden Duck Clothes,Lost Golden Duck Skin,Lost Golden Duck Background,100.0,949
950,Cave Duck,Thinkin,Backward Cap,Sweater Weather,Dark Green,Deep Purple,23.27032561188943,950
951,Hippy,Eff,Biker Hat,White Tee,Light Green,Green,24.30837021319448,951
952,Cave Duck,Caveduck,Halo,00_None,Blue,Tie Dye,46.851856643200875,952
953,Curious,Thinkin,Pants,Cowboy Jacket,Spectrum,Grey,47.63038317073826,953
954,Super Happy,Sad Face,Pyramid Head,Gold Chain White Tee,Red,Blue,37.09399968921099,954
955,Dazy,Basic Smile,Bucket Hat,Watermelon Shirt,Light Green,Candy,20.450254052628438,955
956,Cyclops,Buck Teeth,Bucket Hat,White Tee,Spectrum,Sky,35.13890762041693,956
957,Super Happy,Wonky,Taco Hat,Zebra Tee,Yellow,Deep Purple,27.457224643926153,957
958,Super Happy,Tongue Out,Sweat Band,Skull Shirt,White Pebble,Tie Dye,27.958937664464088,958
959,Dazy,Basic Smile,Shark Dome,Purple Cape,Pink,Sunset,54.135581923751175,959
960,Anxious,Bubble Gum,Shark Dome,Itchy Ass Sweater,Pink,Ash,33.426181783257825,960
961,Dead,Sad Face,Chonies,ETH Tee,Butter Milk,Grey,46.50585965320358,961
962,Anxious,WhaWha,Gold Fish,Buff Tee,Dark Green,Yellow Orange,49.94873306630161,962
963,Cave Duck,Bubble Gum,Biker Hat,Turtle Neck,Butter Milk,Yellow Orange,28.77209486095314,963
964,Dead,Lolly pop,Bucket Hat,Pimp Coat,Yellow,Toxic,44.68925738116949,964
965,Alien Punk,Wonky,Sweat Band,Pink Tank,Blue,Deep Purple,47.9244350213935,965
