,Eyes,Mouth,Hat,Clothes,Skin,Background,Rarity score,Token Id
57,Tired Cat,Caveduck,Hair,White Tee,Pink Donut,Toxic,34.72369081971743,57
58,Hippy,Eff,Mohawk,Overalls,Light Green,Candy,21.644007759880086,58
59,Cave Duck,Tongue Out,Comb Over,Turtle Neck,Grey,Grey,36.24618068365228,59
60,Hippy,Juicy Lips,Jimmy Hat,White Tee,White Pebble,Toxic,45.312059228859184,60
61,Curious,Wonky,Doo Rag,Hawaiian Shirt,Light Green,Deep Purple,22.509047807406834,61
62,Super Happy,Caveduck,Chonies,Overalls,2 Toned,Green,41.48855816027006,62
63,Anxious,Buck Teeth,Beanie,Hawaiian Shirt,Yellow,Yellow Orange,12.837704374558937,63
64,Tired Cat,Caveduck,Beanie,80s Breaker,Butter Milk,Sunset,22.111181807491523,64
65,Focus,Bubble Gum,Beanie,Itchy Ass Sweater,Dark Green,Paint Splatter,38.35689362946738,65
66,Standard,Thinkin,Pyramid Head,Pimp Coat,Light Green,Yellow Orange,23.92779964804777,66
67,Super Happy,Wonky,Bucket Hat,Sweater Weather,Disco,Sky,34.15275106426747,67
68,Dazy,Basic Smile,Biker Hat,Zebra Tee,Blue,Paint Splatter,42.318920829436564,68
69,Curious,Basic Smile,Doo Rag,Overalls,2 Toned,Deep Purple,36.81715677064866,69
70,Doh,Thinkin,Shroom Boom,Puffycoat,Red,Candy,46.97296103887479,70
71,Standard,Brace Face,Backward Cap,Pink Tank,Pizza,Sky,38.28780184249469,71
72,Dazy,Basic Smile,Biker Hat,Blasted,Blue,Blue,49.585371432863596,72
73,Anxious,Caveduck,Hair,Pimp Coat,Red,Sunset,25.917435880428343,73
74,Anxious,Dog Tongue,Doo Rag,Hawaiian Shirt,Grey,Deep Purple,42.595815652677985,74
75,Super Happy,Wonky,Comb Over,White Tee,Spectrum,Green,32.3015527293467,75
76,Super Happy,Sly Smile,Biker Hat,Pancho,Spectrum,Tie Dye Night,41.83449805569668,76
