,Theme,Asset,Rarity,Rarity score,Token Id
3099,Spacestation,LaserCanons,None,6.367800723238065,3099
3100,Cyberpunk,Crane,None,3.1254109442756666,3100
3101,Cyberpunk,Lanterns,None,0.33427123746773374,3101
3102,Underworld,BooGhost1,None,5.649124032334166,3102
3103,Eastern Gem,Rainbow,None,2.2395881031578204,3103
3104,Eastern Gem,Bridge,None,2.089167400469057,3104
3105,Eastern Gem,Rainbow,None,2.2395881031578204,3105
3106,Eastern Gem,Rainbow,None,2.2395881031578204,3106
3107,Fantasy,Yggdrasil,None,2.022313754702422,3107
3108,Spacestation,SpaceChimp,None,7.370605408249531,3108
3109,Fantasy,YggdrasilCrystals,None,2.089167400469057,3109
3110,Spacestation,Earth,None,4.546047905606616,3110
3111,Eastern Gem,FestivalLanterns,None,4.9137339298169085,3111
3112,Underworld,BloodMoon,None,0.0,3112
3113,Spacestation,Comet,None,4.562758308242018,3113
3114,Cyberpunk,Lanterns,None,0.33427123746773374,3114
3115,Eastern Gem,FestivalLanterns,None,4.9137339298169085,3115
3116,Cyberpunk,Crane,None,3.1254109442756666,3116
3117,Spacestation,LaserCanons,None,6.367800723238065,3117
3118,Underworld,ShopSign,None,3.4763865659650244,3118
3119,Eastern Gem,Rainbow,None,2.2395881031578204,3119
3120,Spacestation,SpaceChimp,None,7.370605408249531,3120
3121,Spacestation,Earth,None,4.546047905606616,3121
3122,Underworld,BloodMoon,None,0.0,3122
3123,Cyberpunk,Lanterns,None,0.33427123746773374,3123
3124,Underworld,ShopSign,None,3.4763865659650244,3124
3125,Fantasy,YggdrasilCrystals,None,2.089167400469057,3125
3126,Cyberpunk,Crane,None,3.1254109442756666,3126
3127,Eastern Gem,Rainbow,None,2.2395881031578204,3127
3128,Underworld,BloodMoon,None,0.0,3128
3129,Eastern Gem,Bridge,None,2.089167400469057,3129
3130,Spacestation,SpaceChimp,None,7.370605408249531,3130
3131,Underworld,BooGhost1,None,5.649124032334166,3131
3132,Underworld,ShopSign,None,3.4763865659650244,3132
3133,Spacestation,LaserCanons,None,6.367800723238065,3133
3134,Eastern Gem,Rainbow,None,2.2395881031578204,3134
3135,Cyberpunk,Hazmat,None,6.6185049035547365,3135
3136,Eastern Gem,Bridge,None,2.089167400469057,3136
3137,Cyberpunk,Lanterns,None,0.33427123746773374,3137
3138,Eastern Gem,Bridge,None,2.089167400469057,3138
3139,Fantasy,YggdrasilVenom,None,2.139307634622334,3139
3140,Eastern Gem,Bridge,None,2.089167400469057,3140
3141,Eastern Gem,Bridge,None,2.089167400469057,3141
3142,Fantasy,Yggdrasil,None,2.022313754702422,3142
3143,Cyberpunk,Kong,None,7.521026110938295,3143
3144,Underworld,BloodMoon,None,0.0,3144
3145,Eastern Gem,Bridge,None,2.089167400469057,3145
3146,Fantasy,Yggdrasil,None,2.022313754702422,3146
3147,Cyberpunk,Gator,None,5.699270284557822,3147
3148,Fantasy,YggdrasilVenom,None,2.139307634622334,3148
3149,Cyberpunk,Lanterns,None,0.33427123746773374,3149
3150,Spacestation,SpaceChimp,None,7.370605408249531,3150
3151,Eastern Gem,Rainbow,None,2.2395881031578204,3151
3152,Eastern Gem,Rainbow,None,2.2395881031578204,3152
3153,Eastern Gem,Rainbow,None,2.2395881031578204,3153
3154,Underworld,BloodMoon,None,0.0,3154
3155,Eastern Gem,FestivalLanterns,None,4.9137339298169085,3155
3156,Fantasy,YggdrasilCrystals,None,2.089167400469057,3156
3157,Underworld,BloodMoon,None,0.0,3157
3158,Cyberpunk,Cybercar,None,8.039141865000152,3158
3159,Cyberpunk,Lanterns,None,0.33427123746773374,3159
3160,Spacestation,Earth,None,4.546047905606616,3160
3161,Spacestation,ConstructionSite,None,4.211770650297435,3161
3162,Cyberpunk,Lanterns,None,0.33427123746773374,3162
3163,Spacestation,Comet,None,4.562758308242018,3163
3164,Underworld,BloodMoon,None,0.0,3164
3165,Spacestation,LaserCanons,None,6.367800723238065,3165
3166,Underworld,BloodMoon,None,0.0,3166
3167,Fantasy,Yggdrasil,None,2.022313754702422,3167
3168,Underworld,BloodMoon,None,0.0,3168
3169,Eastern Gem,MoneyCat,None,8.022428453615726,3169
3170,Cyberpunk,Cybercar,None,8.039141865000152,3170
3171,Spacestation,ConstructionSite,None,4.211770650297435,3171
3172,Eastern Gem,Rainbow,None,2.2395881031578204,3172
3173,Underworld,BloodMoon,None,0.0,3173
3174,Spacestation,Earth,None,4.546047905606616,3174
3175,Eastern Gem,Bridge,None,2.089167400469057,3175
3176,Eastern Gem,NinjaNoob,None,6.718782363112267,3176
3177,Spacestation,Comet,None,4.562758308242018,3177
3178,Fantasy,Yggdrasil,None,2.022313754702422,3178
3179,Spacestation,ConstructionSite,None,4.211770650297435,3179
3180,Fantasy,YggdrasilCrystals,None,2.089167400469057,3180
3181,Fantasy,YggdrasilVenom,None,2.139307634622334,3181
3182,Eastern Gem,Rainbow,None,2.2395881031578204,3182
3183,Spacestation,SpaceWalk,None,7.470885876785018,3183
3184,Fantasy,Yggdrasil,None,2.022313754702422,3184
3185,Underworld,BloodMoon,None,0.0,3185
3186,Underworld,BloodMoon,None,0.0,3186
3187,Spacestation,ConstructionSite,None,4.211770650297435,3187
3188,Cyberpunk,Lanterns,None,0.33427123746773374,3188
3189,Underworld,BloodMoon,None,0.0,3189
3190,Underworld,ShopSign,None,3.4763865659650244,3190
3191,Underworld,BooGhost2,None,6.802352429126818,3191
3192,Fantasy,YggdrasilVenom,None,2.139307634622334,3192
3193,Fantasy,Yggdrasil,None,2.022313754702422,3193
3194,Underworld,BooGhost1,None,5.649124032334166,3194
3195,Eastern Gem,ShrineGate,None,7.5711663453205045,3195
3196,Fantasy,YggdrasilCrystals,None,2.089167400469057,3196
3197,Eastern Gem,FestivalLanterns,None,4.9137339298169085,3197
3198,Spacestation,ConstructionSite,None,4.211770650297435,3198
3199,Underworld,ShopSign,None,3.4763865659650244,3199
3200,Underworld,ShopSign,None,3.4763865659650244,3200
3201,Cyberpunk,Hazmat,None,6.6185049035547365,3201
3202,Spacestation,ConstructionSite,None,4.211770650297435,3202
3203,Spacestation,Earth,None,4.546047905606616,3203
3204,Eastern Gem,FestivalLanterns,None,4.9137339298169085,3204
3205,Eastern Gem,Rainbow,None,2.2395881031578204,3205
3206,Cyberpunk,Lanterns,None,0.33427123746773374,3206
3207,Fantasy,YggdrasilVenom,None,2.139307634622334,3207
3208,Underworld,ShopSign,None,3.4763865659650244,3208
3209,Spacestation,Comet,None,4.562758308242018,3209
3210,Spacestation,ConstructionSite,None,4.211770650297435,3210
3211,Fantasy,YggdrasilCrystals,None,2.089167400469057,3211
3212,Underworld,ShopSign,None,3.4763865659650244,3212
3213,Underworld,ShopSign,None,3.4763865659650244,3213
3214,Underworld,BooGhost1,None,5.649124032334166,3214
3215,Fantasy,YggdrasilVenom,None,2.139307634622334,3215
3216,Spacestation,ConstructionSite,None,4.211770650297435,3216
3217,Spacestation,ConstructionSite,None,4.211770650297435,3217
3218,Cyberpunk,Hazmat,None,6.6185049035547365,3218
3219,Fantasy,YggdrasilCrystals,None,2.089167400469057,3219
3220,Spacestation,BioFrame,None,7.253611528329619,3220
3221,Eastern Gem,Crystals,None,7.972288219347984,3221
3222,Cyberpunk,Lanterns,None,0.33427123746773374,3222
3223,Underworld,BloodMoon,None,0.0,3223
3224,Eastern Gem,Rainbow,None,2.2395881031578204,3224
3225,Underworld,ShopSign,None,3.4763865659650244,3225
3226,Spacestation,ConstructionSite,None,4.211770650297435,3226
3227,Underworld,BloodMoon,None,0.0,3227
3228,Spacestation,SpaceWalk,None,7.470885876785018,3228
3229,Spacestation,ConstructionSite,None,4.211770650297435,3229
3230,Eastern Gem,Bridge,None,2.089167400469057,3230
3231,Fantasy,YggdrasilVenom,None,2.139307634622334,3231
3232,Spacestation,Comet,None,4.562758308242018,3232
3233,Spacestation,Earth,None,4.546047905606616,3233
3234,Underworld,BloodMoon,None,0.0,3234
3235,Cyberpunk,Crane,None,3.1254109442756666,3235
3236,Underworld,DemonicStatues,None,7.48759928828391,3236
3237,Cyberpunk,Lanterns,None,0.33427123746773374,3237
3238,Cyberpunk,Lanterns,None,0.33427123746773374,3238
3239,Spacestation,LaserCanons,None,6.367800723238065,3239
3240,Spacestation,Comet,None,4.562758308242018,3240
