,Background,Headwear,Mouth,Accessory,Eyes,Clothes,Fur,Rarity score,Token Id
150,Green,None,Smirk,None,Laser Visor,Doctor,Black,33.12723703660609,150
151,Orange,Cyborg,Normal,None,Laser Visor,Orange Gi,Brown,24.306110832820206,151
152,Red,Blonde Hair,Smirk,None,Laser Visor,Army,Brown,26.39952206423444,152
153,Pyramids,Blue Hair,Bone,None,Laser Visor,Tux Shirt,Orange,12.736599084310384,153
154,Snowy Mountains,Blonde Hair,Tongue Out,None,VR,Poncho,Brown,28.117405661212096,154
155,Beach,Halo,Flames,None,VR,Scarf,Orange,11.881790111396146,155
156,Lightning,Cyborg,Cigarette,None,VR,DEV,Black,38.66426719641137,156
157,Red,Party Hat,Bubblegum,None,Laser Visor,Rocker Vest,Black,35.739963351744976,157
158,Blue,Cowboy Hat,Pizza,None,VR,Doctor,Orange,10.715112734998309,158
159,Purple,Blonde Hair,Bone,None,Laser Visor,Poncho,Brown,26.063946660723676,159
160,Green,Clown,Cigarette,None,VR,Bat,Brown,26.3915936270806,160
161,Red,Mohawk,Growl,None,Laser Visor,Sailor,Orange,9.21301097468033,161
162,Red,Clown,Bubblegum,None,Laser Visor,Rocker Vest,Black,37.60155927527228,162
163,Snowy Mountains,Clown,Party Popper,None,VR,Scarf,Orange,13.783307099255747,163
164,Green,None,Herb,None,VR,Astro,Brown,23.14759601474052,164
165,Snowy Mountains,Cyborg,Growl,None,Laser Visor,Peace Tank,Orange,12.784579642334235,165
166,Orange Fade,Clown,Smirk,None,VR,None,Orange,11.322374174885518,166
167,Orange Fade,Halo,Flames,None,VR,Jersey,Orange,11.090832151862461,167
168,Blue,Party Hat,Party Popper,None,VR,Army,Brown,24.394054795686955,168
169,Orange Fade,Mohawk,Smirk,None,Laser Visor,Bat,Brown,26.93503202066428,169
170,Purple,Blue Hair,Cigarette,None,Laser Visor,Overalls,Black,36.4669800073903,170
171,Orange,Mohawk,Normal,None,Laser Visor,Tux Shirt,Brown,22.62027100047243,171
172,Orange,Blue Hair,Party Popper,None,Laser Visor,Army,Orange,10.63515632894242,172
173,Green,Blonde Hair,Flames,None,VR,DEV,Black,36.962397095900556,173
174,Green,None,Smirk,None,Laser Visor,Orange Gi,Brown,22.468468019136694,174
175,Orange,Blonde Hair,Smirk,None,VR,Poncho,Black,37.09024056339271,175
176,Snowy Mountains,Blonde Hair,Flames,None,Laser Visor,Ryoshi,Black,39.08775301620354,176
177,Orange Fade,Party Hat,Pizza,None,Laser Visor,Ryoshi,Orange,11.322500436317076,177
178,Blue,Mohawk,Whistle,None,Laser Visor,Clown,Brown,25.073287469068294,178
179,Red,Cyborg,Party Popper,None,VR,Peace Tank,Orange,10.563269805738232,179
180,Snowy Mountains,Party Hat,Normal,None,VR,Tux Shirt,Brown,24.282195265187905,180
181,Snowy Mountains,Party Hat,Smirk,None,Laser Visor,Rocker Vest,Orange,11.65004431782536,181
182,Purple,Party Hat,Bone,None,VR,Astro,Black,35.771881667372504,182
183,Rainbow,Blonde Hair,Smirk,None,VR,Doctor,Brown,28.69271922369202,183
184,Purple,Clown,Smirk,None,VR,Scarf,Brown,27.33436015969799,184
185,Pyramids,Mohawk,Bone,None,Laser Visor,Poncho,Orange,11.346441565668327,185
186,Yellow,Cyborg,Flames,None,Laser Visor,Peace Tank,Brown,26.383567706759724,186
187,Rainbow,None,Tongue Out,None,Laser Visor,Astro,Brown,25.352933911510274,187
188,Space,Blonde Hair,Growl,None,VR,Wizard Robe,Orange,12.281201350761844,188
189,Snowy Mountains,Halo,Party Popper,None,Laser Visor,Overalls,Orange,10.851086805555664,189
190,Beach,Cowboy Hat,Party Popper,None,Laser Visor,Orange Gi,Brown,28.381150477978746,190
191,Orange Fade,Cowboy Hat,Herb,None,Laser Visor,No FUD,Orange,13.096209915013851,191
192,Rainbow,Cowboy Hat,Herb,None,VR,DEV,Orange,12.920449825547378,192
193,Space,None,Herb,None,Laser Visor,Tux Shirt,Orange,8.805481116467085,193
194,Rainbow,Blue Hair,Bubblegum,None,VR,Astro,Orange,13.703431406799336,194
195,Snowy Mountains,Clown,Cigarette,None,Laser Visor,No FUD,Orange,13.192039970443956,195
196,Snowy Mountains,Clown,Smirk,None,VR,DEV,Orange,13.072234421681236,196
197,Blue,Blonde Hair,Cigarette,None,Laser Visor,Clown,Orange,10.994785541654812,197
198,Pyramids,None,Cigarette,None,Laser Visor,Peace Tank,Brown,24.370164005903604,198
199,Pyramids,None,Pipe,None,VR,Clown,Brown,24.52197976543802,199
200,Green,Cyborg,Pizza,None,Laser Visor,Bat,Orange,10.747098176435605,200
201,Red,Blonde Hair,Tongue Out,None,VR,Rocker Vest,Brown,26.3755553593281,201
202,Red,Cowboy Hat,Normal,None,Laser Visor,Poncho,Black,34.66118600158146,202
203,Green,Party Hat,Flames,None,VR,Ryoshi,Orange,9.268921566157232,203
204,Pyramids,Cyborg,Flames,None,VR,Peace Tank,Black,39.12769085968226,204
205,Purple,None,Tongue Out,None,VR,Sailor,Orange,6.07280462030033,205
206,Snowy Mountains,Blonde Hair,Normal,None,Laser Visor,Business Suit,Orange,10.363470292388591,206
207,Snowy Mountains,Blonde Hair,Normal,None,VR,Ryoshi,Orange,10.155767918859283,207
208,Red,Blue Hair,Growl,None,Laser Visor,Army,Orange,10.563228249097639,208
209,Beach,Blonde Hair,Cigarette,None,Laser Visor,None,Black,36.994339385639755,209
210,Green,None,Pizza,None,VR,Bat,Black,32.49602887012068,210
211,Blue,Cowboy Hat,Bubblegum,None,VR,Tux Shirt,Orange,10.659174178573016,211
212,Red,Cyborg,Cigarette,None,Laser Visor,Business Suit,Orange,10.954762987886152,212
213,Beach,Clown,Pizza,None,VR,Jersey,Orange,12.832556998890349,213
214,Lightning,None,Pizza,None,VR,Orange Gi,Orange,8.294145625086323,214
215,Snowy Mountains,Blonde Hair,Growl,None,Laser Visor,Orange Gi,Black,38.91196096438866,215
216,Red,Blue Hair,Growl,None,Laser Visor,Peace Tank,Orange,10.55521510591113,216
217,Beach,Cyborg,Pipe,None,Laser Visor,Cowboy,Orange,13.319937780580378,217
218,Red,Cyborg,Bubblegum,None,VR,Blue Armor,Black,36.82652531106662,218
219,Orange Fade,None,Pizza,None,Laser Visor,Clown,Orange,9.14113643498425,219
220,Red,Cyborg,Party Popper,None,VR,Doctor,Black,36.99428424741798,220
221,Snowy Mountains,Party Hat,Pizza,None,Laser Visor,None,Orange,9.356827981313511,221
222,Lightning,Party Hat,Party Popper,None,VR,Overalls,Orange,10.739181720661238,222
223,Orange Fade,Party Hat,Party Popper,None,Laser Visor,Tux Shirt,Orange,11.322434903436179,223
224,Snowy Mountains,Clown,Tongue Out,None,VR,No FUD,Black,38.9998306206713,224
225,Purple,None,Bubblegum,None,Laser Visor,Sailor,Brown,22.07696045486327,225
226,Pyramids,Party Hat,Party Popper,None,VR,Peace Tank,Orange,11.05073688035867,226
227,Red,None,Whistle,None,Laser Visor,Peace Tank,Brown,22.212769907042347,227
228,Orange Fade,None,Whistle,None,VR,Business Suit,Orange,8.677661624328307,228
229,Pyramids,Clown,Herb,None,Laser Visor,Orange Gi,Orange,13.311930226126279,229
230,Red,Blonde Hair,Bone,None,Laser Visor,Steel,Orange,10.75502021508863,230
231,Pyramids,Party Hat,Tongue Out,None,Laser Visor,Scarf,Orange,12.201324855632475,231
232,Blue,Blue Hair,Party Popper,None,VR,Army,Orange,10.187722990344888,232
233,Snowy Mountains,Mohawk,Normal,None,VR,Ryoshi,Orange,8.605760718998615,233
234,Lightning,Cowboy Hat,Growl,None,Laser Visor,None,Black,36.93044042829313,234
235,Beach,Cowboy Hat,Normal,None,Laser Visor,No FUD,Brown,26.127846415599056,235
236,Yellow,Party Hat,Pipe,None,VR,Ryoshi,Orange,8.669649290023273,236
237,Red,Cyborg,Herb,None,VR,Bat,Brown,26.255737823686935,237
238,Green,None,Party Popper,None,Laser Visor,Steel,Orange,6.751945400488745,238
239,Lightning,Cyborg,Smirk,None,Laser Visor,Business Suit,Orange,12.840529383674564,239
240,Rainbow,Blonde Hair,Pizza,None,Laser Visor,Doctor,Black,39.223588843772475,240
241,Snowy Mountains,Party Hat,Pipe,None,VR,Business Suit,Black,37.04232792054761,241
242,Rainbow,Blonde Hair,Smirk,None,VR,Peace Tank,Orange,12.768636466049447,242
243,Lightning,Clown,Whistle,None,VR,Sailor,Orange,12.648763789170935,243
244,Blue,Cyborg,Growl,None,VR,None,Brown,24.44192747890021,244
245,Red,Mohawk,Normal,None,Laser Visor,Ryoshi,Orange,6.815893902003152,245
246,Orange Fade,Clown,Party Popper,None,VR,Business Suit,Brown,28.62880988073297,246
247,Yellow,Party Hat,Growl,None,VR,Orange Gi,Brown,24.490011915221572,247
248,Orange,Cowboy Hat,Herb,None,Laser Visor,Bat,Orange,10.898881166159233,248
249,Pyramids,Cyborg,Pipe,None,VR,Jersey,Brown,28.365102618240083,249
250,Purple,Mohawk,Herb,None,VR,Orange Gi,Brown,24.418111800857343,250
251,Snowy Mountains,Cyborg,Pipe,None,VR,Business Suit,Orange,12.592814043750721,251
252,Orange,None,Tongue Out,None,Laser Visor,Army,Black,32.727767475289504,252
253,Green,Cyborg,Pizza,None,VR,Ryoshi,Orange,10.707122770878124,253
254,Pyramids,Mohawk,Growl,None,VR,Tux Shirt,Orange,11.274508689120918,254
255,Yellow,Blue Hair,Smirk,None,VR,Business Suit,Orange,10.403428115949307,255
256,Yellow,Cowboy Hat,Bone,None,VR,No FUD,Brown,26.055935918460577,256
257,Purple,Party Hat,Party Popper,None,VR,Tux Shirt,Orange,8.76547374519086,257
258,Orange,None,Growl,None,VR,Cowboy,Orange,7.343217321745896,258
259,Orange,Cowboy Hat,Party Popper,None,VR,Cowboy,Orange,11.402211516958506,259
260,Pyramids,Cowboy Hat,Pipe,None,Laser Visor,Peace Tank,Orange,12.736634241031073,260
261,Yellow,Cowboy Hat,Herb,None,VR,Army,Brown,25.952084730365527,261
262,Purple,Blue Hair,Cigarette,None,VR,Doctor,Brown,25.98408535429526,262
263,Snowy Mountains,Mohawk,Party Popper,None,VR,Business Suit,Brown,26.615365434068984,263
264,Blue,Cowboy Hat,Cigarette,None,Laser Visor,Poncho,Orange,10.818968716070875,264
265,Rainbow,None,Herb,None,Laser Visor,Doctor,Black,35.21268387750397,265
266,Green,None,Pipe,None,VR,Astro,Orange,7.351218475570549,266
267,Rainbow,None,Herb,None,VR,Jersey,Brown,24.346202898244215,267
268,Yellow,None,Herb,None,Laser Visor,Poncho,Black,32.70379677351532,268
269,Yellow,Mohawk,Smirk,None,VR,Sailor,Black,35.02090230634949,269
270,Purple,None,Herb,None,Laser Visor,Orange Gi,Orange,6.472302157031093,270
271,Pyramids,Blue Hair,Cigarette,None,Laser Visor,Poncho,Orange,12.904395574048582,271
272,Orange Fade,Blue Hair,Bubblegum,None,Laser Visor,DEV,Orange,12.856511716386077,272
273,Yellow,Clown,Bone,None,Laser Visor,Cowboy,Orange,11.354205387814229,273
274,Orange,None,Bubblegum,None,VR,Jersey,Orange,6.744017761750591,274
275,Space,Halo,Whistle,None,Laser Visor,Peace Tank,Brown,26.48758509622829,275
276,Red,Party Hat,Pizza,None,VR,Clown,Black,35.524227853705455,276
277,Orange Fade,Clown,Pipe,None,Laser Visor,Ryoshi,Orange,13.048294088084877,277
278,Blue,Blonde Hair,Tongue Out,None,Laser Visor,Steel,Brown,26.231751141891557,278
279,Rainbow,Halo,Pipe,None,Laser Visor,Clown,Orange,11.33052316066919,279
280,Lightning,Blue Hair,Tongue Out,None,Laser Visor,Wizard Robe,Orange,11.889633845532883,280
281,Yellow,Mohawk,Tongue Out,None,Laser Visor,None,Orange,6.991680365440393,281
282,Space,Halo,Bone,None,VR,Army,Brown,26.19194834135261,282
283,Space,Cyborg,Flames,None,Laser Visor,Clown,Orange,13.519725299601348,283
284,Purple,Blue Hair,Pizza,None,Laser Visor,Business Suit,Orange,10.38746416382763,284
285,Pyramids,Mohawk,Tongue Out,None,VR,Scarf,Brown,27.622083655655,285
286,Space,Cowboy Hat,Normal,None,VR,DEV,Black,36.4750123260346,286
287,Red,Halo,Whistle,None,VR,Astro,Orange,9.780290621329808,287
288,Purple,Party Hat,Tongue Out,None,VR,Doctor,Orange,8.805487514613127,288
289,Lightning,Halo,Whistle,None,Laser Visor,Bat,Orange,10.587403517351833,289
290,Red,Mohawk,Normal,None,Laser Visor,Scarf,Orange,7.75069283784703,290
291,Red,Cowboy Hat,Tongue Out,None,Laser Visor,Peace Tank,Orange,10.579241747338346,291
292,Green,Party Hat,Bubblegum,None,VR,Peace Tank,Brown,24.593849516946012,292
293,Orange Fade,Party Hat,Growl,None,Laser Visor,Sailor,Black,37.457876511921484,293
294,Orange,Mohawk,Smirk,None,Laser Visor,Rocker Vest,Brown,25.43285754935185,294
295,Rainbow,Clown,Tongue Out,None,VR,Sailor,Black,39.04780797545355,295
296,Lightning,Clown,Whistle,None,Laser Visor,Rocker Vest,Orange,13.168113222508666,296
297,Space,Blonde Hair,Bubblegum,None,VR,Blue Armor,Orange,12.576906835551505,297
298,Yellow,Blue Hair,Smirk,None,Laser Visor,Jersey,Orange,10.531277173770343,298
299,Yellow,Mohawk,Flames,None,VR,DEV,Orange,9.061212795546199,299
300,Red,None,Whistle,None,VR,Scarf,Black,33.61456667392663,300
301,Space,None,Cigarette,None,Laser Visor,DEV,Brown,24.410129018575823,301
302,Snowy Mountains,Cyborg,Bubblegum,None,VR,Ryoshi,Brown,28.397082470412816,302
303,Pyramids,Cyborg,Pipe,None,VR,Army,Brown,28.253255871793463,303
304,Rainbow,Mohawk,Smirk,None,Laser Visor,Cowboy,Brown,27.765951005758577,304
305,Orange Fade,None,Whistle,None,Laser Visor,Ryoshi,Brown,24.442077700607314,305
306,Orange,Halo,Normal,None,VR,Clown,Brown,22.50046145608356,306
307,Beach,None,Normal,None,VR,Rocker Vest,Brown,21.997051997385498,307
308,Red,Halo,Bone,None,VR,Sailor,Orange,8.629734616209404,308
309,Yellow,Halo,Growl,None,Laser Visor,Jersey,Orange,8.733605781548274,309
310,Purple,Clown,Growl,None,Laser Visor,Bat,Black,36.842557186881585,310
311,Snowy Mountains,Cowboy Hat,Pipe,None,Laser Visor,Business Suit,Brown,28.325212719259596,311
312,Orange Fade,Blonde Hair,Tongue Out,None,Laser Visor,Blue Armor,Orange,12.608842725193409,312
313,Orange,Party Hat,Pizza,None,VR,Overalls,Orange,9.17304435754913,313
314,Purple,Cowboy Hat,Bone,None,Laser Visor,Steel,Brown,26.17584934629116,314
315,Pyramids,Clown,Flames,None,VR,No FUD,Brown,29.060298450116846,315
316,Green,Blonde Hair,Bone,None,VR,Poncho,Orange,10.531356291957538,316
