,Eyes,Mouth,Neck,Feet,Fur,Background,Back,Head,Rarity score,Token Id
5051,Angry,Loogie,None,None,Tan,Swamp,Basketball Hoop,Sea Captain's Hat,47.77663123717424,5257
5052,Anime,Fish,Gold Links,None,Tan,Club Exterior,None,None,32.43696137899149,5258
5053,Whatever,Tennis Ball,None,High Tops,Tan,Outhouse,Mega Rocket Launcher,Fisherman's Hat,67.81084882064967,5259
5054,Closed,Foaming,None,Flippers,Tan,SS Monke Biz,None,None,25.55571907170766,5260
5055,X Eyes,Tennis Ball,Ribbon,Pink Combat Boots,Tan,Swamp,None,Sushi Chef Headband,65.61058249082882,5261
5056,Mystic Eye,Bloody,Beer Can Necklace,Flask,Cyberpunk,SS Monke Biz,None,None,57.79403703312334,5262
5057,Closed,Smiling,None,None,Tan,SS Monke Biz,None,Bow,14.861763154564395,5263
5058,Whatever,Bone,Plaid Bowtie,Combat Boots,Tan,SS Monke Biz,None,Bowler,64.35372773224431,5264
5059,Angry,Gold Teeth,Hawaiian Bandana,Flask,Tan,Club Exterior,None,None,52.623055291443265,5265
5060,Sad,Hot Dog,None,None,Zombie,Bar,None,BAYC Logo Hat Red,38.56715005150649,5266
5061,Hero Mask,Foaming,None,None,Black,Outhouse,Beer Kegs,Sea Captain's Hat,50.87548633525236,5267
5062,Goofy,Tennis Ball,None,None,Brown,Bar,None,Tie,34.701909468938304,5268
5063,Robot,Cyberjaw,Red BAYC Bandana,Boots,Tan,Outhouse,None,Rain Hat,65.2973342874722,5269
5064,Closed,Panting,Plaid Bowtie,None,Brown,Bar,None,None,34.11668446025867,5270
5065,Pilot Goggles,Tennis Ball,Japan Bandana,High Tops,Tan,Club Exterior,None,None,53.147712097306666,5271
5066,Mystic Eye,Loogie,BAYC Collar,None,Pink,Outhouse,Jetpack,None,55.438609566888175,5272
5067,Cyborg,Loogie,None,Flippers,Brown,Outhouse,Cyberpunk Pack,Earbuds,72.05688195516592,5273
5068,Closed,Ape Hand,None,None,Black,Outhouse,None,None,8.195514218126347,5274
5069,Mystic Eye,Smiling,Plaid Bowtie,None,Tan,Swamp,Service Vest,Bow,61.16426193802758,5275
5070,Closed,Bored,Beer Can Necklace,None,DMT,Swamp,Service Vest,Tie,68.6261077311214,5276
5071,Closed,Happy,None,None,Pink,Outhouse,None,None,10.547287737063877,5277
5072,Closed,Ape Hand,None,None,Brown,Club Exterior,None,None,11.287118778985421,5278
5073,Sunglasses,Goofball,None,None,Pink,Swamp,None,None,15.190337329800574,5279
5074,Pilot Goggles,Bored,None,None,Pink,Outhouse,Toilet Paper Dispenser,Cowboy Hat,53.32886353891857,5280
5075,Laser,Fish,USA Bandana,Cyberpunk Boots,Tan,Swamp,None,Missile Launcher,66.04839776175247,5281
5076,Radioactive,Smiling,Red Collar With Bone,None,Tan,SS Monke Biz,None,Bow,39.6689698313816,5282
5077,Cyberpunk Visor,Bored,None,High Tops,Tan,Outhouse,None,Pirate Captain's Hat,45.91218726667876,5283
5078,Closed,Happy,Black BAYC Bandana,None,Black,Outhouse,None,Fez,42.824560663007084,5284
5079,Goofy,Gold Teeth,None,80s Kicks,Pink,SS Monke Biz,Fishing Lures,None,58.892234701981884,5285
