,Eyes,Mouth,Neck,Feet,Fur,Background,Back,Head,Rarity score,Token Id
0,Happy,Smiling,BAYC Collar,Old Laces,Tan,Outhouse,None,None,37.48713106655337,0
1,Mystic Eye,Foaming,None,None,Death Bot,Swamp,Blue Pack,None,40.9523951535485,1
2,Wide,Tennis Ball,Black BAYC Bandana,Cast,Zombie,Outhouse,Beer Kegs,None,77.9105662953568,2
3,Closed,Goofball,None,None,Radioactive,Club Exterior,Beer Kegs,None,37.649605314405285,3
4,Closed,Cigarette,Pink Collar,None,Tan,SS Monke Biz,Blue Pack,Shrunken Head,61.99837929089145,4
5,Whatever,Drooling,BAYC Collar,None,Zombie,SS Monke Biz,None,Bird,49.95462650943385,5
6,Sad,Bloody,Lei,Pink Combat Boots,Black,Swamp,None,Bow,67.33163161498268,6
7,Anime,Fish,None,Cast,Death Bot,Club Exterior,None,BAYC Logo Hat Black,55.12187877969655,7
8,3D Glasses,Growl,None,Pink Combat Boots,Tan,Outhouse,Beer Saddle,None,52.558741915307685,8
9,Goofy,Bloody,Pink Collar,None,Pink,Outhouse,None,Trippy Captain's Hat,49.8565301407779,9
10,Closed,Stache,Whiskey Barrel,Flask,Brown,SS Monke Biz,None,None,48.23333128323306,10
11,Shutter Shades,Bubblegum,None,None,Cyberpunk,Outhouse,None,None,19.380498496919383,11
12,Happy,Slippers,None,Combat Boots,Galaxy,SS Monke Biz,Blue Pack,Swamp Turtle,71.80396488832226,12
13,Goofy,Hot Dog,Beer Can Necklace,None,Cheetah,Outhouse,None,Pirate Captain's Hat,50.72842059798105,13
14,Closed,Beer Can,None,Boots,Black,Club Exterior,Space Pack,None,53.18146245727197,14
15,Cyborg,Beer Can,None,None,Brown,Outhouse,None,None,14.446730423825393,15
16,Closed,Frog Legs,Red Collar With Bone,Leg Knife,Cheetah,Outhouse,Blue Pack,Santa Hat,87.66651621133623,16
17,Mystic Eye,Golden Hot Dog,BAYC Collar,Rain Boots,Brown,Bar,None,Rat,72.317437603546,17
18,Anime,Cyberjaw,Lei,None,Brown,Outhouse,Beer Kegs,Spinner Hat,70.19996689169027,18
19,Holographic Visor,Happy,Gold Links,Kicks,DMT,Swamp,None,None,58.205431930471065,19
20,Suspicious,Frog Legs,Christmas Wreath,None,Black,Bar,Mega Rocket Launcher,None,61.55314322365564,20
21,Blue Beams,Smiling,BAYC Collar,None,Brown,SS Monke Biz,Doggie Pack,None,48.39543596987301,21
22,Hypnotized,Fish,Glow Necklace,None,Tan,Bar,None,None,36.509857912168364,22
23,Closed,Cute Smile,Pinstripe Bandana,Combat Boots,Black,Club Exterior,None,None,49.74309760659105,23
24,3D Glasses,Frog Legs,None,Combat Boots,Brown,Swamp,None,King's Crown,48.61847485488387,24
25,Heart Eyes,Stache,None,Boots,Noise,Outhouse,Service Vest,None,59.82072171528717,25
26,Wide,Tennis Ball,None,None,Tan,Bar,None,None,16.673905023000145,26
27,Closed,Cigarette,BAYC Collar,Rain Boots,Death Bot,SS Monke Biz,None,BAYC Flipped Brim Hat,64.64809979996518,27
28,Whatever,Red Raybeam,None,Combat Boots,Galaxy,Club Exterior,None,Sea Captain's Hat,56.00131741217411,28
29,Happy,Cigar,None,Rollerblades,Death Bot,Outhouse,None,None,34.89055678405816,29
30,Whatever,Ape Hand,None,High Tops,Tan,Swamp,Rocket Launcher,White Headband,67.47489909889475,30
31,Shutter Shades,Cyberjaw,Plaid Bowtie,Leg Knife,Tan,Outhouse,None,None,50.11683183554203,31
32,Closed,Rainbow Teeth,None,High Tops,Brown,Club Exterior,None,Fez,46.21404892625061,32
33,Bloodshot,Hot Dog,Black BAYC Bandana,None,Zombie,Outhouse,Beer Kegs,Fisherman's Hat,73.36656841820563,33
34,Happy,Bloody Fangs,None,None,Black,SS Monke Biz,None,Purple Headband,25.499161444264352,34
35,Zombie,Heavy Drooling,None,Space Boots,Cheetah,Swamp,None,White Headband,52.70625267093006,35
36,Happy,Cyberjaw,None,High Tops,Pink,Outhouse,None,Swamp Turtle,47.09734203828642,36
37,Shutter Shades,Frog Legs,None,Rain Boots,Tan,Swamp,None,None,30.29673055388022,37
38,Radioactive,Cute Smile,BAYC Collar,Cast,Death Bot,Outhouse,None,Halo,69.64903515984201,38
39,Pilot Goggles,Bored,None,Combat Boots,Mega Death Bot,Swamp,None,None,38.197116976145914,39
40,Happy,Fish,None,Rain Boots,Robot,Club Exterior,None,Missile Launcher,51.22661613831184,40
41,Hypnotized,Beer Can,None,None,Black,SS Monke Biz,None,Bowler,29.228637926527473,41
42,Whatever,Kazoo,None,None,Cyberpunk,Bar,Basketball Hoop,Rain Hat,62.32706703425174,42
43,Happy,Cute Smile,BAYC Collar,Flippers,Pink,Bar,Fishing Lures,Earbuds,91.7235781054378,43
44,Snorkel Gear,Bloody,BAYC Collar,Space Boots,Galaxy,Swamp,None,None,55.81996941750841,44
45,Goofy,Happy,None,None,Tan,SS Monke Biz,Fishing Lures,None,33.380479877533475,45
46,Shutter Shades,Slippers,None,Old Laces,Tan,SS Monke Biz,None,None,31.04411684784829,46
47,Happy,Fish,BAYC Collar,None,Tan,Outhouse,None,Banana Peel,38.16671236565701,47
48,Happy,Gold Teeth,None,Gold Kicks,Brown,Bar,None,None,36.75894919846014,48
49,Mystic Eye,Confused,Gold Links,None,Solid Gold,Bar,None,None,45.36124218814431,50
50,Happy,Ape Hand,None,None,Tan,Club Exterior,Jetpack,Bird,47.19906960090579,51
51,Closed,Smiling,None,Old Laces,Black,Club Exterior,None,None,25.14797735651762,52
52,Blue Beams,Kazoo,None,None,Death Bot,Outhouse,None,Party Hat,35.475773934756546,53
53,Closed,Stache,Black BAYC Bandana,Flask,Cheetah,Club Exterior,None,None,54.13280274109128,54
54,Bloodshot,Beer Can,None,Flask,Tan,Outhouse,None,Missile Launcher,44.79870337389565,55
55,Confused,Fish,None,Leg Knife,Pink,Outhouse,Beer Kegs,Spinner Hat,72.21163267456723,56
56,Cyberpunk Visor,Cigar,Spiked Collar,None,Radioactive,SS Monke Biz,None,Cowboy Hat,54.41232142334454,57
57,Robot,Fish,None,None,Cheetah,Swamp,None,Pirate Captain's Hat,32.49375648706014,58
58,Happy,Panting,None,Old Laces,Black,Club Exterior,Camo Pack,None,54.68748476738144,59
59,Closed,Bloody Fangs,Pink Collar,None,Death Bot,SS Monke Biz,Ninja Kunai,Pimp Hat,70.84160288538624,60
60,Whatever,Blep,None,None,Radioactive,Swamp,None,Fisherman's Hat,33.92814487381731,61
61,Suspicious,Heavy Drooling,Spiked Collar,None,Tan,SS Monke Biz,None,None,30.579858793261327,62
62,Happy,Hot Dog,None,Boots,Trippy,Club Exterior,Fishing Lures,None,59.09979550592185,63
63,Sunglasses,Cyberjaw,Ribbon,None,Tan,SS Monke Biz,None,None,30.425060107680668,64
64,Sad,Happy,Hawaiian Bandana,Rain Boots,Black,Swamp,None,Bird,66.80320524410511,66
65,Whatever,Red Raybeam,None,None,Pink,Outhouse,None,None,16.02840588791965,67
66,Bloodshot,Bloody Fangs,Glow Necklace,None,Tan,Outhouse,None,Fisherman's Hat,45.36110694424779,68
67,Heart Eyes,Cute Smile,BAYC Collar,None,Tan,SS Monke Biz,None,Sea Captain's Hat,42.152652561611006,69
68,Happy,Panting,None,None,Brown,Outhouse,None,None,10.184853146784482,71
69,Closed,Bloody,BAYC Collar,Old Laces,DMT,Bar,None,BAYC Flipped Brim Hat,70.47181354689084,72
70,Glowing Red,Smiling,None,None,Black,Bar,Blue Pack,Swamp Turtle,51.85303470462641,73
71,Holographic Visor,Bored,None,Leg Knife,Tan,Outhouse,Cyberpunk Pack,White Headband,68.2901886746064,74
72,Angry,Bloody,Hawaiian Bandana,Combat Boots,Brown,Swamp,None,Banana Peel,66.72395827236345,75
73,Hypnotized,Smiling,Japanese Bandana,Cast,Black,Outhouse,None,Fisherman's Hat,61.96833559114481,76
74,Robot,Smiling,Beer Can Necklace,None,Tan,Outhouse,Basketball Hoop,Halo,62.11539111290143,77
75,Shutter Shades,Hot Dog,None,None,Pink,Outhouse,Camo Pack,Fez,52.21539261983138,78
76,3D Glasses,Bloody Fangs,None,High Tops,Black,SS Monke Biz,None,None,33.629774024493905,79
77,Snorkel Gear,Diamond Teeth,None,None,Black,Swamp,Beer Kegs,None,36.460596446195645,80
78,X Eyes,Goofball,None,Boots,Brown,Outhouse,None,None,32.897512773359786,81
79,Anime,Red Raybeam,Flamingo Bandana,None,Solid Gold,Outhouse,None,None,38.918080929068395,82
80,Anime,Bloody,Beer Can Necklace,None,Pink,Swamp,Beer Saddle,None,56.23124401652875,83
81,Closed,Goofball,None,Flask,Pink,SS Monke Biz,Service Vest,Bowler,66.33124806419619,84
82,Hero Mask,Cigarette,Red BAYC Bandana,Flippers,Black,SS Monke Biz,Basketball Hoop,Bowler,91.29342421936919,85
83,3D Glasses,Hot Dog,None,None,Noise,Outhouse,Rocket Launcher,Bird,55.57845186126967,86
84,Suspicious,Panting,Ribbon,None,Pink,Outhouse,None,Shrunken Head,50.645420966770224,87
85,Goofy,Bloody Fangs,Golden Bone Necklace,None,DMT,Swamp,Camo Pack,None,59.75280427590482,88
86,Pilot Goggles,Bloody,Flamingo Bandana,Cyberpunk Boots,Tan,Bar,None,Trippy Captain's Hat,72.40430115032024,89
87,3D Glasses,Goofball,None,Combat Boots,Pink,Outhouse,None,None,34.56968570848364,90
88,X Eyes,Smiling,BAYC Collar,Flask,Tan,Bar,None,None,47.568958773942796,91
89,Robot,Red Raybeam,None,Space Boots,Tan,Club Exterior,None,Swamp Turtle,50.10184989157289,92
90,Cyclops,Fire Breath,BAYC Collar,None,Tan,Swamp,None,None,28.473539898342693,93
91,Happy,Heavy Drooling,None,Boots,Black,SS Monke Biz,None,Purple Headband,44.651437533441616,94
92,Closed,Stache,None,None,DMT,Outhouse,None,None,13.427548173059447,96
93,Sunglasses,Cigarette,None,High Tops,Tan,Outhouse,None,None,30.30432826316016,97
94,Cyberpunk Visor,Frog Legs,None,Leg Knife,Tan,SS Monke Biz,None,None,31.37252548037158,98
95,Happy,Happy,None,None,Black,Outhouse,None,None,9.93573591789071,99
96,Whatever,Red Raybeam,Gold Links,Rain Boots,Tan,Swamp,Blue Pack,BAYC Logo Hat Red,86.8513583239843,100
97,Closed,Gold Teeth,Pinstripe Bandana,None,Pink,SS Monke Biz,None,Tie,45.61018210944843,101
98,Mystic Eye,Bloody Fangs,Red Collar With Bone,Gold Kicks,Tan,SS Monke Biz,None,None,51.07174944713137,102
99,Closed,Fish,Pink Collar,Rollerblades,Brown,Club Exterior,Blue Pack,None,71.73588194871762,103
100,Happy,Smiling,None,None,Tan,Bar,Blue Pack,None,29.024449196695105,104
101,Laser,Smiling,BAYC Collar,None,Brown,SS Monke Biz,Camo Pack,Swamp Turtle,63.500533365224264,105
102,Happy,Confused,None,None,Cheetah,Swamp,Toilet Paper Dispenser,Rain Hat,51.61526351932413,106
103,Happy,Drooling,Pink Collar,None,Cheetah,SS Monke Biz,None,Bird,47.93147787873651,107
104,Shutter Shades,Stache,USA Bandana,Combat Boots,Robot,SS Monke Biz,Fishing Lures,Rat,95.9279345268706,108
105,Confused,Bubblegum,Camo Bandana,None,Tan,Bar,None,None,36.91749621533938,109
106,Holographic Visor,Smiling,None,None,Black,Swamp,None,Tie,23.589163453473013,110
107,Closed,Confused,None,None,Noise,Club Exterior,None,None,16.647482288877804,111
108,Zombie,Blep,None,None,Solid Gold,Swamp,Beer Kegs,Fisherman's Hat,56.36735054779268,112
109,Closed,Confused,None,None,Cheetah,Outhouse,None,Rain Hat,27.424339519527734,113
110,Angry,Smiling,None,None,Brown,Outhouse,None,None,7.91990112128032,114
111,Closed,Rose,None,Rollerblades,Trippy,SS Monke Biz,None,Missile Launcher,48.99972855739896,115
112,Closed,Panting,None,None,Noise,SS Monke Biz,Service Vest,Bowler,50.65652523586732,116
113,Wide,Happy,BAYC Collar,None,Brown,Club Exterior,None,Bird,48.2976175415537,117
114,Bloodshot,Bloody,Camo Bandana,None,Brown,Swamp,Beer Kegs,Beanie,68.9770987649545,118
115,Robot,Loogie,None,Flippers,Tan,Swamp,None,None,30.625134469018967,119
116,Closed,Smiling,Hawaiian Bandana,None,Tan,Club Exterior,None,Halo,37.18528513406882,120
117,Happy,Happy,Gold Links,High Tops,Robot,Swamp,None,Sea Captain's Hat,67.98079337270686,121
118,Mystic Eye,Rose,None,Leg Knife,Radioactive,Bar,Rocket Launcher,Rat,83.1341399288277,123
119,Happy,Red Raybeam,None,Flippers,Brown,Outhouse,None,Beanie,44.48910364713228,124
120,Confused,Tennis Ball,None,Flask,Cheetah,Outhouse,None,Earbuds,51.736233993029735,125
121,Happy,Happy,Gold Links,Leg Knife,Trippy,Swamp,None,Pimp Hat,70.04158615832836,126
122,Whatever,Growl,None,Combat Boots,Galaxy,SS Monke Biz,None,Fisherman's Hat,53.3630034853013,127
123,Closed,Bloody Fangs,Gold Links,Old Laces,Tan,Club Exterior,Beer Saddle,None,69.56569234682466,128
124,Happy,Smiling,Lei,Boots,Death Bot,Swamp,Basketball Hoop,None,70.12813915585112,129
125,Closed,Drooling,None,Pink Combat Boots,Trippy,SS Monke Biz,Basketball Hoop,Bow,71.23789946873276,130
126,Zombie,Beer Can,None,None,Cyberpunk,Swamp,Beer Kegs,None,40.137106362136215,131
127,Confused,Hot Dog,None,Old Laces,Tan,Bar,None,None,35.656757880864475,132
128,Confused,Cigarette,Plaid Bowtie,None,Radioactive,Outhouse,None,Halo,53.464932327088896,133
129,Hero Mask,Smiling,None,None,Black,Outhouse,None,None,8.46729406024531,134
130,Shutter Shades,Slippers,None,Pink Combat Boots,Brown,SS Monke Biz,None,Sea Captain's Hat,48.958181956659956,135
131,Angry,Slippers,None,None,Brown,SS Monke Biz,None,Bow,28.783179730136677,136
132,Happy,Goofball,BAYC Collar,None,Zombie,Outhouse,None,BAYC Logo Hat Black,45.81398081474658,137
133,Closed,Rose,None,Leg Knife,Pink,Club Exterior,None,Purple Headband,48.18438315103724,138
134,Radioactive,Slippers,None,None,Pink,Club Exterior,Beer Saddle,None,40.97120798984416,139
135,Pilot Goggles,Diamond Teeth,None,None,Black,Outhouse,None,Shrunken Head,30.036459929175624,140
136,3D Glasses,Smiling,Christmas Wreath,None,Pink,Outhouse,Service Vest,None,50.81110808461122,141
137,Sad,Smiling,None,None,Tan,Outhouse,None,None,4.639494330107562,142
138,Heart Eyes,Cigarette,Glow Necklace,None,Brown,Outhouse,None,None,33.210796360422435,143
139,Shutter Shades,Drooling,Red Collar With Bone,Boots,Pink,Bar,Basketball Hoop,None,82.94900272550805,144
140,Cyclops,Bone,None,None,Black,SS Monke Biz,None,None,14.386321453171485,145
141,Suspicious,Beer Can,None,Flask,Tan,Club Exterior,Cyberpunk Pack,BAYC Flipped Brim Hat,70.38866650239613,146
142,Bloodshot,Bubblegum,None,Boots,Black,Swamp,Camo Pack,None,55.1668545018152,147
143,Robot,Cigarette,None,Leg Knife,Black,SS Monke Biz,Beer Kegs,None,55.50653841159948,148
144,Cyclops,Confused,None,None,Tan,SS Monke Biz,None,Beanie,26.295665320886457,149
145,Happy,Cute Smile,None,None,Tan,Outhouse,Service Vest,Hermit Crab,43.66990651777119,150
146,Cyclops,Fish,None,Flippers,Tan,SS Monke Biz,Service Vest,Bird,67.60325067001483,151
147,Goofy,Frog Legs,None,None,Black,Outhouse,None,None,13.295411698124784,152
148,Holographic Visor,Hot Dog,BAYC Collar,Kicks,Black,Swamp,None,Bowler,64.79148128308788,153
149,Wide,Tennis Ball,None,None,Black,SS Monke Biz,None,White Headband,28.7152618986819,154
150,Anime,Hot Dog,None,Combat Boots,Black,Swamp,None,BAYC Flipped Brim Hat,46.863301497837604,155
151,Closed,Smiling,None,None,Cheetah,Swamp,None,None,6.134380157367761,156
152,Zombie,Beer Can,None,None,Tan,SS Monke Biz,None,Bowler,26.159798598037863,157
153,Goofy,Cyberjaw,Camo Bandana,Fresh Laces,Solid Gold,Swamp,None,White Headband,73.15912671992032,158
154,Sad,Slippers,None,Cyberpunk Boots,Pink,Swamp,None,Fez,50.20372762403499,159
155,Angry,Smiling,BAYC Collar,Kicks,Brown,SS Monke Biz,Service Vest,Purple Headband,81.15991430315756,160
156,Sunglasses,Bored,BAYC Collar,Boots,Tan,Club Exterior,None,Banana Peel,63.85922194790054,161
157,Robot,Smiling,None,None,Black,SS Monke Biz,None,White Headband,23.392836644387316,162
158,Bloodshot,Cyberjaw,None,Cast,Radioactive,Outhouse,None,None,37.5290189308411,163
159,Angry,Fire Breath,None,Cast,Tan,SS Monke Biz,Rocket Launcher,White Headband,67.90516579999938,164
160,Anime,Foaming,None,None,Zombie,Swamp,Service Vest,None,39.423694117389054,165
161,Robot,Cigarette,None,None,Noise,SS Monke Biz,None,Pimp Hat,35.0114462959278,166
162,Whatever,Heavy Drooling,None,Leg Knife,Black,Outhouse,Basketball Hoop,None,55.559426728222924,167
163,Heart Eyes,Blep,Red Collar With Bone,None,DMT,Outhouse,Blue Pack,None,59.37156944207808,168
164,Angry,Bloody Fangs,Black BAYC Bandana,None,Tan,Swamp,Blue Pack,None,52.06808903721082,169
165,Zombie,Smiling,None,None,Mega Death Bot,Swamp,Rocket Launcher,BAYC Logo Hat Black,51.25670898246375,170
166,Zombie,Fish,Glow Necklace,Kicks,Brown,Club Exterior,Blue Pack,Sushi Chef Headband,92.82187719798668,171
167,Closed,Fire Breath,None,None,Pink,SS Monke Biz,None,Halo,26.56364807056685,172
168,Bloodshot,Smiling,Spiked Collar,None,Tan,Outhouse,None,None,24.35908928785672,173
169,Hypnotized,Ape Hand,None,Combat Boots,Pink,Club Exterior,None,None,38.28766634914398,174
170,Closed,Drooling,None,None,DMT,Swamp,None,Beer Helmet,28.537878068134237,175
171,Cyborg,Beer Can,Black BAYC Bandana,Old Laces,Black,SS Monke Biz,Ninja Kunai,Tie,91.3236188769662,176
172,Sunglasses,Cute Smile,Gold Links,None,Tan,Outhouse,None,None,29.885309710144973,177
173,Bloodshot,Growl,Flamingo Bandana,None,Black,Club Exterior,None,Bird,51.1511658633053,178
174,Goofy,Goofball,Golden Bone Necklace,Fresh Laces,Tan,SS Monke Biz,Service Vest,Purple Headband,85.94933060302505,179
175,Shutter Shades,Hot Dog,None,Combat Boots,Black,Outhouse,Jetpack,Halo,70.25657170418104,180
176,Closed,Blep,None,None,Brown,Swamp,None,None,8.720198156483274,181
177,Robot,Cyberjaw,None,Pink Combat Boots,Black,Swamp,Basketball Hoop,None,55.8462577010725,182
178,Happy,Bloody,Beer Can Necklace,None,DMT,Swamp,Beer Saddle,Tie,70.62646560186462,183
179,Suspicious,Golden Hot Dog,None,None,Tan,Bar,None,Beanie,31.723724888531873,184
180,Whatever,Hot Dog,None,None,Tan,Swamp,None,Rain Hat,24.955628113551224,185
181,Bloodshot,Fish,None,None,Mega Death Bot,Outhouse,None,None,18.49718964960716,186
182,Closed,Smiling,Pink Collar,High Tops,Brown,SS Monke Biz,None,Missile Launcher,56.49545915869866,187
183,Sunglasses,Heavy Drooling,BAYC Collar,None,Noise,SS Monke Biz,Demon Wings,None,58.80162517333065,188
184,Closed,Cigarette,BAYC Collar,Combat Boots,Tan,Swamp,Service Vest,None,62.97199692358589,189
185,Cyberpunk Visor,Confused,Beer Can Necklace,None,Pink,Club Exterior,None,None,38.789711663932124,190
186,Closed,Smiling,Gold Links,None,Cyberpunk,SS Monke Biz,None,Rain Hat,42.4358047856269,191
187,Closed,Frog Legs,None,None,Zombie,Bar,None,Purple Headband,33.99227544361506,192
188,Happy,Smiling,None,None,Cheetah,Club Exterior,Service Vest,None,32.1385641968478,193
189,Robot,Fish,BAYC Collar,None,Tan,Swamp,None,None,27.310910510670734,194
190,3D Glasses,Drooling,None,Rollerblades,Black,Outhouse,None,Santa Hat,49.02616151051249,195
191,Happy,Drooling,None,None,Tan,SS Monke Biz,None,None,7.448024907765443,196
192,Happy,Cute Smile,Pinstripe Bandana,None,Tan,Swamp,None,None,26.076604347482174,197
193,Happy,Bubblegum,Golden Bone Necklace,None,Tan,SS Monke Biz,Blue Pack,Missile Launcher,63.67416060646234,198
194,Shutter Shades,Rose,Plaid Bowtie,Boots,Black,SS Monke Biz,None,None,52.7777871397613,199
195,Closed,Goofball,None,None,Cyberpunk,Bar,None,None,18.908621896894484,200
196,Happy,Happy,None,None,Black,Outhouse,None,Banana Peel,24.736689809527483,201
197,Sad,Cigarette,None,None,Tan,SS Monke Biz,None,BAYC Logo Hat Black,26.125789555638235,202
198,Laser,Goofball,None,Fresh Laces,Brown,Outhouse,None,Banana Peel,48.652455193641806,203
199,Angry,Fire Breath,BAYC Collar,None,Black,Outhouse,None,None,30.59869993278264,204
200,Goofy,Golden Hot Dog,None,None,Black,Bar,Space Pack,Sea Captain's Hat,57.794012659660865,205
201,Happy,Smiling,Golden Bone Necklace,Kicks,Pink,Swamp,None,None,45.11554776683488,206
202,Happy,Goofball,Pink Collar,None,Tan,SS Monke Biz,None,None,25.778378571368975,207
203,Shutter Shades,Bloody,Glow Necklace,None,Pink,SS Monke Biz,None,Fisherman's Hat,50.66801949025276,208
204,Closed,Cigar,BAYC Collar,None,Tan,Bar,None,Spinner Hat,43.88520694931229,209
205,Cyberpunk Visor,Bone,None,High Tops,Mega Death Bot,SS Monke Biz,Mega Rocket Launcher,None,61.911739039832526,210
206,Laser,Smiling,Japan Bandana,Boots,Tan,Bar,Beer Kegs,None,72.43415931359158,211
207,Closed,Frog Legs,BAYC Collar,None,Tan,SS Monke Biz,None,None,22.320696467957067,212
208,Happy,Loogie,None,None,Black,SS Monke Biz,None,Spinner Hat,25.718077728341754,213
209,Happy,Cigarette,BAYC Collar,None,Cheetah,Swamp,None,Bowler,45.15720680397997,214
210,Closed,Smiling,Whiskey Barrel,None,Black,SS Monke Biz,Service Vest,None,44.11137616159387,215
211,Whatever,Bone,Gold Links,Cast,Cyberpunk,Outhouse,None,Beanie,70.74738928645797,216
212,Bloodshot,Confused,None,None,Noise,Bar,None,Fisherman's Hat,40.103422452073694,217
213,Anime,Goofball,Hawaiian Bandana,None,Zombie,Swamp,None,None,36.373931434700694,218
214,Happy,Smiling,None,None,Tan,Swamp,Blue Pack,None,22.833917985273914,219
215,Anime,Smiling,Pink Collar,None,Tan,Club Exterior,Basketball Hoop,Pirate Captain's Hat,64.10440451035153,220
216,Suspicious,Smiling,Lei,None,Black,Swamp,Beer Saddle,None,49.20700237088908,221
217,Suspicious,Fish,Japan Bandana,None,Tan,Bar,None,Sea Captain's Hat,50.822776102174316,222
218,3D Glasses,Hot Dog,Pink Collar,Flask,Black,Outhouse,Beer Saddle,Pirate Captain's Hat,88.36095010666375,223
219,Radioactive,Ape Hand,None,Flippers,Tan,Outhouse,None,None,30.628957106424703,224
220,Happy,Fish,None,None,Tan,Club Exterior,None,Banana Peel,24.472441238219503,225
221,Wide,Cigar,Whiskey Barrel,None,Black,Swamp,None,None,33.35043697375181,226
222,Shutter Shades,Drooling,None,None,Radioactive,Outhouse,None,None,19.395576754890133,227
223,Closed,Gold Teeth,None,None,Black,Swamp,None,None,8.701347185098834,228
224,Pilot Goggles,Rose,Plaid Bowtie,Cyberpunk Boots,Black,Bar,None,None,59.54153168807419,229
225,Anime,Bone,None,None,Black,Club Exterior,Service Vest,None,37.498600181409294,230
226,X Eyes,Bored,Hawaiian Bandana,None,DMT,Bar,None,Rat,59.13409742047576,231
227,Heart Eyes,Happy,Pink Collar,Kicks,Brown,Swamp,None,Fez,67.30518175609238,232
228,Closed,Hot Dog,Red Collar With Bone,Pink Combat Boots,Tan,Club Exterior,Ninja Kunai,None,68.86366861000992,233
229,Wide,Drooling,None,None,Brown,Outhouse,None,None,13.812551781343283,234
230,Shutter Shades,Drooling,None,Flask,Cheetah,SS Monke Biz,Rocket Launcher,None,60.09621136432472,235
231,Happy,Smiling,None,Fresh Laces,Radioactive,Swamp,None,Cowboy Hat,43.76818805678789,236
232,Closed,Hot Dog,None,Cast,Noise,Outhouse,Beer Kegs,Rat,68.62228981372688,237
233,Heart Eyes,Fish,None,None,Pink,Swamp,Blue Pack,None,37.08718562852443,238
234,Happy,Cute Smile,None,Pink Combat Boots,Pink,Club Exterior,None,None,34.46018825552515,239
235,Suspicious,Panting,None,None,Mega Death Bot,Club Exterior,Fishing Lures,None,44.270252637744704,240
236,X Eyes,Happy,None,None,Tan,Swamp,None,None,11.192791983146453,241
237,Anime,Smiling,Plaid Bowtie,None,Black,Swamp,Toilet Paper Dispenser,Cowboy Hat,64.3045169937224,242
238,Anime,Smiling,BAYC Collar,None,Zombie,Club Exterior,None,Bird,46.489559799424036,243
239,Mystic Eye,Hot Dog,Japanese Bandana,None,Cheetah,SS Monke Biz,Basketball Hoop,None,59.16018993397208,244
240,Wide,Frog Legs,Ribbon,Boots,Black,Outhouse,None,None,52.00026908966973,245
241,Goofy,Smiling,None,Flask,Tan,Swamp,None,None,24.117514334995878,246
242,Bloodshot,Growl,None,Rollerblades,Robot,SS Monke Biz,None,Cowboy Hat,53.09503017201236,247
243,Closed,Bloody,None,Cyberpunk Boots,DMT,Swamp,None,Spinner Hat,48.354269139062175,248
244,Closed,Panting,Glow Necklace,None,Robot,Bar,None,None,38.52548117879,249
245,Happy,Kazoo,Flamingo Bandana,High Tops,Pink,Bar,None,None,57.52978846351498,251
246,Closed,Cute Smile,Red Collar With Bone,Space Boots,Tan,SS Monke Biz,None,Fisherman's Hat,59.775417731436775,252
247,Happy,Heavy Drooling,None,Rain Boots,Zombie,Outhouse,None,BAYC Flipped Brim Hat,48.92800145013499,253
248,Robot,Growl,Japan Bandana,None,Cyberpunk,Swamp,None,Rat,53.808418432974534,254
249,Happy,Smiling,None,80s Kicks,Trippy,Club Exterior,None,None,32.720078614000464,255
250,Angry,Frog Legs,None,None,Pink,Swamp,Beer Saddle,None,37.41932922711874,256
251,Robot,Smiling,None,Rain Boots,Black,Swamp,Demon Wings,None,50.13551887275348,257
252,Suspicious,Bored,None,Boots,Tan,Outhouse,Camo Pack,Bow,66.3049008127073,258
253,Goofy,Stache,BAYC Collar,None,Black,SS Monke Biz,Blue Pack,Tie,67.30129150662711,259
254,Closed,Beer Can,Life Preserver,Kicks,Black,Outhouse,None,None,47.31613055565545,260
255,Closed,Drooling,Gold Links,Old Laces,Tan,SS Monke Biz,Beer Saddle,None,66.8671141137485,261
256,Whatever,Fish,Beer Can Necklace,None,Pink,Club Exterior,None,None,37.47990410799066,262
257,Closed,Goofball,None,None,Pink,Outhouse,None,None,9.984806316656123,263
258,Happy,Frog Legs,None,None,Black,Swamp,Jetpack,White Headband,47.17266534432643,264
259,Glowing Red,Smiling,None,Flippers,Pink,SS Monke Biz,None,None,30.349608259594568,265
260,Angry,Confused,None,None,Zombie,Outhouse,Blue Pack,None,39.782283649591314,266
261,Whatever,Smiling,Ribbon,None,Black,Swamp,None,None,26.990052410800786,267
262,Wide,Beer Can,None,None,Tan,Swamp,Blue Pack,None,32.01782920848584,268
263,Angry,Fish,None,None,Tan,Outhouse,None,Beer Helmet,25.68798804556833,269
264,Confused,Panting,None,Pink Combat Boots,Brown,Swamp,None,Bow,48.52033051850346,270
265,Anime,Cyberjaw,None,Combat Boots,Cheetah,SS Monke Biz,Mega Rocket Launcher,None,59.186579644703016,271
266,Closed,Hot Dog,None,Kicks,Black,Bar,None,None,33.31646291773241,272
267,Whatever,Blep,Pinstripe Bandana,Fresh Laces,Cheetah,Club Exterior,Basketball Hoop,Banana Peel,96.28641712999035,273
268,Glowing Red,Growl,Hawaiian Bandana,Gold Kicks,Pink,Bar,None,Banana Peel,76.7597075093954,274
269,Bloodshot,Hot Dog,BAYC Collar,None,Tan,Outhouse,Basketball Hoop,Purple Headband,63.753444138204586,275
