,Back,Body,Arms,Chest,Face,Hat,Element,Water,Grass,Air,Fire,Stage,Rarity score,Token Id
2006,fin,zigzag,tentacle,tube,angry,finbumps,water,64.0,12.0,12.0,12.0,final_form,94.4942977631741,2179
2007,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2180
2008,puff,spots,wingwing,cloud,toad,puff,air,13.0,1.0,63.0,23.0,final_form,95.20206917024758,2181
2009,None,None,None,None,None,None,None,None,None,None,None,Two,8.376105465894994,2182
2010,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2183
2011,butterfly,splotch,airhorn,joey,cheerful,air,air,24.0,6.0,54.0,16.0,final_form,94.97904526567899,2184
2012,piggy,blobs,marshmallow,spikes,OmO,bumps,fire,3.0,28.0,9.0,61.0,final_form,94.09838016347997,2185
2013,fin,blobs,handhand,aircrystals,OmO,tuft,air,23.0,8.0,57.0,13.0,final_form,93.9668648072295,2186
2014,tail,blank,paw,goldnecklace,toad,bear,fire,20.0,24.0,25.0,32.0,final_form,92.54865072541679,2187
2015,rattle,splotch,paw,bowtie,trunk,fin,grass,26.0,33.0,22.0,19.0,final_form,91.87671035132557,2188
2016,tailfin,scales,crab,waterbelt,cutelashes,antennatriple,water,27.0,27.0,22.0,25.0,final_form,94.46866215462515,2189
2017,jolt,wave,firehands,fireplace,cuteangry,burning head,fire,6.0,17.0,9.0,68.0,final_form,95.66097887492143,2190
2018,horse,blank,flower,bulba,cheerful,clyde,grass,21.0,38.0,22.0,19.0,final_form,92.31559949634065,2191
2019,rattle,wave,tentacle,rainbow fish,cutehappy,watercrown,water,53.0,14.0,13.0,19.0,final_form,95.67528616824748,2192
2020,bug,scales,pickaxe,symbolgrass,threeeyes,fossil,grass,18.0,45.0,20.0,18.0,final_form,93.00898479949396,2193
2021,fossil,zigzag,pickaxe,round,glossy,fin,grass,23.0,27.0,25.0,26.0,final_form,91.17618106810738,2194
2022,fox,scales,handhand,rainbow,grin,air,air,12.0,12.0,64.0,12.0,final_form,92.9860468012691,2195
2023,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2196
2024,squirrel,splotch,cactus,spikes,ditto,bush,grass,10.0,38.0,25.0,28.0,final_form,93.179120226319,2197
2025,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2198
2026,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2199
2027,cat,blobs,cloud,round,threeeyes,ribbon,air,20.0,26.0,35.0,19.0,final_form,92.62156987198526,2200
2028,monke,splotch,flower,bulba,angry,miner,grass,16.0,62.0,15.0,8.0,final_form,93.8467697110608,2201
2029,squirrel,splotch,airhorn,round,tired,flyinghat,air,19.0,8.0,59.0,13.0,final_form,93.53369394570827,2202
2030,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2203
2031,puff,blank,airhorn,toto,happy,aircrown,air,23.0,26.0,30.0,22.0,final_form,93.59799449301622,2204
2032,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2205
2033,fox,blank,cloud,fireplace,tired,firecrown,fire,0.0,18.0,9.0,73.0,final_form,93.95540580865234,2206
2034,monke,scales,marshmallow,diamonds,derpy,bomb,fire,2.0,12.0,3.0,83.0,final_form,94.81178521397386,2207
2035,tailfin,blank,ducky,waterbelt,cutelashes,ducko,water,64.0,12.0,12.0,12.0,final_form,94.87029161864041,2208
2036,rattle,blobs,crab,grasscollarpink,happy,miner,grass,4.0,49.0,25.0,22.0,final_form,93.39928506303113,2209
2037,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2210
2038,tailfin,blank,tentacle,joey,ditto,fin,water,55.0,19.0,15.0,11.0,final_form,95.47371250451047,2211
2039,fox,wave,balloon,toto,OwO,puff,air,20.0,19.0,49.0,13.0,final_form,94.19131271163003,2212
2040,cloud,spots,claw,firebelt,toad,dog,fire,18.0,28.0,22.0,32.0,final_form,93.34638861536895,2213
2041,snail,stripes,paw,waterbelt,facepaint,ducko,water,48.0,12.0,21.0,18.0,final_form,93.52367518021687,2214
2042,rabbit,wave,pinscer,round,ditto,minime,grass,12.0,64.0,12.0,12.0,final_form,91.71083511499242,2215
2043,puff,scales,ducky,porthole,cuteangry,fin,water,28.0,24.0,25.0,23.0,final_form,94.48583109839788,2216
2044,batwing,wave,sun,round,OwO,ram,air,18.0,13.0,55.0,14.0,final_form,93.48794111020806,2217
2045,piggy,zigzag,nub,face,cutelashes,bumps,fire,24.0,22.0,25.0,29.0,final_form,92.3184852757118,2218
2046,rattle,zigzag,handhand,symbolwater,cutehappy,antennatriple,water,60.0,40.0,0.0,0.0,final_form,94.30852556956752,2219
2047,horse,stripes,airhorn,ruffles,cutelashes,aircrown,air,24.0,27.0,34.0,15.0,final_form,93.23487765929468,2220
2048,monke,spots,paw,firespark,hmpf,clyde,fire,25.0,26.0,21.0,28.0,final_form,91.70373400866586,2221
