,Back,Body,Arms,Chest,Face,Hat,Element,Water,Grass,Air,Fire,Stage,Rarity score,Token Id
0,fossil,scales,nub,flowerrainbow,smirk,fin,grass,5.0,64.0,21.0,10.0,final_form,92.42285645739841,0
1,tailfin,spots,fishingpole,tube,happy,waterbump,water,66.0,3.0,10.0,21.0,final_form,96.48302887758481,2
2,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,4
3,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,5
4,None,None,None,None,None,None,None,None,None,None,None,Two,8.376105465894994,6
5,tail,blank,firehands,firespark,threeeyes,ears,fire,19.0,27.0,25.0,29.0,final_form,93.01327989452062,7
6,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,8
7,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,9
8,fire,blobs,cloud,face,smirk,spikes,fire,5.0,22.0,11.0,61.0,final_form,94.86466852701373,10
9,charred,blank,club,face,clyde,firecrown,fire,14.0,26.0,19.0,40.0,final_form,94.67166343405873,11
10,rabbit,blobs,vine,spikes,happy,miner,grass,23.0,33.0,29.0,14.0,final_form,93.34638987019554,12
11,butterfly,scales,wing,symbolair,doubleface,tuft,air,19.0,7.0,60.0,14.0,final_form,95.19920139571325,13
12,tail,zigzag,tentaclesout,round,doubleface,finbumps,water,31.0,31.0,15.0,24.0,final_form,93.87251851524113,14
13,snail,wave,paw,leafnecklace,tired,antlers,grass,32.0,54.0,6.0,8.0,final_form,93.01045174361768,15
14,horse,blobs,nub,ruffles,facepaint,feathersyellow,air,17.0,17.0,51.0,15.0,final_form,92.4071277462347,16
15,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,17
16,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,18
17,batwing,splotch,cloud,scales,cutelashes,finblades,fire,3.0,25.0,9.0,63.0,final_form,94.22275729442018,19
18,butterfly,spots,cloud,ruffles,hearts,farmer,air,14.0,21.0,42.0,22.0,final_form,93.8324762894738,20
19,fossil,spots,marshmallow,firespark,toad,chef,fire,6.0,37.0,13.0,44.0,final_form,95.37077041442245,21
20,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,22
21,snail,splotch,crab,porthole,froggeh,finblades,water,42.0,18.0,7.0,33.0,final_form,95.37507967686913,23
22,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,24
23,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,25
24,snail,zigzag,paw,toto,angry,ears,water,29.0,26.0,27.0,19.0,final_form,92.39140914435634,26
25,fox,wave,wingwing,hairy,clyde,flyinghat,air,21.0,16.0,50.0,13.0,final_form,94.04405329693229,27
26,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,28
27,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,29
28,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,31
29,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,32
30,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,33
31,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,34
32,bug,blank,soda,rainbow fish,clyde,finblades,water,100.0,0.0,0.0,0.0,final_form,94.27556164872752,35
33,bug,stripes,nub,petalyellow,ditto,miner,grass,26.0,28.0,23.0,23.0,final_form,91.46210653468921,36
34,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,37
35,jolt,spots,handhand,fireplace,doubleface,minime,fire,4.0,22.0,22.0,52.0,final_form,94.09695800828722,38
36,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,39
37,fin,wave,soda,diamonds,grin,swoop,water,39.0,9.0,23.0,29.0,final_form,95.21352093745301,40
38,dragonfly,blank,wing,rainbow,cuteangry,smoke,air,23.0,21.0,44.0,12.0,final_form,93.94826337754569,41
39,piggy,wave,crab,petalyellow,toad,snake,grass,18.0,71.0,7.0,5.0,final_form,93.79674435942758,42
40,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,43
41,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,44
42,tail,blobs,firehands,goldnecklace,glossy,bear,fire,12.0,12.0,12.0,64.0,final_form,93.8309754726596,45
43,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,46
44,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,47
45,squirrel,stripes,vine,spikes,angry,dog,grass,28.0,31.0,18.0,24.0,final_form,92.50145699336615,48
46,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,49
47,fin,zigzag,cloud,joey,hmpf,halo,air,22.0,26.0,32.0,19.0,final_form,93.19341859117671,50
48,tail,splotch,tentaclesout,starfish,froggeh,finblades,water,57.0,8.0,16.0,20.0,final_form,95.5294551068398,51
49,tentacle,stripes,tentaclesout,starfish,angry,antennasingle,water,63.0,13.0,9.0,15.0,final_form,95.9268930050404,52
50,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,53
51,snail,zigzag,vine,leafnecklace,angry,antlers,grass,22.0,43.0,21.0,14.0,final_form,93.01326816250578,54
52,piggy,stripes,club,face,angry,mage,fire,3.0,25.0,5.0,67.0,final_form,94.76887683640169,55
53,tailfin,blank,tentacle,joey,cuteangry,watercrown,water,50.0,22.0,19.0,9.0,final_form,95.53804633016753,56
54,batwing,stripes,handhand,joey,cuteangry,cat,air,22.0,29.0,37.0,12.0,final_form,92.41141236383477,57
55,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,58
56,fox,blank,cloud,firebelt,cutehappy,flamo,fire,21.0,24.0,23.0,32.0,final_form,93.18768746850316,59
57,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,60
58,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,61
59,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,63
60,fossil,splotch,vine,symbolgrass,cheerful,flower,grass,14.0,42.0,25.0,20.0,final_form,93.36496599097214,64
61,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,65
62,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,66
63,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,67
64,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,68
65,dragonfly,wave,nub,round,derpy,feathersyellow,air,23.0,14.0,49.0,14.0,final_form,91.95965298546152,69
66,charred,blank,club,firespark,froggeh,horns,fire,0.0,33.0,0.0,67.0,final_form,94.14837142408837,70
67,fire,splotch,cloud,scales,faceface,hornbull,fire,1.0,32.0,6.0,60.0,final_form,95.28641765267037,71
68,charred,zigzag,marshmallow,round,cuteangry,burning head,fire,26.0,24.0,20.0,30.0,final_form,93.11621785270268,72
69,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,73
70,cloud,blank,paw,spikes,toad,horns,fire,22.0,21.0,23.0,34.0,final_form,92.33279094583166,74
71,None,None,None,None,None,None,None,None,None,None,None,Two,8.376105465894994,75
72,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,76
73,charred,splotch,cloud,goldnecklace,cheerful,minime,fire,13.0,12.0,9.0,66.0,final_form,94.45722794891388,77
74,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,78
75,butterfly,zigzag,cloud,aircrystals,facepaint,ram,air,0.0,0.0,100.0,0.0,final_form,93.3291649173471,79
76,None,None,None,None,None,None,None,None,None,None,None,One,8.155832200676905,80
77,rattle,blobs,vine,spikes,stunned,antlers,grass,22.0,30.0,27.0,21.0,final_form,92.2827126143926,81
78,piggy,blobs,vine,flowerrainbow,cuteangry,snake,grass,13.0,41.0,22.0,25.0,final_form,93.38783071299716,82
79,cat,spots,paw,cloud,glossy,flyinghat,air,13.0,11.0,63.0,13.0,final_form,93.80531779994737,84
80,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,86
81,monke,stripes,flower,ruffles,derpy,antlers,grass,21.0,28.0,25.0,26.0,final_form,91.4463752405778,87
82,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,88
83,cloud,wave,wing,cloud,toad,puff,air,22.0,28.0,30.0,20.0,final_form,93.85962341536501,89
84,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,90
85,piggy,blobs,flower,bulba,threeeyes,antlers,grass,13.0,41.0,12.0,34.0,final_form,93.4850732616641,91
86,tail,blobs,spatula,scales,angry,spikes,fire,19.0,24.0,17.0,40.0,final_form,94.16271908054615,92
87,fossil,spots,paw,hairy,cutelashes,burning head,fire,4.0,26.0,9.0,61.0,final_form,93.16197850974473,93
88,rattle,stripes,flower,spikes,doubleface,grasscrown,grass,22.0,32.0,21.0,25.0,final_form,92.25983512707832,94
89,cloud,blank,penguin,hairy,cutelashes,clyde,air,18.0,25.0,29.0,28.0,final_form,92.3141866390685,95
90,fin,splotch,handhand,cloud,faceface,tuft,air,0.0,33.0,67.0,0.0,final_form,92.98039020771513,96
91,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,97
92,fox,scales,marshmallow,firebelt,smirk,spikes,fire,14.0,17.0,15.0,54.0,final_form,94.76746257664122,98
93,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,99
94,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,100
95,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,101
96,batwing,blank,handhand,round,clyde,horns,fire,19.0,24.0,27.0,30.0,final_form,91.81095606769159,102
97,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,103
98,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,104
99,monke,stripes,handhand,hairy,ditto,fossil,fire,2.0,17.0,16.0,65.0,final_form,93.35784599073989,105
100,squirrel,zigzag,handhand,cloud,OwO,tuft,air,22.0,11.0,53.0,14.0,final_form,93.80532097306524,106
101,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,107
102,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,108
103,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,109
104,dragonfly,blobs,cloud,paperheart,threeeyes,tuft,air,19.0,24.0,32.0,25.0,final_form,93.30349152766073,110
105,horse,spots,nub,hairy,glossy,ribbon,air,17.0,5.0,66.0,12.0,final_form,92.73451965961041,111
106,tentacle,blobs,nub,round,facepaint,ducko,water,64.0,12.0,12.0,12.0,final_form,92.28408303876635,112
107,tailfin,zigzag,paw,joey,facepaint,cat,water,70.0,2.0,7.0,20.0,final_form,94.47011559562777,113
108,horse,stripes,paw,ruffles,faceface,minime,grass,25.0,54.0,8.0,13.0,final_form,91.43211583588682,114
109,fossil,blobs,flower,leafnecklace,stunned,clyde,grass,22.0,30.0,26.0,22.0,final_form,92.04966935452002,115
110,butterfly,stripes,penguin,joey,angry,farmer,air,14.0,20.0,40.0,26.0,final_form,94.29710619640946,116
111,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,117
112,puff,blobs,paw,cloud,cheerful,halo,air,15.0,22.0,48.0,15.0,final_form,93.15625727468519,118
113,puff,wave,nub,aircrystals,stunned,puff,air,20.0,17.0,53.0,10.0,final_form,93.55084569696236,119
114,tail,blobs,handhand,toto,froggeh,swoop,water,34.0,26.0,17.0,22.0,final_form,93.79674273598302,120
115,cat,stripes,nub,joey,smirk,waterbump,water,55.0,19.0,7.0,20.0,final_form,94.1141349949156,121
116,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,122
117,fossil,wave,mushroom,round,hmpf,antennadouble,grass,18.0,37.0,23.0,23.0,final_form,91.81951858779965,123
118,bug,scales,claw,symbolgrass,doubleface,bush,grass,20.0,62.0,17.0,1.0,final_form,93.55941013595759,124
119,cloud,splotch,wing,toto,OwO,farmer,air,33.0,0.0,67.0,0.0,final_form,94.13839471787192,125
120,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,126
121,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,127
122,snail,splotch,crab,starfish,ditto,streak,water,41.0,18.0,19.0,22.0,final_form,94.47009936261229,128
123,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,129
124,charred,stripes,cloud,firebelt,ditto,mohawk,fire,12.0,12.0,12.0,64.0,final_form,93.68800812824746,130
125,tail,blobs,soda,tube,OwO,antennatriple,water,64.0,12.0,12.0,12.0,final_form,94.49429562285397,131
126,monke,scales,paw,firebelt,hearts,minime,fire,2.0,30.0,11.0,57.0,final_form,93.22916446732916,132
127,bug,scales,handhand,starfish,derpy,fountain,water,32.0,29.0,15.0,25.0,final_form,94.07696010153172,133
128,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,134
129,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,135
130,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,136
131,fossil,scales,paw,leafnecklace,derpy,snake,grass,20.0,31.0,21.0,28.0,final_form,91.626510691179,138
132,cat,stripes,handhand,cloud,happy,ram,air,27.0,21.0,33.0,19.0,final_form,93.7080956165594,139
133,cloud,stripes,marshmallow,diamonds,facepaint,clyde,fire,0.0,20.0,5.0,75.0,final_form,93.35639527987,140
134,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,141
135,horse,zigzag,handhand,joey,piggy,ears,air,12.0,12.0,64.0,12.0,final_form,91.840908170774,142
136,bug,zigzag,tentacle,round,ditto,froggeh,water,62.0,8.0,9.0,21.0,final_form,94.58878152702252,143
137,cloud,scales,nub,scales,grin,bomb,fire,6.0,19.0,14.0,61.0,final_form,93.85965197151886,144
138,squirrel,blobs,nub,cloudbelt,cuteangry,cat,air,24.0,26.0,30.0,19.0,final_form,92.41570258912363,145
139,horse,wave,wingwing,cloud,clyde,flyinghat,air,18.0,29.0,37.0,16.0,final_form,94.01974989101811,146
140,cloud,zigzag,balloon,hairy,threeeyes,ears,air,12.0,19.0,57.0,12.0,final_form,92.96752145085489,147
141,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,148
142,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,149
143,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,150
144,tentacle,zigzag,penguin,starfish,ditto,cat,water,38.0,28.0,19.0,16.0,final_form,94.82751016137286,151
145,puff,stripes,handhand,symbolair,smirk,cloudo,air,12.0,12.0,64.0,12.0,final_form,92.8630913090036,153
146,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,154
147,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,155
148,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,156
149,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,157
150,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,158
151,batwing,wave,cloud,spikes,happy,firecrown,fire,15.0,28.0,23.0,34.0,final_form,93.22773205554688,160
152,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,161
153,fin,zigzag,airhorn,aircrystals,glossy,farmer,air,18.0,23.0,55.0,4.0,final_form,94.6702404671437,162
154,fossil,spots,paw,symbolfire,happy,mohawk,fire,25.0,16.0,24.0,35.0,final_form,93.17914649437184,163
155,horse,stripes,penguin,ruffles,clyde,smoke,air,15.0,22.0,39.0,25.0,final_form,92.98040312138119,164
156,rattle,blank,tentacle,round,froggeh,tako,water,64.0,12.0,12.0,12.0,final_form,93.23337721026422,165
157,fin,zigzag,cloud,cloud,OwO,smoke,air,14.0,22.0,37.0,27.0,final_form,94.15700426501688,166
158,monke,scales,vine,spikes,cuteangry,snake,grass,15.0,52.0,14.0,18.0,final_form,93.24060553567499,167
159,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,168
160,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,169
161,cloud,zigzag,wing,paperheart,piggy,unicorn,air,18.0,6.0,65.0,11.0,final_form,94.88897340835324,170
162,puff,stripes,penguin,aircrystals,derpy,air,air,33.0,33.0,33.0,0.0,final_form,94.12698191154828,171
163,snail,stripes,flower,vinebelt,froggeh,bush,grass,22.0,33.0,31.0,14.0,final_form,93.10762434198898,172
164,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,173
165,piggy,splotch,spatula,round,faceface,ears,fire,0.0,23.0,4.0,73.0,final_form,92.39281860815028,174
166,tail,scales,torch,round,froggeh,spikes,fire,0.0,0.0,0.0,100.0,final_form,92.3813011653306,175
167,jolt,splotch,claw,firespark,cuteangry,horns,fire,0.0,4.0,4.0,92.0,final_form,94.76459207161663,176
168,bug,scales,nub,bowtie,uwu,clyde,grass,18.0,29.0,27.0,26.0,final_form,91.08754686211145,177
169,bug,blobs,crab,symbolgrass,OwO,fossil,grass,32.0,43.0,13.0,12.0,final_form,93.13195704165051,178
170,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,179
171,fossil,spots,firehands,fireplace,cutehappy,mage,fire,8.0,23.0,13.0,57.0,final_form,94.81606119819061,180
172,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,181
173,puff,zigzag,penguin,hairy,piggy,puff,air,15.0,29.0,36.0,21.0,final_form,93.52796223298377,182
174,rabbit,stripes,pinscer,leafnecklace,derpy,grasscrown,grass,19.0,34.0,25.0,22.0,final_form,93.3635215514941,183
175,fox,blank,wingwing,symbolair,froggeh,aircrown,air,7.0,11.0,71.0,11.0,final_form,95.21494110105994,184
176,monke,scales,paw,firebelt,doubleface,hornbull,fire,0.0,0.0,0.0,100.0,final_form,92.11253077221257,185
177,rattle,stripes,pickaxe,round,clyde,snake,grass,14.0,34.0,32.0,19.0,final_form,92.45859178187628,186
178,fossil,wave,spatula,fireplace,stunned,bear,fire,0.0,43.0,0.0,57.0,final_form,94.05975522281005,187
179,snail,scales,crab,symbolwater,facepaint,clyde,water,37.0,21.0,20.0,21.0,final_form,93.87823495409579,188
180,piggy,spots,spatula,round,uwu,flamo,fire,4.0,26.0,18.0,52.0,final_form,93.5279609045051,189
181,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,190
182,dragonfly,blobs,nub,ruffles,smirk,antlers,grass,17.0,48.0,20.0,15.0,final_form,91.05324417072964,191
183,rattle,zigzag,claw,ruffles,cheerful,bush,grass,21.0,29.0,27.0,22.0,final_form,91.55788649221384,192
184,monke,spots,vine,grasscollarpink,angry,antennasingle,grass,24.0,30.0,20.0,26.0,final_form,92.74734672700546,194
185,squirrel,zigzag,pinscer,round,trunk,grasscrown,grass,29.0,31.0,16.0,25.0,final_form,92.15978604725646,195
186,fox,splotch,marshmallow,diamonds,stunned,clyde,fire,6.0,38.0,13.0,43.0,final_form,94.33000776169969,196
187,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,197
188,cloud,wave,handhand,firespark,hearts,horns,fire,20.0,25.0,19.0,36.0,final_form,93.13337041591741,198
189,fin,blank,wingwing,rainbow,toad,tuft,air,12.0,12.0,64.0,12.0,final_form,93.76804587041468,199
190,piggy,blobs,nub,symbolgrass,cuteangry,clyde,grass,20.0,31.0,23.0,27.0,final_form,91.03320833684351,200
191,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,201
192,rabbit,scales,cactus,flowerrainbow,froggeh,bush,grass,12.0,45.0,21.0,22.0,final_form,93.55510958066549,202
193,tailfin,splotch,soda,porthole,grin,clyde,water,32.0,28.0,16.0,24.0,final_form,94.79891520216785,203
194,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,204
195,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,206
196,horse,stripes,airhorn,aircrystals,hmpf,ram,air,25.0,4.0,54.0,17.0,final_form,94.59161048952855,207
197,monke,blank,handhand,firebelt,glossy,firecrown,fire,8.0,35.0,21.0,37.0,final_form,93.84391861205035,208
198,fox,wave,paw,firespark,hearts,mage,fire,18.0,25.0,28.0,30.0,final_form,92.568669514446,209
199,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,210
200,None,None,None,None,None,None,None,None,None,None,None,Two,8.376105465894994,211
201,None,None,None,None,None,None,None,None,None,None,None,Two,8.376105465894994,212
202,rattle,splotch,nub,waterbelt,glossy,clyde,water,26.0,26.0,23.0,26.0,final_form,92.54438780169355,213
203,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,214
204,None,None,None,None,None,None,None,None,None,None,None,Two,8.376105465894994,215
205,bug,wave,nub,starfish,happy,waterhorn,water,34.0,12.0,29.0,25.0,final_form,93.7266950540615,216
206,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,217
207,monke,scales,claw,scales,threeeyes,hornbull,fire,18.0,24.0,29.0,29.0,final_form,93.39071354068342,218
208,None,None,None,None,None,None,None,None,None,None,None,One,8.155832200676905,219
209,cloud,blank,nub,spikes,cuteangry,bear,fire,18.0,28.0,19.0,36.0,final_form,92.3327818695824,220
210,bug,scales,pinscer,symbolgrass,smirk,minime,grass,21.0,57.0,14.0,9.0,final_form,93.46934794528958,222
211,None,None,None,None,None,None,None,None,None,None,None,One,8.155832200676905,223
212,puff,spots,handhand,aircrystals,doubleface,tuft,air,13.0,20.0,40.0,27.0,final_form,94.17416789618588,224
213,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,225
214,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,226
215,snail,spots,paw,grasscollarpink,smirk,miner,grass,25.0,41.0,18.0,16.0,final_form,92.28702032776187,227
216,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,228
217,None,None,None,None,None,None,None,None,None,None,None,Two,8.376105465894994,229
218,batwing,blobs,torch,spikes,clyde,dog,fire,21.0,26.0,21.0,32.0,final_form,93.05330876470937,230
219,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,231
220,piggy,scales,firehands,symbolfire,cheerful,dog,fire,23.0,26.0,24.0,27.0,final_form,93.37927321040776,232
221,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,233
222,squirrel,stripes,claw,flowerrainbow,glossy,antennasingle,grass,20.0,31.0,26.0,23.0,final_form,92.03394647271645,234
223,snail,spots,soda,starfish,stunned,watercrown,water,26.0,24.0,26.0,23.0,final_form,94.60306129758834,235
224,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,236
225,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,237
226,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,238
227,cloud,spots,penguin,aircrystals,glossy,cat,air,22.0,24.0,29.0,25.0,final_form,93.10620100586009,239
228,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,240
229,cloud,wave,handhand,paperheart,piggy,unicorn,air,13.0,7.0,69.0,11.0,final_form,94.33857832478259,241
230,piggy,stripes,paw,bowtie,froggeh,antennadouble,grass,9.0,54.0,20.0,17.0,final_form,92.32849850668975,242
231,puff,splotch,cloud,paperheart,piggy,ears,air,25.0,24.0,33.0,18.0,final_form,93.056180745636,244
232,puff,blank,handhand,round,grin,froggeh,water,31.0,29.0,26.0,14.0,final_form,92.92038652725518,245
233,butterfly,blobs,handhand,paperheart,OmO,ears,air,17.0,28.0,29.0,25.0,final_form,92.62013140976742,246
234,fox,blobs,firehands,symbolfire,derpy,chef,fire,0.0,0.0,0.0,100.0,final_form,93.46782927141948,247
235,puff,splotch,nub,symbolair,threeeyes,feathersyellow,air,25.0,19.0,49.0,7.0,final_form,93.65092244744453,248
236,cat,wave,handhand,cloud,cutelashes,feathersyellow,air,17.0,19.0,55.0,9.0,final_form,94.06264978263033,249
237,fin,scales,tentacle,ruffles,OwO,swoop,water,27.0,26.0,22.0,25.0,final_form,93.89253191741861,250
238,monke,blank,paw,hairy,OmO,fossil,fire,19.0,24.0,26.0,31.0,final_form,91.69086384895978,251
239,cat,stripes,tentacle,starfish,toad,tako,water,31.0,23.0,24.0,22.0,final_form,95.07198054420013,252
240,jolt,stripes,claw,firebelt,cutelashes,finblades,fire,21.0,23.0,26.0,30.0,final_form,93.5036495296257,253
241,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,254
242,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,256
243,batwing,spots,nub,goldnecklace,OmO,horns,fire,1.0,27.0,4.0,67.0,final_form,93.7467016677332,257
244,tail,blobs,firehands,scales,angry,fossil,fire,3.0,30.0,9.0,58.0,final_form,94.81034498053057,258
245,piggy,scales,firehands,scales,cutehappy,minime,fire,7.0,23.0,18.0,52.0,final_form,94.3614336022979,259
246,fox,zigzag,marshmallow,symbolfire,OmO,minime,fire,0.0,0.0,0.0,100.0,final_form,93.12757169909997,260
247,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,261
248,bug,scales,crab,symbolgrass,faceface,antlers,grass,24.0,30.0,22.0,24.0,final_form,92.1669059728832,262
249,monke,blank,cloud,firespark,smirk,spikes,fire,14.0,10.0,38.0,38.0,final_form,94.68884374122833,263
250,dragonfly,wave,cloud,ruffles,trunk,cat,air,20.0,22.0,41.0,17.0,final_form,92.69877430021437,264
251,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,265
252,squirrel,blank,mushroom,round,derpy,bumps,grass,18.0,42.0,25.0,15.0,final_form,91.84955378044796,266
253,bug,blank,crab,starfish,clyde,cat,water,67.0,0.0,0.0,33.0,final_form,94.34997541425125,267
254,snail,blank,flower,bulba,tired,fin,grass,29.0,31.0,24.0,16.0,final_form,92.96465382422062,268
255,dragonfly,zigzag,flower,grasscollarpink,clyde,clyde,grass,19.0,34.0,24.0,23.0,final_form,92.24553808998422,269
256,batwing,scales,marshmallow,round,cutelashes,chef,fire,9.0,30.0,12.0,49.0,final_form,93.3035119669493,270
257,fin,splotch,nub,paperheart,OmO,smoke,air,22.0,24.0,36.0,19.0,final_form,92.7759723819694,272
258,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,273
259,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,274
260,jolt,blank,marshmallow,spikes,stunned,bear,fire,3.0,25.0,16.0,56.0,final_form,94.43576405718031,275
261,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,276
262,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,277
263,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,278
264,tadpole,zigzag,tentaclesout,toto,angry,finbumps,water,28.0,25.0,26.0,22.0,final_form,94.73600522856181,279
265,piggy,zigzag,flower,flowerrainbow,froggeh,mushroom,grass,20.0,36.0,20.0,23.0,final_form,92.90745350108266,280
266,None,None,None,None,None,None,None,None,None,None,None,Two,8.376105465894994,281
267,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,282
268,cloud,spots,balloon,cloudbelt,hearts,flyinghat,air,23.0,23.0,27.0,27.0,final_form,94.0612158215323,283
269,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,284
270,None,None,None,None,None,None,None,None,None,None,None,Two,8.376105465894994,285
271,horse,splotch,nub,aircrystals,cheerful,hive,air,17.0,24.0,33.0,25.0,final_form,92.50576448470656,286
272,rabbit,wave,mushroom,petalyellow,facepaint,fin,grass,19.0,29.0,26.0,26.0,final_form,93.02612717977127,287
273,None,None,None,None,None,None,None,None,None,None,None,Two,8.376105465894994,288
274,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,289
275,fox,zigzag,torch,firespark,doubleface,finblades,fire,9.0,24.0,23.0,44.0,final_form,94.15556602411283,290
276,monke,zigzag,nub,hairy,piggy,clyde,fire,0.0,25.0,10.0,66.0,final_form,91.37061458860042,291
277,fox,scales,marshmallow,firebelt,cheerful,firecrown,fire,4.0,26.0,14.0,56.0,final_form,94.72741732577529,292
278,dragonfly,wave,airhorn,toto,glossy,ribbon,air,7.0,13.0,46.0,33.0,final_form,94.87470204973775,293
279,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,294
280,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,295
281,dragonfly,blank,pickaxe,petalyellow,faceface,dog,grass,24.0,32.0,21.0,23.0,final_form,92.42852692602843,296
282,None,None,None,None,None,None,None,None,None,None,None,One,8.155832200676905,297
283,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,298
284,fin,spots,nub,tube,toad,antennasingle,water,64.0,12.0,12.0,12.0,final_form,92.98317813921518,301
