,Environment,Hand,Ear Accessory,Mouth Accessory,Hair,Eyewear,Brow,Eyes,Mouth,Clothing,Necklace,Face Attachment,Body Attachment,Markings,Body,Background,Mask,Rarity score,Token Id
3007,No Environment,Dango,Cross Earring,No Accessory,Pomade Blond,Sunglasses,Brow 5,Yellow Eyes 1,Slight Smile,Kiwami Hoodie Camo,Chain Necklace,No Attachment,No Attachment,No Markings,Skintone 1,Red,None,18.33580895959971,3007
3008,None,None,Robo Earphone Black,None,Parted Long Straight Plus Yellow,No Eyewear,Brow Type 4,Deep Eyes 3,Slight Smile Red,None,None,None,None,None,Tengu 2 Skintone 3 smonk,Pure Black,Hanya Mask 2,99.79096200778056,3008
3009,No Environment,Robo Middle Finger,Earring,No Accessory,Dreads,Deshawn Glasses,Brow 2,Violet Eyes 2,Laugh,Suit and Open Collar,No Necklace,No Attachment,No Attachment,No Markings,Skintone 3,Blue,None,18.26324675941486,3009
3010,No Environment,Pizza hand,Robo Ear,No Accessory,Joe Hair,White Sunglasses G,Brow 1,Violet Eyes 2,Slight Open,Tattered Gi Blue,Gold Pearls,No Attachment,Tattoo Flowers,No Markings,Skintone 3,Magenta,None,26.938877806008882,3010
3011,Momiji Chiru,Spray Paint,Earring,No Accessory,Parted Long Straight Violet,No Eyewear,Brow Type 2,Orange Eyes 1,Smile Pink,Hacker Jacket,Kiwami Pendant,No Attachment,Robo Spine,No Markings,Skintone 3,White,None,30.77039930786935,3011
3012,No Environment,Unarmed,Ronan Earring,No Accessory,Mega Fro Pink,No Eyewear,Brow Type 2,Green Eyes 2,Smile Pink,Happi Checkerboard and Sarashi,Kiwami Pendant,No Attachment,Mox Cybernetics,No Markings,Skintone 1,Red,None,14.585514297977841,3012
3013,No Environment,Mox Hand Cyan,Silver Chain Earring,No Accessory,Knit Beanie Gray Anarchy Blonde,Redlin Glasses Yellow,Brow Type 4,Green Eyes 2,Neutral Pinkk,Slugger Jacket,No Necklace,No Attachment,No Attachment,Barcode,Skintone 1,Blue,None,28.479693079304546,3013
3014,No Environment,Spray Paint,Gold Chain Earring,No Accessory,Hime Cut Black Red,No Eyewear,Brow Type 3,Cat Eyes 3,Smirk Red,Happi Blue,No Necklace,No Attachment,No Attachment,Mole,Skintone 2,Magenta,None,17.366852656440933,3014
3015,No Environment,Umbrella Red With Pattern,Thunder Earring,No Accessory,Parted Long Straight Plus Yellow,No Eyewear,Brow Type 2,Orange Eyes 3,Smile Red,Happi Checkerboard,Gold Pearls,13 tattoo,No Attachment,No Markings,Skintone Radioactive,White,None,24.841495087209495,3015
3016,No Environment,Unarmed,Broken Heart Earring,No Accessory,Parted Long Straight Violet,No Eyewear,Brow Type 5,Eyes Closed 1,Tongue Out Purple,Naked Apron Takoyaki,Choker,No Attachment,No Attachment,Barcode,Skintone 2,Magenta,None,18.84946242458362,3016
3017,No Environment,Unarmed,Broken Heart Earring,No Accessory,Hime Cut Cyan,No Eyewear,Brow Type 4,Blue Eyes 2,Grit Pink,Tank Grey,Dog Tags,No Attachment,No Attachment,No Markings,Skintone 1,Black Gray,None,7.249333510591119,3017
3018,Momiji Chiru,Bandage Arm,Bead Earring,Bubblegum Pink,Pompadour Tan,Sunglasses,Brow 5,Black Eyes 2,Neutral,Terry Jacket Navy,Wave Necklace,No Attachment,Tattoo Flowers,No Markings,Skintone 2,White,None,56.91806389398945,3018
3019,None,None,Earring,None,Karen Short,No Eyewear,Brow Type 5,Orange Eyes 2,Smirk Purple,None,None,None,None,None,Tengu 2 Skintone 3,Pure Black,Hanya Mask neon,97.62349201568729,3019
3020,No Environment,Unarmed,Earloops,No Accessory,Parted Long Straight,No Eyewear,Brow Type 4,Cat Eyes 1,Slight Smile Purple,Hacker Jacket,No Necklace,No Attachment,No Attachment,Barcode,Skintone 2,White,None,12.180429456963173,3020
3021,No Environment,Unarmed,Zorro Earring,No Accessory,Old Timey,No Eyewear,Brow Type 3,Green Eyes 1,Smile Red,Suit and Ribbon Tie Blue,No Necklace,No Attachment,No Attachment,Barcode,Skintone 2,Black Gray,None,11.476285224978179,3021
3022,No Environment,Traditional Umbrella Red With Pattern,No Earring,No Accessory,Sakanakun 3,No Eyewear,Brow 1,Small Eyes 1,Tongue Out,Happi,Chain Necklace,No Attachment,Tattoo Dragon,No Markings,Skintone 1,Red,None,13.852198570889845,3022
3023,No Environment,Electric Skateboard Cyan,No Earring,No Accessory,Shojo Yellow,No Eyewear,Brow Type 3,Pink Eyes 2,Neutral Pinkk,Tank,Wave Necklace,Face Tattoo,Kitty Tattoo,Mole,Skintone 2,Moss,None,36.69556528173039,3023
3024,No Environment,Bandage Arm,Cross Earring,No Accessory,Knit Beanie Green Ethereum,No Eyewear,Brow 6,Yellow Eyes 2,Laugh,Happi Kiwami Cyan,Chain Necklace,Double Scar,No Attachment,No Markings,Skintone Radioactive,White,None,27.103015870714103,3024
3025,Momiji Chiru,Electric Skateboard Cyan,No Earring,Cigarette,Sakanakun 2,Patch with logo,Brow 1,Green Eyes 2,Slight Open,Lime Hoodie Walkie Talkie,Dog Tags,No Attachment,No Attachment,Robo Spine,Skintone Radioactive,Red,None,61.496301891396556,3025
3026,No Environment,Unarmed,Piercings,No Accessory,Sakanakun 1,No Eyewear,Brow Type 1,Orange Eyes 1,Laugh Pink,Open Kimono Blue,Kiwami Pendant,No Attachment,Mox Cybernetics Anonymice,No Markings,Skintone 3,Red,None,14.618670976735284,3026
3027,No Environment,Dango,Square Earring,No Accessory,Shojo Yellow,No Eyewear,Brow Type 1,Deep Eyes 1,Slight Smile Red,Slugger Jacket Yellow,Chain Necklace,No Attachment,Robo Spine,No Markings,Skintone Radioactive,Red,None,20.757491312325044,3027
3028,No Environment,Robo Call me Red,No Earring,No Accessory,Middle Parted Plus,Glasses 2,Brow 6,Violet Eyes 2,Tongue Out,Greaser Jacket Gold Shirtless,Gold Pearls,Stubble,Tattoo Dragon,Robo Spine,Skintone 2,Black Gray,None,45.162649477093574,3028
3029,Momiji Chiru,Beer Can,Piercings,No Accessory,Messy Pink,Sunglasses Yellow,Brow 1,Violet Eyes 1,Tongue Out,Greaser Jacket Gold Shirtless,Wave Necklace,No Attachment,Tattoo Flowers,Robo Spine,Skintone 3,Magenta,None,53.94266423734007,3029
3030,No Environment,Green Tea,Kiwami Studs,No Accessory,Fisher Hat Orange,No Eyewear,Brow 4,Green Eyes 1,Neutral,Half Kimono WIth pattern,Chain Necklace,Plaster,Single Tattoo,No Markings,Skintone 3,White,None,23.86798659519156,3030
3031,No Environment,Robo Middle Finger,No Earring,No Accessory,Mega Fro,White Sunglasses G,Brow 4,Yellow Eyes 2,Smirk,Lime Hoodie Walkie Talkie,Kiwami Pendant,Plaster,Tattoo Dragon,No Markings,Skintone 2,Red,None,35.394481980737524,3031
3032,None,None,Earloops,None,Parted Long Straight Plus,No Eyewear,Brow Type 2,Red Eyes 2,Slight Open Red,None,None,None,None,None,Tengu 3 Skintone 2,Pure Black,Hanya Mask 2 neon,98.95667662480363,3032
3033,No Environment,Umbrella Red,Zorro Earring,No Accessory,Karen Short,Sunglasses,Brow Type 2,Green Eyes 2,Slight Open Purple,Short Sleeveless Jacket V Camo 1,Choker,Plaster,No Attachment,Mole,Skintone 2,Black Gray,None,41.43956988963382,3033
3034,No Environment,Red Drone Without Logo,Thunder Earring,No Accessory,Ponytail Green,No Eyewear,Brow Type 3,Brown Eyes 1,Neutral Pinkk,Happi,No Necklace,No Attachment,Kitty Tattoo,No Markings,Skintone 1,Black Gray,None,13.659744208493763,3034
3035,No Environment,Traditional Umbrella Yellow With Pattern,Earring,No Accessory,Slick Back Silver,No Eyewear,Brow 1,Redline Eyes 1,Slight Open,Suit and Tie With Pin,Gold Pearls,No Attachment,No Attachment,Robo Spine,Skintone 3,Red,None,16.826466514223647,3035
3036,No Environment,Spray Paint,Earring,No Accessory,Parted Long Straight Violet,No Eyewear,Brow Type 5,Blue Eyes 1,Neutral Purple,Green Camo Hoodie Up,Wave Necklace,No Attachment,No Attachment,Mole,Skintone 3,Black Gray,None,17.72725738470755,3036
3037,No Environment,Baseball Bat,Kiwami Studs,No Accessory,Parted Long Straight Violet,No Eyewear,Brow Type 2,Orange Eyes 1,Slight Open Red,Black Kiwami Hoodie,No Necklace,No Attachment,Robo Spine,No Markings,Skintone 1,White,None,11.420754937968667,3037
3038,No Environment,Unarmed,Bead Earring,No Accessory,Afro,No Eyewear,Brow Type 3,Brown Eyes 2,Smile Purple,Open Kimono,Dog Tags,No Attachment,No Attachment,Barcode,Skintone 1,Moss,None,17.308606949157696,3038
3039,No Environment,Mox Hand,Broken Heart Earring,No Accessory,Karen Short,Sunglasses S,Brow Type 4,Deep Eyes 3,Slight Open Red,Happi Blue,No Necklace,Draken Tattoo,Robo Spine,No Markings,Skintone 3,Moss,None,37.231661683831405,3039
3040,No Environment,Red Drone Without Logo,No Earring,No Accessory,Baseball Cap Forward Black,No Eyewear,Brow 3,Yellow Eyes 2,Slight Open,Tank top Camo,Dog Tags,No Attachment,Single Tattoo,No Markings,Skintone 2,Black Gray,None,12.615697920464475,3040
3041,No Environment,Baseball Bat Black,Broken Heart Earring,No Accessory,Mage,Sunglasses Yellow,Brow 1,Small Eyes 1,Neutral,Fur Coat Magenta,Kiwami Pendant,Stubble,Tattoo Flowers,Kanji Tattoo,Skintone 2,White,None,48.1675948724474,3041
3042,No Environment,Robo Call me,Kiwami Studs,No Accessory,Diamond Hat,Sunglasses,Brow 4,Small Eyes 1,Neutral,Happi,Kiwami Pendant,No Attachment,Tattoo Flowers,No Markings,Skintone 3,Red,None,25.683800975620574,3042
3043,Sakura Chiru,Unarmed,Earring,Bubblegum Yellow,Shojo Yellow,Patch with Logo,Brow Type 1,Brown Eyes 3,Neutral Purple,Red Spider Bra,No Necklace,Plaster,Kitty Tattoo,No Markings,Skintone 2,Red,None,62.73038613066026,3043
3044,No Environment,Brass Knuckle,Headphone Male,Cigarette,Messy Blue,Glasses 2,Brow 1,Deep Eyes 2,Slight Open,Greaser Jacket Pink Shirtless,Gold Pearls,No Attachment,Tattoo Dragon,No Markings,Skintone 3,Blue,None,40.33340265008138,3044
3045,No Environment,Mox Hand,Ronan Earring Gold,No Accessory,Redlin Short Cyan,Redlin Glasses Blue,Brow Type 5,Brown Eyes 2,Slight Open Purple,Hacker Jacket with fishnet,Gold Pearls,No Attachment,No Attachment,Barcode,Skintone 1,Red,None,29.753284160643005,3045
3046,No Environment,Unarmed,Silver Chain Earring,No Accessory,Hime Cut Yellow,Glasses 2,Brow Type 1,Cat Eyes 3,Smile Purple,Zebra Hoodie Up,Chain Necklace,Face Tattoo,Robo Spine,Mole,Skintone 3,Red,None,42.06675430766978,3046
3047,No Environment,Unarmed,No Earring,Jaw Guard,Fisher Hat,No Eyewear,Brow 2,Yellow Eyes 2,Neutral,Greaser Jacket Shirtless,Chain Necklace,No Attachment,Tattoo Dragon,No Markings,Skintone 2,Black Gray,None,24.083176119764772,3047
3048,No Environment,Robo Call me Titanium,Broken Heart Earring,No Accessory,Ronin Hair,No Eyewear,Brow 3,Green Eyes 1,Smirk,Kiwami Hoodie Camo,Chain Necklace,No Attachment,Tattoo Flowers,No Markings,Skintone 3,Moss,None,15.242010039915238,3048
3049,No Environment,Traditional Umbrella Red With Pattern,No Earring,No Accessory,Saiyan Gray,Sunglasses Pink,Brow 1,Blue Eyes 1,Slight Smile,Greaser Jacket Pink Shirtless,No Necklace,No Attachment,Tattoo Flowers,Robo Spine,Skintone 3,White,None,28.607827502181728,3049
3050,No Environment,Den Den Daiko Wave Blue,No Earring,No Accessory,Redlin Short,White Sunslasses,Brow Type 5,Red Eyes 2,Slight Smile Pink,Short Sleeveless Jacket V Camo 2,Wave Necklace,No Attachment,Robo Spine,Mole,Skintone 1,Red,None,32.98401669496421,3050
3051,No Environment,Electric Skateboard Gold,Earring,No Accessory,Baseball Cap Forward Black,No Eyewear,Brow 6,Redline Eyes 1,Laugh,Black Kiwami Hoodie Up,No Necklace,Plaster,Single Tattoo,No Markings,Skintone 1,Magenta,None,25.13137058450222,3051
3052,No Environment,Umbrella Yellow,Ruby Earring,No Accessory,Parted Long Straight Red,No Eyewear,Brow Type 4,Orange Eyes 3,Neutral Pinkk,Zebra Hoodie Up,No Necklace,Plaster,Kanji Tattoo,No Markings,Skintone 2,Red,None,26.67428261886558,3052
3053,No Environment,Unarmed,Sumping,No Accessory,Parted Long Straight Plus,No Eyewear,Brow Type 5,Orange Eyes 3,Neutral Pinkk,Tank Sandyterrain,Wave Necklace,Face Tattoo,Kitty Tattoo,Barcode,Skintone 1,Black Gray,None,34.76719181025057,3053
3054,No Environment,Baseball Bat,Piercings,No Accessory,Curled Back Blond,Sunglasses Gold,Brow 1,Blue Eyes 1,Slight Open,Black Suit and Tie,No Necklace,No Attachment,No Attachment,No Markings,Skintone Radioactive,Red,None,20.433916778752245,3054
3055,No Environment,Beer Can,Thunder Earring,No Accessory,Pomade,No Eyewear,Brow 4,Redline Eyes 2,Neutral,Happi,Chain Necklace,Face Tattoo,Single Tattoo,Robo Spine,Skintone 3,White,None,33.719566206253816,3055
3056,No Environment,Robo Call me Titanium,No Earring,No Accessory,Baseball Cap Forward Black,White Sunglasses,Brow 4,Yellow Eyes 1,Open,Suit and Bowtie,Kiwami Pendant,No Attachment,Single Tattoo,Robo Spine,Skintone 2,Moss,None,36.00119165326146,3056
3057,No Environment,Unarmed,Silver Chain Earring,Bubblegum Pink,Knit Beanie Gray Anarchy Blonde,No Eyewear,Brow Type 4,Green Eyes 2,Smile Red,Red Spider Bra With Orange Jacket,No Necklace,Teardrop tattoo,Kitty Tattoo,No Markings,Skintone 3,Blue,None,38.190559359809725,3057
3058,No Environment,Unarmed,Cross Earring,No Accessory,Parted Long Straight Plus,No Eyewear,Brow Type 5,Green Eyes 3,Neutral Purple,Slugger Jacket,Choker,No Attachment,Mox Cybernetics Violet,Barcode,Skintone 2,Black Gray,None,24.774862299437356,3058
3059,No Environment,Robo Call me Red,Piercings,No Accessory,Bandana C,Sunglasses,Brow 2,Deep Eyes 2,Smirk,Fur Coat Magenta,No Necklace,No Attachment,Single Tattoo,No Markings,Skintone 2,Moss,None,21.674289629623374,3059
3060,No Environment,Drone Without Logo,Piercings,No Accessory,Mega Fro,Round Glasses,Brow 4,Eyes Closed,Grit,Greaser Jacket Blue,Dog Tags,Face Tattoo,Tattoo Flowers,No Markings,Skintone 2,White,None,39.10360912050447,3060
3061,No Environment,Drone With Logo,Earring,No Accessory,Curled Back With Hachimaki Blond,Sunglasses Yellow,Brow 6,Eyes Closed,Slight Smile,Suit and Tie With Pin,No Necklace,Mole,No Attachment,No Markings,Skintone 3,Red,None,28.506669444746308,3061
3062,No Environment,Unarmed,Ronan Earring,No Accessory,Mega Fro,Glasses 2,Brow Type 4,Pink Eyes 3,Smirk Purple,Happi and Sarashi,Wave Necklace,Plaster,No Attachment,No Markings,Skintone 3,Red,None,29.100995437703798,3062
3063,No Environment,Mox Hand,Bead Earring,No Accessory,Karen Short Purple Gradation,Glasses 2,Brow Type 2,Orange Eyes 1,Smirk Pink,Suit and Ribbon Tie,Dog Tags,No Attachment,No Attachment,No Markings,Skintone 1,Magenta,None,22.96888244964758,3063
3064,No Environment,Unarmed,Gold Chain Earring,No Accessory,Parted Long Straight Red,No Eyewear,Brow Type 1,Brown Eyes 3,Grit Red,Spider Bra,No Necklace,No Attachment,No Attachment,No Markings,Skintone 1,Black Gray,None,3.398786078902969,3064
3065,No Environment,Beer Can,Broken Heart Earring,No Accessory,Hime Cut Black Red,No Eyewear,Brow Type 1,Orange Eyes 2,Grit Purple,Black Kiwami Hoodie Up,No Necklace,No Attachment,Robo Spine,Barcode,Skintone Radioactive,Black Gray,None,26.1356331882224,3065
3066,No Environment,Unarmed,Ronan Earring,No Accessory,Redlin Short,Deshawn Glasses,Brow Type 1,Eyes Closed 1,Smile Purple,Open Kimono Blue,Wave Necklace,Plaster,Kanji Tattoo,Mole,Skintone 3,Black Gray,None,44.58911573207102,3066
3067,No Environment,Den Den Daiko Wave Blue,Sumping,No Accessory,Middle Parted Blonde,Sunglasses G,Brow 5,Green Eyes 2,Neutral,Tank top,Chain Necklace,No Attachment,Tattoo Flowers,No Markings,Skintone 1,Red,None,26.458503053158534,3067
3068,No Environment,Drone Without Logo,Square Earring,No Accessory,Afro,Sunglasses S,Brow Type 5,Brown Eyes 3,Slight Smile Pink,Tank Sandyterrain,No Necklace,Plaster,Mox Cybernetics Violet,No Markings,Skintone 1,Black Gray,None,36.796774648497326,3068
3069,No Environment,Brass Knuckle,No Earring,No Accessory,Pompadour,No Eyewear,Brow 4,Green Eyes 2,Neutral,Fur Coat Magenta,Gold Pearls,No Attachment,Single Tattoo,No Markings,Skintone Radioactive,Red,None,14.949915987549318,3069
3070,No Environment,Umbrella Red,Cross Earring,No Accessory,Ponytail Green,No Eyewear,Brow Type 2,Brown Eyes 3,Neutral Red,Tank Rockyterrain,Wave Necklace,No Attachment,No Attachment,Mole,Skintone Radioactive,Magenta,None,25.278381128933493,3070
3071,No Environment,Unarmed,Thunder Earring,No Accessory,Parted Long Straight Plus Black Blue,No Eyewear,Brow Type 2,Pink Eyes 3,Neutral Pinkk,Mox Jacket Camo Green,Wave Necklace,No Attachment,Robo Spine,No Markings,Skintone 2,White,None,12.439691052377908,3071
3072,No Environment,Baseball Bat Black,Gold Chain Earring,No Accessory,Baseball Cap Forward Blue,White Sunglasses G,Brow Type 5,Blue Eyes 2,Slight Open Pink,Slugger Jacket,Choker,No Attachment,Kitty Tattoo,No Markings,Skintone 1,White,None,29.89442368199508,3072
3073,No Environment,Beer Can,Kanzashi and Earring,No Accessory,Karen Short Red Gradation,No Eyewear,Brow Type 2,Blue Eyes 1,Slight Smile Purple,Kebaya Black Gold,No Necklace,Star Tattoo,No Attachment,Mole,Skintone 3,Magenta,None,26.87708288752048,3073
3074,Sakura Chiru,Dango,Thunder Earring,No Accessory,Mega Fro,Patch with logo,Brow 6,Black Eyes 1,Slight Smile,Greaser Jacket Blue Shirtless,Chain Necklace,No Attachment,Tattoo Flowers,No Markings,Skintone 2,Moss,None,44.25773359866108,3074
3075,No Environment,Unarmed,Earring,No Accessory,Ponytail Yellow,Patch,Brow Type 1,Green Eyes 3,Laugh Pink,Suit and Ribbon Tie Blue,Chain Necklace,No Attachment,No Attachment,No Markings,Skintone Radioactive,White,None,21.06964425214786,3075
3076,No Environment,Baseball Bat Black,No Earring,Cigarette,Ronin Hair Blue,No Eyewear,Brow Type 3,Orange Eyes 2,Slight Smile Pink,Mox Jacket,Choker,13 tattoo,No Attachment,Barcode,Skintone 1,Red,None,43.05896443325054,3076
3077,No Environment,Unarmed,Cross Earring,No Accessory,Sakanakun Gold,Yellow Sunglasses,Brow Type 5,Deep Eyes 3,Neutral Pinkk,Tank Sandyterrain,No Necklace,No Attachment,No Attachment,Mole,Skintone 3,Red,None,21.922585269495475,3077
3078,No Environment,Unarmed,Robo Ear,No Accessory,Mega Fro,Glasses 2,Brow Type 3,Green Eyes 2,Slight Open Purple,Happi Checkerboard,Choker,No Attachment,No Attachment,No Markings,Skintone 3,White,None,17.7932019218731,3078
3079,No Environment,Green Tea,No Earring,Bubblegum Pink,Fisher Hat Orange,White Sunglasses G,Brow 2,Blue Eyes 2,Neutral,Hanging White Jacket and Shirt,Kiwami Pendant,Mole,Single Tattoo,Robo Spine,Skintone 2,Magenta,None,60.70116668831571,3079
3080,No Environment,Red Drone Without Logo,Thunder Earring,No Accessory,Parted Long Straight Plus,No Eyewear,Brow Type 3,Red Eyes 1,Slight Open Red,Mox Jacket Camo Brown,No Necklace,Face Tattoo,No Attachment,Barcode,Skintone 3,Magenta,None,28.096880155845444,3080
3081,No Environment,Beer Can Black,Earring,No Accessory,Slick Back,Sunglasses G,Brow 4,Blue Eyes 2,Slight Open,Okinawan Shirt Blue,Dog Tags,No Attachment,Tattoo Flowers,No Markings,Skintone 3,Red,None,25.39800741436452,3081
3082,No Environment,Baseball Bat,No Earring,Bubblegum Yellow,Pompadour Tan,Sunglasses Gold,Brow 4,Green Eyes 2,Smirk,Greaser Jacket Blue Shirtless,Gold Pearls,No Attachment,Tattoo Flowers,No Markings,Skintone 2,White,None,36.2909154792528,3082
3083,No Environment,Den Den Daiko Wave Blue,Boomerang Earring,No Accessory,Mohawk Blue,No Eyewear,Brow 3,Yellow Eyes 2,Grit,Kiwami Hoodie Camo,No Necklace,Face Scar,No Attachment,No Markings,Skintone Radioactive,Black Gray,None,23.39794309500904,3083
3084,Momiji Chiru,Bandage Arm,Kiwami Studs,No Accessory,Old Timey,No Eyewear,Brow Type 1,Brown Eyes 1,Smile Purple,Hacker Jacket with fishnet Purple,Chain Necklace,Plaster,No Attachment,Barcode,Skintone 2,Red,None,45.61633820594337,3084
3085,Momiji Chiru,Electric Skateboard Cyan,Thunder Earring,No Accessory,Saiyan Gray,Sunglasses,Brow 4,Small Eyes 1,Slight Open,Hanging Jacket and Shirt,Gold Pearls,Stubble,No Attachment,No Markings,Skintone 3,Magenta,None,45.31579192328156,3085
3086,No Environment,Dango,Zorro Earring,No Accessory,Baseball Cap Forward Olive,No Eyewear,Brow Type 1,Orange Eyes 3,Smile Red,Fur Jacket Green,Choker,No Attachment,Kitty Tattoo,Barcode,Skintone 3,Blue,None,29.83663216148201,3086
3087,No Environment,Robo Call me,Cross Earring,No Accessory,Saiyan,Patch with logo,Brow 6,Black Eyes 2,Slight Open,Okinawan Shirt Blue,No Necklace,No Attachment,No Attachment,Robo Spine,Skintone 2,White,None,25.967609224434995,3087
3088,No Environment,Takoyaki,Ronan Earring Gold,No Accessory,Riki Short Pink,Sunglasses Gold,Brow 1,Black Eyes 2,Smirk,Kiwami Hoodie Camo,Dog Tags,Draken Tattoo,Single Tattoo,Robo Spine,Skintone 1,Black Gray,None,46.815307008657655,3088
3089,Sakura Chiru,Drone Without Logo,Ruby Earring,No Accessory,Old Timey,Patch,Brow Type 4,Orange Eyes 1,Slight Smile Red,Happi and Sarashi,Dog Tags,No Attachment,Robo Spine,No Markings,Skintone Radioactive,Black Gray,None,49.04553194011648,3089
3090,No Environment,Den Den Daiko Wave Blue,Robo Earphone,Cigarette,Sakanakun Gold,Sunglasses,Brow 4,Green Eyes 1,Slight Open,Suit and Bowtie Yellow,Chain Necklace,Face Scar,Tattoo Dragon,No Markings,Skintone 2,Magenta,None,51.97743996690822,3090
3091,No Environment,Bandage Arm,Earring,No Accessory,Shojo Yellow,No Eyewear,Brow Type 4,Red Eyes 3,Smile Pink,Open Kimono Blue,No Necklace,Slugger Paint,No Attachment,Barcode,Skintone 2,Magenta,None,28.49655870918322,3091
3092,No Environment,Unarmed,No Earring,No Accessory,Parted Long Straight Plus Black Blue,No Eyewear,Brow Type 2,Brown Eyes 3,Smile Purple,Happi Red,Gold Pearls,Plaster,Mox Cybernetics Violet,No Markings,Skintone 2,White,None,21.010015916351865,3092
3093,No Environment,Robo Call me,Kiwami Studs,Cigarette,Mohawk Gray,Round Glasses,Brow 6,Yellow Eyes 2,Slight Open,Happi Kiwami Black Red,Chain Necklace,Star Tattoo,No Attachment,No Markings,Skintone 2,Blue,None,47.62283331179418,3093
3094,No Environment,Unarmed,Ruby Earring,Cigarette,Mega Fro Brown,No Eyewear,Brow Type 4,Orange Eyes 1,Slight Open Pink,Red Spider Bra With Orange Jacket,No Necklace,Face Tattoo,No Attachment,Barcode,Skintone 2,Moss,None,39.585884778328875,3094
3095,No Environment,Electric Skateboard Cyan,Sumping,No Accessory,Bandana A,No Eyewear,Brow 2,Green Eyes 1,Slight Open,Suit and Tie,Kiwami Pendant,Double Scar,Tattoo Flowers,No Markings,Skintone 1,Moss,None,28.68528976204956,3095
3096,No Environment,Unarmed,No Earring,No Accessory,Pompadour Magenta,Sunglasses G,Brow 2,Deep Eyes 2,Grit,Okinawan Shirt Gray,No Necklace,No Attachment,Single Tattoo,Robo Spine,Skintone 2,Magenta,None,27.473084490540963,3096
3097,No Environment,Takoyaki,Earloops,No Accessory,Ponytail Plus,No Eyewear,Brow Type 5,Cat Eyes 1,Slight Smile Pink,Redlin Polo,Kiwami Pendant,Face Tattoo,No Attachment,Mole,Skintone 3,Red,None,30.706315519004118,3097
3098,No Environment,Unarmed,Piercings,No Accessory,Parted Long Straight Plus Black Blue,No Eyewear,Brow Type 1,Deep Eyes 1,Smirk Purple,Happi Red,Chain Necklace,No Attachment,No Attachment,No Markings,Skintone 3,White,None,4.150894312234294,3098
3099,Momiji Chiru,Umbrella Yellow With Pattern,Sumping,No Accessory,Karen Short,Redlin Glasses Blue,Brow Type 5,Red Eyes 1,Smirk Red,Tank Grey,Kiwami Pendant,13 tattoo,No Attachment,Barcode,Skintone 3,Blue,None,59.83176230994389,3099
3100,Momiji Chiru,Umbrella Yellow With Pattern,Ronan Earring,No Accessory,Parted Long Straight,No Eyewear,Brow Type 3,Red Eyes 3,Slight Open Purple,Hacker Jacket Purple,Gold Pearls,No Attachment,Robo Spine,Mole,Skintone 3,Black Gray,None,39.46388655057421,3100
3101,None,None,Robo Ear,None,Pomade,No Eyewear,Brow Type 4,Black Eyes 1,Neutral,None,None,None,None,None,Tengu 2 Skintone 2 Half Kimono 2,Pure Black,Tengu Mask Purple,98.06647551466415,3101
3102,No Environment,Unarmed,Sumping,No Accessory,Old Timey,No Eyewear,Brow Type 2,Blue Eyes 3,Neutral Red,Short Sleeveless Jacket V Camo 2,Gold Pearls,No Attachment,Kitty Tattoo,Mole,Skintone 3,White,None,20.699154876728258,3102
3103,No Environment,Traditional Umbrella Red With Pattern,No Earring,Bubblegum Yellow,Saiyan Yellow,Patch with logo,Brow 4,Green Eyes 1,Smirk,Hanging White Jacket and Shirt,No Necklace,Stubble,No Attachment,No Markings,Skintone 2,Red,None,39.606488055246906,3103
3104,No Environment,Drone With Logo,Sumping,No Accessory,Mega Fro,No Eyewear,Brow 5,Deep Eyes 1,Neutral,Kimono White,Gold Pearls,No Attachment,No Attachment,No Markings,Skintone 2,Moss,None,10.816173165973556,3104
3105,No Environment,Robo Thumbs Up,Thunder Earring,Cigarette,Knit Beanie Gray Anarchy Pink,Patch,Brow Type 5,Eyes Closed 1,Smile Pink,Happi Blue and Sarashi,Gold Pearls,No Attachment,No Attachment,No Markings,Skintone Radioactive,Black Gray,None,38.877813708680705,3105
3106,No Environment,Umbrella Yellow,Ronan Earring,No Accessory,Medium Red,No Eyewear,Brow Type 3,Orange Eyes 2,Smirk Red,Zebra Hoodie Up,Choker,Teardrop tattoo,No Attachment,No Markings,Skintone 3,Moss,None,25.28257406951041,3106
3107,No Environment,Robo Call me Red,Piercings,No Accessory,Curled Back,White Sunglasses,Brow 6,Black Eyes 2,Neutral,Kimono Neko,Chain Necklace,No Attachment,Single Tattoo,No Markings,Skintone 3,Moss,None,26.462463129280057,3107
3108,No Environment,Pizza hand,Earring,No Accessory,Pomade Blond,No Eyewear,Brow 2,Yellow Eyes 2,Slight Open,Kimono Blue,Wave Necklace,No Attachment,Tattoo Dragon,Robo Spine,Skintone 1,White,None,24.327789664920367,3108
3109,Sakura Chiru,Green Tea,Piercings,Cigarette,Pomade Gray,Sunglasses Yellow,Brow 3,Green Eyes 1,Smirk,Black Suit and Tie,No Necklace,Plaster,Tattoo Flowers,No Markings,Skintone 2,Red,None,62.42388354467735,3109
3110,No Environment,Unarmed,Ronan Earring,No Accessory,Karen Short Purple Gradation,Patch,Brow Type 1,Brown Eyes 3,Smirk Purple,Mox Jacket Camo Brown,No Necklace,No Attachment,No Attachment,No Markings,Skintone 3,Black Gray,None,13.493377396205853,3110
