,Environment,Hand,Ear Accessory,Mouth Accessory,Hair,Eyewear,Brow,Eyes,Mouth,Clothing,Necklace,Face Attachment,Body Attachment,Markings,Body,Background,Mask,Rarity score,Token Id
23,Momiji Chiru,Unarmed,Gold Chain Earring,No Accessory,Afro,Deshawn Glasses,Brow Type 1,Brown Eyes 3,Smile Purple,Open Kimono Pink,Wave Necklace,Star Tattoo,Kanji Tattoo,Barcode,Skintone 1,Blue,None,62.450824246562455,23
24,No Environment,Robo Call me Red,Boomerang Earring,No Accessory,Afro Blonde,Patch,Brow 2,Yellow Eyes 1,Slight Smile,Green Anonymice Hoodie,Gold Pearls,No Attachment,No Attachment,No Markings,Skintone 1,Blue,None,18.832858276451198,24
25,No Environment,Takoyaki,No Earring,No Accessory,Baseball Cap Backward Navy,No Eyewear,Brow 1,Violet Eyes 1,Open,Terry Jacket,Chain Necklace,No Attachment,Single Tattoo,No Markings,Skintone 1,White,None,12.112375291547913,25
26,No Environment,Dango,Piercings,No Accessory,Old Timey,Patch,Brow Type 5,Eyes Closed 1,Laugh Red,Red Spider Bra With Orange Jacket,Chain Necklace,No Attachment,Mox Cybernetics Orange,No Markings,Skintone 3,Moss,None,29.76602306837059,26
27,None,None,Thunder Earring,None,Pomade Gray,No Eyewear,Brow Type 5,Violet Eyes 2,Neutral,None,None,None,None,None,Tengu 1 Skintone 3 Yellow Lightning,Pure Black,Tengu Mask Yellow Black,96.95686133927866,27
28,No Environment,Unarmed,Ronan Earring,No Accessory,Ponytail Plus,No Eyewear,Brow Type 2,Blue Eyes 3,Smirk Pink,Spider Bra With Jacket,No Necklace,No Attachment,Kanji Tattoo,No Markings,Skintone 3,Red,None,10.838733440794725,28
29,No Environment,Unarmed,No Earring,No Accessory,Messy Blond,Sunglasses Pink,Brow 2,Violet Eyes 1,Slight Open,Tank top Camo,Chain Necklace,Stubble,Tattoo Dragon,No Markings,Skintone 1,White,None,29.67043836676585,29
30,No Environment,Traditional Umbrella Yellow With Pattern,No Earring,No Accessory,Riki Short Orange,Patch with logo,Brow 1,Yellow Eyes 1,Laugh,Greaser Jacket Blue,Chain Necklace,No Attachment,No Attachment,No Markings,Skintone 3,Black Gray,None,18.13679562107648,30
31,No Environment,Baseball Bat Black,Kiwami Studs,No Accessory,Parted Long Straight Violet,No Eyewear,Brow Type 2,Green Eyes 2,Grit Pink,Slugger Jacket Yellow,Gold Pearls,Draken Tattoo,No Attachment,No Markings,Skintone 1,Moss,None,21.306220859590983,31
32,Sakura Chiru,Baseball Bat,Cross Earring,Cigarette,Pomade,No Eyewear,Brow 1,Small Eyes 1,Slight Smile,Tank top,Chain Necklace,Patch,No Attachment,No Markings,Skintone 2,White,None,48.83834354537807,32
33,No Environment,Electric Skateboard Gold,No Earring,No Accessory,Pomade,No Eyewear,Brow 2,Deep Eyes 1,Tongue Out,Hanging White Jacket and Shirt,Chain Necklace,Plaster,Tattoo Flowers,Kanji Tattoo,Skintone 3,Blue,None,36.14044701069118,33
34,No Environment,Red Drone Without Logo,Cross Earring,No Accessory,Pomade Blond,No Eyewear,Brow 2,Violet Eyes 2,Laugh,Hanging Red Jacket and Shirt,No Necklace,No Attachment,Single Tattoo,Robo Spine,Skintone 2,Magenta,None,23.20732011209612,34
35,None,None,Futuristic Robotic Ear,None,Karen Short Red,No Eyewear,Brow Type 1,Green Eyes 1,Smile Pink,None,None,None,None,None,Tengu 3 Skintone 3,Pure Black,Karasu Mask 1,98.66064045605302,35
36,Sakura Chiru,Unarmed,Boomerang Earring,Cigarette,Baseball Cap Backward Olive,No Eyewear,Brow Type 1,Red Eyes 2,Slight Open Purple,Happi and Sarashi,Choker,No Attachment,No Attachment,Barcode,Skintone 1,Black Gray,None,46.52907696141777,36
37,No Environment,Brass Knuckle,No Earring,No Accessory,Bandana A,Sunglasses Yellow,Brow 4,Blue Eyes 2,Neutral,Samurai,Gold Pearls,No Attachment,No Attachment,No Markings,Skintone 3,Moss,None,17.215220894969534,37
38,No Environment,Drone With Logo,Robo Ear v1,No Accessory,Ponytail Plus,No Eyewear,Brow Type 2,Brown Eyes 1,Open Purple,Tank,Kiwami Pendant,Face Tattoo,No Attachment,No Markings,Skintone 1,Red,None,23.1929018343759,38
39,No Environment,Beer Can Black,Boomerang Earring,Cigarette,Bandana A,Sunglasses Pink,Brow 3,Black Eyes 1,Slight Open,Hanging Jacket and Shirt With Pin,Wave Necklace,X Scar,Tattoo Dragon,Robo Spine,Skintone 2,Magenta,None,63.5815585054593,39
40,No Environment,Beer Can,Robo Earphone,No Accessory,Ronin Hair,No Eyewear,Brow 2,Violet Eyes 2,Smirk,Black Kiwami Hoodie,No Necklace,No Attachment,Tattoo Flowers,Robo Spine,Skintone 3,Black Gray,None,20.59572333762484,40
41,Momiji Chiru,Umbrella Yellow With Pattern,Boomerang Earring,No Accessory,Parted Long Straight Plus,No Eyewear,Brow Type 2,Green Eyes 2,Tongue Out Purple,Sarashi,No Necklace,Face Tattoo,Kanji Tattoo,Barcode,Skintone 1,Red,None,49.453521069337064,41
42,No Environment,Electric Skateboard Cyan,Square Earring,No Accessory,Ronin Hair Blue,No Eyewear,Brow Type 4,Orange Eyes 1,Open Red,Happi Checkerboard,No Necklace,No Attachment,No Attachment,Mole,Skintone 3,Moss,None,16.832529569947198,42
43,No Environment,Robo Call me Red,Piercings,No Accessory,Middle Parted Plus,Patch with logo,Brow 1,Violet Eyes 2,Laugh,Greaser Jacket Pink Shirtless,Wave Necklace,Face Scar,Tattoo Dragon,No Markings,Skintone 2,Blue,None,41.12890527336809,43
44,No Environment,Spray Paint,Zorro Earring,No Accessory,Medium Black,No Eyewear,Brow Type 5,Brown Eyes 1,Slight Open Pink,Zebra Hoodie Up,Gold Pearls,No Attachment,Robo Spine,No Markings,Skintone 1,Red,None,15.36632855378605,44
45,No Environment,Electric Skateboard Gold,Cross Earring,No Accessory,Redlin Short,No Eyewear,Brow Type 5,Deep Eyes 2,Open Red,Short Sleeveless Jacket V,Kiwami Pendant,No Attachment,Mox Cybernetics Orange,No Markings,Skintone 1,Black Gray,None,18.1106506361757,45
46,No Environment,Dango,Piercings,No Accessory,Shojo Yellow,No Eyewear,Brow Type 4,Blue Eyes 1,Laugh Purple,Open Kimono Pink,No Necklace,No Attachment,No Attachment,No Markings,Skintone Radioactive,Red,None,11.704691437452576,46
47,No Environment,Electric Skateboard Gold,Cross Earring,No Accessory,Ponytail Yellow,No Eyewear,Brow Type 5,Brown Eyes 2,Slight Open Purple,Happi and Sarashi,Gold Pearls,No Attachment,No Attachment,Barcode,Skintone 2,White,None,16.764171438315397,47
48,No Environment,Green Tea,Thunder Earring,Cigarette,Curled Back With Hachimaki,Glasses 2,Brow 4,Black Eyes 1,Slight Open,Black Kiwami Hoodie,No Necklace,No Attachment,No Attachment,No Markings,Skintone 1,Moss,None,30.925379931289232,48
49,No Environment,Robo Call me Red,Earring,No Accessory,Middle Parted Plus,Sunglasses G,Brow 2,Yellow Eyes 1,Slight Open,Samurai Green,Gold Pearls,No Attachment,Single Tattoo,Robo Spine,Skintone 3,Black Gray,None,32.24660352638697,49
50,No Environment,Umbrella Red,Earring,No Accessory,Redlin tail Green,No Eyewear,Brow Type 4,Brown Eyes 1,Smile Purple,Redlin Polo,Chain Necklace,No Attachment,Robo Spine,No Markings,Skintone 3,Moss,None,17.28839203916735,50
51,No Environment,Umbrella Red,Broken Heart Earring,No Accessory,Knit Beanie Green Ethereum Pink,Sunglasses G,Brow Type 4,Orange Eyes 2,Smirk Pink,Mox Jacket Camo Green,Wave Necklace,No Attachment,Mox Cybernetics Anonymice,Barcode,Skintone 3,White,None,37.81143271288291,51
52,No Environment,Unarmed,Broken Heart Earring,No Accessory,Parted Long Straight Plus Black Blue,No Eyewear,Brow Type 1,Orange Eyes 1,Neutral Pinkk,Tank,No Necklace,No Attachment,Robo Spine,Barcode,Skintone 1,Blue,None,18.3667679892374,52
53,No Environment,Unarmed,Square Earring,No Accessory,Ponytail Green,White Sunglasses G,Brow Type 5,Pink Eyes 2,Laugh Purple,Short Sleeveless Jacket V Camo 1,No Necklace,No Attachment,Mox Cybernetics,Barcode,Skintone 2,Magenta,None,32.662885161260654,53
54,Sakura Chiru,Unarmed,Broken Heart Earring,No Accessory,Hime Cut Black Red,No Eyewear,Brow Type 3,Blue Eyes 3,Smile Purple,Happi Checkerboard and Sarashi,No Necklace,Teardrop tattoo,No Attachment,Mole,Skintone 3,Black Gray,None,37.71988983618955,54
55,Momiji Chiru,Den Den Daiko,Cross Earring,Cigarette,Middle Parted Teal,White Sunglasses,Brow 2,Green Eyes 1,Slight Smile,Suit and Bowtie,No Necklace,No Attachment,No Attachment,No Markings,Skintone 3,Moss,None,46.14604964125919,55
56,No Environment,Red Drone Without Logo,Piercings,No Accessory,Messy Blue,Sunglasses,Brow 6,Deep Eyes 2,Tongue Out,Happi Kiwami Cyan,No Necklace,No Attachment,Single Tattoo,No Markings,Skintone 1,Moss,None,23.82409181648907,56
57,No Environment,Den Den Daiko,No Earring,No Accessory,Pompadour,Patch with logo,Brow 5,Black Eyes 2,Grit,Tattered Gi Gray,Chain Necklace,No Attachment,No Attachment,Kanji Tattoo,Skintone 2,Black Gray,None,30.0370541022067,57
