,Background,Left Arm,Right Arm,Eyes,Hat,Sleeves,Upper Body,Legs,Feet,Mouth,Bag,Nose,Outerwear,Shoe Gum,Fannypack,Neck,Suspenders,Ears,Overhead,Special,Rarity score,Token Id
1552,Yellow,Swinging,Metal Detector,Sunglasses,Big Hat,Long Sleeves,Light Blue Loose Shirt with Pens,Blue Sweatpants,Brown Boots,None,None,None,None,None,None,None,None,None,None,None,23.854770107710085,1553
1553,Blue,Bomb,Basketball,White Glasses,None,Short Sleeves,Light Blue Loose Shirt,Blue Sweatpants,Rocket Pop Sneakers,Cigar,None,None,None,None,None,Scarf Bandana,None,None,None,None,49.82065403460824,1554
1554,Orange,Fishing Pole,Basketball,Black Nerd Glasses,White / Red Backwards Cap,Short Sleeves,Blue / Green / Pink Puffer Vest,Lavender Pants,Green Boots,None,None,Bandage,None,None,None,None,None,Bing Bong Stick,None,None,65.47006592866936,1555
1555,Blue,Swinging,Swinging,None,Blue Bucket Hat,Long Sleeves,Yelow / Blue Hoodie Jacket with Hood Up,Lavender Pants,Summer Night Sneakers,Bing Bong Stick,None,None,None,None,None,None,None,None,None,None,15.731349399601235,1556
1556,Orange,Skateboard,Swinging,Radioactive Glasses,None,Long Sleeves,White Loose Shirt,Pink Skirt,Ice Grey Sneakers,None,None,None,None,None,Yellow Fannypack,None,None,None,None,None,30.75725502547574,1557
1557,Blue,Swinging,Swinging,White Nerd Glasses,Green Pointy Beanie,Long Sleeves,Dark Blue / White Sweater and Shirt,Tan Pants,Yellow Boots,Straw,None,None,None,None,None,None,None,Pencil,None,None,30.608601027028566,1558
1558,Blue,Swinging,Fast Food,Black Nerd Glasses,None,Long Sleeves,Green Turtleneck,White Shorts,Tan Boots,None,None,None,None,None,None,None,None,None,None,None,10.7813759207432,1559
1559,Green,Skateboard,Swinging,Pointy Glasses,Blue 5 Panel Cap,Long Sleeves,Blue Tracksuit Jacket,White Skirt,White Shoes,None,Duffel Bag,None,None,None,None,None,None,None,Dizzy,None,50.201480128896655,1560
1560,Green,Swinging,Swinging,Nose Glasses with White Hair,None,Long Sleeves,Yellow Turtleneck,Pink Shorts,White Shoes,None,None,None,None,None,None,None,None,Pencil,None,None,22.17084783372581,1561
1561,Purple,Axe,Crocodile,Nose Glasses with Black Hair,Knitted Bobble Hat,Long Sleeves,Cream Sweatshirt,Blue Pants,Bubblegum Blue Sneakers,None,Grey Backpack with Balloons,None,None,None,None,None,None,None,None,None,43.49709133769398,1562
1562,Blue,Baseball Bat,Swinging,Sunglasses,Visor,Long Sleeves,Yellow / Blue Hoodie Jacket with Hood Down,Green Pants,Frog Slippers,None,None,None,None,None,None,None,None,Pencil,None,None,28.586400795064936,1563
1563,Blue,Duffel Bag,Tennis Racket,None,Red Headband,Long Sleeves,Green / White / Blue Tracksuit Jacket,White Shorts,White Shoes,None,None,None,None,None,None,None,None,Earphones,None,None,33.51733835830609,1564
1564,Blue,Spray Can,Fast Food,None,None,Long Sleeves,Dark Blue / White Sweater and Shirt,Lavender Pants,Green Shoes,None,None,Bandage,White Coat,None,None,None,None,None,None,None,41.36721697639598,1565
1565,Orange,Squirt Gun,Swinging,Eye Patch,None,Long Sleeves,Light Blue / Dark Blue Hoodie Jacket with Hood Up,Purple Sweatpants,Brown Boots,None,None,None,None,None,None,None,None,None,None,None,18.066513689606285,1566
1566,Blue,Duffel Bag,Swinging,Black Nerd Glasses,None,Long Sleeves,Dark Blue / Light Blue Puffer Jacket,White Sweatpants,Black Shoes,Pipe,None,None,None,None,None,None,None,None,None,None,18.857501524720472,1567
1567,Yellow,Swinging,Coffee,None,None,Long Sleeves,Black Hoodie with Hood Up,Dark Blue Pants,Black Shoes,None,None,None,None,None,None,None,None,None,None,None,14.354161829052108,1568
1568,Blue,Swinging,Swinging,Nerd Ghost Glasses,None,Long Sleeves,Grey Hoodie with Hood Up,Lavender Pants,Green Shoes,Bing Bong Stick,None,None,None,None,None,None,None,None,None,None,12.286527939179226,1569
1569,Blue,Shovel,Swinging,Black Nerd Glasses,None,Long Sleeves,Purple Zipper Hoodie with Hood Down,Green Pants,Tan Boots,None,None,None,None,None,None,None,None,None,None,None,9.35941217440671,1570
1570,Blue,Swinging,Book,Black Nerd Glasses,None,Long Sleeves,Purple Zipper Hoodie with Hood Down,White Skirt,Green Shoes,Bing Bong Stick,None,None,None,None,None,None,None,None,None,None,18.74733894396456,1571
1571,Blue,Swinging,Swinging,None,White Headband,Long Sleeves,Blue Hoodie with Hood Down,Dark Blue Pants,Cream Slippers,Toothpick,None,Bandage,None,None,None,None,None,None,None,None,29.109443182697536,1572
1572,Blue,Skateboard,Fast Food,Boomer Glasses,Rain Hat,Long Sleeves,Blue Zipper Hoodie with Hood Down,Tan Pants,Maroon Shoes,Toothpick,None,None,None,None,None,None,None,None,None,None,32.241672651124375,1573
1573,Yellow,Swinging,Swinging,Nose Glasses with Black Hair,Dark Blue Beanie,Short Sleeves,Grey Tucked Shirt,Blue Tracksuit Pants,Summer Day Sneakers,Toothpick,None,None,None,None,None,None,None,None,None,None,35.691050533419464,1574
1574,Blue,Stick Bag,Swinging,None,Blue 5 Panel Cap,Long Sleeves,Blue / White Sweater and Shirt,Red Sweatpants,White Shoes,None,None,None,Red Coat,None,None,None,None,None,None,None,26.754205164031198,1575
1575,Blue,Swinging,Pocket,White Nerd Glasses,Rain Hat,Long Sleeves,Light Blue Loose Shirt,Light Blue Shorts,Light Blue Slippers,None,None,None,None,None,None,Scarf,None,None,None,None,30.204099906082515,1576
1576,Blue,Umbrella,Swinging,Eye Patch,Turquoise 5 Panel Cap,Long Sleeves,Green / White V-Neck Sweater and Shirt,Dark Blue Pants,Dark Blue Slippers,None,Grey Backpack,None,None,Gum,None,None,None,None,None,None,43.33595097545608,1577
1577,Blue,Swinging,Pocket,White Glasses,White Headband,Long Sleeves,Pink / Blue Hoodie Jacket with Hood Down,Green Pants,Green Boots,None,None,None,None,None,None,None,None,None,None,None,15.972284315727899,1578
1578,Blue,Swinging,Swinging,Sunglasses,None,Long Sleeves,Grey Tucked Shirt,Grey Tracksuit Pants,Summer Night Sneakers,None,None,None,White Coat,None,Yellow Fannypack,None,None,None,None,None,30.703101698374567,1579
1579,Blue,Juice,Fast Food,Black Nerd Glasses,None,Long Sleeves,Pink Hoodie with Hood Up,White Skirt,Yellow Boots,Cigar,None,None,None,None,None,None,None,None,None,None,26.91497231547221,1580
1580,Blue,Crystal Ball,Swinging,Black Nerd Glasses,None,Long Sleeves,Grey Hoodie with Hood Up,Green Skirt,Ice Grey Sneakers,None,None,None,None,None,None,None,None,None,None,None,11.010529353013359,1581
1581,Orange,Umbrella,Swinging,None,None,Long Sleeves,Dark Blue / White V-Neck Sweater and Shirt,Dark Blue Pants,Green Shoes,None,None,None,None,None,Yellow Fannypack,None,None,Bing Bong Stick,None,None,39.104501549930006,1582
1582,Purple,Boxing Glove,Boxing Glove,Cool Glasses,None,Long Sleeves,Green / White / Blue Tracksuit Jacket,Pink Shorts,Bubblegum Blue Sneakers,None,Black Chest Bag,Bandage,None,None,None,None,None,None,None,None,50.90006209714005,1583
1583,Blue,Swinging,Book,Googly Eyes,None,Long Sleeves with Stripes,Blue Tracksuit Jacket,Blue Pants,Tan Boots,Bandana,None,None,None,None,None,None,None,Headphones,None,None,43.46667865074385,1584
1584,Yellow,Stick Bag,Swinging,White Glasses,Tan Bucket Hat,Short Sleeves,Green / White V-Neck Sweater Vest and Shirt,Tan Pants,Rocket Pop Sneakers,None,None,None,None,None,None,None,None,None,None,None,32.41390160264157,1585
1585,Green,Skateboard,Basketball,Black Nerd Glasses,Knitted Bobble Hat,Long Sleeves,Dark Blue / White V-Neck Sweater and Shirt,Light Blue Shorts,Summer Night Sneakers,None,Tote,None,None,None,None,None,None,Pencil,None,None,54.45320178906784,1586
1586,Yellow,Duffel Bag,Swinging,Black Glasses,Blue Bucket Hat,Long Sleeves,Green Tracksuit Jacket,Tan Shorts,Summer Day Sneakers,None,None,None,None,None,None,None,None,Pencil,None,None,34.9388964448315,1587
1587,Blue,Swinging,Dog,None,Rainbow Paint Bucket,Long Sleeves with Stripes,Red Tracksuit Jacket,Tan Pants,Maroon Shoes,Bandana,None,None,None,Gum,None,None,None,None,None,None,47.42119781511786,1588
1588,Blue,Skateboard,Laptop,None,None,Long Sleeves,Pink Hoodie with Hood Up,Light Blue Skirt,Blue Shoes,None,None,None,None,None,None,None,None,None,None,None,14.574325573476262,1589
1589,Purple,Money Bag,Cat,White Glasses,None,Long Sleeves with Stripes,Green / White / Blue Tracksuit Jacket,Dark Blue Skirt,Ice Grey Sneakers,None,None,None,None,None,None,None,None,None,None,None,36.134174681928386,1590
1590,Blue,Swinging,Swinging,None,Rain Hat,Long Sleeves,Grey Sweatshirt,White Sweatpants,Forest Moss Sneakers,None,None,None,Grey Belted Coat,None,None,None,None,None,None,None,21.204170388923753,1591
1591,Blue,Fishing Pole,Metal Detector,Black Nerd Glasses,Turquoise 5 Panel Cap,Long Sleeves,Green / White V-Neck Sweater Vest and Shirt,Dark Blue Pants,Rocket Pop Sneakers,None,None,None,None,None,Green Fannypack,Scarf,None,None,None,None,50.46008946399107,1592
1592,Pink,Boxing Glove,Laptop,Nerd Ghost Glasses,None,Short Sleeves,Blue Loose Shirt,Green Sweatpants,Ice Grey Sneakers,None,Green Chest Bag,None,None,None,None,None,None,None,None,None,47.15390184640319,1593
1593,Pink,Duffel Bag,Basketball,None,Blue Bucket Hat,Long Sleeves,Pink Tucked Shirt,Charcoal Pants,Black Shoes,None,None,None,None,None,None,Scarf Bandana,None,None,None,None,40.65421746218985,1594
1594,Green,Swinging,Dog,None,None,Long Sleeves,Purple Zipper Hoodie with Hood Up,Red Tracksuit Pants,Summer Night Sneakers,None,None,None,None,Gum,None,None,None,None,None,None,28.134022658505227,1595
1595,Blue,Baseball Bat,Cat,Brown Glasses,White / Turquoise Backwards Cap,Long Sleeves,Cream Sweatshirt,White Sweatpants,Bubblegum Blue Sneakers,None,None,None,None,None,None,None,None,None,None,None,24.446654220561953,1596
1596,Green,Skateboard,Basketball,White Nerd Glasses,None,Long Sleeves,Pink Zipper Hoodie with Hood Down,Tan Pants,Maroon Shoes,Bandana,None,None,None,None,Cream Fannypack,None,None,Pencil,None,None,56.507151787978216,1597
1597,Pink,Swinging,Swinging,White Nerd Glasses,Pink Pointy Beanie,Long Sleeves,Light Blue / Pink Tucked Shirt,White Tracksuit Pants,Maroon Shoes,Toothpick,None,None,None,None,None,None,None,None,None,None,24.018280355969164,1598
1598,Purple,Swinging,Basketball,None,White Headband,Long Sleeves,Purple Hoodie with Hood Down,Green Tracksuit Pants,Cream Slippers,None,None,None,None,None,None,None,None,Earrings,None,None,33.43691397993736,1599
1599,Green,Swinging,Swinging,None,Tan Bucket Hat,Long Sleeves,Yellow / Blue Hoodie Jacket with Hood Down,Dark Blue Pants,Blue Shoes,None,None,None,None,None,None,None,None,None,None,None,13.072124470664814,1600
1600,Blue,Duffel Bag,Swinging,Sunglasses,Red Headband,Long Sleeves,Grey Sweatshirt,Light Blue Skirt,Yellow Boots,None,None,None,None,None,None,None,None,None,None,None,17.370605222982014,1601
1601,Green,Umbrella,Swinging,None,White / Turquoise Backwards Cap,Long Sleeves,Blue / White Sweater Vest and Shirt,Pink Skirt,Bunny Slippers,None,None,None,Black Belted Coat,None,None,None,None,None,None,None,34.69188413565268,1602
1602,Blue,Juice,Flashlight,None,Tan Baseball Cap,Long Sleeves,Blue / White Sweater Vest and Shirt,Green Pants,White Shoes,None,None,None,Yellow Coat,None,None,None,None,None,None,None,33.96621843211871,1603
1603,Purple,Swinging,Swinging,Black Nerd Glasses,Blue Bucket Hat,Short Sleeves,Blue / White Sweater Vest and Shirt,Purple Sweatpants,Maroon Shoes,None,None,None,None,None,Green Fannypack,None,None,None,None,None,38.75947972222024,1604
1604,Blue,Swinging,Fast Food,White Glasses,None,Long Sleeves,Yelow / Blue Hoodie Jacket with Hood Up,White Skirt,Rocket Pop Sneakers,Pipe,None,None,None,None,None,None,None,None,None,None,20.377372808444946,1605
1605,Green,Swinging,Boxing Glove,Black Nerd Glasses,None,Long Sleeves,Pink Zipper Hoodie with Hood Down,Dark Blue Skirt,Light Blue Slippers,None,None,None,None,None,None,None,None,None,None,None,17.084730367454,1606
1606,Green,Swinging,Swinging,None,None,Long Sleeves,Blue Hoodie with Hood Up,Red Sweatpants,Summer Night Sneakers,None,None,Bandage,None,None,None,None,None,None,None,None,20.695379836173604,1607
1607,Blue,Fishing Pole,Dog,Pointy Glasses,None,Long Sleeves,Light Blue / Dark Blue Hoodie Jacket with Hood Up,Dark Blue Pants,Green Boots,Toothpick,None,None,None,None,None,None,None,None,None,None,27.039928652650165,1608
1608,Yellow,Swinging,Fast Food,White Nerd Glasses,White / Blue Baseball Cap,Long Sleeves,Blue Hoodie with Hood Down,Red Sweatpants,Ice Grey Sneakers,None,None,None,None,None,None,None,None,None,None,None,22.822593016293407,1609
1609,Blue,Swinging,Basketball,Cool Glasses,None,Long Sleeves,Pink Zipper Hoodie with Hood Down,Pink Shorts,White Shoes,None,None,None,None,Gum,None,None,None,Headset,None,None,37.147590159075314,1610
1610,Purple,Stick Bag,Tennis Racket,None,Blue Beanie,Long Sleeves,Purple Hoodie with Hood Down,Blue Sweatpants,Ice Grey Sneakers,None,None,None,None,None,None,None,None,None,None,None,27.2721526144023,1611
1611,Purple,Stick Bag,Swinging,None,White / Turquoise Backwards Cap,Long Sleeves,Grey / White V-Neck Sweater and Shirt,Green Tracksuit Pants,Pink Slippers,Bandana,Sci-Fi Backpack,None,None,None,None,None,None,None,None,None,42.158790023213896,1612
1612,Blue,Juice,Swinging,None,None,Short Sleeves,Grey / White V-Neck Sweater Vest and Shirt,Dark Blue Shorts,Dark Blue Slippers,Bandana,None,None,None,None,None,None,None,None,None,None,26.75415034423276,1613
1613,Green,Shovel,Coffee,Nose Glasses with Black Hair,Tan Baseball Cap,Long Sleeves,Blue / Yellow Tracksuit Jacket,Lavender Pants,Red Shoes,None,None,None,None,None,None,None,None,None,None,None,30.58534521400783,1614
1614,Blue,Scientist,Swinging,Black Nerd Glasses,Visor,Long Sleeves,Cream Sweatshirt,Blue Pants,Dark Blue Slippers,None,None,None,None,None,None,Scarf,None,None,None,None,29.175136338900387,1615
1615,Purple,Juice,Basketball,Pointy Glasses,Tie,Long Sleeves,Blue Hoodie with Hood Down,Blue Sweatpants,Summer Day Sneakers,None,Tote,Pink Sunscreen,None,None,None,None,None,None,None,None,57.31313758060716,1616
1616,Orange,Baseball Bat,Burning Computer,None,None,Long Sleeves,White Loose Shirt,Pink Shorts,Green Boots,None,None,None,White Coat,None,None,None,None,Pencil,None,None,46.972480869160776,1617
1617,Orange,Juice,Swinging,None,Blue Beanie,Long Sleeves,Grey / White V-Neck Sweater and Shirt,White Tracksuit Pants,Green Boots,None,None,None,None,None,None,Scarf Bandana,None,None,Dizzy,None,47.66219759881671,1618
1618,Yellow,Swinging,Book,White Glasses,None,Long Sleeves,Blue Hoodie with Hood Up,Purple Sweatpants,Summer Day Sneakers,None,None,Bandage,None,None,None,None,None,None,None,None,30.165082697313533,1619
1619,Blue,Axe,Swinging,Sunglasses,None,Long Sleeves with Stripes,Green / White / Blue Tracksuit Jacket,Purple Tracksuit Pants,Maroon Shoes,Bing Bong Stick,None,None,None,None,None,None,None,None,None,None,30.587678598036206,1620
1620,Orange,Paint Roller,Swinging,Pointy Glasses,Blue Beanie,Long Sleeves,Dark Blue / Light Blue Puffer Jacket,Green Pants,Black Shoes,None,None,None,None,None,None,None,None,None,None,None,23.03693360477776,1621
1621,Blue,Crystal Ball,Swinging,Nose Glasses with White Hair,Tan Baseball Cap,Long Sleeves,Green Turtleneck,Light Blue Skirt,Tan Boots,None,None,None,None,None,None,None,None,None,None,None,18.435572618167654,1622
1622,Orange,Baseball Bat,Dog,None,Cream Beanie,Long Sleeves,Naked,Naked,Brown Boots,None,None,None,Pink Morning Robe,None,None,Scarf,None,None,None,None,55.29735592273275,1623
1623,Blue,Juice,Swinging,None,Detective Hat,Long Sleeves,Blue / White Sweater and Shirt,Blue Sweatpants,Blue Shoes,None,Grey Backpack with Slingshot,None,None,None,None,None,None,Earphones,None,None,38.75678960814415,1624
1624,Green,Juice,Book,Thief Mask,None,Long Sleeves,Grey / White V-Neck Sweater Vest and Shirt,Lavender Pants,Bubblegum Blue Sneakers,None,None,None,None,None,None,None,None,None,None,None,23.592907981480668,1625
1625,Blue,Swinging,Swinging,VR Goggles Graph,None,Long Sleeves,Black Hoodie with Hood Down,White Shorts,Bubblegum Blue Sneakers,Pipe,None,None,None,None,None,None,None,Bing Bong Stick,None,None,26.07898625422645,1626
1626,Orange,Swinging,Swinging,None,Big Hat,Long Sleeves,Grey / White V-Neck Sweater Vest and Shirt,Tan Pants,Dark Blue Slippers,None,None,None,Red Coat,None,None,None,None,None,None,None,26.15630433197001,1627
1627,Blue,Swinging,Swinging,Eye Patch,Rainbow Paint Bucket,Long Sleeves,Blue Tucked Shirt,White Skirt,Rocket Pop Sneakers,Cigar,None,None,Red Coat,None,None,Scarf Bandana,None,None,None,None,46.44599340513038,1628
1628,Blue,Squirt Gun,Swinging,Brown Glasses,None,Long Sleeves,Purple Zipper Hoodie with Hood Down,Blue Pants,Light Blue Slippers,Bandana,None,None,None,None,None,None,None,None,None,None,19.217395703763252,1629
1629,Green,Baseball Bat,Swinging,None,Cowboy Hat,Long Sleeves,Grey Zipper Hoodie with Hood Down,Grey Tracksuit Pants,Blue Shoes,Pipe,None,None,None,None,Cream Fannypack,None,None,None,None,None,42.73551479106298,1630
1630,Green,Stick Bag,Swinging,Black Glasses,Turquoise 5 Panel Cap,Long Sleeves,Blue Zipper Hoodie with Hood Down,Green Pants,Forest Moss Sneakers,Cigar,None,None,None,Gum,None,None,None,None,None,None,44.57316624946711,1631
1631,Blue,Skateboard,Swinging,Pointy Glasses,White Headband,Long Sleeves,Pink Hoodie with Hood Down,Green Tracksuit Pants,Ocean Blue Sneakers,Cigar,None,None,None,None,Green Fannypack,None,None,None,None,None,39.720430982356014,1632
1632,Blue,Bomb,Boombox,None,None,Long Sleeves,Yelow / Blue Hoodie Jacket with Hood Up,Tan Pants,Light Blue Slippers,None,None,None,None,None,None,None,None,None,None,None,14.70222564229237,1633
1633,Blue,Fishing Pole,Swinging,White Glasses,None,Long Sleeves,Blue Zipper Hoodie with Hood Down,Dark Blue Shorts,Cream Slippers,Toothpick,None,None,None,None,None,None,None,None,None,None,19.31855791739067,1634
1634,Blue,Stick Bag,Pocket,None,Turquoise 5 Panel Cap,Long Sleeves,Indigo Turtleneck,Blue Tracksuit Pants,Black Shoes,None,None,None,None,None,None,None,None,None,None,None,21.15406540036101,1635
1635,Blue,Baseball Bat,Pocket,Nose Glasses with White Hair,Visor,Long Sleeves,Pink / Blue Hoodie Jacket with Hood Down,Green Shorts,Rocket Pop Sneakers,None,None,None,None,None,None,None,None,None,None,None,24.648848789859382,1636
1636,Purple,Swinging,Swinging,Black Nerd Glasses,None,Long Sleeves,Pink Zipper Hoodie with Hood Up,Green Sweatpants,Maroon Shoes,None,None,None,None,None,None,None,None,None,None,None,8.874497941228359,1637
1637,Purple,Swinging,Flashlight,None,White Headband,Long Sleeves,Dark Blue / White V-Neck Sweater Vest and Shirt,Lavender Pants,Maroon Shoes,None,None,None,None,None,None,None,None,None,None,None,19.729291980101763,1638
1638,Green,Swinging,Swinging,Pointy Glasses,Red Headband,Short Sleeves,White Loose Shirt,Green Sweatpants,Ice Grey Sneakers,None,None,Pink Sunscreen,None,None,None,Scarf,None,None,None,None,54.52394787599165,1639
1639,Blue,Baseball Bat,Fast Food,Nose Glasses with Black Hair,None,Long Sleeves,Grey / White V-Neck Sweater and Shirt,Blue Sweatpants,Green Shoes,Bing Bong Stick,None,None,Purple Cape,None,None,None,None,None,None,None,40.34465291012145,1640
1640,Blue,Umbrella,Fast Food,Brown Glasses,None,Long Sleeves,Blue Turtleneck,Light Blue Shorts,White Shoes,Bandana,None,None,None,None,None,None,None,None,None,None,26.80492411228418,1641
1641,Pink,Swinging,Swinging,Black Nerd Glasses,None,Long Sleeves,Red / White Varsity Jacket,Lavender Pants,Yellow Boots,None,None,None,None,None,None,None,None,None,None,None,9.03212307461523,1642
1642,Blue,Scientist,Coffee,White Glasses,None,Short Sleeves,Light Blue / Pink Tucked Shirt,Pink Shorts,Pink Slippers,None,None,None,None,None,None,Scarf Bandana,None,Pencil,None,None,53.46552176353915,1643
1643,Blue,Swinging,Swinging,Sunglasses,None,Long Sleeves,Green / White / Blue Tracksuit Jacket,Lavender Pants,Light Blue Slippers,None,Brown Backpack,None,None,None,None,None,None,None,None,None,15.33822293892515,1644
1644,Purple,Swinging,Dog,White Nerd Glasses,None,Long Sleeves,Orange Puffer Jacket,Green Pants,Blue Shoes,None,None,None,None,None,None,None,None,None,None,None,15.621136180175377,1645
1645,Blue,Swinging,Swinging,Black Glasses,Cowboy Hat,Long Sleeves with Stripes,Blue Tracksuit Jacket,Green Skirt,Yellow Boots,Bandana,None,None,None,Gum,None,None,None,None,None,None,44.14751892275201,1646
1646,Yellow,Boxing Glove,Swinging,None,None,Long Sleeves,Naked,Grey Tracksuit Pants,Dark Blue Slippers,None,None,None,White Death Robe,None,None,None,None,None,None,None,27.818871238127564,1647
1647,Blue,Axe,Fast Food,Nose Glasses with White Hair,None,Long Sleeves,Black Hoodie with Hood Down,Blue Sweatpants,Green Shoes,Bandana,None,None,None,Gum,None,None,None,None,None,None,39.966921772888284,1648
1648,Pink,Swinging,Swinging,White Glasses,None,Long Sleeves,Light Blue / Pink Tucked Shirt with Pens,Blue Pants,Cream Slippers,None,None,None,White Death Robe,Gum,None,None,Rainbow Suspenders,None,None,None,50.955677493290665,1649
1649,Blue,Swinging,Book,None,None,Long Sleeves,Pink Hoodie with Hood Up,White Sweatpants,Light Blue Slippers,None,None,None,None,None,None,None,None,None,None,None,7.892889768015758,1650
1650,Blue,Swinging,Swinging,None,White / Blue Backwards Cap,Short Sleeves,White Loose Shirt,Red Sweatpants,Brown Boots,None,None,None,None,None,None,None,None,None,None,None,17.896752652175508,1651
1651,Blue,Skateboard,Swinging,Brown Glasses,None,Long Sleeves,Pink Hoodie with Hood Down,Red Sweatpants,Dark Blue Slippers,Toothpick,None,None,None,None,None,None,None,None,None,None,18.917046977750754,1652
1652,Orange,Duffel Bag,Swinging,Black Glasses,None,Long Sleeves,Pink Hoodie with Hood Down,Blue Pants,Forest Moss Sneakers,Pipe,None,Bandage,None,None,None,None,None,None,None,None,38.65554525448281,1653
1653,Orange,Vibes,Vibes,Eye Patch,Light Blue Beanie,Long Sleeves,Blue Zipper Hoodie with Hood Down,Tan Pants,White Shoes,None,None,None,None,None,Yellow Fannypack,None,None,None,None,None,43.36900850936752,1654
1654,Blue,Juice,Swinging,Boomer Glasses,White / Turquoise Backwards Cap,Short Sleeves,Light Blue / Pink Tucked Shirt,Lavender Pants,Summer Night Sneakers,Toothpick,None,None,None,None,None,None,None,None,None,None,35.7327447232908,1655
1655,Blue,Swinging,Swinging,Eye Patch,None,Long Sleeves,Grey Zipper Hoodie with Hood Up,Grey Tracksuit Pants,Black Shoes,Straw,None,None,None,None,None,None,None,None,None,None,13.958437087916515,1656
1656,Yellow,Swinging,Book,Nerd Ghost Glasses,Blue 5 Panel Cap,Long Sleeves,Purple Hoodie with Hood Down,Red Sweatpants,Green Boots,Cigar,None,Bandage,None,None,None,None,None,None,None,None,45.77731625814312,1657
1657,Orange,Bomb,Swinging,White Nerd Glasses,None,Short Sleeves,Black T-Shirt,Blue Sweatpants,Light Blue Slippers,None,None,None,None,None,None,None,None,None,None,None,26.590586496267456,1658
1658,Pink,Baseball Bat,Cat,Black Nerd Glasses,None,Long Sleeves,Light Blue / Dark Blue Hoodie Jacket with Hood Down,Red Sweatpants,Bubblegum Blue Sneakers,None,None,None,None,None,None,None,None,Bing Bong Stick,None,None,35.619587234244385,1659
1659,Blue,Stick Bag,Swinging,Eye Patch,Pink Pointy Beanie,Long Sleeves,Grey Hoodie with Hood Down,Light Blue Shorts,Green Shoes,Toothpick,None,None,None,None,None,None,None,Earrings,None,None,37.87978514952586,1660
1660,Blue,Umbrella,Coffee,Brown Glasses,None,Long Sleeves,Grey Tucked Shirt,Charcoal Pants,Tan Boots,None,None,None,None,None,None,None,None,None,None,None,18.143766819543984,1661
1661,Pink,Swinging,Pocket,Black Glasses,None,Long Sleeves,Red / White Varsity Jacket,Tan Shorts,Rocket Pop Sneakers,None,None,None,None,Gum,None,None,None,None,None,None,30.284121155863737,1662
1662,Orange,Swinging,Metal Detector,Thief Mask,Tie,Long Sleeves,Tan / Green / White Puffer Vest,Light Blue Shorts,Light Blue Slippers,None,None,None,None,None,None,None,None,None,None,None,24.943397599335295,1663
1663,Pink,Baseball Bat,Swinging,None,Tan Bucket Hat,Long Sleeves,Purple Zipper Hoodie with Hood Down,Grey Sweatpants,Blue Shoes,Pipe,None,None,None,None,None,None,None,None,None,None,28.758978679895947,1664
1664,Green,Swinging,Laptop,Black Glasses,Cowboy Hat,Long Sleeves,Blue Turtleneck,Dark Blue Shorts,Light Blue Slippers,Pipe,None,None,Black Belted Coat,None,None,None,None,None,None,None,45.920122634154566,1665
1665,Blue,Skateboard,Pocket,White Glasses,None,Long Sleeves,Light Blue / Pink Tucked Shirt,White Shorts,Green Shoes,None,None,None,None,None,None,None,None,None,None,None,16.76641124828152,1666
1666,Blue,Stick Bag,Flashlight,Black Glasses,None,Short Sleeves,White T-Shirt,White Sweatpants,White Shoes,Bandana,None,None,None,None,None,Scarf Bandana,None,None,None,None,49.46683672203365,1667
1667,Blue,Swinging,Swinging,White Glasses,None,Long Sleeves,Light Blue / Dark Blue Hoodie Jacket with Hood Down,Red Tracksuit Pants,Blue Shoes,None,None,None,None,None,None,None,None,Headset,None,None,15.930227374510766,1668
1668,Yellow,Stick Bag,Book,None,None,Long Sleeves,Purple Zipper Hoodie with Hood Down,Green Pants,Yellow Boots,Bandana,None,None,None,None,None,None,None,None,None,None,28.943323847106623,1669
1669,Blue,Duffel Bag,Book,Sunglasses,None,Long Sleeves,Green Tracksuit Jacket,White Shorts,Rocket Pop Sneakers,None,None,None,Red Coat,None,None,None,None,Earrings,None,None,43.065158852933294,1670
1670,Pink,Swinging,Swinging,Nose Glasses with Black Hair,Blue Beanie,Long Sleeves,Purple Zipper Hoodie with Hood Down,Blue Pants,White Shoes,Bandana,None,None,None,None,None,None,None,None,None,None,24.113294211212484,1671
1671,Orange,Swinging,Swinging,Cool Glasses,None,Long Sleeves,Green / White Varsity Jacket,White Sweatpants,Summer Night Sneakers,Bing Bong Stick,Grey Backpack with Slingshot,None,None,None,None,None,None,Earrings,None,None,44.781013248944866,1672
1672,Green,Swinging,Pocket,Black Nerd Glasses,Turquoise 5 Panel Cap,Long Sleeves,Grey / White V-Neck Sweater and Shirt,Blue Sweatpants,Red Shoes,Pipe,Green Chest Bag,None,None,None,None,None,None,None,None,None,44.07369406584809,1673
1673,Yellow,Swinging,Flashlight,White Glasses,None,Long Sleeves,Blue / White Varsity Jacket,White Tracksuit Pants,Summer Night Sneakers,Bandana,None,None,None,None,Yellow Fannypack,None,None,None,None,None,39.5208818625549,1674
1674,Blue,Axe,Swinging,Black Nerd Glasses,None,Short Sleeves,Dark Blue / White Sweater Vest and Shirt,Tan Pants,Summer Night Sneakers,None,None,None,None,None,None,None,None,None,None,None,19.589001687688498,1675
1675,Pink,Swinging,Swinging,None,None,Long Sleeves,Yelow / Blue Hoodie Jacket with Hood Up,Tan Pants,Blue Shoes,None,None,None,None,None,None,None,None,None,None,None,6.101913514652205,1676
