,Background,Left Arm,Right Arm,Eyes,Hat,Sleeves,Upper Body,Legs,Feet,Mouth,Bag,Nose,Outerwear,Shoe Gum,Fannypack,Neck,Suspenders,Ears,Overhead,Special,Rarity score,Token Id
26,Green,Swinging,Magic Wand,None,Big Hat,Long Sleeves with Stripes,Blue / Yellow Tracksuit Jacket,Light Blue Shorts,Blue Shoes,None,None,None,None,None,None,None,None,None,None,None,32.336607355619016,27
27,Purple,Scientist,Swinging,Black Glasses,Light Blue Beanie,Long Sleeves,Indigo Turtleneck,Blue Pants,Bubblegum Blue Sneakers,Cigar,None,None,None,None,None,None,White Suspenders,None,None,None,45.268877670900814,28
28,Purple,Swinging,Laptop,Sunglasses,None,Long Sleeves,Dark Blue / White V-Neck Sweater and Shirt,Green Skirt,Rocket Pop Sneakers,None,Black Chest Bag,None,None,None,None,None,None,None,None,None,29.838249777769178,29
29,Blue,Swinging,Pocket,White Nerd Glasses,None,Long Sleeves,Orange Puffer Jacket,Red Sweatpants,Green Shoes,None,None,None,None,None,None,None,None,None,None,None,9.710285728247198,30
30,Pink,Duffel Bag,Fast Food,White Nerd Glasses,None,Long Sleeves,Blue Zipper Hoodie with Hood Down,Purple Sweatpants,Summer Day Sneakers,None,None,None,None,None,None,None,None,None,None,None,23.676114722678467,31
31,Blue,Swinging,Swinging,Black Glasses,None,Long Sleeves,Pink Hoodie with Hood Down,Dark Blue Shorts,Bubblegum Blue Sneakers,None,None,None,None,None,None,None,None,None,None,None,3.7188827687149186,32
32,Blue,Fishing Pole,Book,Eye Patch,None,Long Sleeves,Light Blue / Dark Blue Hoodie Jacket with Hood Up,Grey Sweatpants,Maroon Shoes,Cigar,None,None,None,None,None,None,None,None,None,None,26.804946134741265,33
33,Blue,Swinging,Swinging,Black Nerd Glasses,Big Hat,Long Sleeves,Grey / White V-Neck Sweater and Shirt,Dark Blue Pants,Dark Blue Slippers,Bandana,None,None,None,None,None,None,None,None,None,None,18.069375231663614,34
34,Blue,Swinging,Swinging,Sunglasses,None,Long Sleeves,Orange Puffer Jacket,Pink Shorts,Light Blue Slippers,None,None,None,None,None,None,None,None,None,None,None,3.6861007551227525,35
35,Pink,Swinging,Swinging,None,Turquoise 5 Panel Cap,Long Sleeves,Blue / Green / Pink Puffer Vest,Blue Sweatpants,Dark Blue Slippers,None,Grey Backpack,None,None,None,None,None,None,None,None,None,25.90358132222056,36
36,Green,Swinging,Coffee,Nose Glasses with Black Hair,None,Long Sleeves,Green / White / Blue Tracksuit Jacket,Tan Pants,Bubblegum Blue Sneakers,None,None,None,None,None,Green Fannypack,None,None,Bing Bong Stick,None,None,42.458612519424776,37
37,Orange,Swinging,Coffee,White Nerd Glasses,Detective Hat,Long Sleeves,Pink / Blue Hoodie Jacket with Hood Down,Light Blue Shorts,Bunny Slippers,Toothpick,None,Bandage,None,None,None,None,None,None,None,None,45.37890386844937,38
38,Green,Boxing Glove,Cat,Pointy Glasses,White Headband,Long Sleeves,Black Hoodie with Hood Down,Purple Sweatpants,Red Shoes,None,None,None,None,Gum,None,None,None,None,None,None,44.40380539859592,39
39,Purple,Swinging,Swinging,None,Cream Beanie,Long Sleeves,Pink Hoodie with Hood Down,Tan Pants,Summer Day Sneakers,None,None,None,None,None,Green Fannypack,None,None,None,None,None,26.034346521191654,40
40,Blue,Swinging,Pocket,White Nerd Glasses,White / Turquoise Backwards Cap,Long Sleeves,Cream Sweatshirt,Purple Tracksuit Pants,White Shoes,None,None,None,None,None,None,Scarf Bandana,None,None,None,None,29.615167286567377,41
41,Purple,Swinging,Book,Thief Mask,White / Light Blue Headband,Long Sleeves,Light Blue / Dark Blue Hoodie Jacket with Hood Down,Pink Shorts,Bubblegum Blue Sneakers,Bing Bong Stick,None,None,None,None,Cream Fannypack,None,None,None,None,None,46.654616590245645,42
42,Green,Swinging,Swinging,Boomer Glasses,None,Short Sleeves,Light Blue Loose Shirt,Tan Shorts,Red Shoes,None,Grey Backpack with Slingshot,None,None,None,None,None,None,Pencil,None,None,46.16337623945576,43
43,Blue,Scientist,Swinging,None,Light Blue Beanie,Short Sleeves,Black T-Shirt,Red Sweatpants,Tan Boots,Cigar,Grey Backpack with Slingshot,None,None,None,None,None,None,Bing Bong Stick,Dizzy,None,72.4428771882129,44
44,Purple,Swinging,Coffee,Brown Glasses,None,Long Sleeves,Orange Puffer Jacket,Green Sweatpants,Bubblegum Blue Sneakers,None,None,None,None,None,None,None,None,None,None,None,17.32270129773956,45
45,Blue,Swinging,Swinging,Brown Glasses,None,Long Sleeves,Green / White V-Neck Sweater Vest and Shirt,Dark Blue Skirt,Maroon Shoes,Toothpick,None,None,White Death Robe,None,None,None,None,None,None,None,25.953881088857635,46
46,Purple,Swinging,Swinging,None,Cream Beanie,Long Sleeves,Pink / Blue Hoodie Jacket with Hood Down,Green Pants,Green Shoes,None,None,None,None,None,Yellow Fannypack,None,None,None,None,None,25.594117291127784,47
47,Yellow,Duffel Bag,Swinging,Black Nerd Glasses,None,Short Sleeves,Dark Blue / White Sweater Vest and Shirt,Grey Sweatpants,Light Blue Slippers,Bandana,None,None,None,None,None,None,None,None,None,None,35.143762670801664,48
48,Blue,Bomb,Swinging,None,None,Long Sleeves,Yelow / Blue Hoodie Jacket with Hood Up,White Tracksuit Pants,Dark Blue Slippers,None,Brown Backpack,None,None,None,Cream Fannypack,None,None,None,None,None,34.18589334360892,49
49,Blue,Baseball Bat,Burning Computer,Black Nerd Glasses,Tie,Short Sleeves,Light Blue Loose Shirt with Pens,Dark Blue Pants,Black Shoes,None,None,Bandage,None,None,None,None,None,None,None,None,48.02507953271858,50
50,Blue,Swinging,Laptop,Black Glasses,Turquoise 5 Panel Cap,Long Sleeves,Red / White Varsity Jacket,Blue Sweatpants,White Shoes,None,None,Bandage,None,None,None,None,None,None,None,None,29.805511292719665,51
51,Blue,Bomb,Laptop,Sunglasses,None,Short Sleeves,Blue Tucked Shirt,Light Blue Shorts,White Shoes,Toothpick,None,None,None,None,None,None,None,None,None,None,35.79505884722554,52
52,Blue,Baseball Bat,Swinging,None,White / Light Blue Headband,Short Sleeves,White Loose Shirt with Pens,Grey Tracksuit Pants,Green Boots,None,None,None,None,None,None,None,None,None,None,None,25.035290863051706,53
53,Green,Swinging,Basketball,Black Glasses,None,Long Sleeves,Light Blue / Pink Tucked Shirt,Green Tracksuit Pants,Blue Shoes,None,Grey Backpack with Balloons,Bandage,None,None,None,None,None,None,None,None,43.059194522710364,54
54,Pink,Skateboard,Dog,Sunglasses,White / Red Backwards Cap,Long Sleeves,Green / White V-Neck Sweater Vest and Shirt,Green Skirt,Ice Grey Sneakers,Toothpick,None,None,None,None,None,None,None,None,None,None,39.001219557179326,55
55,Blue,Swinging,Coffee,None,Rain Hat,Long Sleeves,Pink Zipper Hoodie with Hood Down,Dark Blue Shorts,Light Blue Slippers,None,None,None,None,None,None,None,None,None,None,None,14.732021598187698,56
56,Yellow,Swinging,Swinging,Googly Eyes,White Headband,Long Sleeves,Naked,Naked,Pink Slippers,None,None,None,Grey Belted Coat,None,None,Scarf Bandana,None,None,None,None,44.08810091521657,57
