,Beak,Background,Feathers,Body,Outerwear,Eyes,Headwear,Eyewear,Rarity score,Token Id
74,Small,Yellow,Gray,Guardian,None,None,Grail,Black-rimmed Glasses,55.23829238061935,74
75,Small,Yellow,Red,Tranquil,None,Side-eye,None,None,13.547914407685251,75
76,Long,Green,Purple,Tabby,Bomber Jacket,Angry,Crescent Talisman,None,63.55139443066115,76
77,Small,Yellow,Purple,Crescent,Hoodie Down,Relaxed,None,None,35.617323199582046,77
78,Short,Purple,Blue,Crescent,None,Discerning,Pirate's Hat,None,17.30419137698902,78
79,Small,Yellow,Gray,Stark,None,Adorable,Crescent Talisman,None,27.192671718901295,79
80,Short,Gray,Blue,Crescent,None,Open,Wizard's Hat,None,13.292646802278234,80
81,Short,Blue,Purple,Brave,None,Diamond,Skully,None,30.661314654062167,81
82,Short,Blue,Black,Brave,None,Angry,None,None,17.05972430624227,82
83,Short,Green,Gray,Tabby,None,Relaxed,None,None,14.985695528776196,83
84,Small,Green,Red,Stark,Jean Jacket,Relaxed,Captain's Cap,None,50.65568127421006,84
85,Short,Blue,Purple,Tranquil,None,Relaxed,None,None,16.322842419063825,85
86,Small,Purple,Brown,Crescent,None,Diamond,None,None,9.64812207495293,86
87,Long,Green,Pink,Guardian,None,Angry,None,None,27.7281891490691,87
88,Long,Yellow,Purple,Crescent,None,Open,Tiny Crown,None,22.203472099072588,88
89,Small,Green,Gray,Stark,None,Discerning,Tiny Crown,None,23.76347632864829,89
90,Small,Blue,Blue,Tranquil,None,Open,Skully,None,21.703873325181522,90
91,Short,Blue,White,Guardian,None,Side-eye,Space Helmet,None,27.889884251646258,91
92,Small,Blue,Red,Sage,None,Open,None,None,12.333048506745541,92
93,Short,Purple,Blue,Crescent,None,Open,Headphones,None,13.343028274401316,93
94,Small,Yellow,Blue,Crescent,None,Discerning,Bucket Hat,None,17.12806942141536,94
95,Small,Gray,White,Crescent,Hero's Tunic,Angry,Hero's Cap,None,46.93915742815678,95
96,Short,Gray,Purple,Crescent,None,None,Fire,Black-rimmed Glasses,45.34715236773625,96
97,Small,Green,Brown,Emperor,None,None,None,Rose-Colored Glasses,45.78909371315137,97
98,Short,Gray,Red,Crescent,None,Adorable,Backwards Hat,None,17.37620953028723,98
99,Long,Pink,Green,Crescent,None,Fire,Captain's Cap,None,32.59511389017043,99
100,Small,Yellow,Brown,Tabby,None,None,Halo,Sunglasses,52.840962566030825,100
101,Long,Gray,Black,Tabby,None,Side-eye,Forest Ranger,None,35.10377242856705,101
102,Long,Purple,Red,Crescent,None,Side-eye,Raincloud,None,23.504717581639266,102
103,Short,Blue,Purple,Crescent,Diamond Necklace,Relaxed,Beanie,None,46.09803766937103,103
104,Small,Pink,Gray,Crescent,Punk Jacket,Open,None,Half-moon Spectacles,60.75116789041925,104
105,Small,Yellow,Blue,Tranquil,None,None,Space Helmet,Aviators,54.78539088699262,105
