,Eyes,Mouth,Clothes,Fur,Background,Earring,Hat,Rarity score,Token Id
222,X Eyes,Bored Pipe,Bayc T Red,Dark Brown,Aquamarine,Silver Stud,Stuntman Helmet,87.98878779814379,222
223,3d,Bored Unshaven Cigarette,Leather Punk Jacket,Gray,Purple,Silver Stud,Prussian Helmet,89.8927381019749,223
224,3d,Bored Unshaven,Black T,White,Yellow,None,None,28.492143109544482,224
225,Sunglasses,Bored,Leather Jacket,Cheetah,Purple,None,Halo,37.89682797571615,225
226,Scumbag,Bored Party Horn,Service,Cream,Army Green,None,None,39.52972867369214,226
227,X Eyes,Bored Bubblegum,Black Holes T,Cream,Aquamarine,None,Short Mohawk,51.21917053765812,227
228,Sad,Bored,None,White,New Punk Blue,Diamond Stud,Beanie,68.46446232166838,228
229,Sad,Grin,Tie Dye,Dark Brown,Purple,Silver Stud,Vietnam Era Helmet,81.63772784319198,229
230,Sleepy,Bored Unshaven,Caveman Pelt,Dark Brown,Blue,None,Beanie,32.823277883865174,230
231,X Eyes,Rage,Bone Tee,Pink,Orange,None,Beanie,49.192431137680906,231
232,Sleepy,Bored,Smoking Jacket,Solid Gold,Army Green,None,Seaman's Hat,37.23840661115724,232
233,Laser Eyes,Bored Unshaven,None,Blue,New Punk Blue,None,Girl's Hair Pink,34.78560487613397,233
234,Bored,Bored Cigarette,Bone Tee,Pink,Army Green,Silver Stud,None,66.2118624528199,234
235,3d,Grin,None,Dark Brown,Purple,None,Bayc Flipped Brim,30.738392882674432,235
236,Blue Beams,Bored,None,Pink,Orange,None,None,15.976246765352814,236
237,Bloodshot,Small Grin,Leather Punk Jacket,Robot,Orange,Silver Stud,Sushi Chef Headband,89.88631893635419,237
238,Wide Eyed,Bored Unshaven,Guayabera,Red,Army Green,None,None,28.51151228168174,238
239,Closed,Bored,Sleeveless T,Blue,Blue,Silver Hoop,Commie Hat,74.82848777153123,239
240,Hypnotized,Rage,Tweed Suit,Black,Yellow,None,Party Hat 1,48.17260257119359,240
241,Coins,Dumbfounded,Rainbow Suspenders,Tan,Aquamarine,None,Fisherman's Hat,47.54650425613322,241
242,Eyepatch,Bored Unshaven,Bone Necklace,White,Blue,Cross,Sushi Chef Headband,88.31795458462544,242
243,Angry,Bored Bubblegum,Bayc T Red,Brown,Blue,None,Army Hat,45.99094274014869,243
244,3d,Phoneme Oh,Sleeveless Logo T,Dark Brown,Purple,None,Prussian Helmet,45.70691279885155,244
245,Robot,Dumbfounded,Sleeveless T,Cheetah,Gray,Gold Stud,Girl's Hair Short,93.41676562869137,245
246,Sunglasses,Bored Unshaven,Blue Dress,Black,Gray,Cross,None,70.6331456863964,246
247,Wide Eyed,Bored Unshaven Cigar,Tuxedo Tee,Dark Brown,New Punk Blue,Gold Stud,Beanie,85.62649730129287,247
248,Hypnotized,Rage,Admirals Coat,Dark Brown,New Punk Blue,Silver Stud,None,74.43478721434992,248
249,Sunglasses,Bored Party Horn,Cowboy Shirt,Brown,Blue,None,Safari,47.56586761784764,249
250,Eyepatch,Bored,None,Brown,New Punk Blue,None,Stuntman Helmet,22.411711227576443,250
251,Blindfold,Grin Gold Grill,Vietnam Jacket,Dark Brown,Purple,None,None,33.849650846226645,251
252,Scumbag,Bored Party Horn,Sleeveless T,Tan,Army Green,Cross,Army Hat,95.91451702162853,252
253,Zombie,Bored Unshaven,Bayc T Black,Cream,Army Green,None,Stuntman Helmet,42.67965590430833,253
254,Crazy,Bored Unshaven,None,Blue,Orange,Silver Hoop,None,58.09215751518122,254
255,Bored,Bored Cigarette,None,Golden Brown,Aquamarine,None,None,13.633025252416514,255
256,Crazy,Phoneme  ooo,Service,Brown,Aquamarine,None,None,32.4424375971545,256
257,Bloodshot,Bored,Sleeveless T,Tan,Yellow,None,Trippy Captain's Hat,34.71456930977425,257
258,Sad,Bored,Bone Necklace,Cheetah,Blue,None,Bayc Flipped Brim,37.54822359663485,258
259,Zombie,Grin,Tweed Suit,Cheetah,Aquamarine,None,Irish Boho,49.463518814437585,259
260,Crazy,Tongue Out,Work Vest,Brown,Aquamarine,None,None,32.48769387076768,260
261,Robot,Bored Unshaven,Sailor Shirt,Cream,New Punk Blue,None,S&m Hat,41.53072557873891,261
262,Sleepy,Phoneme Vuh,Wool Turtleneck,Golden Brown,New Punk Blue,None,None,33.126752517033346,262
263,Bloodshot,Bored Cigarette,Smoking Jacket,Black,New Punk Blue,Silver Hoop,Party Hat 2,80.79868873054615,263
264,Angry,Rage,Hawaiian,Noise,Yellow,Gold Hoop,Short Mohawk,93.88791639971805,264
265,Sleepy,Bored Kazoo,Space Suit,Dark Brown,Yellow,Gold Stud,Baby's Bonnet,87.67253486793948,265
266,Sunglasses,Bored Bubblegum,None,Robot,Yellow,None,Fez,41.569512977931325,266
267,Zombie,Dumbfounded,Sailor Shirt,Black,Orange,None,Beanie,42.247176981625294,267
268,Wide Eyed,Bored Unshaven,Biker Vest,Blue,Yellow,Silver Hoop,None,67.65121218676249,268
269,3d,Bored Unshaven,Bone Necklace,Brown,Purple,None,None,23.005538777199348,269
