,Body,Outerwear,Eyes,Species,Shoes,Background,Head,Attitude,Headwear,Eyewear,Underfoot,Rarity score,Token Id
1973,White,None,Side-eye,Rat,None,Grey,Flesh,Passant,Fire,None,None,12.56549713450231,1973
1974,Blue,Bomber Jacket,Heart,Rat,Hightops (Grey),Blue,Flesh,Statant,None,None,None,44.097068751179144,1974
1975,Green,None,Twinkle,Mutant Toad,Hightops (Green),Purple,Cat,Sejant,Bucket Hat,None,None,39.78482909956515,1975
1976,Purple,None,Divit,Cat,Hightops (Blue),Pink,Creep,Statant,Mohawk (Pink),None,None,29.7527810797379,1976
1977,Purple,None,Angry,Mouse,Slipons (Grey),Yellow,Creep,Rampant,Mohawk (Green),None,None,25.18991960751753,1977
1978,Red,Bomber Jacket,Angry,Mouse,None,Grey,Creep,Crustant,Skully,None,None,32.775286945137374,1978
1979,Purple,None,Relaxed,Fish,None,Purple,Flesh,Crustant,None,None,None,6.105961785523546,1979
1980,Blue,None,Discerning,Rabbit,Hightops (Blue),Grey,Creep,Crustant,Witch's Hat,None,None,24.67270711130947,1980
1981,Black,None,Divit,Rabbit,Hightops (Green),Pink,Skull,Crustant,Captain's Cap,None,None,27.645251405388915,1981
1982,Red,None,Suspicious,Toad ,Hightops (Green),Pink,None,Rampant,Wizard's Hat,None,None,31.327762657906632,1982
1983,Purple,None,Diamond,Rat,Socks (Floppy),Yellow,Skull,Statant,Headphones,None,None,28.971056066577578,1983
1984,Rusty,None,None,Mouse,None,Blue,None,Sejant,Raincloud,None,None,14.495211546603738,1984
1985,Green,None,Eclipse,Toad ,None,Yellow,None,Crustant,Tiny Crown,None,None,17.514522244293683,1985
1986,Black,None,Diamond,Mouse,Hightops (Blue),Purple,Flesh,Rampant,Captain's Cap,None,None,28.12385466409424,1986
1987,Red,None,Angry,Cat,None,Grey,Skull,Sejant,Skully,None,Squig Goo(l),38.86840988543587,1987
1988,Brown,None,Discerning,Fish,None,Green,Creep,Statant,None,None,None,3.80803245946732,1988
1989,Purple,Diamond Grill,Relaxed,Cat,None,Yellow,Skull,Sejant,Mohawk (Pink),None,None,36.880277850383955,1989
1990,Grey,None,Dead,Mouse,None,Blue,Flesh,Statant,Lincoln,None,None,13.198661613938183,1990
1991,Black,None,Discerning,Rat,None,Pink-ish,Flesh,Statant,Fire,None,None,14.360917426952897,1991
1992,Brown,Hoodie Down,Sleepy,Cat,None,Blue,Creep,Sejant,None,None,None,28.69121691931645,1992
1993,Blue,None,Eclipse,Toad ,None,Blue,None,Statant,Durag,None,None,16.955620196472417,1993
1994,Purple,None,Angry,Bug,Hightops (Green),Pink-ish,Creep,Passant,None,None,None,21.72108964311273,1994
1995,White,None,None,Rat,Socks (Classic),Blue,Creep,Crustant,Dancing Flame,Full Moon,None,48.62090774417696,1995
1996,Ninja,None,Eclipse,Toad ,None,Blue,None,Rampant,Tiny Crown,None,None,18.982936119690013,1996
1997,Red,Hero's Tunic,Relaxed,Rabbit,Hero Boots,Yellow,Creep,Rampant,Hero's Cap,None,None,48.2789231413576,1997
1998,Green,None,Stirring,Mouse,Slipons (White),Purple,Creep,Passant,Rubber Duck,None,None,29.072226079111648,1998
1999,Green,None,Eclipse,Toad ,Hightops (Green),Purple,None,Statant,Witch's Hat,None,None,31.24748022228986,1999
2000,Red,None,Suspicious,Toad ,None,Grey,None,Rampant,Durag,None,None,15.056226980532935,2000
2001,Blue,None,Suspicious,Toad ,Socks (Floppy),Purple,None,Rampant,Cowboy Hat,None,None,30.765935796199912,2001
2002,Grey,None,None,Fish,None,Grey,Creep,Sejant,Rubber Duck,Patch,None,34.44283657132636,2002
2003,Purple,None,Void,Mouse,Hightops (Grey),Blue,Creep,Passant,Lincoln,None,None,26.066846967915307,2003
2004,White,None,Side-eye,Rabbit,Slipons (Grey),Pink,Creep,Passant,Dancing Flame,None,None,27.924702576494635,2004
2005,Brown,None,Relaxed,Rat,None,Yellow,Creep,Rampant,Ranger,None,None,12.405016122109203,2005
2006,Red,None,Relaxed,Rabbit,None,Grey,Skull,Crustant,Bucket Hat,None,None,9.970381913735544,2006
2007,Blue,None,Side-eye,Bug,None,Purple,Skull,Sejant,None,None,None,5.630313066787145,2007
2008,Purple,None,Relaxed,Bug,None,Blue,Skull,Passant,Headband,None,None,14.73555786446285,2008
2009,Skeleton,None,None,Lizard,None,Purple,Skull,Passant,Captain's Cap,Patch,None,38.161272518133494,2009
2010,Red,None,None,Lizard,None,Blue,Creep,Passant,Flower,Gazelles,None,34.36260349798672,2010
2011,Red,Space Helmet,Dead,Cat,None,Green,Skull,Statant,None,None,None,27.525961658240945,2011
2012,Black,None,Suspicious,Toad ,None,Green,None,Sejant,Backwards Hat,None,None,16.05790693348524,2012
2013,Red,Gold Grill,Side-eye,Bird,Socks (Dirty),Blue,Skull,Rampant,None,None,None,40.80067743598477,2013
2014,Red,None,Angry,Mouse,None,Purple,Flesh,Statant,Moon Hat,None,None,9.768146831504689,2014
2015,Brown,None,None,Lil Elon,Hightops (Red),Blue,None,Rampant,None,None,None,20.734757124393028,2015
2016,Green,None,Eclipse,Toad ,Hightops (Green),Green,None,Sejant,Ranger,None,None,31.155359086056635,2016
2017,White,None,Sleepy,Rat,Hightops (Blue),Pink,Creep,Passant,Fire,None,None,31.04287515353157,2017
2018,Golden,None,None,Bat,Hightops (Grey),Purple,None,Passant,Wizard's Hat,None,None,32.44632280331648,2018
2019,Blue,None,None,Bird,Socks (Dirty),Blue,Skull,Statant,Bow (Pink),Gazelles,None,49.07565310959927,2019
2020,Red,None,Discerning,Rat,None,Green,Flesh,Statant,Backwards Hat,None,None,10.166524453619923,2020
2021,Purple,None,None,Rat,None,Pink,Creep,Rampant,Tiny Crown,3D,None,35.97364653136997,2021
2022,Pink,None,Divit,Mouse,None,Blue,Flesh,Rampant,Aviator's Cap,None,Ruby,42.301494198082764,2022
2023,Brown,Gold Grill,Fire,Bug,Slipons (Grey),Grey,Creep,Statant,Croissant,None,None,53.14477497059057,2023
2024,White,None,None,Cat,Hightops (Green),Purple,Skull,Statant,Tiny Crown,Aviators,None,48.20775350825299,2024
2025,Red,Jean Jacket,Side-eye,Rabbit,Work Boots,Purple,Creep,Statant,Bucket Hat,None,None,46.77207246608074,2025
2026,Brown,None,Discerning,Rabbit,Gym (Stormy),Purple,Flesh,Rampant,Halo,None,None,24.32493115479765,2026
2027,Pink,None,Angry,Bug,Gym (Crusty),Blue,Skull,Crustant,None,None,None,21.38224631203802,2027
2028,Red,None,Angry,Rat,Gym (Chromie),Blue,Flesh,Sejant,Halo,None,None,25.091811773221295,2028
2029,Metal,Punk Jacket,None,Rabbit,None,Green,None,Statant,Chromie Worm,Big Tech,None,60.87496499445335,2029
2030,White,None,Fire,Bird,Hightops (Red),Yellow,Flesh,Statant,Headband,None,None,30.365170353134335,2030
2031,Green,None,Void,Rabbit,Slipons (Grey),Pink,Creep,Passant,Halo,None,None,28.400394399045027,2031
2032,Black,None,Angry,Bird,Hightops (White),Purple,Skull,Passant,Stealth Headband,None,None,26.875390374112023,2032
2033,Red,None,Discerning,Rabbit,None,Purple,Creep,Passant,Durag,None,Worm,37.39116951390731,2033
2034,Rusty,Space Helmet,None,Cat,None,Green,None,Sejant,None,None,None,30.293684952134804,2034
2035,Brown,None,Eclipse,Toad ,None,Yellow,None,Rampant,Lincoln,None,None,15.626961782777506,2035
2036,Brown,None,Dead,Bug,Hightops (Red),Yellow,Creep,Statant,Bandana,None,None,29.235628939518133,2036
2037,Red,None,Eclipse,Toad ,None,Green,None,Statant,Beanie,None,None,14.895734964466104,2037
2038,Rusty,None,None,Cat,None,Purple,None,Sejant,Dancing Flame,None,None,16.109362234050316,2038
2039,Grey,None,Void,Bird,None,Yellow,Flesh,Crustant,Cowboy Hat,None,None,13.965651340668245,2039
2040,White,None,None,Toad ,None,Green,None,Sejant,Fire,Blood Moon,None,36.217067507709885,2040
2041,Skeleton,None,None,Rabbit,Slipons (Grey),Pink,Skull,Crustant,Cowboy Hat,Sunglasses,None,50.7044605959037,2041
2042,Red,Diamond Grill,Twinkle,Bird,Hightops (Green),Grey,Flesh,Rampant,Cowboy Hat,Monocle,None,75.75317107493879,2042
2043,Brown,None,Discerning,Cat,Hightops (White),Pink-ish,Flesh,Crustant,Beanie (Pellet),None,None,28.95610077152836,2043
2044,Pink,None,Angry,Rat,None,Blue,Flesh,Statant,None,None,None,4.949529144355093,2044
2045,Black,None,Eclipse,Toad ,None,Green,None,Sejant,None,None,None,7.743632575176244,2045
2046,Grey,Space Helmet,Relaxed,Rat,None,Yellow,Flesh,Rampant,None,None,None,27.490222833471524,2046
2047,Brown,None,None,Bird,Socks (Pellet),Purple,Flesh,Rampant,Bandana,Sunglasses,None,47.984816366900496,2047
2048,Red,None,Divit,Cat,Work Boots,Yellow,Flesh,Sejant,Skully,None,None,25.50797555158232,2048
2049,Red,None,Orb,Rabbit,None,Pink,Creep,Statant,Fire,None,None,13.817083373493094,2049
2050,Purple,None,Void,Rabbit,None,Green,Flesh,Statant,Fire,None,None,10.707578786575109,2050
2051,Grey,None,Dead,Mouse,None,Purple,Flesh,Statant,Headband,None,None,13.180820442886535,2051
2052,Purple,None,Divit,Bird,Gym (Crusty),Pink,Creep,Crustant,Headband,None,None,31.075565782606457,2052
2053,White,None,Discerning,Bird,None,Yellow,Skull,Statant,Beanie (Pellet),None,None,14.007296890518074,2053
2054,Blue,None,Relaxed,Cat,None,Grey,Creep,Rampant,Tiara,None,None,13.799192546829786,2054
2055,Red,None,Suspicious,Toad ,Gym (Chromie),Yellow,None,Statant,Beanie (Green),None,Slime,58.235407843171046,2055
2056,White,None,Void,Rat,Gym (Crusty),Purple,Skull,Sejant,Tiara,None,None,28.00796869578325,2056
2057,Ninja,None,None,Toad ,None,Purple,None,Crustant,Raincloud,Visor (Cold),None,38.52066241951888,2057
2058,Skeleton,None,None,Rat,None,Blue,Skull,Statant,Captain's Cap,Rose-Coloured Glasses,None,35.7684768187073,2058
2059,Red,Jean Jacket,Eclipse,Toad ,Socks (Pellet),Grey,None,Rampant,Witch's Hat,None,None,52.68945907953043,2059
2060,Grey,None,Discerning,Cat,Hightops (Green),Yellow,Creep,Crustant,Tiara,None,None,26.43839251735206,2060
2061,Purple,None,Side-eye,Rabbit,Hightops (White),Grey,Creep,Rampant,Aviator's Cap,None,None,24.616226389540703,2061
2062,Purple,Gold Grill,None,Mouse,None,Grey,Skull,Crustant,None,Patch,None,47.12240761279667,2062
2063,White,None,Relaxed,Lizard,None,Purple,Skull,Passant,None,None,None,7.440778162225313,2063
2064,Grey,None,Angry,Rat,Socks (Pellet),Yellow,Flesh,Crustant,Halo,None,None,26.028190764756427,2064
2065,White,None,Relaxed,Mouse,None,Blue,Creep,Statant,None,None,None,4.227217699438441,2065
2066,White,Hero's Tunic,Suspicious,Toad ,Hero Boots,Green,None,Crustant,Hero's Cap,None,None,55.468268044510715,2066
2067,Grey,Bomber Jacket,Angry,Mouse,None,Purple,Skull,Rampant,Ranger,None,None,34.62716953153509,2067
2068,Brown,None,None,Fish,Slipons (Grey),Green,Flesh,Crustant,Tiara,Rose-Coloured Glasses,None,47.88080923774166,2068
2069,Grey,None,Side-eye,Rat,None,Grey,Skull,Passant,Pirate,None,None,12.036355844389906,2069
2070,Ninja,None,Eclipse,Toad ,None,Yellow,None,Passant,Durag,None,None,18.979960752573398,2070
2071,Purple,None,Relaxed,Bird,None,Yellow,Creep,Sejant,None,None,None,5.591691650227255,2071
2072,White,None,None,Mouse,Work Boots,Purple,Skull,Sejant,Diamond,Patch,None,47.417056627089934,2072
2073,Ninja,None,None,Mutant Toad,None,Purple,Bird,Crustant,Captain's Cap,3D,None,45.58635385777891,2073
2074,Blue,None,Void,Fish,Socks (Dirty),Yellow,Skull,Passant,Stealth Headband,None,None,28.409236641026613,2074
2075,Red,None,Relaxed,Rabbit,None,Grey,Skull,Crustant,Grail,None,None,9.878239666256894,2075
2076,Brown,None,Suspicious,Toad ,None,Blue,None,Crustant,Mohawk (Green),None,None,15.849853732798111,2076
2077,Purple,None,Angry,Bird,None,Yellow,Creep,Passant,None,None,None,4.506634374772571,2077
2078,Metal,Punk Jacket,None,Bat,None,Blue,None,Passant,Ranger,None,None,41.51462613096303,2078
2079,Purple,None,Suspicious,Toad ,None,Grey,None,Sejant,Grail,None,None,16.488999856709075,2079
2080,Dust Cat,None,None,Cat,None,Dust,None,Passant,None,None,None,12.488928903643284,2080
2081,Blue,Hoodie,Fire,Rabbit,Socks (Floppy),Purple,Skull,Passant,None,None,None,42.09076645144016,2081
2082,Grey,None,None,Rabbit,None,Yellow,Creep,Rampant,Fire,Full Moon,None,31.140493941497517,2082
2083,Black,None,Angry,Bug,Socks (Floppy),Green,Flesh,Crustant,Headband,None,None,27.790909731714112,2083
2084,Grey,None,Angry,Rat,Work Boots,Green,Flesh,Sejant,Fire,None,None,25.38014769461259,2084
2085,Skeleton,None,None,Rabbit,None,Pink,Skull,Rampant,Halo,Patch,None,36.493817432424066,2085
2086,Brown,None,Void,Lizard,None,Purple,Skull,Sejant,Bow (Blue),None,None,14.985312209942997,2086
2087,Brown,None,Side-eye,Cat,None,Pink,Skull,Rampant,None,None,None,5.990066007857705,2087
2088,White,None,Relaxed,Mouse,None,Yellow,Skull,Sejant,Grail,None,None,12.761697351767543,2088
2089,Black,None,Divit,Fish,Hightops (Grey),Grey,Skull,Sejant,None,None,None,19.524414190806198,2089
2090,Grey,None,Void,Fish,Socks (Pellet),Yellow,Flesh,Sejant,Stealth Headband,None,None,28.177360034382982,2090
2091,Ninja,None,Eclipse,Toad ,None,Yellow,None,Statant,None,None,Slime,38.678011687997575,2091
2092,Red,None,Suspicious,Toad ,Gym (Crusty),Green,None,Crustant,Flower,None,None,29.55920773378125,2092
2093,Purple,None,Side-eye,Mouse,None,Green,Flesh,Sejant,Pirate,None,None,11.498244755055154,2093
2094,Brown,None,Discerning,Fish,Hightops (Grey),Purple,Flesh,Sejant,Halo,None,None,26.697026864542355,2094
2095,Metal,None,None,Lizard,Slipons (White),Blue,None,Sejant,Halo,None,None,31.920194635166926,2095
2096,Red,None,Discerning,Bat,None,Green,Creep,Passant,Beanie (Pellet),None,None,13.332531774008618,2096
2097,Red,None,Void,Rat,Socks (Dirty),Green,Flesh,Passant,None,None,None,16.74500496796873,2097
2098,Grey,None,Angry,Rabbit,None,Green,Skull,Passant,Lincoln,None,None,9.494687114228913,2098
2099,White,None,Suspicious,Toad ,None,Green,None,Crustant,Bandana,None,None,16.940775206291708,2099
2100,Green,None,Void,Mutant Toad,None,Yellow,Bat,Passant,Fire,None,None,23.20747284501654,2100
2101,Brown,None,None,Mouse,Socks (Classic),Purple,Skull,Passant,Captain's Cap,3D,None,45.868461097205696,2101
2102,Brown,None,Side-eye,Bird,None,Grey,Skull,Crustant,Queen's Crown,None,None,12.77954000644799,2102
2103,Black,Punk Jacket,None,Rat,Slipons (Pink),Green,Flesh,Statant,None,Sunglasses,None,61.68914847883414,2103
2104,Grey,None,Rainbow,Rabbit,None,Pink-ish,Flesh,Crustant,Aviator's Cap,None,None,15.663040510091445,2104
2105,White,None,Side-eye,Rat,Slipons (Pink),Pink,Creep,Crustant,Fire,None,None,29.360375589772158,2105
2106,Blue,None,Discerning,Cat,Socks (Classic),Pink,Skull,Crustant,Dancing Flame,None,None,29.773588394626582,2106
2107,Red,None,Angry,Bird,None,Yellow,Flesh,Crustant,Cowboy Hat,None,None,11.629149959471551,2107
2108,Grey,Diamond Grill,Discerning,Rabbit,None,Yellow,Skull,Rampant,Tiny Crown,None,None,33.56597521357366,2108
2109,Ninja,None,Relaxed,Mutant Toad,Slipons (Grey),Blue,Bug,Statant,Lincoln,None,None,38.89901074262445,2109
2110,Blue,Punk Jacket,Side-eye,Fish,None,Green,Flesh,Passant,None,None,None,28.227412576223454,2110
2111,Black,None,None,Bug,Hightops (Green),Green,Creep,Statant,None,Visor (Cold),None,40.33704046082763,2111
2112,Blue,None,None,Bird,Hightops (Green),Grey,Creep,Statant,Cowboy Hat,Aviators,None,48.37720312013944,2112
2113,Brown,None,Eclipse,Toad ,Socks (Classic),Blue,None,Passant,Moon Hat,None,None,30.24284215485709,2113
2114,Brown,None,Sleepy,Rabbit,None,Green,Flesh,Rampant,Tiny Crown,None,None,11.953212523210272,2114
2115,Black,None,Eclipse,Toad ,None,Green,None,Rampant,Tiara,None,None,16.4919436938602,2115
2116,Blue,None,Angry,Rabbit,None,Yellow,Creep,Statant,Skully,None,None,9.821713144912632,2116
2117,White,None,Relaxed,Rat,None,Yellow,Skull,Statant,Backwards Hat,None,None,13.329510618070787,2117
2118,Green,None,Suspicious,Toad ,None,Green,None,Crustant,Lincoln,None,None,16.925888584247854,2118
2119,Black,None,Fire,Bat,Slipons (Grey),Yellow,Skull,Crustant,None,None,None,23.112385257888487,2119
2120,Red,None,Discerning,Lizard,Hightops (Blue),Pink-ish,Skull,Crustant,None,None,None,21.03746979784698,2120
2121,Grey,None,None,Toad ,None,Yellow,None,Crustant,Bucket Hat,Big Tech,None,36.13684810273023,2121
2122,White,None,Stirring,Bird,Gym (Crusty),Pink,Flesh,Passant,Queen's Crown,None,None,33.58140587458533,2122
2123,Black,None,Suspicious,Toad ,Socks (Floppy),Purple,None,Rampant,Grail,None,None,30.73027278699318,2123
2124,Blue,None,Suspicious,Toad ,None,Grey,None,Crustant,Mohawk (Green),None,None,16.702964822935073,2124
2125,Red,None,Diamond,Mouse,Hightops (White),Pink,Creep,Crustant,Headband,None,None,28.890759068807988,2125
2126,Purple,None,Eclipse,Toad ,Socks (Dirty),Yellow,None,Statant,Wizard's Hat,None,None,30.751092286349145,2126
2127,Red,None,Angry,Bird,None,Grey,Creep,Rampant,None,None,None,2.922152552879214,2127
2128,Green,Gold Grill,Side-eye,Rabbit,None,Purple,Skull,Statant,Captain's Cap,None,None,34.53801899418185,2128
2129,Red,None,Void,Toad,Hightops (Green),Yellow,Flesh,Passant,None,None,None,19.925770745510718,2129
2130,Brown,Space Helmet,Discerning,Rat,None,Pink,Creep,Rampant,None,None,None,28.497900191791075,2130
2131,Purple,None,Twinkle,Rat,None,Yellow,Skull,Passant,Skully,None,Skull,42.896074104396256,2131
2132,Black,Hoodie,Void,Rabbit,None,Blue,Skull,Rampant,Raincloud,None,None,34.34476321815478,2132
2133,Black,None,None,Rat,Slipons (Grey),Purple,Creep,Passant,None,Noggles,None,38.61008112883092,2133
2134,Red,None,Heart,Bug,None,Yellow,Flesh,Sejant,None,None,None,6.427075453574934,2134
2135,Green,None,Heart,Cat,Gym (Crusty),Yellow,Creep,Passant,None,None,None,21.96207638210617,2135
2136,Red,None,Rainbow,Rat,Work Boots,Pink-ish,Flesh,Statant,Bow (Pellet),None,None,30.478076504629897,2136
2137,Purple,None,Dead,Bird,None,Yellow,Flesh,Passant,Tiara,None,None,15.692821773903058,2137
2138,Brown,None,Dead,Rabbit,Slipons (White),Grey,Creep,Statant,Durag,None,None,26.078808174823685,2138
2139,Pink,Diamond Grill,Fire,Fish,Slipons (White),Purple,Creep,Crustant,None,None,None,46.75446258422799,2139
2140,Blue,Space Helmet,None,Toad ,None,Grey,None,Statant,None,Gazelles,None,50.70370285646087,2140
2141,Blue,None,Angry,Fish,None,Yellow,Flesh,Rampant,Beanie (Pellet),None,None,13.87349869004014,2141
2142,Rusty,None,None,Rat,None,Yellow,None,Crustant,None,None,None,6.947754773640121,2142
2143,Purple,None,None,Cat,None,Blue,Creep,Sejant,Mohawk (Green),Gazelles,None,33.7323974386376,2143
2144,Black,None,Side-eye,Rabbit,None,Yellow,Creep,Crustant,Lincoln,None,Diamond,39.174574791696124,2144
2145,Brown,None,None,Mouse,None,Yellow,Flesh,Crustant,Captain's Cap,Gazelles,None,31.8211440915067,2145
2146,Grey,Diamond Grill,Twinkle,Rabbit,Slipons (Pink),Green,Skull,Sejant,None,None,None,41.787647672028065,2146
2147,Purple,None,Angry,Cat,Hightops (Blue),Yellow,Skull,Statant,None,None,None,17.681364332876896,2147
2148,Black,None,None,Bug,None,Pink-ish,Skull,Rampant,None,Aviators,None,29.12810387517007,2148
2149,Red,None,Heart,Rabbit,None,Pink,Creep,Crustant,Captain's Cap,None,None,14.141120071868887,2149
2150,Purple,None,Stirring,Mouse,Socks (Floppy),Grey,Creep,Sejant,Tiara,None,None,28.204164749096833,2150
2151,Grey,None,Angry,Mouse,Slipons (Grey),Grey,Flesh,Crustant,Mohawk (Green),None,None,25.094753536115928,2151
2152,Metal,Hoodie Down,None,Bug,None,Purple,None,Passant,Blood Moon Hat,None,None,40.54266351528113,2152
2153,Brown,None,Discerning,Mouse,None,Purple,Skull,Statant,None,None,None,1.8490428136637216,2153
2154,Red,None,Relaxed,Bird,Hightops (Green),Yellow,Flesh,Sejant,Grail,None,None,26.590039619757466,2154
2155,White,Hoodie,Suspicious,Toad ,Gym (Crusty),Purple,None,Sejant,None,None,None,46.150432124703464,2155
2156,Green,None,Discerning,Rabbit,None,Pink,Flesh,Statant,Captain's Cap,None,None,13.710030423026415,2156
2157,Purple,None,Discerning,Mouse,None,Yellow,Skull,Passant,Captain's Cap,None,None,11.251567457155398,2157
2158,Purple,None,None,Toad ,None,Grey,None,Crustant,Beanie,Jobs Glasses,None,36.347882912106954,2158
2159,Red,None,None,Fish,Slipons (Grey),Blue,Skull,Crustant,None,Patch,None,38.425744602489765,2159
2160,Skeleton,None,None,Rat,None,Purple,Skull,Crustant,Cowboy Hat,Patch,None,35.7863090664776,2160
2161,Pink,None,Discerning,Rabbit,Socks (Pellet),Green,Skull,Statant,Cowboy Hat,None,None,25.796387297311256,2161
2162,Grey,None,Sleepy,Rabbit,Hightops (Green),Green,Skull,Rampant,Cowboy Hat,None,None,26.123410355063342,2162
2163,Grey,None,None,Cat,None,Pink,Creep,Statant,Tiny Crown,Rose-Coloured Glasses,None,35.92313436341249,2163
2164,Ruby Skeleton,None,None,Bat,Slipons (Grey),Grey,None,Crustant,None,None,None,23.939174449021117,2164
2165,Purple,None,Dead,Lizard,Hightops (White),Green,Flesh,Statant,Headphones,None,None,30.69214227118412,2165
2166,Black,None,Void,Rabbit,Gym (Chromie),Green,Skull,Crustant,Lincoln,None,None,25.671494062526197,2166
2167,Red,None,Relaxed,Cat,Hightops (Blue),Grey,Flesh,Rampant,Tiara,None,None,26.054931250489687,2167
2168,Grey,None,Stirring,Bug,Socks (Pellet),Pink-ish,Creep,Statant,None,None,None,24.503488504326253,2168
2169,Black,None,Relaxed,Rat,None,Blue,Creep,Rampant,Raincloud,None,None,12.954931722686833,2169
2170,Purple,None,Void,Rat,None,Purple,Flesh,Passant,Skully,None,None,12.559541354928308,2170
2171,Black,None,Angry,Lizard,None,Purple,Creep,Crustant,None,None,None,5.97519692512084,2171
2172,Grey,None,Void,Rabbit,Slipons (Pink),Blue,Creep,Passant,Witch's Hat,None,None,25.237546499337093,2172
2173,Green,None,Dead,Bat,None,Green,Creep,Rampant,Headband,None,None,17.5567080839582,2173
2174,White,None,Void,Cat,None,Grey,Flesh,Statant,Bandana,None,None,14.007232070250012,2174
2175,Blue,None,Dead,Lizard,None,Blue,Creep,Statant,Bow (Pink),None,None,17.416919910640036,2175
2176,Blue,None,Divit,Mouse,Slipons (Pink),Pink-ish,Flesh,Statant,Skully,None,None,28.55776091171479,2176
2177,White,None,Rainbow,Bat,None,Yellow,Skull,Sejant,None,None,None,9.42957674299881,2177
2178,Green,None,Relaxed,Mutant Toad,Hightops (Red),Yellow,Rabbit,Crustant,Raincloud,None,None,37.605987089611695,2178
2179,White,None,Suspicious,Toad ,None,Blue,None,Sejant,None,None,None,8.43922463082617,2179
2180,Green,None,Relaxed,Fish,Hightops (Green),Pink-ish,Creep,Rampant,Dancing Flame,None,None,31.952509789705978,2180
2181,Purple,None,None,Toad ,Socks (Dirty),Purple,None,Crustant,None,Gazelles,None,41.808170166672745,2181
2182,Green,None,Relaxed,Rat,None,Pink,Skull,Sejant,None,None,None,7.637010802325182,2182
2183,Brown,None,Discerning,Mouse,Hightops (Red),Yellow,Flesh,Sejant,Fire,None,None,24.125713949240957,2183
2184,Pink,Gold Grill,Suspicious,Toad ,None,Green,None,Sejant,Mohawk (Green),None,None,40.93106290788751,2184
2185,Red,None,Void,Cat,None,Purple,Flesh,Sejant,None,None,None,3.272940147461186,2185
2186,Brown,None,Void,Rabbit,None,Grey,Creep,Sejant,Wizard's Hat,None,None,10.42221762577224,2186
2187,Purple,None,None,Bird,None,Green,Skull,Crustant,Queen's Crown,Jobs Glasses,None,34.20501043572058,2187
2188,Brown,None,Divit,Mouse,None,Purple,Flesh,Crustant,Fire,None,None,11.120767512926516,2188
2189,Grey,None,None,Fish,Hightops (Blue),Pink,Creep,Sejant,Raincloud,Patch,None,50.42209026330931,2189
2190,Green,Punk Jacket,Eclipse,Toad ,Hightops (Green),Yellow,None,Statant,Wizard's Hat,None,Worm,82.7037301553469,2190
2191,White,None,None,Toad ,Slipons (White),Green,None,Sejant,Tiny Crown,Aviators,None,50.52585807510026,2191
2192,Red,Diamond Grill,Eclipse,Toad ,Hightops (Red),Grey,None,Rampant,Blood Moon Hat,None,None,52.5587304890916,2192
2193,Grey,None,Side-eye,Cat,None,Green,Flesh,Crustant,None,None,None,4.0041978915850605,2193
2194,Purple,None,Relaxed,Cat,None,Yellow,Skull,Statant,Headphones,None,None,13.490016901900267,2194
2195,Red,None,Side-eye,Fish,Slipons (White),Grey,Creep,Crustant,Skully,None,None,25.7815134624362,2195
2196,Grey,None,Discerning,Cat,None,Yellow,Creep,Crustant,Mohawk (Green),None,None,12.422798115195066,2196
2197,Skeleton,None,None,Lil Elon,None,Blue,None,Rampant,None,None,None,10.220706218637384,2197
2198,Red,Punk Jacket,None,Bug,None,Pink-ish,Skull,Rampant,Croissant,Aviators,None,59.28788806919658,2198
2199,Red,None,None,Rabbit,Slipons (White),Blue,Skull,Passant,Headband,Jobs Glasses,None,43.73145637641364,2199
2200,Black,Hoodie,Discerning,Rabbit,None,Yellow,Creep,Passant,Raincloud,None,None,33.40839671715506,2200
2201,White,Hoodie Down,None,Rabbit,Slipons (Pink),Grey,Skull,Passant,Witch's Hat,Gazelles,None,69.30380806059009,2201
2202,Red,Gold Grill,Discerning,Rat,Socks (Pellet),Green,Creep,Sejant,None,None,None,39.13612904141762,2202
2203,Blue,None,Heart,Rat,None,Purple,Creep,Statant,Fire,None,None,14.500751092788772,2203
2204,Grey,None,None,Cat,None,Yellow,Skull,Sejant,Bow (Pellet),Gazelles,Swiggle,62.328014298375024,2204
2205,Red,Jean Jacket,Relaxed,Rabbit,None,Yellow,Flesh,Rampant,Wizard's Hat,None,None,33.262750286449055,2205
2206,Red,None,Side-eye,Rabbit,None,Pink,Flesh,Statant,Fire,None,None,11.192120881255386,2206
2207,Blue,None,Discerning,Rat,Slipons (Pink),Green,Creep,Rampant,Fire,None,None,25.885524747167583,2207
2208,Blue,None,Fire,Mouse,None,Green,Flesh,Passant,Bandana,None,None,14.096476571838135,2208
2209,Blue,None,Suspicious,Toad ,None,Purple,None,Sejant,Headphones,None,None,16.60784334847697,2209
2210,Red,None,None,Cat,None,Grey,Creep,Passant,None,Full Moon,None,23.72414185989589,2210
2211,Purple,None,None,Mouse,Slipons (Grey),Green,Creep,Rampant,Rubber Duck,Aviators,None,46.68889316081634,2211
2212,Purple,None,Void,Bird,Slipons (White),Grey,Creep,Rampant,Cowboy Hat,None,None,28.159559297906632,2212
2213,Pink,None,Heart,Rabbit,Hightops (Blue),Green,Skull,Rampant,None,None,None,19.76238870176156,2213
2214,Red,None,Discerning,Fish,None,Green,Creep,Rampant,Rubber Duck,None,None,11.973969287374926,2214
2215,Green,None,Divit,Mutant Toad,Hightops (White),Green,Rat,Rampant,Mohawk (Pink),None,None,37.3057595290339,2215
