,Misc,Hands,Hair Color,Hair,Eyebrows,Mouth,Lashes,Eye Color,Eyes,Top,Body,Background,Hat,Pet,Hair Clip,Sunglasses,Eyewear,Costume,Piercing,Whole Head Hat,Unique,Artist,Rarity score,Token Id
14996,None,None,Teal,Long Mid Part,Pien,Full Catmouth,True,Black,Tired,Jacket Teal Tubby Studs Blue,Mint,Solid,None,Hamster Orange White,None,None,None,None,None,None,None,None,41.55091565614879,14996
14997,None,None,Light Blue,Short Blunt,Pien Cute,Default,False,Black,Smug,Low Cut Shirt Strap White,Black Sesame,Grid Blue White,None,Raven,None,None,Round Glasses Black,None,None,None,None,None,61.590064213787066,14997
14998,None,None,Pink,Fluffy Short,Determined,Raspberry,False,Black,Anime,Hoodie Drip Rainbow,Cotton Candy,Dreamy Rainbow,Party Hat,None,None,None,None,None,None,None,None,None,39.74578482401708,14998
14999,None,Ice Cream Tubby,None,Bald Udi,Pien Cute,Unimpressed,False,Pink,Droopy,Jacket White Heart Studs Pink,Cotton Candy,Checker Heart Pink,Tie Headband,None,None,None,None,None,None,None,None,None,51.160054573727145,14999
15000,Blush,Sprout,Green,Glam Rock,Concerned,Frightened,False,Black,Embarrassed,Dad Shirt Leaf,Matcha,Solid,None,None,None,None,None,None,None,None,None,None,35.458297585370836,15000
15001,Whiskers,None,None,Bald Udi,Sad,Full Catmouth,True,Black,Sleepy,Tee Striped Sleeve Teal,Mint,Solid,None,None,None,None,None,None,None,None,None,None,16.559092938683133,15001
15002,Blush,Plush Bunny,Split Black Purple,Bows,Determined,Toothy,False,Black,Looking Away,Ribbon Tie Seifuku Purple,Mochi,Gradient Dots Light Blue Pink,None,None,None,None,None,None,None,None,None,None,39.09108475112209,15002
15003,Blush,Lollipop Red,Red,Pop Star Bowl Cut,Chill,Pout,False,Black,Plush,Turtleneck Black,Strawberry,Solid,None,None,None,None,None,None,None,None,None,None,36.46100683967426,15003
15004,Decora Blue,None,Blue,Short Fringe,Concerned,Full,True,Black,Relaxed,Pajamas Light Blue,Mochi,Magic Moon Blue,None,None,Tubby Bow Blue,None,None,None,None,None,None,None,52.78670091690771,15004
15005,None,Paws Together,None,Bald Udi,Surprised,Full Catmouth,True,Black,Detailed,Hoodie Red Heart,Vanilla,Solid,None,None,None,None,None,None,Safety Pin Gold,None,None,None,39.50347475941567,15005
15006,None,None,None,Bald Udi,Pien,Happy Small,True,Purple,Half Lid,Devil Wings Iridescent,Iridescent,Solid,None,None,None,None,None,None,None,None,None,None,21.58973691654804,15006
15007,Blush,None,None,Bald Udi,Angry Cute,Happy Nervous,False,Grey,Detailed,Belts,Black Sesame,Tubby Crowd Black Sesame,None,None,None,None,None,None,None,None,None,None,26.152285331729075,15007
15008,Cheek Freckles,Banana,Blonde,Twintails,Ayo Thin,Happy Wide,False,Black,Glee,Sweater Vest Yellow,Pudding,Tubby Pattern Pudding,None,None,None,None,Round Glasses Yellow,None,None,None,None,None,62.319847502302906,15008
15009,Blush,None,None,Bald Udi,Pien Short,Teef,True,Black,Long Pupils,Hoodie Tubby Mochi,Cotton Candy,Goopy Pink White,None,Fox Artic,None,None,None,None,None,None,None,None,36.718410017243706,15009
15010,None,Tubby Puppet Cotton Candy,None,Bald Udi,Pien Cute,Wide,False,Pink,Droopy,Tee Polka Dots Yellow,Latte,Dotted Paper Pink,None,None,None,None,None,None,None,None,None,None,35.100238903652716,15010
15011,Blush,Rocker,Light Green,Mohawk,Pien,Confused,True,Black,Long Pupils,Business Casual White Green,Bubblegum,Sprout,None,None,None,None,None,None,None,None,None,None,45.593523515971576,15011
15012,Whiskers,Lollipop Blue,None,Bald Udi,Sad,Happy,False,Black,Cute,Hoodie Blue Heart,Ube,Solid,None,None,None,None,None,None,None,None,None,None,24.671643019595866,15012
15013,Beauty Mark,Balloon Red,Pink,Side Ponytail,Big Round,Default,True,Pink,Detailed,Sweater Vest Red Silver TC Clip,Mochi,Goopy Pink White,Bisket Hat Pink,None,None,None,None,None,None,None,None,None,73.87076280365422,15013
15014,Beauty Mark,None,Black Yellow,Mohawk,Pien Cute,Full,False,Black,Squint,Overalls Yellow,Vanilla,Solid,None,None,None,None,None,None,None,None,None,None,27.316158498065217,15014
15015,Blush,Maneki Neko,Bright Blonde,Long Side Part Wavy,Determined,Default,True,Black,Looking Away,Blanket Wrap Bunny Orange,Mochi,Gradient Dots Salmon Yellow,Cat Beret Orange,None,None,None,None,None,None,None,None,None,58.693294067884494,15015
15016,Cheek Freckles,Claw,None,Bald Udi,Worried,Meh,False,Red,Half Lid,Maid Bloody,Mochi,Solid,None,None,None,None,None,None,None,None,None,None,34.41938913762593,15016
15017,None,None,None,Bald Udi,Big Round,Smirk,False,Black,Smug,Sweater Vest Black Silver Star Clip,Mercury,Grid Blue White,None,None,None,None,None,None,None,None,None,None,11.556961673629338,15017
15018,Cheek Freckles,None,White,Loose Twintails,Relaxed,Big Meh,True,Black,Sleepy,Winter Coat Black,Black Sesame,Solid,None,None,None,None,None,None,None,None,None,None,30.600951429086294,15018
15019,Cheek Freckles,None,None,Bald Udi,Pien,Piercings,False,Grey,Chill,Overalls Green,Matcha,Pawprint White Brown,None,None,None,None,None,None,Safety Pin Gold,None,None,None,49.19978158208603,15019
15020,Blush,None,None,Bald Udi,Determined,Donut,None,None,None,Tee Stripes Pink,Cotton Candy,Gradient Pink,None,None,None,Cool Shades,None,None,None,None,None,None,57.5924207632465,15020
15021,None,Tubby Puppet Ube,None,Bald Udi,Angry Furrowed,Teeth,False,Grey,Plush,Hoodie Striped Purple Tubby,Ube,Pawprint Purple,Horns Cap Iridescent,None,None,None,None,None,None,None,None,None,49.98951036455171,15021
15022,Whiskers,Latte Art,None,Bald Udi,Relaxed,Big Meh,False,Grey,Detailed,Tee Stripes Yellow,Tiramisu,Tubby Crowd Pudding,None,None,None,None,None,None,None,None,None,None,41.426798686772685,15022
15023,Beauty Mark,Wizard Orb,Brown,Fluffy Mid Bangs,Chill,Meh,True,Black,Cute,Cape Light Blue,Tiramisu,Solid,None,None,None,None,None,None,None,None,None,None,43.3024042231653,15023
15024,None,None,Black,Wolf Cut,Relaxed,Tongue Down,False,Black,Plush,Tubby Maid Dress Blue,Mochi,Solid,None,None,None,None,Wrapped Eye Black,None,None,None,None,None,33.11101743877951,15024
15025,Blush,None,Dark Brown,Mohawk,Angry Thin,Wide,False,Black,Tubby,Hoodie Meow White Pink,Tiramisu,Solid,None,None,None,None,None,None,None,None,None,None,22.491716478498525,15025
15026,Blush,Ice Cream,Teal,Fluffy Short,Surprised,Teeth,False,Pink,Chill,Hoodie White Pink Yellow,Strawberry,Derp Tubby,None,None,Tubby Head Cotton Candy,None,None,None,None,None,None,None,72.46741364524637,15026
15027,Beauty Mark,None,None,Bald Udi,Determined,Happy Wide,False,Black,Chill,#1 Tubby Badge Yellow,Vanilla,Solid,Japanese Literary Hat,None,None,None,None,None,None,None,None,None,27.97051683134091,15027
15028,None,Resting,Blue,Short Fringe,Determined,Smirk,False,Black,Cat Looking Up,Tubby Overalls Tiramisu,Mochi,Solid,None,None,Biscuit,None,Hipster Glasses Brown,None,None,None,None,None,64.57172026385038,15028
15029,Cheek Freckles,Tubby Puppet Cotton Candy,Platinum Blonde,Double Buns,None,Special,None,Black,Special,Tee Stripes Pink,Cotton Candy,Pawprint White Light Blue,None,None,None,None,None,None,None,None,None,None,55.43459524283719,15029
15030,None,Claw,White,Wolf Cut,Pien Short,Pien,False,Black,Dot,Tubby Maid Dress Pink,Latte,Tiny Heart Red,None,None,None,None,None,None,None,None,None,None,34.997554169155,15030
15031,Cheek Freckles,None,Bright Blonde,Long Mid Part,Worried,Cookie,True,Black,Dot,Layered Jacket Brown Black,Tiramisu,Solid,None,None,None,None,None,None,None,None,None,None,31.473671921195006,15031
15032,None,Tubbysten Cube,Silver,Wolf Cut,Angry Cute,Tongue Down,True,Black,Half Lid,Sweater X Sleeve Black,Black Sesame,Solid,None,None,None,None,Round Glasses White,None,None,None,None,None,53.55839167364634,15032
15033,None,None,Magenta,Short Parted Fringe,Determined,Biscuit Stick Strawberry,True,Black,Half Lidded,Sailor Black Bloody,Raspberry,Gradient Pink,Mini Crown Pink,None,None,None,None,None,None,None,None,None,45.87047188007539,15033
15034,None,None,Ginger,Side Ponytail,Surprised,French Fries,False,Black,Droopy,Blanket Wrap Bunny Orange,Latte,Gradient Dots Salmon Yellow,Traffic Cone,None,None,None,None,None,None,None,None,None,39.81771229088575,15034
15035,None,None,Red,Fluffy Short,Sad,Strawberry Red,True,Black,Cat Looking Up,Comfy Blanket Winter Snowflake,Latte,Sushi,Sushi Shrimp,None,None,None,None,None,None,None,None,None,44.037115033047044,15035
15036,None,Thinking,Blonde,Emo,Pien Short,Big Meh,True,Black,Cute,Hoodie Striped Yellow Tubby,Pudding,Solid,Apple Golden With Arrow,None,None,None,None,None,None,None,None,None,49.865758619985606,15036
15037,Whiskers,None,None,Bald Udi,Surprised,Rose Black,False,Black,Looking Down,Tubby Sweater Vest Black,Ube,Grid Purple,None,None,None,None,None,None,None,None,None,None,18.19378033282003,15037
15038,Blush,None,Light Blonde,Glam Rock,Angry Cute,Yarn Ball,True,Black,Knowing Right,Cape Pink,Blue Raspberry,Solid,None,None,None,None,None,None,None,None,None,None,28.342706378665277,15038
15039,Whiskers,Donut,None,Bald Udi,Concerned,Eh,False,Black,Tired,Sweater Tubby Logo Pink White Sleeves,Tiramisu,Star Clouds Pink,None,None,None,None,None,None,None,None,None,None,29.78299151438427,15039
15040,Beauty Mark,None,None,Bald Udi,Angry Thin,Pien,False,Black,Looking Left,Blanket Wrap Blue,Mochi,Solid,None,None,None,None,None,None,Bar Ear Piercing,None,None,None,29.271029901344086,15040
