,Mouth,Clothes,Eyes,Fur,Background,Hat,Earring,Name,Rarity score,Token Id
11122,M1 Bored,M1 Lumberjack Shirt,M1 Bored,M1 Dmt,M1 Purple,M1 Beanie,None,None,27.521466157163445,12302
11123,M1 Bored Unshaven,M1 Service,M1 Zombie,M1 Dark Brown,M1 Purple,None,None,None,21.351072948991355,12304
11124,M1 Jovial,M1 Cowboy Shirt,M1 Bloodshot,M1 Golden Brown,M1 New Punk Blue,None,M1 Silver Stud,None,69.76744232897761,12306
11125,M1 Dumbfounded,M1 Caveman Pelt,M1 Laser Eyes,M1 Red,M1 New Punk Blue,M1 Fisherman's Hat,None,None,44.47913535965773,12308
11126,M2 Dumbfounded,M2 Caveman Pelt,M2 Laser Eyes,M2 Red,M2 New Punk Blue,M2 Fisherman's Hat,None,None,53.84648972799956,12309
11127,M1 Bored Cigarette,M1 Bone Tee,M1 Coins,M1 Blue,M1 Purple,M1 Irish Boho,M1 Silver Hoop,None,83.18338105571637,12310
11128,M1 Bored,M1 Leather Punk Jacket,M1 Bloodshot,M1 Tan,M1 Orange,M1 Party Hat 2,None,None,32.522603989665306,12316
11129,M1 Bored Unshaven,None,M1 Wide Eyed,M1 Brown,M1 Orange,None,None,None,9.39109538077582,12318
11130,M1 Bored,M1 Sleeveless T,M1 Bored,M1 Dark Brown,M1 Purple,M1 Stuntman Helmet,None,None,23.84324868178108,12320
11131,M1 Bored,M1 Work Vest,M1 Zombie,M1 Brown,M1 Yellow,None,None,None,17.602763457982743,12326
11132,M1 Bored Unshaven,M1 Toga,M1 Bloodshot,M1 Golden Brown,M1 Aquamarine,M1 Party Hat 2,M1 Silver Hoop,None,76.37182487100014,12328
11133,M2 Bored Unshaven,M2 Toga,M2 Bloodshot,M2 Golden Brown,M2 Aquamarine,M2 Party Hat 2,M2 Silver Hoop,None,95.2763505603107,12329
11134,M1 Small Grin,M1 Black Holes T,M1 X Eyes,M1 Pink,M1 Aquamarine,M1 Safari,None,None,45.13391044853065,12330
11135,M1 Bored Cigarette,M1 Bone Necklace,M1 Sad,M1 Dark Brown,M1 Orange,None,M1 Silver Stud,None,65.92567086623107,12332
11136,M1 Bored Unshaven,M1 Guayabera,M1 Coins,M1 Robot,M1 Purple,M1 Seaman's Hat,None,None,37.58717669791075,12334
11137,M1 Bored,None,M1 Bored,M1 Golden Brown,M1 Orange,M1 Bunny Ears,None,None,16.13275175526332,12336
11138,M1 Bored,M1 Black T,M1 Sleepy,M1 Noise,M1 Purple,M1 Bowler,M1 Cross,None,78.40297342555662,12338
11139,M2 Bored,M2 Black T,M2 Sleepy,M2 Noise,M2 Purple,M2 Bowler,M2 Cross,None,95.69059908669158,12339
11140,M1 Bored Unshaven,None,M1 Closed,M1 Dark Brown,M1 Purple,M1 Sushi Chef Headband,None,None,21.678459207795115,12340
11141,M1 Bored Unshaven,M1 Black Holes T,M1 Crazy,M1 Cream,M1 Orange,None,None,None,24.1774172516159,12342
