,Mouth,Clothes,Eyes,Fur,Background,Hat,Earring,Name,Rarity score,Token Id
0,M1 Bored Unshaven,M1 Toga,M1 Scumbag,M1 Cheetah,M1 Purple,None,None,None,26.09169445244103,0
1,M1 Dumbfounded,M1 Prison Jumpsuit,M1 Eyepatch,M1 Cream,M1 Gray,M1 Baby's Bonnet,None,None,43.30318529281663,1
2,M1 Bored,M1 Striped Tee,M1 Bored,M1 Brown,M1 Blue,M1 Police Motorcycle Helmet,None,None,23.61940886608019,2
3,M1 Bored Unshaven,None,M1 Zombie,M1 Golden Brown,M1 Yellow,M1 Horns,None,None,26.028191160650128,3
4,M1 Jovial,M1 Blue Dress,M1 Bored,M1 Death Bot,M1 Yellow,M1 S&m Hat,M1 Silver Stud,None,81.23915786569198,4
5,M1 Bored Unshaven Cigarette,M1 Sleeveless T,M1 Eyepatch,M1 Dark Brown,M1 Army Green,M1 Stuntman Helmet,None,None,39.97580461509212,5
6,M1 Grin Multicolored,M1 Stunt Jacket,M1 Sleepy,M1 Black,M1 Aquamarine,M1 Fez,M1 Gold Hoop,None,82.41839929642457,6
7,M1 Grin,M1 Lab Coat,M1 Heart,M1 White,M1 Aquamarine,M1 Beanie,None,None,41.14841308051133,7
8,M1 Bored,M1 Leather Jacket,M1 Bloodshot,M1 Tan,M1 Yellow,M1 Bayc Flipped Brim,None,None,31.433502645005607,8
9,M1 Grin Multicolored,M1 Black T,M1 Bored,M1 White,M1 Aquamarine,M1 Army Hat,None,None,37.914584732074374,9
10,M1 Bored Unshaven,M1 Bayc T Black,M1 Blindfold,M1 Pink,M1 Yellow,None,None,None,25.396815856932957,10
11,M1 Bored,M1 Tuxedo Tee,M1 Sleepy,M1 Red,M1 Aquamarine,M1 Bayc Hat Red,M1 Silver Stud,None,74.78503286313888,11
12,M2 Bored Cigarette,M2 Sleeveless T,M2 Sunglasses,M2 Cream,M2 Blue,None,M2 Silver Stud,None,83.42063631446733,12
13,M1 Small Grin,M1 Vietnam Jacket,M1 Closed,M1 Dark Brown,M1 Army Green,M1 Baby's Bonnet,None,None,39.073813588269466,13
14,M1 Grin,M1 Toga,M1 Sad,M1 Blue,M1 Gray,M1 Bunny Ears,None,None,41.956873553406304,14
15,M2 Bored Unshaven Cigarette,M2 Smoking Jacket,M2 X Eyes,M2 Brown,M2 Yellow,M2 Fisherman's Hat,None,None,52.413307491047966,15
16,M1 Bored,M1 Toga,M1 Bored,M1 Dmt,M1 Army Green,M1 Bunny Ears,None,None,29.636172586459374,16
17,M1 Rage,M1 Prison Jumpsuit,M1 Coins,M1 White,M1 Gray,M1 Vietnam Era Helmet,None,None,44.63280325535797,17
18,M2 Bored,None,M2 Zombie,M2 Brown,M2 Purple,M2 Cowboy Hat,None,None,38.165131125822896,18
19,M1 Phoneme Wah,None,M1 X Eyes,M1 Golden Brown,M1 Purple,M1 Bowler,None,None,33.174093203542284,19
20,M1 Bored Cigar,M1 Tanktop,M1 3d,M1 Blue,M1 Orange,M1 Seaman's Hat,None,None,43.67066905628963,20
21,M1 Bored,M1 Tweed Suit,M1 Bored,M1 Brown,M1 Gray,M1 Army Hat,None,None,24.194038497455495,21
22,M2 Bored,M2 Bayc T Black,M2 Sleepy,M2 Tan,M2 Blue,M2 Party Hat 2,None,None,50.218439487311706,22
23,M1 Rage,M1 Bone Necklace,M1 Sunglasses,M1 Pink,M1 Orange,M1 Horns,None,None,44.485807931919965,23
24,M1 Dumbfounded,M1 Bone Tee,M1 Sunglasses,M1 Cream,M1 Blue,None,None,None,29.60953082226576,24
25,M1 Phoneme L,None,M1 3d,M1 Dark Brown,M1 Army Green,M1 Sushi Chef Headband,None,None,29.442449538894504,25
26,M1 Bored Unshaven Cigarette,M1 Caveman Pelt,M1 Holographic,M1 Black,M1 Army Green,M1 Bayc Hat Black,None,None,41.47581579896178,26
27,M2 Bored Unshaven Cigar,M2 Bone Necklace,M2 Closed,M2 Golden Brown,M2 Gray,M2 Bayc Hat Black,M2 Gold Stud,None,98.09250750913375,27
28,M1 Dumbfounded,M1 Guayabera,M1 Coins,M1 Black,M1 Orange,M1 Sea Captain's Hat,None,None,38.65956471890301,28
29,M1 Phoneme Vuh,M1 Navy Striped Tee,M1 Cyborg,M1 Brown,M1 Blue,M1 Seaman's Hat,None,None,39.9156794470546,29
30,M1 Phoneme  Ooo,M1 Bone Necklace,M1 Closed,M1 Blue,M1 Blue,M1 Fez,M1 Cross,None,87.40928513614287,30
31,M1 Grin Multicolored,M1 Wool Turtleneck,M1 Bored,M1 Dark Brown,M1 Yellow,M1 Prussian Helmet,None,None,34.266471507262644,31
32,M1 Bored Cigarette,M1 Guayabera,M1 Bloodshot,M1 Tan,M1 Army Green,None,M1 Silver Stud,None,68.08708616107934,32
33,M1 Bored,M1 Smoking Jacket,M1 Bloodshot,M1 Pink,M1 Blue,None,M1 Silver Hoop,None,60.65408294393212,33
34,M1 Bored Unshaven,M1 Hip Hop,M1 Sad,M1 Black,M1 Blue,None,None,None,21.244215942126495,34
35,M1 Bored,M1 Caveman Pelt,M1 Coins,M1 Brown,M1 Purple,M1 Bunny Ears,M1 Silver Hoop,None,71.80516521098654,35
36,M1 Bored Unshaven,M1 Sleeveless T,M1 Sad,M1 Golden Brown,M1 New Punk Blue,M1 Fez,M1 Gold Stud,None,78.85392967528627,36
37,M1 Bored,M1 Sailor Shirt,M1 Hypnotized,M1 Golden Brown,M1 Army Green,M1 Bunny Ears,None,None,34.16292249261277,37
38,M2 Bored Unshaven,M2 Black Holes T,M2 Zombie,M2 Cream,M2 Yellow,M2 Bayc Hat Red,M2 Silver Stud,None,95.96118857590636,38
39,M2 Discomfort,M2 Toga,M2 Bored,M2 Death Bot,M2 Army Green,None,None,None,38.713084014389786,39
40,M1 Bored,M1 Black T,M1 Sleepy,M1 Golden Brown,M1 Gray,M1 Army Hat,M1 Gold Stud,None,74.39417194817872,40
41,M1 Bored,M1 Tie Dye,M1 Hypnotized,M1 Cheetah,M1 Gray,M1 Sushi Chef Headband,None,None,36.665151149979536,41
42,M2 Grin Gold Grill,M2 Sailor Shirt,M2 Bored,M2 Gray,M2 Purple,M2 Seaman's Hat,None,None,51.614871650925885,42
43,M1 Rage,M1 Tuxedo Tee,M1 Holographic,M1 Dmt,M1 Yellow,None,M1 Silver Stud,None,75.09580472990093,43
44,M1 Dumbfounded,M1 Tanktop,M1 Bored,M1 Dark Brown,M1 Gray,M1 Sushi Chef Headband,None,None,32.803209196562484,44
45,M1 Bored Unshaven Pipe,None,M1 Bored,M1 Black,M1 Orange,M1 Seaman's Hat,None,None,23.3655795107419,45
46,M1 Bored Unshaven,M1 Biker Vest,M1 Closed,M1 Golden Brown,M1 New Punk Blue,M1 Halo,M1 Gold Stud,None,78.32944275823463,46
47,M2 Bored Unshaven,M2 Striped Tee,M2 Eyepatch,M2 Black,M2 Orange,None,None,None,36.85561335683445,47
48,M2 Bored Unshaven,None,M2 Bored,M2 Brown,M2 Yellow,M2 Commie Hat,None,None,36.972467391765605,48
49,M2 Bored,M2 Service,M2 Sunglasses,M2 Black,M2 Yellow,None,M2 Silver Stud,None,80.39732492507386,49
50,M1 Bored,M1 Wool Turtleneck,M1 Bloodshot,M1 Cream,M1 Aquamarine,M1 Short Mohawk,None,None,30.721919641765393,50
51,M1 Bored,M1 Pimp Coat,M1 Sad,M1 Black,M1 Orange,M1 Bunny Ears,M1 Diamond Stud,None,75.6502767320015,51
52,M1 Phoneme Wah,M1 Rainbow Suspenders,M1 Bored,M1 Gray,M1 Aquamarine,None,None,None,25.500385962097933,52
53,M1 Tongue Out,M1 Smoking Jacket,M1 Bored,M1 Blue,M1 Orange,None,M1 Silver Hoop,None,66.54036148050734,53
54,M1 Bored Cigarette,M1 Guayabera,M1 Angry,M1 Cream,M1 Yellow,M1 Horns,M1 Silver Stud,None,82.69232301484263,54
55,M1 Rage,M1 Cowboy Shirt,M1 Sad,M1 Cream,M1 Purple,M1 Fisherman's Hat,None,None,42.685143817634426,55
56,M1 Bored,M1 Tanktop,M1 Closed,M1 Tan,M1 Gray,M1 Safari,None,None,32.99698608469585,56
57,M1 Grin Multicolored,M1 Bone Tee,M1 Wide Eyed,M1 Brown,M1 Aquamarine,M1 Bayc Hat Black,M1 Silver Hoop,None,81.33268944913958,57
58,M1 Bored Cigar,M1 Prison Jumpsuit,M1 Coins,M1 White,M1 Yellow,None,None,None,31.67078276992895,58
59,M2 Bored Cigarette,M2 Bone Tee,M2 Bored,M2 Golden Brown,M2 Blue,M2 Fisherman's Hat,None,None,50.66944271733521,59
60,M1 Bored Unshaven,M1 Smoking Jacket,M1 Heart,M1 Zombie,M1 Orange,M1 Faux Hawk,M1 Gold Hoop,None,82.76916527798089,60
61,M1 Bored,None,M1 Bored,M1 Golden Brown,M1 Gray,M1 Ww2 Pilot Helm,None,None,16.861042080768243,61
62,M1 Phoneme Vuh,M1 Tweed Suit,M1 Sleepy,M1 Brown,M1 Purple,M1 Halo,None,None,37.82770857555277,62
63,M2 Bored,M2 Leather Punk Jacket,M2 Sleepy,M2 Trippy,M2 Gray,M2 Seaman's Hat,None,None,50.60596994675467,63
64,M1 Bored Cigarette,M1 Wool Turtleneck,M1 Bored,M1 Gray,M1 New Punk Blue,None,M1 Silver Stud,None,64.18852770298786,64
65,M1 Small Grin,M1 Bayc T Black,M1 Wide Eyed,M1 Red,M1 Aquamarine,M1 Bayc Flipped Brim,M1 Gold Stud,None,87.0919247111247,65
66,M2 Bored Unshaven Cigarette,None,M2 Zombie,M2 Pink,M2 Purple,M2 Commie Hat,None,None,42.06047812298933,66
67,M2 Bored Kazoo,M2 Biker Vest,M2 Sleepy,M2 Gray,M2 Purple,M2 Prussian Helmet,None,None,53.57588995147039,67
68,M1 Bored Cigarette,M1 Biker Vest,M1 Crazy,M1 Brown,M1 Army Green,M1 Seaman's Hat,M1 Silver Hoop,None,78.51985592716386,68
69,M1 Bored Cigarette,None,M1 Bloodshot,M1 Dark Brown,M1 Yellow,M1 Bayc Hat Red,None,None,25.129511728235766,69
70,M1 Bored Cigarette,M1 Puffy Vest,M1 Bored,M1 Dark Brown,M1 Gray,M1 Police Motorcycle Helmet,None,None,32.27201781465917,70
71,M1 Bored Unshaven Cigarette,M1 Caveman Pelt,M1 Bloodshot,M1 Black,M1 Gray,M1 Bowler,None,None,38.03483163801211,71
72,M1 Grin,None,M1 Closed,M1 Red,M1 Aquamarine,None,None,None,16.71749861453369,72
73,M1 Bored Unshaven Cigar,M1 Smoking Jacket,M1 Angry,M1 White,M1 Blue,M1 Bunny Ears,M1 Cross,None,90.73988602176934,73
74,M2 Bored Unshaven,M2 Striped Tee,M2 Bloodshot,M2 Dark Brown,M2 Purple,M2 Seaman's Hat,None,None,49.36987516451442,74
75,M1 Bored,M1 Vietnam Jacket,M1 Bloodshot,M1 Cream,M1 Orange,M1 Commie Hat,None,None,31.005887025558028,75
76,M1 Bored Pizza,M1 Toga,M1 Bloodshot,M1 Cream,M1 Yellow,None,M1 Silver Stud,None,70.69616754137049,76
77,M1 Bored Unshaven Cigarette,M1 Bone Tee,M1 Wide Eyed,M1 Red,M1 Aquamarine,M1 Party Hat 1,None,None,43.28648585781209,77
78,M1 Phoneme Wah,M1 Bayc T Red,M1 Eyepatch,M1 Blue,M1 Gray,M1 Commie Hat,None,None,45.514754960118864,78
79,M1 Dumbfounded,M1 Leather Punk Jacket,M1 Coins,M1 Golden Brown,M1 Gray,M1 Cowboy Hat,None,None,41.388950959274474,79
80,M1 Bored Cigar,None,M1 Sleepy,M1 Black,M1 Aquamarine,M1 S&m Hat,None,None,28.79771194334545,80
81,M1 Phoneme Vuh,M1 Service,M1 Blindfold,M1 Brown,M1 Orange,None,None,None,27.792118061586024,81
82,M1 Bored Unshaven,M1 Bayc T Red,M1 Bored,M1 Brown,M1 Aquamarine,None,None,None,14.649475499491372,82
83,M1 Rage,M1 Black T,M1 Bloodshot,M1 Brown,M1 Purple,None,None,None,24.06049137078171,83
84,M1 Phoneme Oh,M1 Stunt Jacket,M1 Closed,M1 Gray,M1 Orange,M1 Vietnam Era Helmet,M1 Gold Hoop,None,86.56410888114617,84
85,M2 Jovial,M2 Caveman Pelt,M2 Scumbag,M2 Dark Brown,M2 Gray,M2 Girl's Hair Short,None,None,53.024664562936884,85
86,M2 Grin,M2 Space Suit,M2 Wide Eyed,M2 Gray,M2 Gray,M2 S&m Hat,None,None,53.0146411294871,86
87,M1 Bored Unshaven Cigarette,M1 Guayabera,M1 Bored,M1 Gray,M1 Purple,M1 Beanie,None,None,35.208568270408264,87
88,M1 Bored,M1 Striped Tee,M1 Crazy,M1 Blue,M1 Orange,M1 Vietnam Era Helmet,None,None,33.581631605809534,88
89,M1 Phoneme  Ooo,M1 Sailor Shirt,M1 Closed,M1 White,M1 Orange,M1 Short Mohawk,None,None,42.621682020339414,89
90,M1 Bored,M1 Vietnam Jacket,M1 Bored,M1 Black,M1 Aquamarine,M1 Faux Hawk,M1 Cross,None,69.73060498298955,90
91,M1 Bored,M1 Prom Dress,M1 Sad,M1 Death Bot,M1 Yellow,M1 Girl's Hair Pink,None,None,36.270939888310195,91
92,M2 Bored Unshaven,M2 Puffy Vest,M2 Sad,M2 Blue,M2 Army Green,None,None,None,37.87788541215371,92
93,M1 Bored Unshaven,M1 Toga,M1 Scumbag,M1 Tan,M1 Gray,None,None,None,25.607276062564942,93
94,M2 Bored,None,M2 Bored,M2 Dark Brown,M2 Blue,M2 Prussian Helmet,None,None,36.40118519172212,94
95,M2 Phoneme L,M2 Striped Tee,M2 Coins,M2 Dark Brown,M2 Gray,M2 Sushi Chef Headband,M2 Silver Stud,None,96.65603476547301,95
96,M2 Discomfort,M2 Sleeveless Logo T,M2 Crazy,M2 Zombie,M2 New Punk Blue,M2 Bowler,M2 Gold Stud,None,99.27842579860344,96
97,M1 Bored,M1 Biker Vest,M1 Crazy,M1 Black,M1 New Punk Blue,M1 Girl's Hair Short,None,None,31.176280419787116,97
98,M1 Bored Unshaven Dagger,M1 Guayabera,M1 Eyepatch,M1 Dark Brown,M1 Blue,M1 Beanie,None,None,39.95242609222587,98
99,M1 Rage,M1 Space Suit,M1 Sunglasses,M1 Gray,M1 Orange,M1 Trippy Captain's Hat,None,None,45.82210035314418,99
100,M1 Bored Unshaven Cigarette,None,M1 Sunglasses,M1 Dark Brown,M1 Purple,M1 Sea Captain's Hat,None,None,28.4302100047347,100
101,M2 Phoneme Wah,M2 Caveman Pelt,M2 Bored,M2 Black,M2 Yellow,M2 Bayc Hat Red,None,None,51.01019812571113,101
102,M2 Bored Unshaven,M2 Guayabera,M2 Crazy,M2 Pink,M2 Orange,M2 Beanie,None,None,51.3776832616896,102
103,M1 Dumbfounded,None,M1 Bloodshot,M1 Blue,M1 Purple,M1 Seaman's Hat,None,None,29.07832195147744,103
104,M1 Bored,M1 Lumberjack Shirt,M1 Bloodshot,M1 Dark Brown,M1 Gray,M1 Ww2 Pilot Helm,None,None,28.797607519726597,104
105,M2 Bored,M2 Bone Necklace,M2 Scumbag,M2 Cream,M2 Orange,M2 Girl's Hair Short,M2 Diamond Stud,None,96.47231234450696,105
106,M1 Bored Unshaven Cigar,M1 Guayabera,M1 Crazy,M1 Black,M1 Orange,M1 S&m Hat,None,None,41.3689092363137,106
107,M1 Bored,None,M1 Closed,M1 Dmt,M1 Yellow,M1 Prussian Helmet,None,None,23.84000053069251,107
108,M1 Grin,None,M1 Sunglasses,M1 Cream,M1 Purple,M1 Beanie,None,None,29.17852730566559,108
109,M1 Rage,M1 Hip Hop,M1 Coins,M1 Noise,M1 Purple,M1 Cowboy Hat,None,None,45.25083718598398,109
110,M1 Grin,M1 Lab Coat,M1 Sleepy,M1 Robot,M1 Gray,M1 Horns,None,None,41.90676650395018,110
111,M1 Dumbfounded,M1 Cowboy Shirt,M1 Closed,M1 Blue,M1 Blue,M1 Laurel Wreath,M1 Silver Hoop,None,84.51964055680241,111
112,M2 Bored Unshaven,M2 Work Vest,M2 Sad,M2 Blue,M2 Blue,M2 Short Mohawk,None,None,51.39772446932722,112
113,M1 Bored,M1 Bayc T Black,M1 X Eyes,M1 Pink,M1 Orange,M1 Short Mohawk,None,None,34.717496341716426,113
114,M1 Bored Unshaven Party Horn,M1 Stunt Jacket,M1 Eyepatch,M1 Golden Brown,M1 Army Green,M1 Spinner Hat,None,None,44.85662626758181,114
115,M1 Bored Dagger,None,M1 Bloodshot,M1 Pink,M1 Gray,M1 Fisherman's Hat,None,None,31.961401464820703,115
116,M1 Bored Unshaven,M1 Rainbow Suspenders,M1 Robot,M1 Zombie,M1 Blue,M1 Trippy Captain's Hat,M1 Diamond Stud,None,85.09424995484494,116
117,M2 Bored Unshaven,M2 Tuxedo Tee,M2 Angry,M2 Dark Brown,M2 Orange,M2 Party Hat 2,None,None,50.69282518453555,117
118,M1 Phoneme L,None,M1 Bored,M1 Cheetah,M1 Purple,None,None,None,14.398971972462615,118
119,M2 Bored,None,M2 Scumbag,M2 Cream,M2 Blue,None,None,None,25.640713170114964,119
120,M1 Grin,M1 Black T,M1 Coins,M1 Dark Brown,M1 New Punk Blue,M1 Halo,M1 Diamond Stud,None,81.1756830374796,120
121,M1 Bored,M1 Black T,M1 Heart,M1 Dmt,M1 Purple,M1 Sea Captain's Hat,None,None,34.700796563726314,121
122,M2 Bored Party Horn,M2 Bone Necklace,M2 Bored,M2 Cream,M2 Purple,M2 Bayc Hat Black,None,None,51.83202140519795,122
123,M1 Bored,M1 Sailor Shirt,M1 Scumbag,M1 Brown,M1 Yellow,M1 Irish Boho,M1 Silver Stud,None,72.44658795263797,123
124,M1 Bored Unshaven Cigarette,M1 Sleeveless Logo T,M1 Heart,M1 Tan,M1 Yellow,M1 Vietnam Era Helmet,None,None,43.12945509924525,124
125,M2 Jovial,M2 Bandolier,M2 Sleepy,M2 Dark Brown,M2 Orange,M2 Bunny Ears,None,None,52.11264307258661,125
126,M1 Bored,M1 Puffy Vest,M1 Sleepy,M1 Black,M1 New Punk Blue,M1 Short Mohawk,M1 Gold Stud,None,72.4732995048212,126
127,M1 Grin Multicolored,M1 Tanktop,M1 Wide Eyed,M1 Dark Brown,M1 Aquamarine,M1 Stuntman Helmet,None,None,40.192965685916874,127
128,M2 Bored,M2 Navy Striped Tee,M2 Bloodshot,M2 Dark Brown,M2 Blue,M2 Cowboy Hat,None,None,48.484574484423426,128
129,M2 Grin,M2 Admirals Coat,M2 Crazy,M2 Brown,M2 New Punk Blue,M2 Police Motorcycle Helmet,None,None,52.393272626953845,129
130,M1 Bored,M1 Smoking Jacket,M1 3d,M1 Dark Brown,M1 New Punk Blue,M1 Cowboy Hat,None,None,29.435724497442873,130
131,M1 Grin Multicolored,M1 Tanktop,M1 Bored,M1 Brown,M1 Orange,M1 Army Hat,None,None,33.919029466187226,131
132,M2 Bored,M2 Sailor Shirt,M2 Robot,M2 Dark Brown,M2 Orange,M2 Fez,M2 Gold Stud,None,94.28084406754637,132
133,M2 Small Grin,M2 Lumberjack Shirt,M2 Wide Eyed,M2 Dark Brown,M2 New Punk Blue,M2 Fez,None,None,52.19282265095351,133
134,M1 Dumbfounded,M1 Black T,M1 Bloodshot,M1 Golden Brown,M1 New Punk Blue,M1 Short Mohawk,None,None,38.535944832587504,134
135,M2 Grin,M2 Guayabera,M2 Sleepy,M2 Black,M2 Gray,M2 Fez,M2 Silver Stud,None,95.6170972242441,135
136,M2 Bored Unshaven,M2 Puffy Vest,M2 Blindfold,M2 Golden Brown,M2 Gray,M2 Party Hat 1,None,None,51.81531939808322,136
137,M1 Bored Unshaven,M1 Sleeveless T,M1 Holographic,M1 Black,M1 Orange,M1 Fez,M1 Gold Stud,None,78.26932839198986,137
138,M1 Grin,None,M1 Sad,M1 Black,M1 Orange,M1 Safari,None,None,27.33442271165705,138
139,M1 Bored,M1 Service,M1 Bored,M1 Tan,M1 Yellow,None,None,None,14.559236820835963,139
140,M1 Small Grin,None,M1 Bored,M1 Black,M1 Aquamarine,M1 Beanie,None,None,21.74529432845348,140
141,M2 Bored,None,M2 Zombie,M2 Brown,M2 Gray,M2 Sea Captain's Hat,None,None,38.335511488571434,141
142,M1 Bored,M1 Leather Jacket,M1 Holographic,M1 Black,M1 New Punk Blue,M1 Seaman's Hat,None,None,31.376727823395672,142
143,M2 Tongue Out,None,M2 Sunglasses,M2 Red,M2 New Punk Blue,None,M2 Silver Hoop,None,73.12820233019436,143
144,M1 Bored,None,M1 3d,M1 Death Bot,M1 Aquamarine,None,None,None,11.692947109057979,144
145,M2 Bored Unshaven,M2 Bayc T Black,M2 Coins,M2 Brown,M2 Orange,None,M2 Silver Stud,None,80.93852825266306,145
146,M1 Bored Unshaven Cigarette,M1 Black T,M1 Sleepy,M1 Dark Brown,M1 Yellow,M1 Seaman's Hat,M1 Silver Hoop,None,77.2637751472624,146
147,M1 Bored Cigarette,None,M1 3d,M1 Black,M1 Army Green,M1 Laurel Wreath,M1 Gold Hoop,None,71.92548190097152,147
148,M1 Bored,M1 Wool Turtleneck,M1 Sunglasses,M1 Blue,M1 Purple,M1 Fez,M1 Silver Hoop,None,75.35294019751032,148
149,M2 Bored Unshaven,M2 Smoking Jacket,M2 Sunglasses,M2 Black,M2 Blue,M2 Spinner Hat,M2 Silver Hoop,None,95.3531885372557,149
150,M1 Bored Unshaven Cigarette,M1 Work Vest,M1 Bloodshot,M1 Robot,M1 Aquamarine,M1 Seaman's Hat,None,None,41.38225575334365,150
151,M1 Phoneme  Ooo,M1 Caveman Pelt,M1 Sad,M1 Brown,M1 Aquamarine,M1 Bunny Ears,None,None,39.9023247006237,151
152,M1 Bored,M1 Navy Striped Tee,M1 Sleepy,M1 Brown,M1 Army Green,None,M1 Diamond Stud,None,59.81891657642628,152
153,M1 Bored,M1 Cowboy Shirt,M1 Bored,M1 White,M1 Aquamarine,M1 Army Hat,None,None,28.543747301037172,153
154,M1 Bored,None,M1 Closed,M1 Dark Brown,M1 Gray,None,M1 Gold Stud,None,48.87483769295752,154
155,M2 Bored Unshaven,M2 Tie Dye,M2 Sad,M2 Gray,M2 Gray,M2 Prussian Helmet,None,None,51.86542233283886,155
156,M2 Bored Cigarette,M2 Wool Turtleneck,M2 Bored,M2 Cheetah,M2 Gray,M2 Commie Hat,None,None,50.99014817250461,156
157,M1 Bored Cigarette,None,M1 Closed,M1 Brown,M1 New Punk Blue,M1 Stuntman Helmet,None,None,26.318826829948534,157
158,M1 Jovial,M1 Tuxedo Tee,M1 Wide Eyed,M1 Golden Brown,M1 Gray,M1 Army Hat,None,None,42.123918143516484,158
159,M1 Bored Unshaven,M1 Toga,M1 Sleepy,M1 Dark Brown,M1 Army Green,M1 Halo,M1 Silver Stud,None,73.47212959592567,159
160,M2 Bored Unshaven,M2 Tuxedo Tee,M2 Robot,M2 Brown,M2 Yellow,M2 Spinner Hat,None,None,50.5291329979216,160
161,M1 Bored,None,M1 Bored,M1 Golden Brown,M1 Yellow,None,M1 Gold Hoop,None,46.152131738362904,161
162,M1 Bored,M1 Stunt Jacket,M1 Bloodshot,M1 Pink,M1 Blue,M1 Sea Captain's Hat,None,None,32.06490709714605,162
163,M1 Bored,M1 Tweed Suit,M1 Angry,M1 Pink,M1 New Punk Blue,M1 Seaman's Hat,M1 Gold Stud,None,77.44419163054769,163
164,M2 Bored Cigarette,M2 Sailor Shirt,M2 Heart,M2 Noise,M2 Gray,M2 Fisherman's Hat,None,None,53.221763506256906,164
165,M1 Phoneme L,M1 Black T,M1 Wide Eyed,M1 Brown,M1 Orange,M1 Prussian Helmet,None,None,39.431277004599636,165
166,M1 Bored,M1 Bandolier,M1 Heart,M1 Cream,M1 Gray,M1 Beanie,None,None,32.64619318384087,166
167,M1 Bored,None,M1 Sad,M1 Dark Brown,M1 Aquamarine,M1 Beanie,None,None,17.091562014413956,167
168,M2 Bored Unshaven,M2 Sleeveless Logo T,M2 Zombie,M2 Brown,M2 Gray,M2 Beanie,M2 Silver Stud,None,94.77191633978698,168
169,M1 Jovial,M1 Sleeveless T,M1 Closed,M1 Golden Brown,M1 Yellow,M1 Fez,M1 Cross,None,85.18443016262663,169
170,M1 Phoneme Oh,M1 Bandolier,M1 Hypnotized,M1 White,M1 New Punk Blue,M1 Cowboy Hat,None,None,45.671764971719355,170
171,M2 Bored Unshaven Pipe,M2 Tuxedo Tee,M2 Bored,M2 Red,M2 Yellow,M2 Beanie,None,None,51.39773492841599,171
172,M1 Tongue Out,M1 Toga,M1 Coins,M1 Blue,M1 Army Green,None,M1 Silver Hoop,None,72.82414538624636,172
173,M1 Tongue Out,M1 Bandolier,M1 Bored,M1 Black,M1 Army Green,M1 Seaman's Hat,None,None,33.95577371045949,173
174,M1 Grin,M1 Caveman Pelt,M1 Bloodshot,M1 Brown,M1 New Punk Blue,M1 Seaman's Hat,M1 Gold Stud,None,78.67685633685792,174
175,M1 Grin,M1 Work Vest,M1 Blindfold,M1 Dmt,M1 Army Green,M1 Bayc Flipped Brim,None,None,44.335470493144896,175
176,M1 Bored Unshaven Cigar,M1 Lumberjack Shirt,M1 Bored,M1 Brown,M1 Gray,M1 Fisherman's Hat,None,None,34.22972966388938,176
177,M1 Bored Unshaven,M1 Tie Dye,M1 Eyepatch,M1 Brown,M1 Yellow,None,None,None,21.247557029633224,177
178,M2 Phoneme L,M2 Hawaiian,M2 Heart,M2 Dark Brown,M2 New Punk Blue,M2 Baby's Bonnet,None,None,52.617102841029904,178
179,M1 Bored Cigarette,M1 Biker Vest,M1 Zombie,M1 Brown,M1 Yellow,M1 Horns,M1 Gold Stud,None,81.46631939387555,179
180,M2 Grin,M2 Leather Jacket,M2 Blue Beams,M2 Dark Brown,M2 Purple,M2 Seaman's Hat,M2 Diamond Stud,None,97.37761633965138,180
181,M2 Bored,M2 Lumberjack Shirt,M2 Crazy,M2 Robot,M2 Purple,None,None,None,37.37008832820019,181
182,M2 Bored,M2 Black T,M2 Bored,M2 Black,M2 Yellow,M2 Bowler,None,None,47.50907559346898,182
183,M1 Phoneme  Ooo,M1 Lumberjack Shirt,M1 Bloodshot,M1 Black,M1 Blue,M1 Beanie,None,None,36.905655078802994,183
184,M1 Bored,M1 Black T,M1 Sleepy,M1 Dark Brown,M1 Yellow,M1 Party Hat 2,None,None,28.229702072620594,184
185,M2 Bored Unshaven,None,M2 Blindfold,M2 Robot,M2 Blue,M2 Bowler,None,None,40.774274919632255,185
186,M1 Bored Unshaven Kazoo,M1 Navy Striped Tee,M1 Closed,M1 Brown,M1 Aquamarine,M1 Halo,M1 Gold Stud,None,82.20793034522369,186
187,M1 Phoneme Wah,M1 Vietnam Jacket,M1 Eyepatch,M1 Brown,M1 Blue,M1 Sushi Chef Headband,None,None,41.275360165107486,187
188,M2 Bored,M2 Bayc T Red,M2 Bloodshot,M2 Cheetah,M2 Purple,M2 Horns,None,None,50.195051705242996,188
189,M1 Bored Unshaven,None,M1 Bloodshot,M1 Cream,M1 New Punk Blue,M1 Spinner Hat,None,None,24.651771569320662,189
190,M1 Bored Unshaven Cigar,M1 Tanktop,M1 Bored,M1 Blue,M1 Orange,M1 Sea Captain's Hat,None,None,38.251995109735866,190
191,M1 Grin,None,M1 Blindfold,M1 Brown,M1 Blue,M1 Sea Captain's Hat,M1 Silver Hoop,None,69.22289054250786,191
192,M1 Bored Cigar,M1 Biker Vest,M1 Wide Eyed,M1 Red,M1 Purple,M1 Beanie,None,None,42.34774321365376,192
193,M2 Grin Multicolored,M2 Bayc T Red,M2 Sleepy,M2 Dark Brown,M2 New Punk Blue,M2 Girl's Hair Short,None,None,52.31642950578846,193
194,M1 Small Grin,M1 Leather Jacket,M1 Closed,M1 Cream,M1 New Punk Blue,None,M1 Gold Hoop,None,72.72727117382814,194
