,Number,Drip Grade,Core,Drip Score,Neck,Hair,Shirt,Eye Color,Eyes,Race,Background,Hat,Face Decoration,Glasses,Necklace,Earring,Rarity score,Token Id
44,44,c-drip,gyaru,29,None,braid purple,im cute im punk shirt,aqua,dilated,clay,sunset,None,star heart tattoo,None,None,cherry earring,36.722739549786645,44
45,45,c-drip,hypebeast,26,None,og black,bowling shirt oriental,brown,sleepy,clay,xp,None,None,None,cherry necklace,None,26.111477799257806,45
46,46,normal,hypebeast,21,None,bowl brown,matagonia pullover,green,sparkle,clay,clouds,None,None,None,None,None,2.795897328634563,46
47,47,b-drip,lolita,30,None,bowl green,peter pan collar shirt,brown,heart eyes,pink,xp,None,None,None,None,heart pearls earring,25.85880423194945,47
48,48,a-drip,gyaru,38,None,og blonde,active dissident shirt,green,crying,tan,bushland,rhinestone skull cap,None,None,None,None,19.036275962856614,48
49,49,ss-drip,lolita-harajuku,52,None,tuft blue,cardigan tee,blue,crying,clay,sunset,bear hat,temple cross tattoo,harajuku glasses,evil eye necklace,bar piercings,82.51938941367185,49
50,50,ss-drip,prep,45,None,bowl blue,sweater and tie,brown,closed,pink,clouds,plaid bonnet,None,moakleys,None,None,37.65778318645717,50
51,51,b-drip,prep-hypebeast,30,None,og black,sweater and tie,lilac,sparkle,tan,streets,treeprint bucket,None,None,None,None,23.864280846015973,51
52,52,ss-drip,prep-hypebeast,53,None,short orange,maf rothko,brown,sleepy,pink,tennis,bean hat,None,mottega sunglasses blue,None,burger earring,52.529194150479555,52
53,53,normal,harajuku-gyaru,25,None,tuft blue,blue ribbon tank,green,sleepy,clay,casino,bear ears,None,None,girl necklace,dual rings silver,44.60699511894069,53
54,54,ss-drip,hypebeast-gyaru,57,anime chest tattoo,tuft purple,malenciaga neon,blue,dilated,pink,sunset,denim fish cap,nose ring gold,None,None,bar piercings,63.75121422184571,54
55,55,a-drip,lolita-prep,38,None,tuft dark,sheep pullover,brown,sleepy,alien,train,fuzz earmuffs,None,None,None,None,25.323952958217582,55
