,head,background,body,hair,face,piercing,Rarity score,Token Id
71,pink,green,purple chain,pink long,designer glasses,None,4.307762177700411,71
72,gradient 2,purple,yellow puffer,purple puffballs,3d glasses,None,12.744132944490111,72
73,green,blue,blue fleece,blue afro,aviators with cig,None,7.552488917742414,73
74,med,grey,yellow turtleneck,blue afro,pink beard,None,7.843393627343991,74
75,green,gradient 3,None,None,whale,None,10.964844561405206,75
76,orange,light blue,pink and white jacket,pink toque,grumpy,None,3.0321706789724434,76
77,pale,gradient 1,green hoodie,green puffballs,default,None,2.752508670123168,77
78,med,orange,pink and white jacket,blue mohawk,designer glasses,hoop,72.5891372622843,78
79,purple,green,pink hoodie,purple long,content,None,2.853125626589244,79
80,orange,purple,yellow puffer,blue brushcut,neutral note,None,7.395850934831305,80
81,gradient 1,blue,yellow turtleneck,holographic brushcut,skeleton,None,15.530202979357844,81
82,green,sky,pink hoodie,helmet,straw,None,12.5651416063949,82
83,pink,purple,orange collar,green brushcut,surprised,hoop,73.22692853645125,83
84,yellow,gradient 2,green hoodie,pink long,pink beard,None,9.2644363609246,84
85,tan,green,pink and green jacket,green brushcut,mustache,pearl,74.71487916497416,85
86,gradient 1,green,pink sweater with satchel,brown mullet,bandana,None,10.819690985344888,86
87,pale,pink,blue fleece,purple alfalfa,bandana,None,6.500762202754517,87
88,med,sky,combo 2 puffer,blue nerd,surprised,None,7.910551046782917,88
89,yellow,gradient 4,pink puffer,holographic afro,bandana,None,8.29101240727314,89
90,med,orange,white sweater,green puffballs,sunglasses,None,1.2979023319017002,90
91,pale,light blue,navy sweater,green puffballs,designer glasses,None,2.551074453030542,91
92,green,purple,navy sweater,white bucket cap,straw,None,6.019625694201724,92
93,gradient 2,green,blue and yellow jacket,purple long,sunglasses,None,7.384678733305718,93
94,pale,orange,orange collar,blue nerd,default,None,1.958054793561732,94
95,pale,gradient 4,pink hoodie,helmet,neutral note,None,10.752589515122082,95
96,orange,yellow,blue blazer,pink headband,surprised,hoop,75.66591619306728,96
97,yellow,light blue,purple sweater with satchel,green bowlcut,default,pearl,72.45485599502275,97
98,tan,green,blue fleece,purple puffballs,content,None,2.0139952545365736,98
99,med,blue,pink puffer,blue messy,surprised,None,2.6405572603735474,99
100,orange,pink,blue backpack,blue brushcut,designer glasses,None,2.4727079056976566,100
101,blue,iridescent,purple chain,yellow bowlcut,aviators with mustache,None,12.430917402708433,101
102,gradient 1,purple,yellow turtleneck,green puffballs,sunglasses,pearl,77.6574081540054,102
103,orange,blue,white collar,pink long,sad note,None,8.190263410945173,103
104,tan,gradient 3,blue fleece,pink,rainbow puke,None,9.376331821954917,104
105,med,yellow,pink and white jacket,shaved,designer glasses,None,2.2042158661783295,105
106,pink,gradient 3,combo 2 puffer,yellow headband,content,airpod,79.9062378631649,106
107,yellow,gradient 4,green hoodie,pink headband,default,None,2.741287234102173,107
108,orange,pink,blue and yellow jacket,yellow headband,content,None,3.199948410374741,108
109,gradient 2,gradient 3,blue and yellow jacket,cowboy,default,None,9.499418510836286,109
110,blue,purple,pink fleece,yellow headband,3d glasses,None,6.825246176398343,110
111,blue,gradient 2,light blue puffer,pink bucket cap,blue beard,None,8.66027135285126,111
112,devil,pink,pink and white jacket,None,designer glasses,None,12.206981012834932,112
113,pale,gradient 1,pink hoodie,blue mohawk,bandana,hoop,77.33292865444076,113
114,pink,light blue,white collar,purple brushcut,surprised,None,2.7971840467840936,114
115,purple,pink,green hoodie,purple alfalfa,bandana,hoop,77.15396752352187,115
116,orange,gradient 2,white turtleneck,blue afro,designer glasses,airpod,79.6488754969506,116
117,green,gradient 2,orange collar,purple puffballs,cobain glasses,None,5.751079940394406,117
118,pink,light blue,blue turtleneck,blue mohawk,green beard,None,7.843436148112318,118
