,Hats,Mouth,Eyes,Clothes,Body,Background,1 of 1,Rarity score,Token Id
1722,Fire,Oh No,Adorable,Dark Jacket,Femi,Red,None,16.566063385377035,1722
1723,Yellow Cap,Black Beard,Night Owl,White Tank,Lochias,Yellow,None,26.90705506349686,1723
1724,Party Ears,Oh No,Adorable,Rainbow,Femi,Blue,None,15.931959409454995,1724
1725,Come In Peace,Cig,Adorable,Old School,Femi,Baby Blue,None,16.59780293687606,1725
1726,Bonzai,Wow,Dazed,Red Running Jacket,Lochias,Pink,None,16.687581221743404,1726
1727,Ski Mask,Wow,Dazed,Long Sleeve Chain,Femi,Blue,None,17.06806633166429,1727
1728,Snake Fren,Friendly,Evil fren,White Tux,Xenos,Dark Mint,None,17.247894012903302,1728
1729,Sailor,Cowboy,Gummy Worms,Office Hipster,OLU,Pink,None,23.93738339192715,1729
1730,Knife,Sad,Evil fren,Office,Femi,Red,None,20.30199767124355,1730
1731,Ice Cream,Sad,Happy,Cowboy,Femi,Mint,None,8.518196158804459,1731
1732,Claw Machine,Sad,Oldies,Scarf Orange Blue,Femi,Baby Blue,None,17.739152573738714,1732
1733,Red Beanie,Aw man,Angry,Goth Tee,Xenos,Baby Blue,None,13.786731245818418,1733
1734,Red Beanie,Sad,Gummy Worms,Space Suit,Femi,Blue,None,17.65462440199019,1734
1735,Ice Cream,Baby Tooth,xxx Flat,Hi Tee,Lochias,Green Camo,None,23.308581847799207,1735
1736,Knife,Goo,xxx Flat,Ninja Knight,Xenos,Pink,None,4.195788361647878,1736
1737,Sunflower,Drugz,Dazed,Blue GM Hoodie,Xenos,Baby Blue,None,14.056215132669605,1737
1738,Ice Cream,Cowboy,Peek a Boo,Cowboy,Lochias,Yellow,None,16.65573226814036,1738
1739,Baseball Helmet,Brown Beard,Patches,Dark Fren Tee,Xenos,Pink,None,12.338858915431075,1739
1740,Park Hat,Meh,Dazed,Dark Fren Tee,Femi,Red Camo,None,19.097205928989077,1740
1741,Ninja Master,Meh,Hive,White Fren Tee,Xenos,Tan,None,15.424830544860733,1741
1742,Ice Cube,Oh No,Night Owl,Prison,OLU,Mint,None,24.539787455645428,1742
1743,Cowboy Hat,Sad,Peaceful,Cowboy,Xenos,Dark Mint,None,8.724429251854932,1743
1744,Bonzai,Cowboy,Adorable,BioHazard,Xenos,Yellow,None,10.066630798923551,1744
1745,Ninja Blue,Cowboy,Adorable,Fuzzy Rainbow Tee,Xenos,Red,None,10.040200551903627,1745
1746,Space Helmet,Wow,Fren,Office Hipster,Zombie Lochias,Orange,None,35.77897313384471,1746
1747,Ski Mask,Friendly,Gummy Worms,Robe,Xenos,Yellow,None,14.706179900557276,1747
1748,Ninja Blue,Meh,Pacman,Hi Tee,Xenos,Dark Mint,None,13.533082785368869,1748
1749,Park Hat,Brown Beard,xxx Flat,Dark Jacket,Xenos,Orange,None,12.75102227087254,1749
1750,Armor,Friendly,Adorable,Long Sleeve Chain,Femi,Pink,None,12.328163678604216,1750
1751,Park Hat,Sad,Dazed,Office,Xenos,Tan,None,9.622693539702459,1751
1752,Mustard Beanie,Baby Tooth,Happy,Blue Tank,Femi,Mint,None,11.22902792027405,1752
1753,Baseball Helmet,Aw man,Patches,Mint Sweater,Femi,Pink,None,15.519833574702101,1753
1754,Blue Beanie,Brown Beard,Night Owl,Chain White Tee,Xenos,Mint,None,10.124748806776559,1754
1755,Horns,Aw man,Happy,Ninja Knight,Lochias,Blue,None,23.430128219193314,1755
1756,Ninja Blue,Baby Tooth,xxx Flat,Poop,Lochias,Mint,None,15.36651964150591,1756
1757,Snake Fren,Meh,Pacman,White Purple Jacket,Lochias,Baby Blue,None,25.247858603449693,1757
1758,Bamboo Cap,Wow,Adorable,Hi Tee,Femi,Red,None,16.544940328569975,1758
1759,Bamboo Cap,Gangzter,Peek a Boo,Cowboy,Lochias,Tan,None,16.750893316830187,1759
1760,Undies,Cowboy,xxx Flat,Chain Brown Tee,Femi,Dark Mint,None,15.35072491006628,1760
1761,Party Ears,Sucker,Dazed,Pilot,Lochias,Blue,None,23.815889868390755,1761
1762,Snake Fren,Cowboy,xxx Future,Dark Fren Tee,Xenos,Mint,None,7.049302766215798,1762
1763,Claw Machine,Sad,Gummy Worms,Yellow Jacket,Xenos,Orange,None,12.12746766652846,1763
1764,Ice Cream,Monster,Peek a Boo,Black Tux,Femi,Yellow,None,19.366691927525697,1764
1765,Baseball Helmet,Oh No,Peaceful,White Yellow Overalls,Lochias,Pink,None,18.9861714064901,1765
1766,Ninja Yellow,Cig,Angry,Cowboy,Xenos,Mint,None,5.823339870911372,1766
1767,Mustard Beanie,Brown Beard,Peaceful,Old School,Xenos,Red,None,14.896416377603499,1767
1768,Toad,Cowboy,Ghostie,Hi Tee,Lochias,Yellow,None,25.691688050694868,1768
1769,Sailor,Abduction,Dazed,Waldo,OLU,Baby Blue,None,29.675904946497173,1769
1770,Bonzai,Aw man,xxx Future,Tan Dice Hoodie,Xenos,Mint,None,7.302957040985479,1770
1771,Army Helmet,Goo,Hive,Green Jacket,Zombie Lochias,Blue,None,34.95466861601197,1771
1772,Sailor,Monster,xxx Flat,Abstract Hoodie,Lochias,Dark Mint,None,25.62304286701221,1772
1773,Party Ears,Friendly,xxx Future,Overalls Blue Yellow,Femi,Blue,None,18.61106007449625,1773
1774,Biker Helmet,Abduction,Gummy Worms,White Yellow Overalls,Xenos,Tree Green,None,20.693174847119835,1774
1775,Beanie Spinner,Goo,Dazed,Office,Xenos,Pink,None,3.8205760850841854,1775
1776,Bonzai,Gangzter,Fren,White Purple Jacket,Femi,Pink,None,12.196036221286672,1776
1777,Clown Nose Ears,Cig,Adorable,Rainbow,Xenos,Pink,None,6.0082982275857555,1777
1778,Bonzai,Sad,Dazed,Armor,Lochias,Yellow,None,20.629533502958253,1778
1779,Black Cowboy Hat,Friendly,Angry,Long Sleeve Chain,OLU,Pink,None,26.357537391614898,1779
1780,Baseball Helmet,Meh,Adorable,Dotted Tee,Femi,Mint,None,10.415215168681277,1780
1781,Ninja Yellow,Wow,xxx Flat,White GM Sweater,Xenos,Blue,None,11.186849976759786,1781
1782,Black Cowboy Hat,Wow,Luv,Goth Tee,Femi,Pink,None,14.695496819441548,1782
1783,Mustard Beanie,Gangzter,Peek a Boo,Cowboy,Xenos,Pink,None,0.010581083811869584,1783
1784,Beanie Spinner,Cowboy,Fren,Cowboy,Lochias,Pink,None,13.754763916298756,1784
1785,Ice Cube,Braces,Peek a Boo,White Yellow Overalls,Femi,Dark Mint,None,20.196322659861593,1785
1786,Baseball Helmet,Cowboy,Peek a Boo,Blue Striped Hoodie,Xenos,Pink,None,4.0636720024977615,1786
1787,Blue Beanie,Baby Tooth,Peek a Boo,Dark Green Hoodie,Xenos,Red Camo,None,12.513220860889831,1787
1788,Mustard Beanie,Meh,Gummy Worms,Red Tank,Femi,Pink,None,12.787858144353232,1788
1789,Ninja Yellow,Aw man,Peek a Boo,Black GM Hoodie,Xenos,Orange,None,10.64789753398045,1789
1790,Mustard Beanie,Goo,xxx Future,Fuzzy Coat,Xenos,Orange,None,10.373113859018451,1790
1791,Lil Fren,Sad,xxx Flat,Abstract Hoodie,Xenos,Yellow,None,10.901543882861876,1791
1792,Mustard Beanie,Meh,Oldies,Goth Tee,Femi,Yellow,None,18.01920485739664,1792
1793,Mustard Beanie,Meh,Gummy Worms,Leather Jacket,Lochias,Pink,None,18.48416211904647,1793
1794,Baseball Helmet,Aw man,Peek a Boo,Scarf Orange Blue,Femi,Blue,None,15.88439447628389,1794
1795,Ice Cream,Gangzter,xxx Flat,Goth Tee,OLU,Tree Green,None,28.613781577715592,1795
1796,Red Beanie,Goo,Gummy Worms,Sailor,Xenos,Orange,None,11.625487977756356,1796
1797,Baseball Helmet,Gangzter,Peek a Boo,Old School,Xenos,Mint,None,4.058396524401498,1797
1798,Knife,Goo,Adorable,Yellow GM Tee,Xenos,Blue,None,9.728426686074087,1798
1799,Mustard Beanie,Brown Beard,Fren,White Jacket,Lochias,Yellow,None,25.411652677882174,1799
1800,Bandage,Aw man,Luv,Yellow Hi,Xenos,Pink,None,8.544764345067716,1800
1801,Gumball,Cowboy,xxx Flat,Long Sleeve Chain,Lochias,Baby Blue,None,20.772163825387043,1801
1802,Paper Bag,Cowboy,Dazed,Waldo,Xenos,Baby Blue,None,9.015028266574882,1802
1803,Paper Bag,Gangzter,xxx Flat,Office,Femi,Tree Green,None,18.077345059590243,1803
1804,Paper Bag,Sad,Dazed,Mint Sweater,Xenos,Pink,None,4.31730407999411,1804
1805,Fire,Aw man,Peek a Boo,Cowboy,Xenos,Baby Blue,None,7.773254785942749,1805
1806,Ninja Blue,Meh,Adorable,Fuzzy Sweater,Lochias,Pink,None,15.947757308950663,1806
1807,Ice Cube,Oh No,xxx Flat,Office Hipster,Xenos,Pink,None,6.039985986424579,1807
1808,Park Hat,Sad,Peaceful,White GM Tee,Xenos,Baby Blue,None,12.893695930656223,1808
1809,Bonzai,Brown Beard,Fren,Red Sweater,Xenos,Pink,None,10.071924776937367,1809
1810,Ice Cream,Monster,Angry,Overalls Blue Yellow,Xenos,Orange,None,17.57552919894243,1810
1811,Toad,Aw man,Dazed,Fuzzy Rainbow Tee,Xenos,Green Camo,None,15.30858449099449,1811
1812,Multi Beanie,Drugz,Happy,Bones Tee,Xenos,Blue,None,17.374722206834715,1812
1813,Nacho Cheese,Goo,Ghostie,Blue Tank,Xenos,Pink,None,8.280548540193518,1813
1814,Blue Beanie,Goo,Dazed,Poop,Xenos,Red Camo,None,12.455069030642507,1814
1815,Dark Crown,Friendly,xxx Future,Fuzzy Rainbow Tee,OLU,Tan,None,30.801390620640046,1815
1816,Paper Bag,Brown Beard,Adorable,Ninja Knight,Lochias,Pink,None,17.834235931033405,1816
1817,Ski Mask,Oh No,Luv,Scarf Orange Blue,Femi,Pink,None,14.415416524894011,1817
1818,Baseball Helmet,Aw man,Luv,Fuzzy Coat,Femi,Mint,None,13.284581909909518,1818
1819,Baseball Helmet,Sad,Peaceful,Ninja Blue,Zombie Xenos,Mint,None,27.63098964495579,1819
1820,Ninja Master,Friendly,Dazed,Hi Tee,Xenos,Orange,None,11.155172260538947,1820
1821,Ice Cube,Cowboy,Adorable,Dark Jacket,Xenos,Orange,None,10.225149393852053,1821
1822,Ninja Blue,Aw man,xxx Flat,Dotted Tee,Lochias,Tan,None,21.23722414282291,1822
1823,Cowboy Hat,Goo,Evil fren,Red GM Tee,Lochias,Blue,None,24.122339104331697,1823
1824,Ninja Blue,Meh,Peek a Boo,Rainbow,Xenos,Baby Blue,None,10.647934001583078,1824
1825,Park Hat,Brown Beard,Pacman,Yellow GM Tee,Xenos,Mint,None,10.404827516357598,1825
1826,Bandage,Meh,Peek a Boo,Imperial,Femi,Tan,None,16.381142554083603,1826
1827,Red Beanie,Monster,Luv,Fuzzy Coat,Xenos,Mint,None,10.404830686525205,1827
1828,Cowboy Hat,Aw man,Dazed,Armband,Xenos,Red,None,10.383648963434473,1828
1829,Beanie Spinner,Aw man,Patches,Hi Tee,Lochias,Yellow,None,26.309950790235582,1829
1830,Army Helmet,Aw man,Peek a Boo,Scuba,Lochias,Tan,None,22.035104755144026,1830
1831,Bandage,Aw man,Adorable,Red Tank,OLU,Yellow,None,26.283505745463575,1831
1832,Multi Beanie,Cowboy,Pacman,Black Tux,Xenos,Pink,None,8.571157597296837,1832
1833,Black Cap,Friendly,xxx Future,Red Sweater,Lochias,Dark Mint,None,24.920209147785126,1833
1834,Army Helmet,Abduction,Peek a Boo,Blue Tank,Xenos,Mint,None,8.391538139198017,1834
1835,Black Beanie,Aw man,Peaceful,Floaties,Xenos,Orange,None,13.723334591930419,1835
1836,Knife,Goo,Peek a Boo,Dotted Tee,OLU,Blue Camo,None,28.772311800345886,1836
1837,Baseball Helmet,Meh,Peaceful,Black GM Hoodie,Lochias,Baby Blue,None,23.863395609497726,1837
1838,Gumball,Oh No,xxx Flat,Art School,Xenos,Mint,None,5.9026258584793725,1838
1839,Bonzai,Aw man,Pacman,Red GM Tee,OLU,Red,None,29.17390464283742,1839
1840,Tee Pee,Goo,Fren,Cowboy,Femi,Pink,None,8.576311522856866,1840
1841,Horns,Oh No,Dazed,White Jacket,Xenos,Red,None,11.149886211580737,1841
1842,Claw Machine,Cig,xxx Flat,Pilot,Lochias,Dark Mint,None,20.624228427011627,1842
1843,Paper Bag,Meh,Ghostie,Long Sleeve Chain,Xenos,Tan,None,15.123626664323705,1843
1844,Ninja Blue,Wow,Luv,Green Jacket,OLU,Red,None,29.97178472726651,1844
1845,Black Beanie,Cowboy,Glasses,Hi Tee,Lochias,Orange,None,24.99419058800239,1845
1846,Black Beanie,Oh No,Angry,Scuba,Xenos,Mint,None,9.77600747454098,1846
1847,Cyclone Ears,Sewn Shut,Angry,White Yellow Overalls,Lochias,Tan,None,29.226820629356748,1847
1848,Multi Beanie,Baby Tooth,Peek a Boo,Red GM Tee,Xenos,Orange,None,10.436520029509357,1848
1849,Nacho Cheese,Gangzter,Fren,Chain Brown Tee,Lochias,Dark Mint,None,23.0073853652584,1849
1850,Mustard Beanie,Braces,Fren,Green Jacket,Femi,Tan,None,20.735307868195402,1850
1851,Mustard Beanie,Black Beard,Adorable,Scarf Red White,Femi,Baby Blue,None,17.464373125666857,1851
1852,Paper Bag,Friendly,Fren,Mint Sweater,Xenos,Blue,None,13.564802254564654,1852
1853,Park Hat,Cowboy,Hive,Office Hipster,Xenos,Baby Blue,None,14.389130025924016,1853
1854,Red Beanie,Monster,Adorable,Leather Jacket,Lochias,Tan,None,23.784169871420254,1854
1855,Biker Helmet,Cig,Oldies,Pilot,Femi,Mint,None,13.860566823954134,1855
1856,Cowboy Hat,Goo,Adorable,Alien Coat,Femi,Tree Green,None,17.268880722706704,1856
1857,Ninja Master,Meh,Fren,Red Sweater,Femi,Pink,None,13.51709832847772,1857
1858,Ice Cube,Abduction,Oldies,Tattoos,Xenos,Dark Mint,None,17.601940420968194,1858
1859,Bucket Hat,Cig,Fren,Waldo,Xenos,Baby Blue,None,13.348140285749915,1859
1860,Black Cap,Cig,Fren,Blue Running Jacket,Lochias,Red,None,24.20687837424765,1860
1861,Biker Helmet,Cowboy,Gummy Worms,Blue GM Hoodie,Femi,Pink,None,13.617520587046087,1861
1862,Bonzai,Gangzter,Adorable,BioHazard,Xenos,Pink,None,4.787604470511616,1862
1863,Ninja Yellow,Aw man,Night Owl,Dark Fren Tee,Femi,Tan,None,18.833019192313575,1863
1864,Red Beanie,Meh,Dazed,Mint Sweater,Lochias,Yellow,None,20.428720697938115,1864
1865,Park Hat,Oh No,Dazed,Blue Tank,Femi,Tan,None,15.921389422872078,1865
1866,Beanie Spinner,Cig,Luv,Red GM Tee,Femi,Dark Mint,None,18.848856728406385,1866
1867,Bandage,Meh,Night Owl,Goth Tee,Xenos,Mint,None,7.974052265905312,1867
1868,Bandage,Baby Tooth,xxx Flat,Pilot,Xenos,Blue,None,8.999171174545841,1868
1869,Horns,Cowboy,Dazed,Black GM Hoodie,Xenos,Pink,None,4.317296152932762,1869
1870,Ice Cube,Baby Tooth,Peek a Boo,Hi Tee,Femi,Pink,None,10.209177093141273,1870
1871,Beanie Spinner,Gangzter,Fren,Black Tux,Lochias,Blue,None,23.039082636242377,1871
1872,Red Yellow Blue Cap,Friendly,Night Owl,Fuzzy Coat,Femi,Blue Camo,None,23.113170301357496,1872
1873,Mustard Beanie,Baby Tooth,Peek a Boo,Office Hipster,Xenos,Mint,None,3.5511048852381295,1873
1874,Ninja Yellow,Black Beard,Peek a Boo,Art School,Lochias,Tan,None,23.245184662499895,1874
1875,Tee Pee,Cig,Dazed,Sailor,Xenos,Tree Green,None,14.912256559139237,1875
1876,Ninja Blue,Oh No,Happy,Floaties,OLU,Yellow,None,29.401114400375196,1876
1877,Claw Machine,Gangzter,Pacman,Art School,Lochias,Pink,None,17.432637275160207,1877
1878,Rainy Day,Wow,Peek a Boo,Dotted Tee,Xenos,Pink,None,6.55788249070117,1878
1879,Rainy Day,Gangzter,Peek a Boo,Cowboy,Lochias,Red,None,17.28460674782548,1879
1880,Tee Pee,Monster,xxx Flat,White Tank,Xenos,Blue,None,14.198913630711797,1880
1881,Horns,Cig,Luv,White Tux,Femi,Yellow,None,19.519926585533348,1881
1882,Rainy Day,Cowboy,Peaceful,Waldo,Xenos,Red,None,12.555503971289014,1882
1883,Cowboy Hat,Meh,Adorable,Ninja Blue,Lochias,Yellow,None,20.613666369718935,1883
1884,Ninja Master,Meh,Pacman,Dark Jacket,Femi,Orange,None,18.838268247771385,1884
1885,Bandage,Cowboy,Pacman,Cowboy,Lochias,Pink,None,14.018980777308943,1885
1886,Park Hat,Cig,Adorable,Green Jacket,Femi,Mint,None,10.65305357685676,1886
1887,Blue Beanie,Sad,Pacman,White Purple Jacket,Femi,Yellow,None,17.99809976710156,1887
1888,Dark Halo,Oh No,Dazed,Scarf Blue Yellow,Femi,Yellow,None,17.300584864616038,1888
1889,Crown,Aw man,Happy,Yellow Running Jacket,Xenos,Pink,None,8.983362176882743,1889
1890,Paper Bag,Cowboy,xxx Flat,Fuzzy Coat,OLU,Pink,None,20.19622330495062,1890
1891,Undies,Baby Tooth,Peaceful,Black Tux,Lochias,Mint,None,18.283383667010796,1891
1892,Undies,Oh No,xxx Flat,Polka Dot,Xenos,Pink,None,5.855034501262102,1892
1893,Undies,Aw man,xxx Flat,Blue Tank,Femi,Mint,None,10.63718802975703,1893
1894,Park Hat,Wow,Night Owl,Dark Jacket,Xenos,Pink,None,8.798405936234236,1894
1895,Space Police,Friendly,xxx Flat,Dark Green Hoodie,Xenos,Orange,None,11.831552479336786,1895
1896,Ninja Master,Baby Tooth,Adorable,Armband,Lochias,Pink,None,14.896217136252933,1896
1897,Pilot,Gangzter,Adorable,Art School,Femi,Dark Mint,None,14.79058334749039,1897
1898,Sunflower,Oh No,Fren,Cowboy,Xenos,Orange,None,9.511791139193948,1898
1899,Nacho Cheese,Gangzter,xxx Flat,Ninja Knight,Xenos,Dark Mint,None,9.369077845980476,1899
1900,Bonzai,Cig,Peaceful,Dark Green Hoodie,Zombie Xenos,Yellow,None,34.33643494173722,1900
1901,Nacho Cheese,Goo,Luv,Scarf Blue Yellow,Xenos,Tan,None,12.180292754263279,1901
1902,Undies,Oh No,xxx Flat,Alien Coat,OLU,Yellow,None,26.54244131300158,1902
1903,Undies,Sad,Ghostie,Art School,Xenos,Orange,None,13.998125663480929,1903
1904,Multi Beanie,Aw man,Gummy Worms,Fuzzy Sweater,Xenos,Mint,None,9.110190900113896,1904
1905,Gumball,Oh No,Night Owl,Dark Fren Tee,Femi,Dark Mint,None,19.467106784930486,1905
1906,Mustard Beanie,Wow,Patches,Goth Tee,Femi,Dark Mint,None,20.761732832189196,1906
1907,Party Ears,Wow,Angry,Abstract Hoodie,OLU,Yellow,None,31.699700360460632,1907
1908,Sailor,Gangzter,xxx Flat,Sailor,Femi,Orange,None,16.11691036520042,1908
1909,Red Yellow Blue Cap,Braces,Pacman,Sailor,Femi,Mint,None,17.807898171166446,1909
1910,Snake Fren,Cowboy,Happy,Dark Green Hoodie,Lochias,Dark Mint,None,23.250434775032172,1910
1911,Electric Ears,Baby Tooth,xxx Flat,White Sweater,Xenos,Mint,None,5.934330529101902,1911
1912,Bonzai,Baby Tooth,xxx Flat,Alien Coat,Femi,Dark Mint,None,14.632063695252807,1912
1913,Sunflower,Oh No,Ghostie,Blue Tank,Femi,Pink,None,15.149927433740304,1913
1914,Red Beanie,Gangzter,Oldies,Red Sweater,Femi,Mint,None,12.18018969929841,1914
1915,Paper Bag,Oh No,Adorable,Dark Fren Tee,Lochias,Mint,None,15.92661628222965,1915
1916,Ninja Blue,Cowboy,Angry,Waldo,Lochias,Pink,None,18.267505435134815,1916
1917,Blue Beanie,Cig,Adorable,White Tank,Xenos,Pink,None,5.094089645811229,1917
1918,Black Beanie,Drugz,Glasses,Armband,Xenos,Orange,None,18.43684874625314,1918
1919,Park Hat,Gangzter,Adorable,Waldo,Xenos,Mint,None,3.7254652464342466,1919
1920,Black Beanie,Baby Tooth,Adorable,Fuzzy Sweater,Xenos,Mint,None,4.047817024852267,1920
1921,Bandage,Sad,Peaceful,Cowboy,Femi,Tan,None,14.003239954203458,1921
1922,Park Hat,Goo,Hive,Goth Tee,Femi,Mint,None,13.781342672250865,1922
1923,Ninja Yellow,Gangzter,Fren,Dark Dice Hoodie,Femi,Yellow,None,17.27944489309254,1923
1924,Nacho Cheese,Gangzter,Peek a Boo,Blue Running Jacket,Femi,Green Camo,None,18.066785114921462,1924
1925,Ninja Master,Wow,Dazed,Pilot,Femi,Pink,None,10.853845769335438,1925
1926,Blue Beanie,Baby Tooth,Peaceful,Dotted Tee,Xenos,Baby Blue,None,12.264833080080603,1926
1927,Biker Helmet,Baby Tooth,Happy,Cowboy,Femi,Baby Blue,None,14.441798677782614,1927
1928,Sunflower,Baby Tooth,Gummy Worms,Blue GM Hoodie,Xenos,Dark Mint,None,12.978222515443996,1928
1929,Space Police,Baby Tooth,Patches,Black Tux,Xenos,Dark Mint,None,15.863427321595555,1929
1930,Undies,Meh,Ghostie,Office Hipster,Femi,Pink,None,15.197483910667628,1930
1931,Ice Cream,Oh No,Happy,Office Hipster,OLU,Dark Mint,None,29.0100899572712,1931
1932,Biker Helmet,Sad,Peek a Boo,Old School,Lochias,Orange,None,20.80916617184841,1932
1933,Blue Beanie,Meh,Happy,Blue Running Jacket,Xenos,Mint,None,7.5618709396114205,1933
1934,Snake Fren,Oh No,Ghostie,Yellow Jacket,Lochias,Blue,None,26.251865022391208,1934
1935,Snake Fren,Cowboy,Adorable,Fuzzy Sweater,Xenos,Pink,None,4.956707849188575,1935
1936,Biker Helmet,Sucker,xxx Flat,Chain White Tee,Xenos,Red,None,14.225339651193506,1936
1937,Party Ears,Gangzter,Adorable,Red Sweater,Xenos,Orange,None,10.066605959140023,1937
1938,Army Helmet,Meh,Happy,Dark Chain Sweater,Femi,Baby Blue,None,18.96508957054282,1938
1939,Black Beanie,Cig,Luv,White GM Tee,Lochias,Red,None,24.26500219442653,1939
1940,Ninja Yellow,Goo,Night Owl,Blue Striped Hoodie,Xenos,Green Camo,None,15.150047927559745,1940
1941,Ninja Dark,Friendly,Luv,Prison,Femi,Baby Blue,None,19.768283713060082,1941
1942,Beanie Spinner,Oh No,Peaceful,Yellow GM Tee,Femi,Orange,None,18.859415615414157,1942
1943,Ninja Yellow,Sad,xxx Flat,Yellow GM Tee,Femi,Red,None,14.906830985150036,1943
1944,Bonzai,Friendly,xxx Future,Alien Coat,Xenos,Baby Blue,None,13.046919491669543,1944
1945,Black Cap,Aw man,Peaceful,Dark Chain Sweater,OLU,Red,None,30.50547913127339,1945
1946,Mustard Beanie,Oh No,xxx Flat,White Jacket,Xenos,Mint,None,5.06769586322658,1946
1947,Ice Cube,Sad,Fren,Rainbow,OLU,Orange,None,28.47640083863664,1947
1948,Black Beanie,Meh,Fren,Blue Striped Hoodie,Femi,Red,None,18.06148796803044,1948
1949,Ninja Yellow,Cowboy,Pacman,Yellow Hi,Lochias,Blue,None,23.60447431181978,1949
1950,Gumball,Aw man,Luv,Waldo,Xenos,Red,None,13.612337590706561,1950
1951,Biker Helmet,Gangzter,Happy,Yellow GM Tee,Femi,Mint,None,12.68220797099516,1951
1952,Red Beanie,Baby Tooth,xxx Flat,Leather Jacket,Lochias,Red,None,19.799898541034096,1952
1953,Cowboy Hat,Oh No,Night Owl,Dark Dice Hoodie,Lochias,Baby Blue,None,23.884545621175715,1953
1954,Cowboy Hat,Abduction,xxx Future,White Yellow Overalls,Lochias,Red,None,26.40507642874918,1954
1955,Bonzai,Goo,Gummy Worms,Pilot,Femi,Pink,None,11.37697917288947,1955
1956,Nacho Cheese,Abduction,Peek a Boo,Mint Sweater,Xenos,Pink,None,8.306982487032718,1956
1957,Snake Fren,Wow,xxx Future,Pilot,Xenos,Tan,None,13.585907344155876,1957
1958,Black Beanie,Brown Beard,Happy,Waldo,Lochias,Pink,None,19.64142592444566,1958
1959,Sweatband,Oh No,Dazed,Black GM Hoodie,Femi,Pink,None,10.653027151872118,1959
1960,Horns,Black Beard,Dazed,Yellow GM Tee,Lochias,Orange,None,23.35616580561254,1960
1961,Nacho Cheese,Meh,Gummy Worms,Pilot,Xenos,Baby Blue,None,13.226594969670632,1961
1962,Ski Mask,Cowboy,Adorable,Pilot,Xenos,Yellow,None,9.89754486133004,1962
1963,Paper Bag,Meh,Peek a Boo,Black GM Hoodie,Femi,Baby Blue,None,15.93725972839057,1963
1964,Cowboy Hat,Meh,Oldies,Scarf Red White,Lochias,Orange,None,24.06419414559628,1964
1965,Beanie Spinner,Goo,Peek a Boo,Black Tux,Femi,Yellow,None,14.843409492182364,1965
1966,Cowboy Hat,Friendly,Peek a Boo,Yellow Hi,Lochias,Yellow,None,22.008680320919215,1966
1967,Ninja Dark,Goo,Evil fren,White GM Sweater,Zombie Lochias,Tree Green,None,38.65347741721054,1967
1968,Bonzai,Cig,Dazed,Red GM Tee,Femi,Tan,None,15.66775681560675,1968
1969,Space Police,Cowboy,Ghostie,Ninja Knight,Xenos,Yellow,None,14.510663713949581,1969
1970,BioHazard,Sucker,Happy,Dotted Tee,Lochias,Yellow,None,27.768389938680567,1970
1971,Baseball Helmet,Sad,Oldies,Office,Xenos,Blue,None,12.27544640237608,1971
1972,Blue Beanie,Goo,Hive,Blue Striped Hoodie,Lochias,Blue,None,24.132920716856763,1972
1973,Park Hat,Cowboy,Pacman,Black GM Hoodie,Xenos,Mint,None,7.213104768296172,1973
1974,Mustard Beanie,Baby Tooth,Angry,Red GM Tee,OLU,Yellow,None,28.645499459950617,1974
1975,Black Cap,Oh No,Night Owl,Cowboy,Femi,Mint,None,10.621326179074607,1975
1976,Space Police,Goo,xxx Future,Space Suit,Lochias,Tan,None,23.04438665511454,1976
1977,Horns,Friendly,Oldies,Cowboy,Xenos,Dark Mint,None,10.58446388365932,1977
1978,Red Beanie,Wow,Angry,Overalls Blue Yellow,Xenos,Mint,None,9.089053571921756,1978
1979,Ninja Yellow,Goo,Adorable,Goth Tee,Femi,Pink,None,9.046649965826184,1979
1980,Pilot,Friendly,Adorable,Chain Brown Tee,Femi,Mint,None,11.65175492079012,1980
1981,Nacho Cheese,Abduction,xxx Flat,White Tank,Xenos,Yellow,None,13.554214829361785,1981
1982,Black Cowboy Hat,Wow,Oldies,Dark Green Hoodie,Femi,Yellow,None,20.016632384577655,1982
1983,Blob Red,Goo,Evil fren,Waldo,Lochias,Baby Blue,None,25.07349031437106,1983
1984,Knife,Aw man,Dazed,Red Running Jacket,Femi,Blue Camo,None,20.21745523115999,1984
1985,Beanie Spinner,Brown Beard,Luv,Scarf Orange Blue,Xenos,Yellow,None,15.884559891955478,1985
1986,Black Cap,Abduction,Dazed,Scarf Blue Yellow,Femi,Dark Mint,None,19.65734326350173,1986
1987,Red Beanie,Cig,Dazed,Blue GM Hoodie,Femi,Yellow,None,15.614906891490374,1987
1988,Bamboo Cap,Goo,Gummy Worms,White Yellow Overalls,Xenos,Baby Blue,None,12.481518304768157,1988
1989,Clown Nose Ears,Sad,Adorable,Leather Jacket,Xenos,Pink,None,5.379473428523469,1989
1990,Ninja Dark,Sad,Dazed,Blue GM Hoodie,Xenos,Mint,None,5.411162773971118,1990
1991,Ninja Blue,Goo,Luv,White Tux,Femi,Yellow,None,17.929395391472077,1991
1992,Bucket Hat,Goo,xxx Flat,Yellow Hi,Lochias,Blue,None,21.057553421598254,1992
1993,Baseball Helmet,Goo,Adorable,Office,Lochias,Mint,None,14.119438443941979,1993
1994,Claw Machine,Wow,Oldies,Fuzzy Coat,Femi,Mint,None,13.813017745492271,1994
