,Hats,Mouth,Eyes,Clothes,Body,Background,1 of 1,Rarity score,Token Id
64,Bonzai,Baby Tooth,Happy,Cowboy,Xenos,Dark Mint,None,8.259405397563938,64
65,Come In Peace,Oh No,Gummy Worms,White Sweater,Xenos,Blue,None,14.653342659222895,65
66,Halo,Gangzter,Dazed,Armband,Lochias,Red Camo,None,24.381302683228547,66
67,Mustard Beanie,Gangzter,Hive,Rainbow,OLU,Dark Mint,None,29.43281801415788,67
68,Black Cowboy Hat,Friendly,Oldies,Dark Ninja,Xenos,Red,None,15.419557707866952,68
69,Ninja Yellow,Cowboy,Happy,Chain White Tee,Lochias,Red Camo,None,25.781545078870206,69
70,Black Cap,Baby Tooth,Dazed,Red GM Tee,Lochias,Blue,None,20.745778497990393,70
71,Party Ears,Friendly,xxx Flat,Cowboy,Femi,Yellow,None,12.951643762190002,71
72,Come In Peace,Sad,Pacman,Red GM Tee,Xenos,Green Camo,None,16.296729063124786,72
73,Tee Pee,Meh,Fren,Robe,Femi,Yellow,None,18.93867729120797,73
74,Sweatband,Cig,Peaceful,Robe,Lochias,Orange,None,24.11176172104296,74
75,Undies,Sad,xxx Flat,White GM Sweater,Femi,Yellow,None,14.87512050278818,75
76,Party Ears,Friendly,Happy,Dark Green Hoodie,Xenos,Dark Mint,None,13.633466991837354,76
77,Cyclone Ears,Meh,xxx Future,Dotted Tee,Lochias,Mint,None,18.706094812700318,77
78,Come In Peace,Cig,Ghostie,Cowboy,Xenos,Orange,None,12.275434775495455,78
79,Come In Peace,Gangzter,Fren,Office Hipster,Femi,Baby Blue,None,17.9241019439311,79
80,Yellow Cap,Cowboy,Adorable,Black GM Hoodie,Xenos,Pink,None,5.014842766244482,80
81,Paper Bag,Sad,Fren,White Fren Tee,Xenos,Orange,None,11.979540725217989,81
82,Beanie Spinner,Cig,Patches,Yellow GM Tee,Femi,Orange,None,21.084061886497636,82
83,Beanie Spinner,Sad,Adorable,White Sweater,OLU,Mint,None,20.655898215936496,83
84,Park Hat,Baby Tooth,Night Owl,Rainbow,Femi,Red,None,17.781442555063258,84
85,Sailor,Gangzter,Dazed,White GM Sweater,Xenos,Red,None,10.388972008943123,85
86,Party Ears,Cowboy,Luv,Chain White Tee,Femi,Blue Camo,None,20.967821117299852,86
87,Knife,Brown Beard,Dazed,Yellow Running Jacket,Xenos,Yellow,None,13.379846541338939,87
88,Multi Beanie,Cowboy,Luv,Hi Tee,Femi,Baby Blue,None,18.61109178450128,88
89,Rainy Day,Brown Beard,Adorable,Blue Tank,Xenos,Orange,None,13.390427622570003,89
90,Come In Peace,Oh No,Peek a Boo,Black GM Hoodie,Femi,Mint,None,11.276597080687225,90
91,Bamboo Cap,Cowboy,Peek a Boo,Yellow Running Jacket,Xenos,Pink,None,4.41244346059304,91
92,Mustard Beanie,Meh,xxx Flat,White GM Sweater,Femi,Pink,None,9.870949194884629,92
93,Baseball Helmet,Sad,Peaceful,Cowboy,Xenos,Pink,None,3.4454066195083746,93
94,Claw Machine,Gangzter,Angry,Cowboy,Femi,Green Camo,None,18.230593988865667,94
95,Red Beanie,Meh,Dazed,Fuzzy Sweater,Xenos,Orange,None,9.855249595454346,95
96,Fire,Sad,Evil fren,Tan Dice Hoodie,Xenos,Pink,None,9.7971405736141,96
97,Mustard Beanie,Gangzter,Luv,Cowboy,Xenos,Pink,None,2.9222430923235176,97
98,Ski Mask,Friendly,Peek a Boo,Robe,Femi,Green Camo,None,20.254453349910047,98
99,Ninja Master,Goo,Oldies,Black GM Hoodie,Lochias,Red Camo,None,25.712875585173002,99
100,Undies,Aw man,Pacman,Dotted Tee,Xenos,Baby Blue,None,13.580640849960805,100
101,Red Beanie,Baby Tooth,Adorable,Prison,Xenos,Blue,None,8.565875246046337,101
102,Black Cowboy Hat,Cowboy,Pacman,Chain Brown Tee,Xenos,Dark Mint,None,13.607054184493167,102
103,Ninja Blue,Gangzter,Hive,Art School,Xenos,Mint,None,8.96751301332276,103
104,Toad,Goo,Gummy Worms,Cowboy,Lochias,Pink,None,14.806380719563267,104
105,Bonzai,Oh No,Oldies,Sailor,Femi,Tan,None,19.028498911201332,105
106,Undies,Cowboy,Dazed,Blue Running Jacket,Femi,Red,None,14.906858997916594,106
107,Army Helmet,Gangzter,xxx Flat,Old School,Lochias,Mint,None,14.99660451488328,107
108,Ninja Blue,Drugz,Dazed,Office Hipster,Femi,Tan,None,18.89642113356815,108
109,Bamboo Cap,Friendly,Peek a Boo,Yellow Jacket,Lochias,Tan,None,21.74975637967529,109
110,Ninja Blue,Black Beard,Adorable,White Tank,Lochias,Blue Camo,None,26.48435290229508,110
111,Ninja Master,Sad,Fren,White Tank,Xenos,Blue,None,11.953114706847847,111
112,Yellow Cap,Oh No,xxx Flat,Red GM Tee,Femi,Pink,None,11.345264460587428,112
113,Ice Cube,Friendly,Patches,Goth Tee,Xenos,Tan,None,16.90440702067669,113
114,Horns,Baby Tooth,Adorable,Cowboy,Xenos,Yellow,None,6.087555675668259,114
115,Nacho Cheese,Gangzter,Peaceful,Waldo,Lochias,Dark Mint,None,22.484276801487894,115
116,Claw Machine,Gangzter,Dazed,Blue Running Jacket,Xenos,Tan,None,9.34791620566222,116
117,Cyclone Ears,Cig,Angry,Dark Dice Hoodie,Lochias,Red,None,25.84497027318217,117
118,Fire,Aw man,xxx Flat,Space Suit,OLU,Blue Camo,None,30.99692583188997,118
119,Park Hat,Sad,Night Owl,White Tank,Femi,Pink,None,12.481392525341779,119
120,Ice Cream,Cig,Pacman,White Tank,Xenos,Red,None,13.543624231997054,120
121,Nacho Cheese,Gangzter,Peek a Boo,Green Jacket,Femi,Orange,None,14.869808555916194,121
122,Pilot,Cowboy,xxx Future,White Tank,Femi,Mint,None,11.683511384307467,122
123,Park Hat,Cowboy,Peek a Boo,Red GM Tee,Lochias,Mint,None,14.875019031030162,123
124,Nacho Cheese,Oh No,xxx Flat,Floaties,Xenos,Red,None,11.086480042262927,124
125,Ninja Blue,Meh,Dazed,Office Hipster,Zombie OLU,Orange,None,31.715565379316402,125
126,Army Helmet,Wow,Peek a Boo,Polka Dot,Lochias,Red Camo,None,25.501499664729927,126
127,Ninja Blue,Baby Tooth,xxx Flat,Red Tank,Femi,Orange,None,14.89099979244248,127
128,Blue Beanie,Goo,Peaceful,Long Sleeve Chain,Xenos,Baby Blue,None,11.678288222540296,128
129,Nacho Cheese,Aw man,Fren,Dark Dice Hoodie,Femi,Mint,None,13.046787369444457,129
130,Ninja Master,Oh No,xxx Future,Dark Jacket,Xenos,Baby Blue,None,12.761571115496947,130
131,Army Helmet,Baby Tooth,Oldies,Pilot,Lochias,Orange,None,22.84356803600889,131
132,Claw Machine,Monster,xxx Future,Pilot,Xenos,Pink,None,9.818279488649683,132
133,Rainy Day,Baby Tooth,Fren,Red GM Tee,Femi,Pink,None,12.613500954263197,133
134,Tee Pee,Drugz,Hive,White Tux,Femi,Mint,None,19.646808689206622,134
135,Paper Bag,Cig,xxx Flat,White GM Tee,Femi,Mint,None,11.044077491716797,135
136,Bucket Hat,Goo,Ghostie,Pilot,Femi,Mint,None,14.124812753866866,136
137,Black Cowboy Hat,Drugz,Peaceful,Fuzzy Rainbow Tee,Xenos,Mint,None,12.270185194374491,137
138,Black Cap,Gangzter,xxx Future,Ninja Knight,Femi,Baby Blue,None,17.348131299159995,138
139,Blue Beanie,Wow,xxx Flat,Red GM Tee,Xenos,Pink,None,5.633075382506303,139
140,Ice Cube,Goo,Adorable,Scarf Orange Blue,Lochias,Mint,None,15.197424189890299,140
141,Ninja Blue,Baby Tooth,xxx Flat,Green Jacket,Femi,Red Camo,None,18.04565994373085,141
142,Beanie Spinner,Aw man,Fren,Pilot,Lochias,Pink,None,17.98216763076264,142
143,Claw Machine,Cowboy,Peaceful,Red GM Tee,Xenos,Mint,None,6.948909576198051,143
144,Toad,Cig,Luv,Red Running Jacket,Xenos,Dark Mint,None,15.107761115816261,144
145,Ninja Yellow,Gangzter,xxx Future,White Yellow Overalls,Xenos,Tan,None,12.111595251084179,145
146,Gumball,Aw man,Dazed,Blue Running Jacket,Xenos,Mint,None,6.018844957826616,146
147,Sunflower,Wow,Adorable,Yellow Jacket,OLU,Tan,None,26.95985372636435,147
148,Horns,Goo,Dazed,Cowboy,Femi,Yellow,None,10.832627050515429,148
149,Bandage,Meh,Hive,Fuzzy Coat,Xenos,Mint,None,9.84997622963006,149
150,Black Beanie,Gangzter,Luv,Fuzzy Sweater,Xenos,Pink,None,6.959457364803779,150
151,Bonzai,Friendly,Oldies,Yellow Running Jacket,Femi,Red,None,19.10246344022143,151
152,Ninja Yellow,Gangzter,Happy,Red GM Tee,Femi,Red,None,17.31643561349444,152
153,Black Cowboy Hat,Cig,xxx Flat,Office,Xenos,Red Camo,None,14.489508417955058,153
