,Stamina,Special Set,Pet,Mask,Clothes,Eyes,Mouth,Antenna,Skin,Background,Class,Rarity score,Token Id
2226,944.43,None,None,None,None,Double-Vision,Dope,Rabbit-Brown,Rose,Mint,Common,5.039201102095509,2226
2227,967.86,None,None,None,None,Goof,Rude-Tongue,Mr-Brain,Red,Air-Force-Fiddle,Common,6.450915236266337,2227
2228,979.26,None,None,None,None,Shocking,Tiny-Tongue,McFro,Blue,Pink-Clouds,Common,6.831131878187008,2228
2229,909.81,None,None,None,None,Badboi-Shades,Blue-Gum,Cap-Purple,Rose,Grizzle,Common,3.2690373046494177,2229
2230,918.61,None,None,None,None,Suspicious,Mr-Mustache,Yellow-Lemon,White,Green-Clouds,Common,3.909150019401365,2230
2231,941.43,None,None,None,None,Double-Vision,Robo-Teeth,Innocent-Tails,Rose,Puce-Fiddle,Common,5.08254388702596,2231
2232,921.6,None,None,None,None,Adorable,Blue-Gum,Gel-Blue,Silver,Mauve,Common,3.736200368746043,2232
2233,1530.02,None,None,None,None,Party-Shades,Krooked-Smile,Emo-Brown,Hollow-Black-Angel,Carolina,Rare,14.929477015809328,2233
2234,915.81,None,None,None,None,Sad,Flabber,Princess,White,Lemonade,Common,3.8657594008921015,2234
2235,883.19,None,None,None,None,Rainbow-Shades,Drooling,Pirate-Band-Blue,White,Pigeon,Common,1.6723752233157374,2235
2236,926.43,None,None,None,None,In-Love,Rainbow-Puke,Nerd,Rose,Grizzle,Common,4.3658315763846804,2236
2237,1535.22,None,None,None,None,Banana-Shades,Drooling,Pointed-Beanie-Pink,Hollow-Poison,Tiffany,Rare,15.179252283872142,2237
2238,958.65,None,None,None,None,Rainbow-Shades,Intense,Mohawk-Purple,Red,Coin,Common,5.777484965578235,2238
2239,963.86,None,None,None,None,Zebra-Shades,Mr-Mustache,Flower-Hat-Blue,Red,Wheat,Common,6.526815211150123,2239
2240,907.61,None,None,None,None,In-Love,Stressed,Emo-Red,White,Pine,Common,3.0186361320470145,2240
2241,936.63,None,None,None,None,Funky-Apple,Interesting,Pointed-Beanie-Yellow,Silver,Air-Force-Fiddle,Common,4.7785356918378294,2241
2242,1529.22,None,None,None,None,In-Love,Yellow-Gum,Pointed-Beanie-Red,Rainbow-Angel,Mint,Rare,14.755866799486695,2242
2243,1554.03,None,None,None,None,Suspicious,Stressed,Flower-Hat-Blue,Hollow-Zombie-Angel,Puce,Rare,16.547232395158733,2243
2244,971.26,None,None,None,None,Zebra-Shades,Robo-Teeth,Top-Hat-Grey,Red,Flamingo,Common,6.580961069132828,2244
2245,1545.02,None,None,None,None,Suspicious,Smoke,Pointed-Beanie-Pink,Hollow-Swirley,Purple-Clouds,Rare,15.700113502328673,2245
2246,937.02,None,None,None,None,Sad,Rude-Tongue,Bandana-Orange,Rose,Grizzle,Common,4.713278140142088,2246
2247,884.39,None,None,None,None,In-Love,Blue-Gum,Emo-Blonde,White,Tiffany,Common,1.8895020964781042,2247
2248,976.25,None,None,None,None,Adorable,Surprised,Emo-Blonde,Purple,Mauve,Common,6.8741530918702445,2248
2249,998.67,None,None,None,None,Pandas,Displeased,Pirate-Band-Yellow,Green,Grizzle,Common,7.949119417937715,2249
2250,1541.83,None,None,None,None,In-Love,Flabber,Beanie-Pink,Rainbow,Salmon-Fiddle,Rare,15.754698512851492,2250
2251,968.05,None,None,None,None,Badboi-Shades,Robo-Teeth,Pirate-Feather,Red,Salmon,Common,6.385570738164825,2251
2252,958.65,None,None,None,None,In-Love,Rose-Swag,Yellow-Lemon,Red,Mauve,Common,6.1139544981485425,2252
2253,907.61,None,None,None,None,Rainbow-Shades,Silence,Pointed-Beanie-Red,Rose,Flamingo,Common,3.019301138962433,2253
2254,1536.82,None,None,None,None,Badboi-Shades,Rude-Tongue,Afro,Hollow-Leopard,Powder,Rare,15.200993236066493,2254
2255,972.86,None,None,None,None,WTF,Silence,Flower-Pink,Purple,Cider,Common,6.88506914042594,2255
2256,3840.67,None,Cool-Red-Panda,None,None,Zebra-Shades,Krooked-Smile,None,Hollow-Swirley,Carolina,Elite,46.66306045175252,2256
2257,1556.43,None,None,None,None,Wishful,Flabber,Light-Bulb,Hollow-Golden Angel,Puce,Rare,16.243267714932887,2257
2258,1540.03,None,None,None,None,Banana-Shades,Interesting,Beanie-Pink,Hollow-Pineapple-Angel,Grey-Clouds,Rare,15.65690983427001,2258
