,Beard Gene rarity score,Bones Gene rarity score,Teeth Gene rarity score,Nose Gene rarity score,Eyes Gene rarity score,Hair Gene rarity score,Skull Gene rarity score,Background ID rarity score,NAME rarity score,UNIQUENESS INDEX rarity score,Noname Trait rarity score,Trait count rarity score,Rarity score,Token Id
0,1.1555350127108852,1.2911555842479019,10.940919037199125,7.59301442672741,80.64516129032258,3.435245620061834,15.337423312883438,102.04081632653062,10000.0,38.46153846153846,1.1111111111111112,1.1123470522803114,10263.124267235615,0
1,1.1555350127108852,1.2911555842479019,10.493179433368311,7.59301442672741,91.74311926605505,149.2537313432836,15.337423312883438,131.57894736842104,10000.0,2.101281781886951,1.1111111111111112,1.1123470522803114,10412.770845692976,1
2,1.1555350127108852,1.2911555842479019,10.427528675703858,8.123476848090982,94.33962264150944,178.57142857142858,14.947683109118087,149.2537313432836,10000.0,2.101281781886951,1.1111111111111112,1.1123470522803114,10462.43490173137,2
3,1.1555350127108852,63.291139240506325,11.441647597254004,8.237232289950578,82.64462809917356,217.3913043478261,14.367816091954024,166.66666666666666,10000.0,7.462686567164178,1.1111111111111112,1.1123470522803114,10574.882114076596,3
4,1.1555350127108852,1.2911555842479019,10.493179433368311,8.51063829787234,86.20689655172414,175.43859649122805,14.513788098693759,158.73015873015873,10000.0,2.101281781886951,1.1111111111111112,1.1123470522803114,10460.664688145282,4
5,1.1555350127108852,1.2911555842479019,10.649627263045794,8.51063829787234,86.95652173913044,217.3913043478261,15.174506828528072,119.04761904761905,10000.0,2.101281781886951,1.1111111111111112,1.1123470522803114,10464.501648066258,5
6,1.1555350127108852,1.2911555842479019,10.649627263045794,8.51063829787234,96.15384615384616,172.41379310344828,14.947683109118087,125.0,10000.0,2.101281781886951,1.1111111111111112,1.1123470522803114,10434.447018469567,6
7,1.1555350127108852,56.17977528089888,11.025358324145534,8.51063829787234,101.010101010101,156.25,15.15151515151515,117.6470588235294,10000.0,7.462686567164178,1.1111111111111112,1.1123470522803114,10476.616126631328,7
8,1.1555350127108852,85.47008547008546,10.493179433368311,7.59301442672741,84.03361344537815,3.435245620061834,16.286644951140065,142.85714285714286,10000.0,18.587360594795538,1.1111111111111112,1.1123470522803114,10372.135279974802,8
9,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,10000.0,1000.0,1.1111111111111112,1000.0,20001.11111111111,9
10,56.17977528089888,1.2911555842479019,10.857763300760043,7.936507936507937,84.03361344537815,3.435245620061834,15.174506828528072,125.0,10000.0,33.67003367003367,1.1111111111111112,1.1123470522803114,10339.802059829808,10
11,1.1555350127108852,66.66666666666667,10.649627263045794,7.861635220125786,86.20689655172414,3.435245620061834,14.513788098693759,117.6470588235294,10000.0,18.587360594795538,1.1111111111111112,1.1123470522803114,10328.947272014746,11
12,1.1555350127108852,1.2911555842479019,10.427528675703858,8.237232289950578,102.04081632653062,3.435245620061834,14.66275659824047,126.58227848101265,10000.0,5.810575246949448,1.1111111111111112,1.1123470522803114,10275.866581998798,12
13,1.1555350127108852,1.2911555842479019,11.025358324145534,8.123476848090982,83.33333333333333,172.41379310344828,14.367816091954024,144.92753623188406,10000.0,2.101281781886951,1.1111111111111112,1.1123470522803114,10440.962744475093,13
14,1.1555350127108852,1.2911555842479019,11.299435028248588,8.51063829787234,80.0,208.33333333333334,15.600624024960997,107.52688172043011,10000.0,2.101281781886951,1.1111111111111112,1.1123470522803114,10438.042342947081,14
15,1.1555350127108852,1.2911555842479019,11.441647597254004,8.51063829787234,77.51937984496124,3.435245620061834,15.174506828528072,123.4567901234568,10000.0,5.810575246949448,1.1111111111111112,1.1123470522803114,10250.018932319434,15
16,1.1555350127108852,1.2911555842479019,11.904761904761903,8.237232289950578,96.15384615384616,172.41379310344828,14.513788098693759,151.51515151515153,10000.0,2.101281781886951,1.1111111111111112,1.1123470522803114,10461.510003608088,16
17,1.1555350127108852,1.2911555842479019,11.507479861910241,8.51063829787234,111.11111111111111,3.435245620061834,14.025245441795231,138.88888888888889,10000.0,5.810575246949448,1.1111111111111112,1.1123470522803114,10297.959333228939,17
18,1.1555350127108852,56.17977528089888,10.940919037199125,7.59301442672741,93.45794392523365,131.57894736842104,14.025245441795231,136.986301369863,10000.0,277.77777777777777,1.1111111111111112,1.1123470522803114,10731.918917804018,18
19,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,10000.0,1000.0,1.1111111111111112,1000.0,20001.11111111111,19
20,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,10000.0,1000.0,1.1111111111111112,1000.0,20001.11111111111,20
21,1.1555350127108852,1.2911555842479019,10.940919037199125,7.861635220125786,86.95652173913044,200.0,14.992503748125937,133.33333333333334,10000.0,2.101281781886951,1.1111111111111112,1.1123470522803114,10460.856343620151,21
22,1.1555350127108852,1.2911555842479019,11.904761904761903,7.710100231303007,83.33333333333333,227.27272727272725,14.025245441795231,140.8450704225352,10000.0,2.101281781886951,1.1111111111111112,1.1123470522803114,10491.862669148692,22
23,1.1555350127108852,1.2911555842479019,10.493179433368311,8.51063829787234,80.64516129032258,3.435245620061834,16.286644951140065,133.33333333333334,10000.0,5.810575246949448,1.1111111111111112,1.1123470522803114,10263.184926933398,23
24,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,10000.0,1000.0,1.1111111111111112,1000.0,20001.11111111111,24
