,Earrings rarity score,Hat rarity score,Hair rarity score,Neck rarity score,Top rarity score,Hex rarity score,Background rarity score,??? rarity score,Cover rarity score,Face Accessory rarity score,Brooch rarity score,Mouth Piece rarity score,Extraordinary rarity score,Trait count rarity score,Rarity score,Token Id
4083,94.55319148936171,2.3127764767109027,64.87591240875912,132.65671641791045,145.70491803278688,3.212143115287315,37.344537815126046,2.853290529695024,101.0,125.1830985915493,1.087217125382263,1.0336085591347832,1.0003376477208779,3.280915466961978,716.0986636763866,4083
4084,77.96491228070175,2.3127764767109027,141.0793650793651,155.9298245614035,145.70491803278688,3.212143115287315,46.77894736842106,2.853290529695024,121.75342465753424,132.65671641791045,1.087217125382263,1.0336085591347832,1.0003376477208779,3.280915466961978,836.6483973190162,4084
4085,71.104,81.54128440366972,86.29126213592234,2.6610778443113774,10.407494145199063,6.478134110787172,43.35609756097561,1.5403812824956673,46.77894736842106,54.19512195121952,1.087217125382263,1.0336085591347832,1.0003376477208779,3.2797047970479705,410.7546689322875,4085
4086,80.07207207207207,77.96491228070175,58.473684210526315,50.21468926553672,126.97142857142858,3.212143115287315,41.92452830188679,1.5403812824956673,2.6342620035566093,55.20496894409938,1.087217125382263,1.0336085591347832,1.0003376477208779,3.280915466961978,504.6151488467911,4086
4087,74.68907563025209,164.5925925925926,128.81159420289856,90.6938775510204,128.81159420289856,7.957027752909579,44.44,1.5403812824956673,2.6342620035566093,61.29655172413793,1.087217125382263,1.0336085591347832,1.0003376477208779,3.280915466961978,711.8690357419619,4087
4088,41.72769953051643,2.3127764767109027,138.875,2.6610778443113774,145.70491803278688,3.212143115287315,47.02645502645503,2.853290529695024,125.1830985915493,4.557948717948718,1.087217125382263,1.0336085591347832,1.0003376477208779,6.2328190743338014,523.4683902718327,4088
4089,77.28695652173913,97.67032967032968,115.42857142857142,2.6610778443113774,10.407494145199063,13.425981873111782,37.344537815126046,1.5403812824956673,44.0,25.467048710601716,1.087217125382263,1.0336085591347832,1.0003376477208779,3.2797047970479705,431.63324742077174,4089
4090,84.64761904761905,355.52,84.64761904761905,121.75342465753424,145.70491803278688,13.425981873111782,43.35609756097561,2.853290529695024,148.13333333333333,4.557948717948718,1.087217125382263,1.0336085591347832,1.0003376477208779,3.280915466961978,1011.0023115998238,4090
4091,67.8473282442748,81.54128440366972,86.29126213592234,91.62886597938144,138.875,7.957027752909579,42.73076923076923,1.5403812824956673,44.21890547263681,55.20496894409938,1.087217125382263,1.0336085591347832,1.0003376477208779,6.344039971448965,627.300996749846,4091
4092,75.96581196581197,70.53968253968254,99.86516853932584,59.25333333333334,126.97142857142858,3.1098670398880337,43.35609756097561,1.5403812824956673,2.6342620035566093,103.34883720930233,1.087217125382263,1.0336085591347832,1.0003376477208779,3.280915466961978,592.9869488450006,4092
4093,90.6938775510204,74.06666666666666,116.94736842105263,145.70491803278688,121.75342465753424,3.1098670398880337,38.98245614035088,2.853290529695024,121.75342465753424,116.94736842105263,1.087217125382263,1.0336085591347832,1.0003376477208779,6.344039971448965,842.2778654212685,4093
4094,4.325060827250608,75.32203389830508,105.80952380952381,2.6610778443113774,10.407494145199063,3.212143115287315,43.14563106796117,1.5403812824956673,44.0,54.19512195121952,1.087217125382263,1.0336085591347832,1.0003376477208779,6.2328190743338014,353.9724503481253,4094
4095,82.2962962962963,2.3127764767109027,80.07207207207207,98.75555555555556,112.50632911392405,3.212143115287315,43.35609756097561,1.5403812824956673,2.6342620035566093,65.3529411764706,47.276595744680854,1.0336085591347832,1.0003376477208779,3.280915466961978,544.6303120718434,4095
