,Number rarity score,Drip Grade rarity score,Core rarity score,Drip Score rarity score,Neck rarity score,Hair rarity score,Shirt rarity score,Eye Color rarity score,Eyes rarity score,Race rarity score,Background rarity score,Hat rarity score,Face Decoration rarity score,Glasses rarity score,Necklace rarity score,Earring rarity score,Trait count rarity score,Rarity score,Token Id
6766,10000.0,3.2299741602067185,20.876826722338205,33.67003367003367,1.1188185276348175,131.57894736842104,41.666666666666664,3.367003367003367,4.992511233150275,3.447087211306446,7.077140835102618,131.57894736842104,1.3361838588989845,1.2730744748567793,1.1883541295306002,1.4639145073927682,8.32639467110741,10396.191878772075,6766
6767,10000.0,3.2299741602067185,20.876826722338205,20.70393374741201,1.1188185276348175,24.509803921568626,54.6448087431694,3.367003367003367,4.992511233150275,3.918495297805643,15.552099533437016,72.99270072992701,1.3361838588989845,1.2730744748567793,78.125,1.4639145073927682,2.9612081729345574,10311.066356997737,6767
6768,10000.0,3.2299741602067185,8.695652173913043,40.48582995951417,1.1188185276348175,25.125628140703515,57.14285714285714,52.083333333333336,5.078720162519045,3.2743942370661427,7.077140835102618,2.585983966899405,1.3361838588989845,1.2730744748567793,1.1883541295306002,45.662100456621005,2.879355024474518,10258.237400584132,6768
6769,10000.0,18.76172607879925,8.695652173913043,250.0,29.069767441860463,24.271844660194173,59.880239520958085,3.9385584875935407,62.893081761006286,3.918495297805643,15.384615384615383,97.08737864077669,1.3361838588989845,45.45454545454546,1.1883541295306002,46.728971962616825,26.38522427440633,10694.994639127523,6769
6770,10000.0,18.76172607879925,28.011204481792713,370.3703703703703,33.222591362126245,29.15451895043732,74.6268656716418,20.242914979757085,5.078720162519045,3.447087211306446,92.59259259259258,65.78947368421052,74.07407407407408,39.52569169960474,58.8235294117647,1.4639145073927682,256.4102564102564,11171.595531648645,6770
6771,10000.0,5.125576627370579,22.075055187637968,21.83406113537118,49.504950495049506,23.752969121140143,57.80346820809249,3.3090668431502315,8.35421888053467,3.2743942370661427,7.077140835102618,69.93006993006993,1.3361838588989845,1.2730744748567793,1.1883541295306002,1.4639145073927682,2.9612081729345574,10280.263706644195,6771
6772,10000.0,4.623208506703652,23.64066193853428,24.271844660194173,46.51162790697675,24.509803921568626,51.81347150259067,3.9385584875935407,19.417475728155342,3.447087211306446,14.749262536873157,86.20689655172414,33.333333333333336,1.2730744748567793,1.1883541295306002,1.4639145073927682,6.5359477124183005,10346.924523109752,6772
6773,10000.0,6.906077348066297,6.793478260869565,27.027027027027028,1.1188185276348175,25.125628140703515,53.475935828877,3.367003367003367,7.818608287724784,29.32551319648094,6.5487884741322855,2.585983966899405,1.3361838588989845,105.26315789473685,1.1883541295306002,1.4639145073927682,2.879355024474518,10282.223827840455,6773
6774,10000.0,4.623208506703652,6.793478260869565,24.271844660194173,1.1188185276348175,28.248587570621467,53.475935828877,3.3090668431502315,5.078720162519045,3.918495297805643,6.5487884741322855,2.585983966899405,33.333333333333336,19.455252918287936,1.1883541295306002,41.666666666666664,6.5359477124183005,10242.152482859643,6774
6775,10000.0,3.2299741602067185,8.695652173913043,26.595744680851062,1.1188185276348175,29.32551319648094,40.0,3.9385584875935407,62.893081761006286,3.447087211306446,6.949270326615705,2.585983966899405,32.467532467532465,1.2730744748567793,1.1883541295306002,1.4639145073927682,2.879355024474518,10228.051915096295,6775
6776,10000.0,4.623208506703652,22.075055187637968,25.641025641025642,1.1188185276348175,46.29629629629629,57.14285714285714,3.9385584875935407,4.992511233150275,3.447087211306446,92.59259259259258,86.95652173913044,1.3361838588989845,1.2730744748567793,1.1883541295306002,1.4639145073927682,2.879355024474518,10356.96541456108,6776
6777,10000.0,3.2299741602067185,22.075055187637968,26.38522427440633,1.1188185276348175,25.44529262086514,42.5531914893617,3.367003367003367,7.818608287724784,3.918495297805643,6.949270326615705,97.08737864077669,1.3361838588989845,1.2730744748567793,1.1883541295306002,1.4639145073927682,2.879355024474518,10248.089194175192,6777
6778,10000.0,12.360939431396787,12.531328320802006,45.24886877828054,1.1188185276348175,28.248587570621467,41.84100418410041,20.242914979757085,7.818608287724784,3.918495297805643,15.384615384615383,65.78947368421052,1.3361838588989845,105.26315789473685,1.1883541295306002,45.662100456621005,6.5359477124183005,10414.489398499152,6778
6779,10000.0,3.2299741602067185,12.531328320802006,26.38522427440633,1.1188185276348175,33.003300330033,54.054054054054056,3.3090668431502315,5.005005005005005,3.447087211306446,6.949270326615705,2.585983966899405,1.3361838588989845,1.2730744748567793,1.1883541295306002,45.24886877828054,2.879355024474518,10203.544949286153,6779
6780,10000.0,4.623208506703652,31.055900621118013,20.618556701030926,1.1188185276348175,28.248587570621467,52.631578947368425,3.3090668431502315,7.818608287724784,3.2743942370661427,6.949270326615705,113.63636363636363,33.333333333333336,1.2730744748567793,1.1883541295306002,1.4639145073927682,2.9612081729345574,10313.504238823445,6780
6781,10000.0,3.2299741602067185,8.539709649871904,20.70393374741201,1.1188185276348175,33.003300330033,51.81347150259067,52.083333333333336,5.078720162519045,3.2743942370661427,6.5487884741322855,2.585983966899405,1.3361838588989845,1.2730744748567793,1.1883541295306002,46.728971962616825,2.879355024474518,10241.386367542076,6781
6782,10000.0,3.2299741602067185,11.82033096926714,26.595744680851062,1.1188185276348175,25.125628140703515,51.81347150259067,3.9385584875935407,5.005005005005005,3.918495297805643,15.384615384615383,78.74015748031496,1.3361838588989845,1.2730744748567793,1.1883541295306002,1.4639145073927682,2.879355024474518,10234.83168163174,6782
6783,10000.0,12.360939431396787,23.64066193853428,61.34969325153375,1.1188185276348175,33.003300330033,68.4931506849315,3.367003367003367,4.992511233150275,3.918495297805643,6.506180871828237,86.20689655172414,42.016806722689076,1.2730744748567793,78.74015748031496,1.4639145073927682,6.5359477124183005,10434.987552383249,6783
6784,10000.0,3.2299741602067185,19.801980198019802,26.595744680851062,1.1188185276348175,28.248587570621467,64.51612903225806,3.367003367003367,7.818608287724784,3.447087211306446,6.5487884741322855,2.585983966899405,1.3361838588989845,1.2730744748567793,1.1883541295306002,43.47826086956522,2.879355024474518,10217.433933833985,6784
6785,10000.0,18.76172607879925,11.82033096926714,112.35955056179776,1.1188185276348175,28.248587570621467,54.94505494505494,3.9385584875935407,4.992511233150275,29.32551319648094,37.87878787878788,71.42857142857143,1.3361838588989845,98.0392156862745,1.1883541295306002,47.84688995215311,6.5359477124183005,10529.764602217036,6785
